OncotypeDX,MAMMAPRINT,,,
MIK67,AA555029_RC,,,
STK15,ALDH4A1,,,
CCNB1,AP2B1,,,
MYBL2,AYTL2,,,
MMP11,BBC3,,,
CTSL2,C16orf61,,,
GRB2,C20orf46,,,
ERBB2,C9orf30,,,
ESR1,CCNE2,,,
PGR,CDC42BPA,,,
BCL2,CDCA7,,,
SCUBE2,CENPA,,,
GSTM1,COL4A2,,,
CD68,DCK,,,
BAG1,DIAPH3,,,
BIRC5,DTL,,,
,EBF4,,,
,ECT2,,,
,EGLN1,,,
,ESM1,,,
,EXT1,,,
,FGF18,,,
,FLT1,,,
,GMPS,,,
,GNAZ,,,
,GPR126,,,
,GPR180,,,
,GSTM3,,,
,HRASLS,,,
,IGFBP5,,,
,JHDM1D,,,
,KNTC2,,,
,LGP2,,,
,LIN9,,,
,LOC100131053,,,
,LOC100288906,,,
,LOC730018,,,
,MCM6,,,
,MELK,,,
,MMP9,,,
,MS4A7,,,
,MTDH,,,
,NMU,,,
,NUSAP1,,,
,ORC6L,,,
,OXCT1,,,
,PALM2,,,
,PECI,,,
,PITRM1,,,
,PRC1,,,
,QSCN6L1,,,
,RAB6B,,,
,RASSF7,,,
,RECQL5,,,
,RFC4,,,
,RTN4RL1,,,
,RUNDC1,,,
,SCUBE2,,,
,SERF1A,,,
,SLC2A3,,,
,STK32B,,,
,TGFB3,,,
,TSPYL5,,,
,UCHL5,,,
,WISP1,,,
,ZNF533,,,
,,,,
,,,,
,,,,
