CellCycle,CellCycle.Dir,Hippo,Hippo.dir,Myc,Myc.Dir,Notch,Notch.dir,Nrf2,Nrf2.dir,PI3K,PI3K.dir,TGFB,TGFB.dir,RasRTK,RasRTK.dir,TP53,TP53.dir,Wnt,Wnt.Dir,Breast,Breast.Dir
CDKN1A,TSG,STK4,TSG,MAX,TSG,ARRDC1,OG,NFE2L2,OG,EIF4EBP1,OG,TGFBR1,TSG,ABL1,OG,TP53,TSG,CHD8,Ukn,ESR1,OG
CDKN1B,TSG,STK3,TSG,MGA,TSG,CNTN6,TSG,KEAP1,TSG,AKT1,OG,TGFBR2,TSG,EGFR,OG,MDM2,OG,LEF1,OG,CDH1,TSG
CDKN2A,TSG,SAV1,TSG,MLX,TSG,CREBBP,TSG,CUL3,TSG,AKT2,OG,ACVR2A,TSG,ERBB2,OG,MDM4,OG,LGR4,OG,GATA3,OG
CDKN2B,TSG,LATS1,TSG,MLXIP,OG,EP300,TSG,,,AKT3,OG,ACVR1B,TSG,ERBB3,OG,ATM,TSG,LGR5,OG,AR,OG
CDKN2C,TSG,LATS2,TSG,MLXIPL,OG,HES1,TSG,,,AKT1S1,OG,SMAD2,TSG,ERBB4,OG,CHEK2,TSG,LRP5,OG,FOXA1,OG
CCND1,OG,MOB1A,TSG,MNT,TSG,HES2,TSG,,,DEPDC5,Ukn,SMAD3,TSG,PDGFRA,OG,RPS6KA3,OG,LRP6,OG,CTCF,TSG
CCND2,OG,MOB1B,TSG,MXD1,Ukn,HES3,TSG,,,DEPTOR,OG,SMAD4,TSG,PDGFRB,OG,,,LZTR1,Ukn,ERBB2,OG
CCND3,OG,YAP1,OG,MXD3,Ukn,HES4,TSG,,,INPP4B,TSG,SMAD1,,MET,OG,,,NDP,Ukn,BRCA1,TSG
CCNE1,OG,WWTR1,OG,MXD4,Ukn,HES5,TSG,,,MAPKAP1,OG,SMAD5,,FGFR1,OG,,,PORCN,OG,BRCA2,TSG
CDK2,OG,TEAD1,OG,MXI1,TSG,HEY1,TSG,,,MLST8,OG,,,FGFR2,OG,,,RSPO1,OG,PTEN,TSG
CDK4,OG,TEAD2,OG,MYC,OG,HEY2,TSG,,,MTOR,OG,,,FGFR3,OG,,,SFRP1,TSG,KTM2C,OG
