cell_type,C2N__CD45,C2R__CD45,C5R__CD45,Control1__CD45,NMU10_LL_CD45,NMU12_LA_CD45,NMU13_LAU_CD45,NMU13_LLU_CD45,NMU13_RAU_CD45,NMU14__CD45,NMU7_RLU_CD45
B cell_TIMER,0.0189493671212634,0.152659129539332,0.167129908093457,0.0198074588080282,0.0239727781938884,0.0793295748940758,0.0992557415272538,0.0832021247069138,0.115840713973344,0.0696299957658441,0.192880927628435
T cell CD4+_TIMER,0,0.0602131768375409,0.114450546764575,0,0.0228098723445849,0.0427672936965219,0.351654659184519,0.126222008152121,0.272098745091235,0.127301359972352,0.115086244741842
T cell CD8+_TIMER,0.071269506662933,0.268462803493003,0.167040948628264,0.326912588012034,0.421766957183061,0.136867244433953,0.177107608496947,0.255147598325142,0.138103442634079,0.204595867449022,0.285351977802416
Neutrophil_TIMER,0.0784988118088625,0.0689328587915867,0.0470465479895951,0.210567871733778,0.104249589222316,0.193113098383448,0.0970026756276295,0.156689274652409,0.125311098570485,0.146153950835704,0.137748061242373
Macrophage_TIMER,0,0.114568650482338,0.11725619420615,0,0.0616792016439662,0.144170443880399,0.0583406597854484,0.0152581372377788,0.054598050640755,0.00493213343895845,0.0554734555860235
Myeloid dendritic cell_TIMER,0.718835082003009,0.367036793689062,0.438105483201145,0.576579221375525,0.578564012791969,0.409457996402665,0.432143447368453,0.601217490438301,0.413419989557366,0.589241581011344,0.383801309952865
B cell naive_CIBERSORT,0.013869621885601,0,0,0.0665722180125481,0.0104671535943,0,0.102524747431567,0.0356187528364315,0.0858829680571619,0.0111175397942234,0.0582023519025859
B cell memory_CIBERSORT,0.0100446566036549,0.046431141110678,0.0581750711569987,0,0,0.144038835846773,0,0,0,0.00884973092876522,0
B cell plasma_CIBERSORT,0,0,0,0,0,0,0,0,0,0,0
T cell CD8+_CIBERSORT,0.154339820062122,0.340867793573519,0.208292138550155,0.212577515119936,0.225311241294728,0.156171611332427,0.103027199767163,0.0794244442785613,0.112017512965834,0.0663641240732516,0.308367452859496
T cell CD4+ naive_CIBERSORT,0,0,0,0,0,0,0,0,0,0,0
