cell_type,10L_D_CD45,10L_C_CD45,10R_BL_CD45,10R_BU_CD45,11L_B_CD45,11N_D_CD45,11R_D_CD45,11R_C_CD45,14N_B_CD45,14N_C_CD45,14N_D_CD45,15L_B_CD45,15N_C_CD45,15R_D_CD45,16L_D_CD45,17N_A_CD45,2N__CD45,2R_A_CD45,2R_C_CD45,2R_D_CD45,3L_D_CD45,3L_A_CD45,3N_B_CD45,3R_C_CD45,3R_B_CD45,5N_A_CD45,5R_B_CD45,6N_D_CD45,6R_D_CD45,7N_A_CD45,7N_B_CD45,8L_D_CD45,8R_CU_CD45,8R_CL_CD45,9L_B_CD45
B cell_TIMER,0.0576176983367057,0,0.0767309384038522,0.206781148020261,0.0621017938890655,0,0.34376395490916,0.315939383752219,0,0.578306862734167,0.122960199116992,0,0.174654194069188,0,0.173244447416066,0.121451214560537,0.00928443225501897,0.0442995398505303,0.0694091146906577,0,0,0.0523118305048791,0,0.067598995952916,0.104380660458448,0.125968157460272,0.0978846091491058,0.166733932866986,0,0.0965722771949619,0.124720416188744,0,0.117084232586424,0.0894800290733016,0.167490219843113
T cell CD4+_TIMER,0.158000808465359,0,0.216186135300262,0.165706063502994,0.204992972668282,0.156901013826215,0.226927696407654,0.183723625086807,0.191664126823141,0.335049213656546,0.428002360186261,0,0.310000552118965,0.320097497765202,0.152475760895061,0.19165711804342,0,0.00467663776785753,0,0,0,0,0,0,0.0428719761178658,0.158703404488595,0.0580532559275356,0.0445582497031378,0,0.11303066320732,0.395263361723078,0.408971868784797,0.0459495602620458,0.242550466068537,0.322692498137866
T cell CD8+_TIMER,0.366442641700716,0.148235981940912,0.120504145206168,0.187183917847815,0.0655012618600695,0.388011556777901,0.192120307497585,0.223653178267005,0.500231325211143,0.12139985387877,0.346153035895102,0,0.196776600572802,0.139404886336792,0.0655423194296521,0.134241974194499,0.0464610734789152,0.344797743382626,0.0533015287499163,0,0,0.0615838348906217,0.43850739904896,0.0898322359108596,0.195311732855628,0.147592353568152,0.00799283266026476,0.422243623613475,0.490970034015958,0.0803441034232447,0.124734129660509,0.244095632067051,0.158913483718869,0.242815399171333,0.433759268988757
Neutrophil_TIMER,0.166664175189369,0.0507216434492092,0.110906348206517,0.0570088755761323,0.133661063594065,0.162057292767549,0.139295008753182,0.133372535154833,0.237103157394695,0.140029592375456,0.131306786742745,0.00431297497129156,0.103352470897137,0.161315621054233,0.111819665394887,0.0746830128063566,0.0658032603076508,0.113883804791459,0.0944945095753244,0.0347529935696487,0.113161635792353,0.114469798241514,0.293679958162923,0.147569545739234,0.13221234149376,0.0981248218638387,0.056942821101777,0.113118048481443,0.0730194508053148,0.108057453255901,0.102038779698588,0.191366986814216,0.0798999291445271,0.146841786298088,0.0926495126244909
Macrophage_TIMER,0.0479125991610621,0,0.0788206350317669,0.066240090072704,0.0542967919941763,0.00372351386589605,0.0480859110558587,0.0260905286886716,0,0.10013023884709,0,0,0.0599486297315983,0,0.0393370239942753,0.0717097573645116,0.124180754289964,0.0992513950407767,0.124776264804581,0.088447143472289,0.243552610531676,0.1627786286874,0,0.268017265107198,0.159877861918537,2.4963154670621e-05,0.15402568599169,0.0962243801046019,0.09003536878993,0.0522321543738166,0.0433274642147324,0,0.0303592600216138,0,0.0705918903343247
Myeloid dendritic cell_TIMER,0.362755269448121,0.830329964207288,0.316222380083302,0.483117652723003,0.419849470809442,0.349135765574057,0.437939229771732,0.478676702614711,0.33958050670171,0.271099888311501,0.439014234117492,0.859550604895086,0.535165638514733,0.452255600075384,0.460930750447186,0.481873399044822,0.354285595731347,0.414299820052566,0.535774359714008,0.898663588171883,0.472360808995741,0.455637558656026,0.359752664925242,0.442500398726784,0.431909685743304,0.617104281946692,0.446771624805268,0.399789907414603,0.289070667038703,0.506361423190457,0.503316872218469,0.51579007871397,0.558895155332567,0.62301861495062,0.409367038764397
B cell naive_CIBERSORT,0.0714777004493008,0,0,0,0,0.08226513592904,0.185625504146764,0.178156366510154,0.059045111875236,0.254423688776512,0,0,0,0.0799807046451845,0,0,0,0,0,0,0,0,0.0854514169582447,0,0,0,0,0.0778475720596909,0.0208374686903847,0,0,0.12490495535864,0.0235079705324576,0,0
B cell memory_CIBERSORT,0,0.00961717291324136,0.0623211330911602,0.0287663817029817,0.0907948548003172,0,0,0,0,0,0.0328905165652676,0.0837154574161082,0.0624579044336332,0,0.0878091820009164,0.132241922508617,0.071648602013287,0.0778656534342423,0.108144938916133,0.0727196096677669,0.0181251195855378,0.0578112044324802,0,0.0217934752492505,0.0959408485555437,0.0871681202574522,0.125767376364094,0,0,0.048983570422245,0.0139357389116517,0,0.0160124514245652,0.0174004839628198,0.0238661125559708
B cell plasma_CIBERSORT,0,0,0,0,0,0,0.00455759007857535,0,0,0.0172800915086299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00762135580723904,0,0,0
T cell CD8+_CIBERSORT,0.257823782266349,0.259060344431045,0.2011626378771,0.272215057509152,0.215569898862105,0.282664182266332,0.179727681351566,0.219631470367655,0.209606051777112,0.185817295548645,0.300630323798937,0.231983360868146,0.169566713030166,0.185817230320489,0.208916663653518,0.243344419604219,0.146074683518363,0.264643695656804,0.264804789302283,0.0668834904751633,0.0989689356267177,0.240914118612412,0.243317392088531,0.259959093853017,0.231033171159081,0.22708185690302,0.268814673948954,0.310661776707645,0.381178362112919,0.17127420136995,0.145342556305617,0.133063188783558,0.21727017821202,0.109980670020483,0.256872173212809
T cell CD4+ naive_CIBERSORT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
