N_unmapped	266307	266307	266307
N_multimapping	2837891	2837891	2837891
N_noFeature	2420937	9830949	9851293
N_ambiguous	118912	41917	42322
Vom2r3	0	0	0
Rab39a	4	1	3
Fdxacb1	115	63	52
Mrpl52	1325	668	657
Rrlt	5	3	2
Ensa	1592	758	834
Tpm1	11632	5868	5764
Efhd2	4707	2359	2348
Aaas	229	118	111
Nsun4	0	0	0
Ubl4a	741	341	400
Otub1	2125	1098	1027
Slc25a41	0	0	0
Bach1	104	54	50
Ccr1l1	2	1	1
Xcr1	3	1	2
Csf3	4906	2455	2451
Shh	0	0	0
Eloa	1106	560	546
Cox4i1	3904	1998	1906
Arg1	1150	573	577
Thbs4	310	162	148
Rcn2	3025	1525	1500
Neu2	26	9	17
Inhba	187	83	104
Fdx1	737	362	375
Cd63	32906	16272	16634
Cyp2b12	0	0	0
Vdr	109	64	45
Tnp2	0	0	0
Tnp1	0	0	0
Tbxa2r	25	15	10
Cd37	90	46	48
Areg	2602	1308	1294
Casp12	158	80	78
Anxa7	2102	1063	1039
Slco1a2	10	3	7
Acsl6	0	0	0
Lonp1	674	335	339
Naa35	269	141	128
Atp2b3	4	1	3
Mir3580	0	0	0
Mir3579	0	0	0
Mir3578	0	0	0
Mir3581	0	0	0
Asb1	87	46	41
Fgfr2	1062	515	547
Brsk1	14	8	6
Preb	532	270	281
Zfp7	0	0	0
Cldn15	24	11	13
Fgd3	16	9	7
Pbx4	3	1	2
Nol8	0	0	0
B4galt5	1049	538	511
Scp2d1	0	0	0
Polr3f	40	24	16
Smc2	90	53	37
Ephx3	74	43	31
Cbfa2t3	224	116	108
Plec	1529	742	787
Nipsnap3a	0	0	0
Strn4	1317	680	637
Hmg20a	126	56	70
Smim22	583	264	319
Samd3	0	0	0
Shcbp1l	3	3	0
Ube2s	2843	1541	1302
Prpf31	65	35	30
Lrrtm3	13	7	6
Mrpl51	202	98	104
Fam24a	0	0	0
Fam185a	109	63	58
Msmo1	2237	1091	1146
Vom2r32	0	0	0
Tcta	886	460	426
Dgka	541	289	252
LOC361985	1268	663	605
Cdk5rap1	159	87	72
Nr1d1	1808	1158	1123
Prl3a1	0	0	0
Rwdd1	920	440	480
Pzp	3	2	1
Zfp709	23	11	12
Tnfsf10	772	389	383
Slc25a25	2331	1133	1198
Brs3	0	0	0
Timm13	1942	944	998
Gja8	0	0	0
Dhrs4	589	271	318
Homez	17	7	10
Olfm3	0	0	0
St18	0	0	0
Pnma2	15	9	6
Anapc2	1845	878	967
Cd300le	21	10	11
Rnpep	1583	780	803
Rps10	1177	575	602
Crhr1	0	0	0
Lilrb4	3	3	0
Kras	364	173	191
Olfm1	478	258	220
Slc4a4	19	7	12
Psmb7	1952	975	977
Herpud1	5017	2530	2487
Cox4i2	880	449	431
Fut9	0	0	0
Nfib	262	125	137
Bnip3	505	241	264
Mlycd	710	355	355
Trpc6	155	82	73
Chi3l1	6352	3142	3210
Bud31	891	640	647
Ddx52	119	55	64
Hdac2	1543	770	773
Kpna2	161	77	84
Abcg1	2718	1399	1319
Atp6v0e1	4160	2045	2115
Synrg	228	120	108
Prdx6	1828	926	902
Ptch1	69	31	38
Idi1	331	168	163
Slc22a7	5	2	3
Atrn	554	286	268
Cftr	0	0	0
Mir434	0	0	0
Mir92b	0	0	0
Ap4e1	3	3	0
Ntn5	4	3	1
Sh3bp1	439	232	207
Aqp4	0	0	0
Rangap1	759	382	377
Wdr4	178	90	88
Lrrc47	883	427	456
Ptchd1	0	0	0
Camsap2	190	89	101
Celf5	16	10	6
Sec1	0	0	0
Med14	108	61	47
LOC100909648	0	0	0
LOC100361083	56	31	25
LOC102552805	27	12	15
Tspan17	334	166	168
Chaf1b	58	32	26
Slc17a1	0	0	0
B3galt4	14	10	4
Mlxipl	2	0	2
Fbxo32	153	74	79
Mpnd	1490	749	741
Tnfrsf4	108	49	59
Hpca	5	5	0
Csn2	0	0	0
Tmem242	665	342	323
Vom1r105	0	0	0
Tpm3	6461	3233	3228
C2	9951	5022	4929
Tprn	248	123	125
Clec14a	1490	736	754
Fxyd2	50	29	21
Rgs10	241	121	120
Rgs1	347	170	177
Trim17	0	0	0
Chad	36	17	19
Arf6	3907	1899	2008
Arf4	12707	6325	6382
Arf2	1401	740	661
RGD1308430	1055	555	508
Hipk1	281	148	133
Armh4	87	43	44
Mapk1ip1l	75	27	48
Bola3	530	273	257
Ctsg	3	2	1
LOC679149	38	28	10
Tmem128	1199	607	592
Osgep	460	235	225
Magoh	1122	559	563
Tmem255b	41	21	23
Ephx4	0	0	0
Ewsr1	1	0	1
Pak1ip1	266	141	125
Fyco1	147	75	72
Mrps18c	624	335	289
Kat2a	561	258	303
Map7d1	4107	1957	2150
Mir155hg	59	32	27
Mcart1	3	2	1
Slc10a3	764	375	389
Atg4d	386	198	188
Atad1	525	246	279
Mterf4	128	53	75
LOC306079	19	16	3
Slc25a15	124	66	58
Fn3krp	262	136	126
Arhgap5	214	107	107
Camp	48	18	30
Fbxo5	13	8	5
Ttyh1	1	0	1
Dhx37	290	161	129
Il12rb1	0	0	0
Smtnl1	0	0	0
Stk26	49	30	19
Myh2	0	0	0
Cyp4v3	585	272	313
Zg16b	32	15	17
Myrf	8	2	6
Rab11fip1	1163	595	568
Las1l	99	47	52
Smok2a	0	0	0
Vom2r7	0	0	0
Dact2	2704	1356	1348
Srsf9	1236	636	600
Arpc5	2877	1423	1454
Npbwr1	0	0	0
Armcx3	808	362	446
Mzb1	6	3	3
Ercc3	329	185	144
Hbb-bs	0	0	0
Tnks	81	45	36
Prag1	2355	1194	1161
Kif26b	90	53	37
Arhgap30	23	15	8
RGD1559578	3	1	2
Mfhas1	326	151	175
Dcaf10	165	83	82
Trim14	44	21	23
Gpr87	24	11	13
Naa15	189	105	84
Necab3	0	0	0
Arhgap45	119	69	50
Cd3e	150	75	75
Vom2r79	0	0	0
Slirp	442	245	235
Mir3547	0	0	0
Apobec3	182	98	84
Hmcn1	389	211	178
Golga7b	0	0	0
Ybx2	18	7	11
Vom1r13	0	0	0
Olr1380	0	0	0
Olr386	0	0	0
Olr803	0	0	0
Olr804	0	0	0
Olr807	0	0	0
Trem3	6	3	3
Vom1r16	0	0	0
Mtfr1l	2811	1347	1464
Paf1	1259	627	632
Plekho1	165	84	81
Vom2r80	3	3	2
Vom2r16	0	0	0
Alkbh3	600	297	303
Zic4	0	0	0
Tbc1d2b	1376	699	677
Nostrin	68	34	34
Nmb	1	0	1
Cldn22	2	1	1
Mesp2	5	2	3
Arid1a	336	156	180
Snx5	673	334	339
Wsb2	921	479	442
Ep400	210	98	112
