N_unmapped	23749885	23749885	23749885
N_multimapping	4877613	4877613	4877613
N_noFeature	7968657	16978420	16984472
N_ambiguous	317917	133761	135997
Vom2r3	0	0	0
Rab39a	27	12	15
Fdxacb1	144	69	75
Mrpl52	1195	610	585
Rrlt	23	12	11
Ensa	2346	1126	1220
Tpm1	411	191	220
Efhd2	7411	3747	3669
Aaas	877	454	426
Nsun4	71	38	33
Ubl4a	622	304	319
Otub1	2377	1208	1169
Slc25a41	0	0	0
Bach1	155	73	82
Ccr1l1	36	16	20
Xcr1	483	238	245
Csf3	8	4	4
Shh	0	0	1
Eloa	2990	1452	1543
Cox4i1	2759	1352	1408
Arg1	57	32	25
Thbs4	0	0	0
Rcn2	972	482	490
Neu2	1	1	0
Inhba	24	11	13
Fdx1	501	246	255
Cd63	3745	1794	1952
Cyp2b12	0	0	0
Vdr	466	242	224
Tnp2	0	0	0
Tnp1	0	0	0
Tbxa2r	289	147	142
Cd37	10230	5219	5133
Areg	125	57	68
Casp12	7	7	0
Anxa7	1081	511	570
Slco1a2	0	0	0
Acsl6	0	0	0
Lonp1	1221	582	642
Naa35	681	312	369
Atp2b3	0	0	0
Mir3580	0	0	0
Mir3579	0	0	0
Mir3578	0	0	0
Mir3581	0	0	0
Asb1	135	69	66
Fgfr2	21	14	7
Brsk1	15	8	9
Preb	1333	696	690
Zfp7	0	0	0
Cldn15	1	1	0
Fgd3	2586	1273	1313
Pbx4	64	31	33
Nol8	132	58	74
B4galt5	299	152	147
Scp2d1	0	0	0
Polr3f	95	60	35
Smc2	1071	549	522
Ephx3	5	3	2
Cbfa2t3	1058	535	523
Plec	2112	1037	1076
Nipsnap3a	0	0	0
Strn4	2114	1067	1047
Hmg20a	676	332	346
Smim22	67	34	33
Samd3	26	12	14
Shcbp1l	2	0	2
Ube2s	6723	3485	3238
Prpf31	236	127	109
Lrrtm3	0	0	0
Mrpl51	211	121	90
Fam24a	0	0	0
Fam185a	623	327	339
Msmo1	1267	684	583
Vom2r32	0	0	0
Tcta	375	190	186
Dgka	12903	6423	6487
LOC361985	953	500	454
Cdk5rap1	518	247	271
Nr1d1	650	417	419
Prl3a1	0	0	0
Rwdd1	971	483	488
Pzp	0	0	0
Zfp709	102	50	52
Tnfsf10	29	17	12
Slc25a25	1357	682	676
Brs3	0	0	0
Timm13	1904	943	961
Gja8	0	0	0
Dhrs4	323	164	160
Homez	25	14	11
Olfm3	3	7	9
St18	13	7	6
Pnma2	3	1	2
Anapc2	1872	954	919
Cd300le	244	115	129
Rnpep	1521	768	753
Rps10	3939	1958	1982
Crhr1	6	4	2
Lilrb4	573	301	272
Kras	1260	615	645
Olfm1	1716	823	893
Slc4a4	89	50	43
Psmb7	2321	1107	1214
Herpud1	8104	4065	4040
Cox4i2	5	2	3
Fut9	0	0	0
Nfib	58	32	26
Bnip3	99	46	53
Mlycd	424	208	217
Trpc6	81	43	38
Chi3l1	272	137	135
Bud31	1081	912	922
Ddx52	607	291	318
Hdac2	1633	787	846
Kpna2	500	250	250
Abcg1	5091	2555	2536
Atp6v0e1	2792	1377	1415
