N_unmapped	1871563	1871563	1871563
N_multimapping	3945973	3945973	3945973
N_noFeature	7163868	14622773	14718862
N_ambiguous	158880	65244	64160
Vom2r3	0	0	0
Rab39a	8	5	3
Fdxacb1	133	62	71
Mrpl52	927	462	465
Rrlt	28	16	12
Ensa	2127	1079	1048
Tpm1	831	421	410
Efhd2	7014	3558	3456
Aaas	495	236	259
Nsun4	0	0	0
Ubl4a	551	265	286
Otub1	1882	940	942
Slc25a41	0	0	0
Bach1	269	132	137
Ccr1l1	88	47	41
Xcr1	173	84	89
Csf3	4	1	3
Shh	0	0	0
Eloa	2775	1432	1343
Cox4i1	2379	1182	1197
Arg1	527	250	277
Thbs4	0	0	0
Rcn2	849	441	408
Neu2	0	0	0
Inhba	14	4	10
Fdx1	561	246	315
Cd63	4009	1961	2048
Cyp2b12	0	0	0
Vdr	1179	602	577
Tnp2	3	2	1
Tnp1	0	0	0
Tbxa2r	106	41	65
Cd37	6966	3544	3481
Areg	282	124	158
Casp12	7	4	3
Anxa7	1285	662	623
Slco1a2	1	1	0
Acsl6	1	1	0
Lonp1	1194	597	597
Naa35	765	398	367
Atp2b3	0	0	0
Mir3580	0	0	0
Mir3579	0	0	0
Mir3578	0	0	0
Mir3581	0	0	0
Asb1	87	46	41
Fgfr2	43	22	21
Brsk1	21	8	14
Preb	1118	586	565
Zfp7	0	0	0
Cldn15	5	2	3
Fgd3	1439	746	693
Pbx4	55	29	26
Nol8	1	1	0
B4galt5	370	170	200
Scp2d1	1	1	0
Polr3f	219	111	108
Smc2	895	446	449
Ephx3	7	5	2
Cbfa2t3	418	213	205
Plec	1571	767	804
Nipsnap3a	0	0	0
Strn4	1247	622	625
Hmg20a	740	357	383
Smim22	83	42	41
Samd3	42	27	15
Shcbp1l	0	0	0
Ube2s	3864	2034	1830
Prpf31	299	145	154
Lrrtm3	0	0	0
Mrpl51	308	154	154
Fam24a	1	0	1
Fam185a	514	275	266
Msmo1	601	286	315
Vom2r32	0	0	0
Tcta	572	281	291
Dgka	10690	5452	5238
LOC361985	756	384	372
Cdk5rap1	385	207	178
Nr1d1	1255	709	745
Prl3a1	0	0	0
Rwdd1	1228	606	622
Pzp	5	3	2
Zfp709	170	92	78
Tnfsf10	113	61	52
Slc25a25	742	357	385
Brs3	0	0	0
Timm13	1783	858	926
Gja8	1	0	1
Dhrs4	209	100	109
Homez	28	16	12
Olfm3	0	0	0
St18	18	7	11
Pnma2	1	1	0
Anapc2	1737	895	842
Cd300le	774	401	373
Rnpep	1345	670	675
Rps10	2053	964	1089
Crhr1	56	35	21
Lilrb4	974	475	499
Kras	644	319	325
Olfm1	4602	2306	2296
Slc4a4	17	6	11
Psmb7	2092	970	1122
Herpud1	3312	1636	1676
Cox4i2	25	19	6
Fut9	0	0	0
