N_unmapped	20201366	20201366	20201366
N_multimapping	5574329	5574329	5574329
N_noFeature	9450062	15070160	15062786
N_ambiguous	298097	130181	134480
Vom2r3	0	0	0
Rab39a	0	0	0
Fdxacb1	112	43	69
Mrpl52	717	340	377
Rrlt	6	2	4
Ensa	1573	783	790
Tpm1	430	228	202
Efhd2	3279	1650	1629
Aaas	288	166	122
Nsun4	41	17	24
Ubl4a	471	234	237
Otub1	1490	764	726
Slc25a41	0	0	0
Bach1	129	64	65
Ccr1l1	27	20	7
Xcr1	82	45	37
Csf3	53	31	22
Shh	0	0	0
Eloa	2160	1102	1062
Cox4i1	2927	1500	1427
Arg1	71	44	27
Thbs4	0	0	0
Rcn2	440	241	199
Neu2	0	0	0
Inhba	85	44	41
Fdx1	413	184	229
Cd63	2262	1070	1192
Cyp2b12	0	0	0
Vdr	961	471	490
Tnp2	0	0	0
Tnp1	0	0	0
Tbxa2r	36	20	16
Cd37	4267	2221	2121
Areg	290	155	135
Casp12	10	7	3
Anxa7	576	286	290
Slco1a2	0	0	0
Acsl6	1	1	0
Lonp1	928	472	458
Naa35	602	275	327
Atp2b3	1	0	1
Mir3580	0	0	0
Mir3579	0	0	0
Mir3578	0	0	0
Mir3581	0	0	0
Asb1	57	27	30
Fgfr2	7	4	3
Brsk1	11	7	7
Preb	833	437	432
Zfp7	1	0	1
Cldn15	3	3	0
Fgd3	3018	1498	1520
Pbx4	167	84	83
Nol8	28	9	19
B4galt5	171	93	78
Scp2d1	0	0	0
Polr3f	43	24	19
Smc2	457	246	211
Ephx3	0	0	0
Cbfa2t3	313	174	139
Plec	1608	816	793
Nipsnap3a	0	0	0
Strn4	1071	549	522
Hmg20a	343	164	179
Smim22	75	42	35
Samd3	10	6	4
Shcbp1l	5	2	3
Ube2s	3371	1759	1613
Prpf31	51	22	29
Lrrtm3	0	0	0
Mrpl51	140	64	76
Fam24a	0	0	0
Fam185a	819	392	494
Msmo1	362	191	171
Vom2r32	0	0	0
Tcta	290	149	142
Dgka	15344	7723	7625
LOC361985	465	257	208
Cdk5rap1	147	68	79
Nr1d1	462	273	294
Prl3a1	1	0	1
Rwdd1	515	267	248
Pzp	0	0	0
Zfp709	51	27	24
Tnfsf10	16	8	8
Slc25a25	566	282	284
Brs3	0	0	0
Timm13	1665	831	835
Gja8	0	0	0
Dhrs4	169	88	81
Homez	2	2	0
Olfm3	4	8	4
St18	1	0	1
Pnma2	1	1	0
Anapc2	1629	824	805
Cd300le	213	102	111
Rnpep	1063	520	543
Rps10	3806	1895	1911
Crhr1	22	12	10
Lilrb4	737	395	343
Kras	685	325	360
Olfm1	2021	1061	960
Slc4a4	19	13	13
Psmb7	1526	771	755
Herpud1	2948	1394	1560
Cox4i2	10	4	6
Fut9	0	0	0
Nfib	27	17	10
Bnip3	82	34	48
Mlycd	372	201	171
Trpc6	6	4	2
Chi3l1	153	68	85
Bud31	590	549	514
Ddx52	274	130	144
Hdac2	880	423	457
Kpna2	132	72	60
Abcg1	2352	1144	1208
Atp6v0e1	1643	801	842
Synrg	344	190	154
Prdx6	412	217	195
Ptch1	28	8	20
Idi1	844	415	435
Slc22a7	19	8	11
Atrn	356	175	181
Cftr	0	0	0
Mir434	0	0	0
Mir92b	0	0	0
Ap4e1	42	22	20
Ntn5	1	0	2
Sh3bp1	1272	628	644
Aqp4	0	0	0
Rangap1	1435	722	713
Wdr4	307	155	152
Lrrc47	694	358	341
Ptchd1	0	0	0
Camsap2	221	103	118
Celf5	12	8	4
Sec1	0	0	0
Med14	846	460	386
LOC100909648	0	0	0
LOC100361083	0	0	0
LOC102552805	45	21	24
Tspan17	306	133	173
Chaf1b	81	39	42
Slc17a1	0	0	0
B3galt4	164	82	83
Mlxipl	11	7	4
Fbxo32	234	107	127
Mpnd	1809	904	907
Tnfrsf4	9457	4839	4621
Hpca	0	0	0
Csn2	1	0	1
Tmem242	230	121	109
Vom1r105	0	0	0
Tpm3	8702	4475	4232
C2	46	18	28
Tprn	155	75	80
Clec14a	0	0	0
Fxyd2	76	36	40
Rgs10	691	341	350
Rgs1	89456	44807	44649
Trim17	1	0	1
Chad	0	0	0
Arf6	10486	5226	5261
Arf4	4991	2526	2465
Arf2	160	79	81
RGD1308430	393	206	194
Hipk1	929	440	490
Armh4	0	0	0
Mapk1ip1l	373	203	170
Bola3	788	371	417
Ctsg	0	0	0
LOC679149	42	19	23
Tmem128	670	319	351
Osgep	429	205	224
Magoh	508	241	267
Tmem255b	0	0	2
Ephx4	0	0	0
Ewsr1	413	201	214
Pak1ip1	303	156	147
Fyco1	864	439	425
Mrps18c	386	178	208
Kat2a	1137	525	614
Map7d1	1227	608	619
Mir155hg	287	160	127
Mcart1	93	47	46
Slc10a3	173	81	92
Atg4d	1225	626	599
Atad1	463	243	220
Mterf4	105	53	52
LOC306079	77	41	36
Slc25a15	35	16	19
Fn3krp	22	10	12
Arhgap5	76	32	44
Camp	6	2	4
Fbxo5	134	69	65
Ttyh1	0	0	0
Dhx37	386	172	214
Il12rb1	687	357	330
Smtnl1	0	0	0
Stk26	421	197	224
Myh2	0	0	0
Cyp4v3	161	84	77
Zg16b	0	0	0
Myrf	23	7	16
Rab11fip1	1435	745	691
Las1l	387	192	195
Smok2a	0	0	0
Vom2r7	0	0	0
Dact2	0	0	0
Srsf9	576	267	309
Arpc5	5804	2876	2928
Npbwr1	0	0	0
Armcx3	417	198	219
Mzb1	158	85	73
Ercc3	343	170	173
Hbb-bs	0	0	0
Tnks	385	195	190
Prag1	388	190	198
Kif26b	0	0	0
Arhgap30	2534	1221	1313
RGD1559578	0	0	0
Mfhas1	234	121	113
Dcaf10	168	93	75
Trim14	699	362	337
Gpr87	0	0	0
Naa15	615	347	268
Necab3	44	29	15
Arhgap45	11392	5763	5641
Cd3e	7472	3720	3753
Vom2r79	1	0	1
Slirp	154	107	107
Mir3547	0	0	0
Apobec3	271	147	124
Hmcn1	17	11	6
Golga7b	0	0	0
Ybx2	23	14	9
Vom1r13	0	0	0
Olr1380	0	0	0
Olr386	0	0	0
Olr803	0	0	0
Olr804	0	0	0
Olr807	0	0	0
Trem3	34	19	15
Vom1r16	0	0	0
Mtfr1l	789	396	393
Paf1	1387	690	697
Plekho1	589	271	318
Vom2r80	0	0	0
Vom2r16	0	0	0
Alkbh3	1042	515	527
Zic4	0	0	0
Tbc1d2b	357	191	166
Nostrin	9	6	3
Nmb	16	4	12
Cldn22	0	0	0
Mesp2	0	0	0
Arid1a	1381	711	670
Snx5	1895	922	973
Wsb2	125	61	64
Ep400	1729	857	872
Pantr1	0	0	0
Hoxa11-as	0	0	0
Rps9l1	0	0	0
Kif22	189	105	84
Pgam5	240	119	121
Fam118b	340	156	184
LOC100125364	204	134	119
Cmtm1	0	0	0
Pspc1	755	375	380
Sp110	1905	958	947
Memo1	720	381	340
Gmcl1	440	234	206
Mir208b	0	0	0
Pop4	498	262	236
Catsperd	90	44	46
Tmem167b	231	115	116
Cmc1	110	51	59
Syce3	0	0	0
Mir194-2	1	1	0
Snrpf	686	329	357
Olr1l	0	0	0
Slc25a38	213	109	111
Mir543	0	0	0
Mir363	0	0	0
Mir487b	0	0	0
Mir20b	0	0	0
Mir375	0	0	0
Mir199a2	0	0	0
Mir188	0	0	0
Mir382	0	0	0
Mir874	0	0	0
Mir497	0	0	0
Mir503	0	0	0
Obi1	47	28	19
Vom2r17	0	0	0
Hectd2	63	29	34
Abcf3	1364	706	658
Slc1a3	1	0	1
Borcs8	149	81	68
Cyb5r2	0	0	0
Vom2r34	0	0	0
Vom2r33	0	0	0
Serpinb11	0	0	0
Mir877	0	0	0
Mir376a	0	0	0
Mir376b	0	0	0
Mir376c	0	0	0
Mir106a	0	0	0
Mir147	0	0	0
Pa2g4	361	184	177
Pnkp	614	311	306
Krt85	0	0	1
Tmod4	14	6	8
Vom2r78	0	0	0
Psmd12	825	437	388
Prelid3b	758	390	368
Nlrp4a	0	1	0
Vom2r28	0	0	0
Ythdf2	773	394	380
MGC93861	0	0	0
Arl2bp	778	351	427
Ubfd1	318	164	154
Tbc1d14	397	188	209
Selenok-ps2	5	2	3
Mir328b	0	0	0
Gprc5a	2072	1039	1033
Tincr	92	53	39
Mir30c1	0	0	0
Mir30e	0	0	0
Phactr1	16	7	9
Atp5mc3	3016	1406	1610
Olr4	0	0	0
Olr5	0	0	0
Olr6	0	0	0
Olr7	0	0	0
Olr8	0	0	0
Theg	0	1	0
Ocrl	116	60	56
Snx19	279	149	130
Ccnt2	599	300	299
Tfcp2l1	0	0	0
Vom2r71	0	0	0
Smpdl3b	50	24	26
Foxj2	838	445	393
Zswim5	54	26	28
Lime1	2070	1014	1056
Stk11	552	371	359
Zfyve9	2	1	1
Arid3a	132	64	68
Zfp524	121	55	66
Ccdc60	0	0	0
Gnas	7583	3789	3794
Shfl	186	131	121
Mir410	0	0	0
Mir301b	0	0	0
Mir378	0	0	0
Mir381	0	0	0
Mir539	0	0	0
Mir224	0	0	0
Trim16	2	0	2
Ebi3	248	122	126
Actg1	8379	4243	4148
Antkmt	998	468	531
Espnl	14	8	6
Txnrd3	47	20	27
Nrg4	13	5	8
Nop2	508	260	248
Rpl3l	17	7	10
Tfap2e	0	0	0
Ttc14	721	386	335
Rasal2	59	29	30
Dkk1	0	0	0
Parp9	933	480	453
C1qtnf3	0	0	0
Radx	0	0	0
Phykpl	6	19	7
Spink5	0	0	0
Bet1l	241	135	108
Ppt2	899	448	451
LOC680627	13	7	6
Tmem33	592	280	312
Bcl2l2	96	46	50
Nat8f1	0	0	0
Vom2r29	0	0	0
Vom2r30	0	0	0
Nr2f6	129	70	59
Fbxl6	505	263	242
Pla2g4c	14	9	5
Magi1	13	10	3
Nkx6-3	0	0	0
Rapgef3	42	21	21
F2	2	1	1
Rab5a	333	159	174
Flot1	830	406	425
Exoc7	43	25	18
Srd5a2	0	0	0
Galnt7	160	74	86
Pmpcb	1108	559	549
Faf1	1271	655	616
Mrps25	418	194	224
Ceacam9	1	0	1
Upp2	0	0	0
Ambn	2	0	2
Fbln5	16	12	4
Capn1	1150	551	599
Slc3a2	2810	1408	1402
Grem1	0	0	0
Gjd2	0	0	0
Gja5	1	1	0
Clvs2	0	0	0
Sbsn	24	27	23
Pnma8b	0	0	0
Pnma8a	0	0	0
Cbx2	99	52	47
Ssr2	924	498	426
Mau2	3544	1737	1807
Prcp	380	177	203
Fndc3a	598	315	283
Ceacam11	0	0	0
Igfbp7	6	20	16
Psg19	0	0	0
Ghitm	2967	1428	1539
Tgfbrap1	320	170	150
Kctd6	121	56	65
Sart3	550	278	272
Perp	73	41	32
Zfp503	55	27	29
Phtf2	1228	628	600
Ttc30a1	5	1	4
Depdc7	50	28	22
Zhx3	108	65	43
Scamp1	286	134	152
Nop16	412	210	203
Tbr1	2	1	1
Panx1	363	191	172
Olr1082	0	0	0
Ugt1a8	0	0	0
Taar8a	0	0	0
Ric8b	102	49	53
Ppm1n	39	18	21
Fos	42234	21544	20822
Mcl1	5890	2902	2996
Sv2c	0	0	0
Cirbp	2389	1189	1201
Cib1	2288	1123	1165
Pak2	957	448	510
Enkur	9	3	6
Psme4	1042	510	532
C1qtnf6	397	206	191
RGD1564324	0	0	0
Sncaip	0	0	0
Zfp608	110	40	70
Mex3c	167	78	89
Shbg	0	0	0
Sst	0	0	0
Cmip	1182	593	589
Klrk1	257	121	136
Mt1	650	345	306
Rabggtb	1047	547	500
Cyp2c22	0	0	0
Spon2	28	8	20
Nme7	111	66	51
LOC257642	2627	1758	1515
Zfp597	29	11	18
Mtarc2	710	361	349
Zfp112	2	1	1
Zic3	0	0	0
Tescl	0	0	0
Stap1	520	255	265
Plxdc1	5	1	4
Taf5	528	290	267
Septin8	35	15	20
Olr437	0	0	0
Cpa4	0	0	0
Umps	722	340	382
Aven	240	121	119
Hoxb13	0	0	0
Eefsec	295	153	144
Sez6l2	0	0	0
Phldb3	257	114	143
Ceacam20	0	0	0
Mapk9	440	224	216
Kmt5a	576	266	310
Itgb3	708	338	370
Macroh2a2	11	7	8
Uqcrb	1086	554	532
Uckl1	1229	593	636
Nadk	896	454	444
LOC498675	10	6	4
Agr2	2	1	1
Fam222b	241	124	118
Ddx58	322	154	169
Prps1l1	0	0	0
Prr19	0	0	0
RGD1560108	58	31	35
Prss53	4	2	2
Ccdc196	0	0	0
Tmem269	2	1	1
RGD1560146	0	0	0
Lrrc69	0	0	0
RGD1560289	2	0	2
Fndc11	0	0	0
Impad1	1	1	0
Ccdc187	0	0	0
Agtrap	278	133	145
Tmem53	56	23	33
Maml1	592	296	296
Cyfip2	2237	1136	1101
Ccsap	153	63	90
Serpinb13	0	0	0
Cd209	0	0	0
Rnf20	549	286	263
