N_unmapped	2415046	2415046	2415046
N_multimapping	7969765	7969765	7969765
N_noFeature	9274151	15725085	15821959
N_ambiguous	295175	124121	134927
Vom2r3	0	0	0
Rab39a	12	5	7
Fdxacb1	70	35	35
Mrpl52	2370	1235	1135
Rrlt	10	5	5
Ensa	2073	1048	1025
Tpm1	1688	868	820
Efhd2	3441	1736	1705
Aaas	381	194	187
Nsun4	0	0	0
Ubl4a	1301	645	656
Otub1	1925	949	976
Slc25a41	2	2	0
Bach1	270	143	127
Ccr1l1	28	14	14
Xcr1	46	28	18
Csf3	29	13	16
Shh	0	0	0
Eloa	1371	708	663
Cox4i1	6642	3312	3330
Arg1	1264	684	580
Thbs4	2	2	0
Rcn2	643	308	335
Neu2	0	0	0
Inhba	27	11	16
Fdx1	982	477	505
Cd63	7345	3622	3723
Cyp2b12	0	0	0
Vdr	234	113	121
Tnp2	3	1	2
Tnp1	0	0	0
Tbxa2r	49	22	27
Cd37	4235	2247	2054
Areg	213	98	115
Casp12	4	2	2
Anxa7	771	381	390
Slco1a2	0	0	0
Acsl6	0	0	0
Lonp1	416	216	200
Naa35	554	288	266
Atp2b3	0	0	0
Mir3580	0	0	0
Mir3579	0	0	0
Mir3578	0	0	0
Mir3581	0	0	0
Asb1	116	55	61
Fgfr2	41	22	19
Brsk1	2	1	1
Preb	756	406	378
Zfp7	0	0	0
Cldn15	0	0	0
Fgd3	528	295	233
Pbx4	131	77	54
Nol8	0	0	0
B4galt5	361	178	183
Scp2d1	0	0	0
Polr3f	72	35	37
Smc2	1048	519	529
Ephx3	0	0	0
Cbfa2t3	164	91	73
Plec	1394	714	680
Nipsnap3a	0	0	0
Strn4	833	413	420
Hmg20a	251	117	135
Smim22	269	129	140
Samd3	30	20	10
Shcbp1l	0	0	0
Ube2s	4010	2162	1848
Prpf31	129	68	61
Lrrtm3	0	0	0
Mrpl51	327	167	160
Fam24a	1	1	0
Fam185a	283	154	149
Msmo1	484	231	253
Vom2r32	0	0	0
Tcta	501	251	250
Dgka	5137	2582	2555
LOC361985	615	303	312
Cdk5rap1	108	54	54
Nr1d1	146	113	107
Prl3a1	0	0	0
Rwdd1	1727	848	879
Pzp	0	0	0
Zfp709	2	2	0
Tnfsf10	60	31	29
Slc25a25	341	157	184
Brs3	0	0	0
Timm13	5684	2765	2919
