N_unmapped	1187256	1187256	1187256
N_multimapping	4538622	4538622	4538622
N_noFeature	11075845	16898890	16953747
N_ambiguous	232217	103926	104605
Vom2r3	0	0	0
Rab39a	54	27	27
Fdxacb1	106	59	47
Mrpl52	1145	598	547
Rrlt	19	13	6
Ensa	1061	547	514
Tpm1	238	118	120
Efhd2	6438	3212	3226
Aaas	301	145	156
Nsun4	0	0	0
Ubl4a	551	280	271
Otub1	1379	690	689
Slc25a41	10	4	6
Bach1	37	20	17
Ccr1l1	6	5	1
Xcr1	146	61	85
Csf3	2	0	2
Shh	2	2	0
Eloa	1034	528	506
Cox4i1	4257	2127	2130
Arg1	21	13	8
Thbs4	8	3	5
Rcn2	945	460	485
Neu2	10	8	2
Inhba	2	1	1
Fdx1	470	225	245
Cd63	12226	5958	6268
Cyp2b12	0	0	0
Vdr	44	19	25
Tnp2	0	0	0
Tnp1	0	0	0
Tbxa2r	12	3	9
Cd37	4360	2238	2173
Areg	42	21	21
Casp12	24	11	13
Anxa7	1684	845	839
Slco1a2	4	3	1
Acsl6	10	5	5
Lonp1	337	183	154
Naa35	284	138	146
Atp2b3	23	12	11
Mir3580	0	0	0
Mir3579	0	0	0
Mir3578	0	0	0
Mir3581	0	0	0
Asb1	51	20	31
Fgfr2	19	7	12
Brsk1	23	12	12
Preb	551	282	295
Zfp7	0	0	0
Cldn15	7	5	2
Fgd3	211	104	107
Pbx4	8	4	4
Nol8	0	0	0
B4galt5	486	239	247
Scp2d1	0	0	0
Polr3f	85	49	36
Smc2	698	342	356
Ephx3	41	19	22
Cbfa2t3	368	176	192
Plec	1616	814	802
Nipsnap3a	6	4	2
Strn4	367	184	183
Hmg20a	227	115	112
Smim22	25	11	14
Samd3	18	6	12
Shcbp1l	15	6	9
Ube2s	3786	1989	1797
Prpf31	187	101	86
Lrrtm3	6	5	1
Mrpl51	244	125	119
Fam24a	9	6	3
Fam185a	94	53	47
Msmo1	597	301	296
Vom2r32	6	0	6
Tcta	385	187	198
Dgka	193	94	99
LOC361985	765	369	396
Cdk5rap1	196	115	81
Nr1d1	686	458	452
Prl3a1	0	0	0
Rwdd1	1109	525	584
Pzp	27	14	13
Zfp709	64	40	24
Tnfsf10	29	14	15
Slc25a25	306	144	162
Brs3	0	0	0
Timm13	2505	1244	1261
Gja8	22	11	11
Dhrs4	288	146	142
Homez	15	8	7
Olfm3	0	0	0
St18	27	13	14
Pnma2	56	29	27
Anapc2	733	366	367
Cd300le	8987	4730	4257
Rnpep	1012	523	489
Rps10	2265	1067	1198
Crhr1	6	1	5
Lilrb4	2525	1333	1192
Kras	1074	577	497
Olfm1	490	258	232
Slc4a4	10	4	6
Psmb7	1773	866	907
Herpud1	3446	1744	1702
Cox4i2	5	1	4
Fut9	0	0	0
Nfib	71	39	32
Bnip3	121	73	48
Mlycd	240	115	125
Trpc6	27	13	14
Chi3l1	383	186	197
Bud31	867	676	679
Ddx52	187	105	82
Hdac2	1078	561	517
Kpna2	441	242	199
Abcg1	844	445	399
Atp6v0e1	4209	1973	2236
Synrg	186	91	95
Prdx6	881	472	409
Ptch1	45	20	25
Idi1	1115	553	564
Slc22a7	0	0	0
Atrn	247	120	127
Cftr	12	6	6
Mir434	0	0	0
Mir92b	4	2	2
Ap4e1	54	28	26
Ntn5	0	0	0
Sh3bp1	816	410	406
Aqp4	23	11	12
Rangap1	622	321	301
Wdr4	218	107	111
Lrrc47	398	213	185
Ptchd1	0	0	0
Camsap2	180	98	82
Celf5	32	18	14
Sec1	0	0	0
Med14	158	75	83
LOC100909648	0	0	0
LOC100361083	13	5	8
LOC102552805	24	12	12
Tspan17	180	92	88
Chaf1b	223	115	108
Slc17a1	3	1	2
B3galt4	113	67	46
Mlxipl	15	8	7
Fbxo32	68	30	38
Mpnd	2029	1037	992
Tnfrsf4	66	36	30
Hpca	1	1	0
Csn2	82	43	39
Tmem242	339	173	166
Vom1r105	0	0	0
Tpm3	10080	5118	4962
C2	2177	1062	1115
Tprn	125	63	62
Clec14a	40	17	23
Fxyd2	6521	3629	2892
Rgs10	2972	1537	1435
Rgs1	15014	7480	7534
Trim17	3	2	1
Chad	8	5	3
Arf6	4527	2165	2362
Arf4	5094	2564	2530
Arf2	290	151	139
RGD1308430	958	469	492
Hipk1	372	191	181
Armh4	12	9	3
Mapk1ip1l	156	90	66
Bola3	441	233	208
Ctsg	0	0	0
LOC679149	370	206	164
Tmem128	817	403	414
Osgep	458	227	231
Magoh	915	440	475
Tmem255b	0	0	0
Ephx4	5	3	2
Ewsr1	2	2	0
Pak1ip1	432	220	212
Fyco1	121	56	65
Mrps18c	603	278	326
Kat2a	304	149	155
Map7d1	1062	527	535
Mir155hg	15	8	7
Mcart1	6	5	1
Slc10a3	270	120	150
Atg4d	518	258	260
Atad1	342	161	181
Mterf4	160	78	82
LOC306079	5	3	2
Slc25a15	97	57	40
Fn3krp	87	50	37
Arhgap5	133	66	67
Camp	11	3	8
Fbxo5	162	88	74
Ttyh1	5	3	2
Dhx37	114	55	59
Il12rb1	10	5	5
Smtnl1	5	3	2
Stk26	44	16	28
Myh2	24	12	12
Cyp4v3	778	395	383
Zg16b	12	6	6
Myrf	32	14	18
Rab11fip1	631	312	319
Las1l	244	123	121
Smok2a	1	0	1
Vom2r7	2	1	1
Dact2	1	0	1
Srsf9	825	406	419
Arpc5	6885	3440	3445
Npbwr1	3	3	0
Armcx3	228	132	96
Mzb1	9	4	5
Ercc3	473	240	233
Hbb-bs	0	0	0
Tnks	122	64	58
Prag1	172	88	84
Kif26b	14	6	8
Arhgap30	795	395	400
RGD1559578	3	1	2
Mfhas1	107	58	49
Dcaf10	94	43	51
Trim14	254	138	116
Gpr87	14	6	8
Naa15	545	272	273
Necab3	2	0	2
Arhgap45	1739	838	901
Cd3e	296	147	149
Vom2r79	2	2	0
Slirp	486	281	277
Mir3547	0	0	0
Apobec3	73	33	40
Hmcn1	149	86	63
Golga7b	1	0	1
Ybx2	1	0	1
Vom1r13	0	0	0
Olr1380	0	0	0
Olr386	0	0	0
Olr803	10	5	5
Olr804	0	0	0
Olr807	1	0	1
Trem3	69	31	38
Vom1r16	0	0	0
Mtfr1l	918	447	471
Paf1	1273	629	644
Plekho1	2422	1253	1169
Vom2r80	0	0	0
Vom2r16	8	4	4
Alkbh3	875	442	433
Zic4	13	6	7
Tbc1d2b	446	218	228
Nostrin	146	69	77
Nmb	4	3	1
Cldn22	0	0	0
Mesp2	2	2	0
Arid1a	824	418	406
Snx5	2601	1289	1312
Wsb2	212	115	97
Ep400	397	183	214
Pantr1	1	1	0
Hoxa11-as	0	0	0
Rps9l1	0	0	0
Kif22	405	204	201
Pgam5	356	176	180
Fam118b	275	135	140
LOC100125364	220	173	157
Cmtm1	3	2	1
Pspc1	282	130	152
Sp110	1017	504	513
Memo1	795	397	398
Gmcl1	290	142	148
Mir208b	0	0	0
Pop4	482	254	228
Catsperd	23	11	12
Tmem167b	43	22	21
Cmc1	159	88	71
Syce3	0	0	0
Mir194-2	0	0	0
Snrpf	826	401	425
Olr1l	0	0	0
Slc25a38	339	177	162
Mir543	0	0	0
Mir363	0	0	0
Mir487b	0	0	0
Mir20b	0	0	0
Mir375	0	0	0
Mir199a2	0	0	0
Mir188	0	0	0
Mir382	0	0	0
Mir874	0	0	0
Mir497	0	0	0
Mir503	0	0	0
Obi1	44	26	18
Vom2r17	2	1	1
Hectd2	41	20	21
Abcf3	497	234	263
Slc1a3	34	15	19
Borcs8	415	215	200
Cyb5r2	1	0	1
Vom2r34	0	0	0
Vom2r33	4	3	1
Serpinb11	3	0	3
Mir877	0	0	0
Mir376a	0	0	1
Mir376b	1	0	1
Mir376c	0	0	0
Mir106a	0	0	0
Mir147	0	0	0
Pa2g4	636	321	315
Pnkp	413	212	201
Krt85	2	1	1
Tmod4	13	5	8
Vom2r78	0	0	0
Psmd12	963	498	465
Prelid3b	992	519	473
Nlrp4a	35	16	19
Vom2r28	4	1	3
Ythdf2	891	461	430
MGC93861	23	13	10
Arl2bp	1465	763	702
Ubfd1	503	266	237
Tbc1d14	418	195	223
Selenok-ps2	0	0	0
Mir328b	0	0	0
Gprc5a	2609	1270	1339
Tincr	17	6	11
Mir30c1	0	0	0
Mir30e	0	0	0
Phactr1	46	20	26
Atp5mc3	6730	3270	3460
Olr4	0	0	0
Olr5	6	1	5
Olr6	0	0	0
Olr7	0	0	0
Olr8	0	0	0
Theg	5	4	1
Ocrl	94	46	48
Snx19	181	89	92
Ccnt2	299	152	147
Tfcp2l1	11	3	8
Vom2r71	0	0	0
Smpdl3b	177	88	89
Foxj2	326	170	156
Zswim5	29	12	17
Lime1	94	51	43
Stk11	113	76	40
Zfyve9	82	43	39
Arid3a	93	41	52
Zfp524	209	95	114
Ccdc60	8	5	3
Gnas	9213	4608	4605
Shfl	75	49	57
Mir410	0	0	0
Mir301b	0	0	0
Mir378	0	0	0
Mir381	0	0	0
Mir539	0	0	0
Mir224	0	0	0
Trim16	26	10	16
Ebi3	296	156	140
Actg1	5890	2966	2924
Antkmt	650	310	340
Espnl	4	1	3
Txnrd3	101	57	44
Nrg4	11	4	7
Nop2	284	122	162
Rpl3l	22	8	14
Tfap2e	9	5	4
Ttc14	281	142	139
Rasal2	122	61	61
Dkk1	0	0	0
Parp9	367	184	183
C1qtnf3	62	28	34
Radx	38	20	18
Phykpl	0	0	0
Spink5	0	0	0
Bet1l	371	200	171
Ppt2	1198	635	563
LOC680627	17	10	7
Tmem33	555	273	282
Bcl2l2	23	10	13
Nat8f1	0	0	0
Vom2r29	2	0	2
Vom2r30	24	13	11
Nr2f6	332	161	171
Fbxl6	689	331	358
Pla2g4c	3	2	1
Magi1	23	12	11
Nkx6-3	14	5	9
Rapgef3	25	10	15
F2	36	23	13
Rab5a	304	147	157
Flot1	731	358	373
Exoc7	0	0	0
Srd5a2	7	7	0
Galnt7	88	50	38
Pmpcb	886	446	440
Faf1	599	304	295
Mrps25	494	254	240
Ceacam9	31	20	11
Upp2	0	0	0
Ambn	2	2	0
Fbln5	219	106	113
Capn1	659	349	310
Slc3a2	4550	2267	2283
Grem1	0	0	0
Gjd2	0	0	0
Gja5	14	7	7
Clvs2	6	2	4
Sbsn	19	7	12
Pnma8b	0	0	0
Pnma8a	8	4	4
Cbx2	10	3	7
Ssr2	2921	1443	1478
Mau2	534	276	258
Prcp	859	402	457
Fndc3a	248	121	127
Ceacam11	1	1	0
Igfbp7	235	138	138
Psg19	8	6	2
Ghitm	2288	1111	1177
Tgfbrap1	185	86	99
Kctd6	281	160	121
Sart3	173	89	84
Perp	11	7	4
Zfp503	166	89	77
Phtf2	65	36	29
Ttc30a1	18	9	9
Depdc7	151	76	75
Zhx3	12	4	8
Scamp1	1132	599	533
Nop16	1331	660	673
Tbr1	1	1	0
Panx1	152	87	65
Olr1082	0	0	0
Ugt1a8	0	0	0
Taar8a	0	0	0
Ric8b	56	23	33
Ppm1n	103	49	54
Fos	82206	41389	40817
Mcl1	4496	2197	2299
Sv2c	18	6	12
Cirbp	1587	805	782
Cib1	2208	1110	1098
Pak2	291	147	144
Enkur	93	53	40
Psme4	719	358	361
C1qtnf6	207	100	107
RGD1564324	3	3	0
Sncaip	17	4	13
Zfp608	244	113	131
Mex3c	356	192	164
Shbg	20	13	7
Sst	1	1	0
Cmip	770	391	379
Klrk1	366	206	160
Mt1	1144	644	500
Rabggtb	502	273	229
Cyp2c22	3	0	3
Spon2	415	217	198
Nme7	122	111	106
LOC257642	340	121	219
Zfp597	34	22	12
Mtarc2	1098	521	577
Zfp112	3	0	3
Zic3	0	0	0
Tescl	0	0	0
Stap1	289	166	123
Plxdc1	101	53	48
Taf5	232	131	126
Septin8	312	152	160
Olr437	2	2	0
Cpa4	11	5	6
Umps	1639	850	789
Aven	236	100	136
Hoxb13	4	2	2
Eefsec	276	132	144
Sez6l2	8	3	5
Phldb3	98	60	38
Ceacam20	1	0	1
Mapk9	574	298	276
Kmt5a	272	141	131
Itgb3	43	28	15
Macroh2a2	18	15	5
Uqcrb	1802	842	960
Uckl1	397	199	198
Nadk	1154	587	567
LOC498675	5	3	2
Agr2	5	2	3
Fam222b	163	82	81
Ddx58	103	49	54
Prps1l1	4	4	0
Prr19	3	1	2
RGD1560108	65	42	34
Prss53	5	0	5
Ccdc196	15	8	7
Tmem269	10	6	4
RGD1560146	2	0	2
Lrrc69	3	2	1
RGD1560289	2	1	1
Fndc11	1	0	1
Impad1	4	1	3
Ccdc187	12	10	2
Agtrap	706	389	317
Tmem53	47	18	29
Maml1	174	93	81
Cyfip2	156	93	63
Ccsap	74	40	34
Serpinb13	3	0	3
Cd209	68	41	27
Rnf20	312	156	156
Zc3h6	126	63	63
Mrps11	447	243	204
Triap1	0	0	0
Svs5	0	0	0
Mmp10	4	3	1
Adcyap1r1	26	8	18
Trak2	302	165	137
Pla1a	34	13	21
Slc2a1	1108	541	567
Cep19	506	239	267
Tecr	2358	1219	1139
Nme1	1525	770	755
Gfral	11	8	3
Cidec	5	2	3
Adgrl2	37	21	16
Alad	310	170	140
G6pc	36	18	18
P2rx1	318	176	142
Ccnd2	2030	1001	1029
A4galt	6	2	4
Chrm5	10	5	5
Gstm3l	0	0	0
Eef2k	992	505	487
Pla2g10	1	0	1
Cpa1	0	0	0
Chm	80	37	43
Ptn	69	33	36
Gria2	64	32	32
Lox	82	49	41
Hpn	4	3	1
Slc4a2	201	109	92
Pkn1	1659	818	841
Fcgbpl1	18	6	12
Dcun1d5	898	432	466
Pipox	3	1	2
Tefm	52	30	22
Prdx4	1335	668	667
Zp1	28	15	13
Dgat1	615	302	313
Slc34a2	9	3	6
Slco1c1	12	7	5
Dffb	52	29	23
Sh3kbp1	1210	602	608
Kpnb1	184	89	95
Nhlrc2	243	126	117
Zfp266	96	48	48
LOC688765	24	9	15
Alms1	146	61	85
Vom2r64	0	0	0
Slc35g2	1	0	1
Selenot	2189	1106	1083
Dnajc22	264	119	145
Usp3	628	294	334
Zmym1	165	97	68
Rnf152	0	0	0
Mrps9	374	188	186
Cyp4f40	1	1	0
Atg4c	107	47	60
Pck2	147	67	80
Krit1	363	184	179
Ube2e2	199	85	114
Pdk2	230	107	123
Rida	268	127	141
Mmp24	155	82	73
Git1	394	203	191
Capn6	16	9	7
Sfmbt1	189	84	105
Deaf1	372	190	188
Spag4	0	0	0
Cd69	802	395	407
Grp	3	2	1
Ctsq	0	0	0
Plekha5	382	205	177
Nradd	17	10	7
Plbd2	1948	970	978
Atp5f1d	5690	2883	2807
Plpp2	54	21	33
Mcfd2	615	311	304
Kcnc2	19	8	11
Prlhr	3	3	0
Sptssb	2	0	2
Ino80d	161	79	82
Pard3b	98	51	47
Spock1	2	1	1
Ovol3	0	0	0
Aarsd1	810	407	403
Ctsf	2198	1079	1119
Sema3f	23	10	13
Wdr35	11	3	8
Serpinb5	8	5	3
Acsl3	159	85	74
Ddit4l2	0	0	0
Atp5me	1920	979	942
Apbb1	37	20	17
Defb22	2	0	2
Crtac1	3	2	1
Mrps35	650	324	326
Erp27	8	5	3
Dusp16	9	8	1
Mis18a	96	43	53
Samd7	9	3	6
Carmil1	98	53	45
Mir582	0	0	0
Lrrc42	436	209	227
Grap2	103	52	51
