N_unmapped	1525596	1525596	1525596
N_multimapping	3586524	3586524	3586524
N_noFeature	5559741	11642537	11717351
N_ambiguous	136815	56821	56811
Vom2r3	0	0	0
Rab39a	0	0	0
Fdxacb1	225	110	115
Mrpl52	518	269	249
Rrlt	3	2	1
Ensa	1328	655	673
Tpm1	561	267	294
Efhd2	2756	1379	1377
Aaas	333	152	181
Nsun4	0	0	0
Ubl4a	333	181	152
Otub1	1395	708	687
Slc25a41	0	0	0
Bach1	93	51	42
Ccr1l1	72	38	34
Xcr1	105	54	51
Csf3	222	110	112
Shh	0	0	0
Eloa	1639	872	767
Cox4i1	2881	1442	1439
Arg1	67	28	39
Thbs4	0	0	0
Rcn2	2086	1021	1065
Neu2	0	0	0
Inhba	16	4	12
Fdx1	895	456	439
Cd63	4445	2157	2288
Cyp2b12	0	0	0
Vdr	663	351	312
Tnp2	1	0	1
Tnp1	0	0	0
Tbxa2r	85	42	43
Cd37	4139	2095	2079
Areg	345	179	166
Casp12	13	8	5
Anxa7	653	301	352
Slco1a2	0	0	0
Acsl6	0	0	0
Lonp1	742	378	365
Naa35	311	163	148
Atp2b3	0	0	0
Mir3580	0	0	0
Mir3579	0	0	0
Mir3578	0	0	0
Mir3581	0	0	0
Asb1	37	21	16
Fgfr2	36	21	15
Brsk1	4	2	2
Preb	670	359	333
Zfp7	0	0	0
Cldn15	0	0	0
Fgd3	1150	581	569
Pbx4	56	33	23
Nol8	0	0	0
B4galt5	126	61	65
Scp2d1	0	0	0
Polr3f	77	34	43
Smc2	391	179	212
Ephx3	0	0	0
Cbfa2t3	72	36	36
Plec	785	396	389
Nipsnap3a	0	0	0
Strn4	623	307	316
Hmg20a	356	189	167
Smim22	82	40	42
Samd3	83	38	45
Shcbp1l	6	4	2
Ube2s	10142	5251	4891
Prpf31	158	74	84
Lrrtm3	0	0	0
Mrpl51	106	59	47
Fam24a	0	0	0
Fam185a	644	336	337
Msmo1	585	294	291
Vom2r32	0	0	0
Tcta	381	199	182
Dgka	10835	5473	5362
LOC361985	829	394	435
Cdk5rap1	98	49	49
Nr1d1	306	184	192
Prl3a1	0	0	0
Rwdd1	506	251	255
Pzp	0	0	0
Zfp709	2	1	1
Tnfsf10	42	25	17
Slc25a25	571	279	292
Brs3	0	0	0
Timm13	1043	507	536
Gja8	0	0	0
Dhrs4	110	46	64
Homez	14	9	5
Olfm3	0	0	0
St18	0	0	0
Pnma2	14	8	6
Anapc2	1521	737	784
Cd300le	120	59	61
Rnpep	850	440	410
Rps10	1817	864	953
Crhr1	5	2	3
Lilrb4	433	233	200
Kras	1199	601	598
Olfm1	815	426	389
Slc4a4	1	0	1
Psmb7	1237	591	646
Herpud1	4896	2381	2515
Cox4i2	10	5	5
Fut9	0	0	0
Nfib	78	47	31
Bnip3	56	33	23
Mlycd	196	106	90
Trpc6	0	0	0
Chi3l1	1177	606	571
Bud31	1453	1109	1035
Ddx52	280	145	135
Hdac2	1039	543	496
Kpna2	138	71	67
Abcg1	3503	1687	1816
Atp6v0e1	2095	1047	1048
Synrg	326	147	179
Prdx6	922	463	459
Ptch1	39	19	20
Idi1	1628	767	862
Slc22a7	0	0	0
Atrn	157	76	81
Cftr	0	0	0
Mir434	0	0	0
Mir92b	0	0	0
Ap4e1	22	12	10
Ntn5	0	0	0
Sh3bp1	594	287	307
Aqp4	0	0	0
Rangap1	1149	557	592
Wdr4	310	155	155
Lrrc47	1397	704	693
Ptchd1	2	0	2
Camsap2	145	80	65
Celf5	8	4	4
Sec1	0	0	0
Med14	634	304	330
LOC100909648	0	0	0
LOC100361083	0	0	0
LOC102552805	35	21	14
Tspan17	143	76	67
Chaf1b	55	32	23
Slc17a1	0	0	0
