N_unmapped	18141283	18141283	18141283
N_multimapping	3194108	3194108	3194108
N_noFeature	4168616	9277793	9263722
N_ambiguous	233245	101839	104386
Vom2r3	0	0	0
Rab39a	13	4	9
Fdxacb1	85	44	41
Mrpl52	686	364	322
Rrlt	14	8	6
Ensa	1330	625	705
Tpm1	267	153	114
Efhd2	6234	3085	3153
Aaas	459	240	220
Nsun4	27	12	15
Ubl4a	521	249	272
Otub1	1631	825	806
Slc25a41	0	0	0
Bach1	186	87	99
Ccr1l1	10	7	3
Xcr1	84	43	41
Csf3	4	3	1
Shh	1	1	0
Eloa	1613	778	836
Cox4i1	2282	1123	1159
Arg1	23	9	14
Thbs4	0	0	0
Rcn2	489	229	260
Neu2	0	0	0
Inhba	8	4	4
Fdx1	237	125	112
Cd63	2371	1178	1196
Cyp2b12	0	0	0
Vdr	431	206	225
Tnp2	2	0	2
Tnp1	0	0	0
Tbxa2r	30	13	17
Cd37	4921	2552	2422
Areg	62	35	27
Casp12	2	2	0
Anxa7	821	405	416
Slco1a2	0	0	0
Acsl6	0	0	0
Lonp1	573	297	276
Naa35	345	184	161
Atp2b3	0	0	0
Mir3580	0	0	0
Mir3579	0	0	0
Mir3578	0	0	0
Mir3581	0	0	0
Asb1	42	20	22
Fgfr2	0	0	0
Brsk1	20	8	13
Preb	808	443	402
Zfp7	3	3	0
Cldn15	0	0	0
Fgd3	1040	521	519
Pbx4	66	45	21
Nol8	51	20	31
B4galt5	300	154	146
Scp2d1	0	0	0
Polr3f	105	52	53
Smc2	620	306	314
Ephx3	3	1	2
Cbfa2t3	506	245	261
Plec	1433	728	707
Nipsnap3a	0	0	0
Strn4	1053	565	488
Hmg20a	299	163	136
Smim22	20	9	11
Samd3	8	5	3
Shcbp1l	0	0	0
Ube2s	2746	1379	1367
Prpf31	151	72	79
Lrrtm3	3	0	3
Mrpl51	140	66	74
Fam24a	0	0	0
Fam185a	362	179	209
Msmo1	595	303	292
Vom2r32	0	0	0
Tcta	278	157	122
Dgka	6132	3019	3113
LOC361985	391	181	210
Cdk5rap1	129	62	67
Nr1d1	862	544	510
Prl3a1	0	0	0
Rwdd1	900	479	421
Pzp	0	0	0
Zfp709	34	18	16
Tnfsf10	9	2	7
Slc25a25	791	399	392
Brs3	0	0	0
Timm13	1846	955	893
Gja8	0	0	0
Dhrs4	179	86	93
Homez	35	22	13
Olfm3	1	1	5
St18	0	0	0
Pnma2	11	7	4
Anapc2	1019	533	487
Cd300le	649	309	340
Rnpep	883	435	448
Rps10	2717	1396	1321
Crhr1	2	1	1
Lilrb4	485	247	238
Kras	396	190	206
Olfm1	2549	1260	1289
Slc4a4	1	1	2
Psmb7	1751	834	917
Herpud1	3483	1730	1770
Cox4i2	10	2	8
Fut9	0	0	0
Nfib	6	2	4
Bnip3	73	40	33
Mlycd	273	144	130
Trpc6	0	0	0
Chi3l1	214	103	111
Bud31	510	428	483
Ddx52	224	110	114
Hdac2	550	263	287
Kpna2	253	128	126
Abcg1	1576	786	790
Atp6v0e1	2271	1177	1094
Synrg	386	200	188
Prdx6	657	348	309
Ptch1	14	8	6
Idi1	688	330	360
Slc22a7	0	0	0
Atrn	220	98	122
Cftr	0	0	0
Mir434	0	0	0
Mir92b	0	0	0
Ap4e1	54	28	26
Ntn5	1	0	3
Sh3bp1	2117	1072	1045
Aqp4	0	0	0
Rangap1	1482	744	738
Wdr4	213	109	104
Lrrc47	753	384	378
Ptchd1	0	0	0
Camsap2	234	104	130
Celf5	6	4	2
Sec1	1	1	0
Med14	257	133	124
LOC100909648	0	0	0
LOC100361083	8	5	3
LOC102552805	22	10	12
Tspan17	248	117	131
Chaf1b	162	78	84
Slc17a1	0	0	0
B3galt4	101	51	51
Mlxipl	7	1	6
Fbxo32	140	71	69
Mpnd	1943	970	973
Tnfrsf4	5633	2862	2773
Hpca	0	0	0
Csn2	0	0	0
Tmem242	242	133	109
Vom1r105	0	0	0
Tpm3	9101	4590	4515
C2	145	75	72
Tprn	214	111	103
Clec14a	0	0	0
Fxyd2	917	460	457
Rgs10	713	369	344
Rgs1	51132	25515	25618
Trim17	0	0	0
Chad	0	0	0
Arf6	7341	3764	3579
Arf4	2899	1453	1446
Arf2	182	100	82
RGD1308430	442	219	226
Hipk1	752	382	370
Armh4	0	0	0
Mapk1ip1l	264	140	124
Bola3	488	244	244
Ctsg	0	0	0
LOC679149	47	15	32
Tmem128	622	319	303
Osgep	515	270	246
Magoh	551	270	281
Tmem255b	0	0	0
Ephx4	0	0	0
Ewsr1	319	150	170
Pak1ip1	405	200	205
Fyco1	542	263	279
Mrps18c	389	181	208
Kat2a	785	400	386
Map7d1	1372	694	679
Mir155hg	123	60	63
Mcart1	100	44	56
Slc10a3	167	80	87
Atg4d	597	281	316
Atad1	431	217	214
Mterf4	101	50	51
LOC306079	91	43	48
Slc25a15	79	41	38
Fn3krp	113	61	52
Arhgap5	36	19	17
Camp	2	0	2
Fbxo5	182	95	87
Ttyh1	1	0	1
Dhx37	166	81	85
Il12rb1	552	281	271
Smtnl1	0	0	0
Stk26	286	145	141
Myh2	0	0	0
Cyp4v3	366	170	196
Zg16b	0	0	0
Myrf	0	0	0
Rab11fip1	1126	564	562
Las1l	247	128	119
Smok2a	0	0	0
Vom2r7	0	0	0
Dact2	9	5	4
Srsf9	652	329	323
Arpc5	8413	4066	4347
Npbwr1	1	0	1
Armcx3	161	84	77
Mzb1	3	2	1
Ercc3	415	206	209
Hbb-bs	0	0	0
Tnks	150	73	77
Prag1	198	99	99
Kif26b	2	1	1
Arhgap30	2818	1409	1409
RGD1559578	0	0	0
Mfhas1	310	154	156
Dcaf10	137	84	53
Trim14	926	438	488
Gpr87	3	1	2
Naa15	519	262	257
Necab3	11	7	4
Arhgap45	9407	4607	4807
Cd3e	7926	4049	3879
Vom2r79	0	0	0
Slirp	221	142	154
Mir3547	0	0	0
Apobec3	213	106	107
Hmcn1	0	0	0
Golga7b	3	2	1
Ybx2	38	19	19
Vom1r13	0	0	0
Olr1380	0	0	0
Olr386	0	0	0
Olr803	0	0	0
Olr804	0	0	0
Olr807	0	0	0
Trem3	8	4	4
Vom1r16	0	0	0
Mtfr1l	731	358	373
Paf1	1297	673	624
Plekho1	1531	786	749
Vom2r80	0	0	0
Vom2r16	0	0	0
Alkbh3	827	385	442
Zic4	0	0	0
Tbc1d2b	575	283	292
Nostrin	75	31	44
Nmb	2	0	2
Cldn22	0	0	0
Mesp2	4	1	3
Arid1a	1066	505	561
Snx5	1565	762	804
Wsb2	153	68	85
Ep400	800	404	396
Pantr1	0	0	0
Hoxa11-as	0	0	0
Rps9l1	0	0	0
Kif22	501	249	252
Pgam5	359	179	180
Fam118b	411	197	214
LOC100125364	152	98	99
Cmtm1	0	0	0
Pspc1	365	202	163
Sp110	1507	774	733
Memo1	667	336	331
Gmcl1	355	163	192
Mir208b	0	0	0
Pop4	343	161	182
Catsperd	10	6	4
Tmem167b	176	92	84
Cmc1	146	68	78
Syce3	0	0	0
Mir194-2	0	0	0
Snrpf	620	275	347
Olr1l	0	0	0
Slc25a38	486	236	251
Mir543	0	0	0
Mir363	0	0	0
Mir487b	0	0	0
Mir20b	0	0	0
Mir375	0	0	0
Mir199a2	0	0	0
Mir188	0	0	0
Mir382	0	0	0
Mir874	0	0	0
Mir497	0	0	0
Mir503	0	0	0
Obi1	48	24	24
Vom2r17	0	0	0
Hectd2	84	44	40
Abcf3	864	425	440
Slc1a3	0	0	0
Borcs8	164	88	77
Cyb5r2	0	0	0
Vom2r34	0	0	0
Vom2r33	0	0	0
Serpinb11	0	0	0
Mir877	0	0	0
Mir376a	0	0	0
Mir376b	0	0	0
Mir376c	0	0	0
Mir106a	0	0	0
Mir147	0	0	0
Pa2g4	465	228	238
Pnkp	685	369	318
Krt85	0	0	0
Tmod4	14	2	12
Vom2r78	0	0	0
Psmd12	801	384	417
Prelid3b	829	447	382
Nlrp4a	0	0	0
Vom2r28	0	0	0
Ythdf2	867	427	440
MGC93861	0	0	0
Arl2bp	669	332	339
Ubfd1	424	210	214
Tbc1d14	214	120	94
Selenok-ps2	6	3	3
Mir328b	0	0	0
Gprc5a	1930	979	951
Tincr	54	33	21
Mir30c1	0	0	0
Mir30e	0	0	0
Phactr1	9	3	6
Atp5mc3	3276	1555	1721
Olr4	0	0	0
Olr5	0	0	0
Olr6	0	0	0
Olr7	0	0	0
Olr8	0	0	0
Theg	0	0	0
Ocrl	85	48	37
Snx19	269	129	140
Ccnt2	554	266	288
Tfcp2l1	0	0	0
Vom2r71	0	0	0
Smpdl3b	111	59	52
Foxj2	640	305	335
Zswim5	34	16	18
Lime1	1939	951	989
Stk11	151	66	90
Zfyve9	18	8	10
Arid3a	54	30	24
Zfp524	190	93	97
Ccdc60	0	0	0
Gnas	9078	4496	4582
Shfl	161	111	122
Mir410	0	0	0
Mir301b	0	0	0
Mir378	0	0	0
Mir381	0	0	0
Mir539	0	0	0
Mir224	0	0	0
Trim16	9	6	3
Ebi3	88	44	45
Actg1	13183	6391	6798
Antkmt	640	292	348
Espnl	9	5	4
Txnrd3	35	17	18
Nrg4	9	8	2
Nop2	681	347	334
Rpl3l	2	1	1
Tfap2e	23	9	14
Ttc14	386	194	192
Rasal2	126	53	73
Dkk1	0	0	0
Parp9	571	288	283
C1qtnf3	1	0	1
Radx	7	1	6
Phykpl	0	16	14
Spink5	0	0	0
Bet1l	239	126	113
Ppt2	929	452	478
LOC680627	4	2	2
Tmem33	421	205	216
Bcl2l2	85	43	42
Nat8f1	0	0	0
Vom2r29	0	0	0
Vom2r30	0	0	0
Nr2f6	293	150	144
Fbxl6	787	410	377
Pla2g4c	13	8	5
Magi1	10	4	6
Nkx6-3	16	6	11
Rapgef3	36	20	16
F2	0	0	0
Rab5a	312	168	144
Flot1	1024	479	545
Exoc7	89	31	58
Srd5a2	0	0	0
Galnt7	70	33	38
Pmpcb	1067	562	506
Faf1	1105	535	570
Mrps25	449	216	233
Ceacam9	0	0	0
Upp2	0	0	0
Ambn	0	0	0
Fbln5	0	0	0
Capn1	1213	620	593
Slc3a2	2317	1181	1137
Grem1	0	0	0
Gjd2	0	0	0
Gja5	0	0	0
Clvs2	0	0	0
Sbsn	8	5	11
Pnma8b	0	0	0
Pnma8a	0	0	0
Cbx2	47	27	20
Ssr2	1356	677	679
Mau2	1651	866	796
Prcp	669	335	334
Fndc3a	278	161	117
Ceacam11	0	0	0
Igfbp7	3	5	3
Psg19	0	0	0
Ghitm	2394	1202	1192
Tgfbrap1	197	91	106
Kctd6	133	64	69
Sart3	391	209	182
Perp	12	5	7
Zfp503	34	21	13
Phtf2	298	144	154
Ttc30a1	4	2	2
Depdc7	45	24	21
Zhx3	114	65	49
Scamp1	580	295	285
Nop16	596	305	300
Tbr1	0	0	0
Panx1	128	57	72
Olr1082	0	0	0
Ugt1a8	0	0	0
Taar8a	0	0	0
Ric8b	100	53	47
Ppm1n	34	18	16
Fos	46600	23685	23088
Mcl1	5519	2714	2807
Sv2c	0	0	0
Cirbp	1153	558	596
Cib1	1951	960	991
Pak2	721	385	336
Enkur	9	6	3
Psme4	644	329	315
C1qtnf6	343	172	171
RGD1564324	0	0	0
Sncaip	0	0	0
Zfp608	74	40	34
Mex3c	227	105	122
Shbg	4	1	4
Sst	2	1	1
Cmip	1081	547	534
Klrk1	447	232	215
Mt1	505	247	258
Rabggtb	833	388	445
Cyp2c22	0	0	0
Spon2	1	0	1
Nme7	116	68	65
LOC257642	415	220	219
Zfp597	68	35	33
Mtarc2	654	307	347
Zfp112	1	0	1
Zic3	1	1	0
Tescl	0	0	0
Stap1	498	248	250
Plxdc1	42	23	19
Taf5	183	101	112
Septin8	99	47	52
Olr437	0	0	0
Cpa4	0	0	0
Umps	817	406	411
Aven	282	140	142
Hoxb13	0	0	0
Eefsec	310	158	152
Sez6l2	0	0	0
Phldb3	256	139	117
Ceacam20	0	0	0
Mapk9	521	265	256
Kmt5a	711	380	331
Itgb3	415	192	223
Macroh2a2	5	1	4
Uqcrb	1137	545	592
Uckl1	815	393	422
Nadk	1286	635	653
LOC498675	5	3	2
Agr2	0	0	0
Fam222b	175	74	101
Ddx58	196	105	93
Prps1l1	0	0	0
Prr19	0	0	0
RGD1560108	60	31	30
Prss53	12	2	10
Ccdc196	0	0	0
Tmem269	0	0	0
RGD1560146	0	0	0
Lrrc69	0	0	0
RGD1560289	1	1	0
Fndc11	0	0	0
Impad1	4	1	3
Ccdc187	0	0	0
Agtrap	490	252	238
Tmem53	36	11	25
Maml1	177	96	81
Cyfip2	1262	615	647
Ccsap	76	35	41
Serpinb13	0	0	0
Cd209	0	0	0
Rnf20	311	145	166
Zc3h6	65	32	34
Mrps11	367	178	189
Triap1	73	34	41
Svs5	0	0	0
Mmp10	0	0	0
Adcyap1r1	0	0	0
Trak2	494	256	238
Pla1a	16	9	7
Slc2a1	1929	943	986
Cep19	276	130	146
Tecr	2799	1424	1375
Nme1	1117	539	578
Gfral	0	0	0
Cidec	4	15	19
Adgrl2	6	2	4
Alad	239	134	105
G6pc	0	1	0
P2rx1	349	177	172
Ccnd2	4163	2049	2114
A4galt	0	1	0
Chrm5	1	1	0
Gstm3l	0	0	0
Eef2k	785	378	407
Pla2g10	0	0	0
Cpa1	0	0	0
Chm	134	64	70
Ptn	158	83	75
Gria2	0	0	0
Lox	4	1	4
Hpn	0	0	0
Slc4a2	289	146	143
Pkn1	3900	1915	1988
Fcgbpl1	1	2	0
Dcun1d5	814	392	422
Pipox	0	0	0
Tefm	41	18	23
Prdx4	407	202	206
Zp1	3	1	2
Dgat1	435	241	194
Slc34a2	0	0	0
Slco1c1	0	0	0
Dffb	152	85	67
Sh3kbp1	2967	1490	1477
Kpnb1	288	144	144
Nhlrc2	391	203	188
Zfp266	163	85	78
LOC688765	4	2	2
Alms1	180	95	85
Vom2r64	0	0	0
Slc35g2	0	0	0
Selenot	2047	1049	998
Dnajc22	43	28	15
Usp3	587	306	281
Zmym1	172	84	88
Rnf152	4	1	3
Mrps9	338	159	179
Cyp4f40	0	0	0
Atg4c	72	37	35
Pck2	98	53	46
Krit1	456	236	220
Ube2e2	152	65	87
Pdk2	254	120	135
Rida	207	106	101
Mmp24	77	33	44
Git1	1326	660	668
Capn6	0	0	0
Sfmbt1	160	90	71
Deaf1	770	390	408
Spag4	1	1	0
Cd69	15685	7819	7866
Grp	0	0	0
Ctsq	0	0	0
Plekha5	240	123	117
Nradd	20	10	10
Plbd2	796	403	393
Atp5f1d	4400	2186	2214
Plpp2	439	252	188
Mcfd2	316	144	172
Kcnc2	0	0	0
Prlhr	2	0	2
Sptssb	0	0	0
Ino80d	255	143	112
Pard3b	64	34	30
Spock1	0	0	0
Ovol3	0	0	0
Aarsd1	760	354	406
Ctsf	758	395	363
Sema3f	10	8	3
Wdr35	23	13	10
Serpinb5	9	6	3
Acsl3	115	55	60
Ddit4l2	0	0	0
Atp5me	1423	713	710
Apbb1	121	58	67
Defb22	0	0	0
Crtac1	0	0	0
Mrps35	389	200	189
Erp27	4	1	3
Dusp16	71	37	34
Mis18a	86	39	47
Samd7	0	0	0
Carmil1	107	44	63
Mir582	0	0	0
Lrrc42	447	215	232
Grap2	651	342	309
Trpt1	13	895	944
Uba2	148	78	70
Sdhb	1980	995	985
Fcgr2a	120	59	61
Nlgn1	0	0	0
Pitx2	0	0	0
Stfa3	0	0	0
Nkapd1	286	152	134
Prmt6	9	4	5
Ube2g2	773	404	369
Heyl	9	2	7
Nt5c1a	0	0	0
Ptpn6	4410	2203	2208
Inpp4b	1098	536	562
Pex12	0	0	0
Apbb3	387	194	195
Exoc4	428	200	228
Scgb1b30	0	0	0
Mrm1	135	60	75
Barhl2	0	0	0
Slit1	0	0	0
Ido1	2	1	1
Mst1	4	4	0
Axin2	127	68	59
Mug1	0	0	0
Prx	2	1	1
Frk	5	2	3
Ubap1	498	262	236
Dazap2	5663	2853	2815
Far1	386	198	188
Mapk7	4	2	2
Ankib1	476	243	233
Ptprz1	0	0	0
Dcun1d2	4	4	1
Samhd1	1058	513	545
Tdrd6	0	0	0
Cul9	103	60	43
Elmod1	0	0	0
RGD1311084	29	14	15
Rgl1	3	3	0
Pald1	3	3	0
Polr2h	0	0	0
Vpreb2	0	0	0
Gjc2	0	0	0
E2f1	196	103	93
Bbx	395	194	201
Traf2	1221	592	629
LOC499136	6	2	4
Hoxa4	1	0	1
Rab30	146	79	67
Polr2e	2172	1095	1077
Zfp3	312	143	169
Vom2r38	0	0	0
Allc	0	0	0
Cenpu	70	32	38
Wdsub1	77	43	34
Ranbp6	41	20	21
Gldc	0	0	0
Slc36a3	21	10	11
Trappc1	475	231	244
Rpe	397	197	201
Vsig8	0	1	1
Mpv17l2	849	423	437
Trh	19	6	13
Pcp4	73	36	37
Acadvl	957	453	506
Nr1h4	0	0	0
Btc	0	0	0
Pygl	1396	696	705
Serpinb2	0	0	0
Arhgef1	8953	4476	4477
Asl	793	419	374
Fzd1	1	0	1
Acp1	219	119	100
Cltrn	0	0	0
Cd14	1113	530	586
Nr5a2	0	0	0
Ptma	12867	6363	6506
Camk2b	105	56	49
Cabs1	0	0	0
Pag1	80	41	39
Slc22a4	138	71	67
Fgf14	0	0	0
Dnase2b	0	0	0
Kcnk13	93	42	51
Fgf7	0	0	0
Htr1f	0	0	0
Gulo	0	0	0
S100a14	2	0	2
Cdkl3	0	0	0
Ltb4r	623	328	295
Tgm2	353	181	172
Jak3	2592	1300	1292
Rps3a	4862	2409	2453
Rps17	3190	1537	1653
Slc18a2	15	9	6
Myh6	4	3	1
Pts	110	54	56
Rps15	4908	2470	2440
Rpl22	1108	549	559
Itga1	19	5	14
Zfp111	17	10	7
Slc13a2	0	0	0
Limk1	186	87	99
P2ry4	3	3	0
Syt4	3	0	3
Hmga2	0	0	0
Eif2b2	1040	496	544
Gda	1998	986	1016
Twist1	0	0	0
Mir337	0	0	0
Mir350	0	0	0
Bst2	624	338	286
Psat1	245	108	137
Arl6ip1	3488	1661	1827
Pgap1	67	24	43
Nt5m	7	4	4
Ces2h	0	0	0
Eid3	93	44	49
Arhgap22	265	139	126
Nr1i3	41	25	16
Pdzd2	2	1	1
Gja6	0	0	0
Itih4	7	7	0
Eif2ak2	178	91	87
Pip5k1a	212	103	109
Peli1	1268	630	638
Lbx1	1	0	1
Rprm	0	0	0
Acer1	0	0	0
P3h3	131	69	62
Add3	1555	784	771
Hadh	317	143	174
Plcd4	17	17	12
Folh1	0	0	0
Vtn	1	1	0
Cnga2	0	0	0
Zfp612	12	4	8
Spaca4	0	0	0
Chfr	722	367	355
Knl1	56	34	22
Nrg1	7	6	1
Casr	0	0	0
Rpl26	2114	1082	1036
Pdlim4	38	25	13
Trappc2b	3	2	1
Ttpa	0	0	0
Trhr	0	0	0
Hoxa1	0	0	0
Lamb2	18	7	12
Arntl2	0	0	0
Ackr2	0	0	0
Plscr1	1675	864	811
Ccl22	3136	1592	1551
Ptpn23	128	72	56
Nlrp6	0	0	0
Rnf39	7	12	20
Gp2	46	25	21
Cx3cl1	15	9	6
Fcer2	26	10	16
Arfrp1	363	195	169
Gper1	26	12	14
Angptl2	0	0	0
Oxr1	516	242	274
Mt3	4	2	2
Slc25a20	546	260	286
Erp29	1719	863	856
Rps23	6557	3128	3431
Zbp1	1008	521	487
Rbm12	30	17	13
Gpr35	414	214	200
