N_unmapped	15653656	15653656	15653656
N_multimapping	3821464	3821464	3821464
N_noFeature	5101317	8556566	8548571
N_ambiguous	251626	111788	116651
Vom2r3	0	0	0
Rab39a	1	0	1
Fdxacb1	65	35	30
Mrpl52	887	445	442
Rrlt	14	6	8
Ensa	920	461	459
Tpm1	1072	518	554
Efhd2	3837	1964	1875
Aaas	213	105	108
Nsun4	26	17	9
Ubl4a	442	221	221
Otub1	1288	640	649
Slc25a41	0	0	0
Bach1	104	48	56
Ccr1l1	12	7	5
Xcr1	12	8	4
Csf3	0	0	0
Shh	0	0	0
Eloa	929	468	465
Cox4i1	1971	1019	952
Arg1	160	77	83
Thbs4	8	2	6
Rcn2	288	147	141
Neu2	0	0	0
Inhba	3	1	2
Fdx1	330	153	177
Cd63	2420	1128	1292
Cyp2b12	0	0	0
Vdr	192	104	88
Tnp2	0	0	0
Tnp1	0	0	0
Tbxa2r	20	13	7
Cd37	3380	1703	1711
Areg	241	121	120
Casp12	10	5	5
Anxa7	629	323	306
Slco1a2	0	0	0
Acsl6	1	0	1
Lonp1	467	227	240
Naa35	261	134	127
Atp2b3	1	1	0
Mir3580	0	0	0
Mir3579	0	0	0
Mir3578	0	0	0
Mir3581	0	0	0
Asb1	84	42	42
Fgfr2	52	18	34
Brsk1	6	2	4
Preb	611	317	322
Zfp7	0	0	0
Cldn15	0	0	0
Fgd3	413	196	217
Pbx4	27	13	14
Nol8	67	29	38
B4galt5	244	135	109
Scp2d1	0	0	0
Polr3f	91	37	54
Smc2	374	178	197
Ephx3	0	0	0
Cbfa2t3	193	105	88
Plec	1119	559	562
Nipsnap3a	0	0	0
Strn4	986	508	478
Hmg20a	231	119	112
Smim22	123	61	62
Samd3	18	2	16
Shcbp1l	0	0	0
Ube2s	1903	932	973
Prpf31	104	50	54
Lrrtm3	0	0	0
Mrpl51	146	71	75
Fam24a	0	0	0
Fam185a	108	63	53
Msmo1	133	77	56
Vom2r32	0	0	0
Tcta	312	153	159
Dgka	3694	1849	1846
LOC361985	320	149	172
Cdk5rap1	132	69	63
Nr1d1	160	119	96
Prl3a1	0	0	0
Rwdd1	683	356	327
Pzp	1	1	0
Zfp709	44	21	24
Tnfsf10	18	9	9
Slc25a25	165	78	87
Brs3	0	0	0
Timm13	1767	857	911
Gja8	1	0	1
Dhrs4	196	93	103
Homez	14	8	6
Olfm3	1	0	2
St18	2	1	1
Pnma2	0	0	0
Anapc2	808	382	426
Cd300le	982	484	498
Rnpep	850	422	428
Rps10	2452	1234	1218
Crhr1	7	5	2
Lilrb4	1000	498	502
Kras	398	191	207
Olfm1	1333	615	718
Slc4a4	4	4	2
Psmb7	1248	637	611
Herpud1	841	412	429
Cox4i2	23	11	12
Fut9	0	0	0
Nfib	39	15	24
Bnip3	268	128	140
Mlycd	295	154	141
Trpc6	1	0	1
Chi3l1	237	124	113
Bud31	478	434	431
Ddx52	136	71	65
Hdac2	505	249	256
Kpna2	231	121	110
Abcg1	434	213	221
Atp6v0e1	2003	984	1019
Synrg	290	158	133
Prdx6	374	195	179
Ptch1	22	11	11
Idi1	248	126	123
Slc22a7	2	1	1
Atrn	173	86	87
Cftr	0	0	0
Mir434	0	0	0
Mir92b	0	0	0
Ap4e1	42	19	23
Ntn5	0	0	1
Sh3bp1	1031	524	507
Aqp4	0	0	0
Rangap1	895	438	457
Wdr4	177	98	79
Lrrc47	495	238	258
Ptchd1	1	1	0
Camsap2	177	86	91
Celf5	6	2	5
Sec1	0	0	0
Med14	205	96	109
LOC100909648	0	0	0
LOC100361083	18	8	10
LOC102552805	28	13	15
Tspan17	148	57	91
Chaf1b	69	39	30
Slc17a1	0	0	0
B3galt4	70	44	28
Mlxipl	33	10	23
Fbxo32	74	45	29
Mpnd	1396	690	706
Tnfrsf4	4674	2387	2289
Hpca	0	0	0
Csn2	20	6	14
Tmem242	235	118	117
Vom1r105	0	0	0
Tpm3	5288	2687	2607
C2	271	135	138
Tprn	88	44	44
Clec14a	0	0	0
Fxyd2	2006	1049	958
Rgs10	684	341	344
Rgs1	7966	3926	4040
Trim17	0	0	0
Chad	8	3	5
Arf6	3180	1575	1605
Arf4	1818	876	942
Arf2	149	63	86
RGD1308430	461	220	248
Hipk1	399	201	199
Armh4	3	2	1
Mapk1ip1l	328	185	143
Bola3	411	204	207
Ctsg	0	0	0
LOC679149	29	15	14
Tmem128	540	275	265
Osgep	352	164	188
Magoh	471	235	236
Tmem255b	3	2	1
Ephx4	0	0	0
Ewsr1	193	76	118
Pak1ip1	205	111	94
Fyco1	409	215	194
Mrps18c	431	217	214
Kat2a	444	217	228
Map7d1	1247	639	609
Mir155hg	40	20	20
Mcart1	75	36	39
Slc10a3	156	76	80
Atg4d	559	279	280
Atad1	272	131	141
Mterf4	81	41	40
LOC306079	50	21	29
Slc25a15	59	30	29
Fn3krp	11	6	5
Arhgap5	54	24	30
Camp	26	10	18
Fbxo5	71	36	35
Ttyh1	5	2	3
Dhx37	231	111	120
Il12rb1	261	133	128
Smtnl1	0	0	0
