N_unmapped	16342168	16342168	16342168
N_multimapping	5074931	5074931	5074931
N_noFeature	8082222	17940165	17952534
N_ambiguous	318926	129515	134218
Vom2r3	0	0	0
Rab39a	17	8	9
Fdxacb1	230	110	120
Mrpl52	1102	539	563
Rrlt	42	25	17
Ensa	2764	1324	1440
Tpm1	485	242	243
Efhd2	10857	5401	5461
Aaas	859	414	445
Nsun4	42	22	20
Ubl4a	910	450	460
Otub1	2583	1318	1265
Slc25a41	0	0	0
Bach1	266	121	145
Ccr1l1	162	78	84
Xcr1	75	39	36
Csf3	3	0	3
Shh	0	0	0
Eloa	3100	1550	1557
Cox4i1	3413	1703	1711
Arg1	356	184	172
Thbs4	0	0	0
Rcn2	1128	537	591
Neu2	1	0	1
Inhba	19	11	8
Fdx1	607	297	310
Cd63	3761	1832	1930
Cyp2b12	0	0	0
Vdr	1231	616	615
Tnp2	9	5	4
Tnp1	2	2	0
Tbxa2r	144	73	71
Cd37	9524	4866	4786
Areg	94	55	39
Casp12	3	1	2
Anxa7	1529	752	777
Slco1a2	0	0	0
Acsl6	4	3	1
Lonp1	1590	802	792
Naa35	1011	488	523
Atp2b3	0	0	1
Mir3580	0	0	0
Mir3579	0	0	0
Mir3578	0	0	0
Mir3581	0	0	0
Asb1	134	62	72
Fgfr2	41	19	22
Brsk1	32	23	17
Preb	1520	787	788
Zfp7	3	2	1
Cldn15	2	1	1
Fgd3	2435	1235	1201
Pbx4	90	53	37
Nol8	68	36	32
B4galt5	471	223	248
Scp2d1	0	0	0
Polr3f	150	65	85
Smc2	1034	497	537
Ephx3	6	4	2
Cbfa2t3	389	196	193
Plec	3673	1887	1788
Nipsnap3a	0	0	0
Strn4	2386	1156	1231
Hmg20a	572	309	264
Smim22	51	24	27
Samd3	34	17	17
Shcbp1l	0	0	0
Ube2s	7780	4032	3753
Prpf31	306	141	165
Lrrtm3	0	0	0
Mrpl51	290	148	142
Fam24a	0	0	0
Fam185a	641	363	366
Msmo1	957	472	485
Vom2r32	0	0	0
Tcta	561	290	272
Dgka	17935	8989	8950
LOC361985	827	412	415
Cdk5rap1	293	153	140
Nr1d1	774	458	479
Prl3a1	0	0	0
Rwdd1	1103	551	552
Pzp	5	2	3
Zfp709	104	58	46
Tnfsf10	77	44	33
Slc25a25	1300	643	657
Brs3	0	0	0
Timm13	2556	1247	1313
Gja8	0	0	0
Dhrs4	286	141	145
Homez	21	6	15
Olfm3	3	5	13
St18	6	3	3
Pnma2	5	3	2
Anapc2	2538	1224	1321
Cd300le	896	441	455
Rnpep	1505	732	773
Rps10	3831	1899	1932
Crhr1	153	81	72
Lilrb4	1044	518	526
Kras	833	407	427
Olfm1	6461	3210	3251
Slc4a4	5	4	5
Psmb7	2448	1178	1270
Herpud1	4226	2093	2141
Cox4i2	21	15	6
Fut9	0	0	0
Nfib	7	3	4
Bnip3	478	237	241
Mlycd	917	488	429
Trpc6	41	22	19
Chi3l1	244	122	122
Bud31	901	792	755
Ddx52	420	201	219
Hdac2	1491	712	779
Kpna2	725	360	365
Abcg1	6120	3087	3033
Atp6v0e1	4119	2043	2077
Synrg	1192	614	584
Prdx6	1014	489	525
Ptch1	38	21	17
Idi1	1094	517	582
Slc22a7	0	0	0
Atrn	592	301	292
Cftr	0	0	0
Mir434	0	0	0
Mir92b	0	0	0
Ap4e1	116	60	56
Ntn5	1	0	3
Sh3bp1	3295	1649	1647
Aqp4	0	0	0
Rangap1	3933	1925	2009
Wdr4	571	291	280
Lrrc47	1786	863	928
Ptchd1	0	0	0
Camsap2	386	186	200
Celf5	41	22	19
Sec1	0	0	0
Med14	654	339	315
LOC100909648	0	0	0
LOC100361083	17	9	8
LOC102552805	40	15	25
Tspan17	855	375	480
Chaf1b	323	149	174
Slc17a1	0	0	0
B3galt4	348	176	176
Mlxipl	31	19	12
Fbxo32	246	133	113
Mpnd	3462	1704	1764
Tnfrsf4	18005	9368	8644
Hpca	0	0	0
Csn2	0	0	0
Tmem242	456	207	249
Vom1r105	0	0	0
Tpm3	20858	10526	10347
C2	576	277	300
Tprn	419	208	213
Clec14a	5	1	4
Fxyd2	460	216	244
Rgs10	873	457	416
Rgs1	56793	28477	28317
Trim17	0	0	0
Chad	17	6	12
Arf6	17114	8606	8510
Arf4	6735	3336	3400
Arf2	772	349	423
RGD1308430	1015	498	532
Hipk1	1771	856	915
Armh4	0	0	0
Mapk1ip1l	397	224	173
Bola3	648	326	324
Ctsg	0	0	0
LOC679149	40	21	19
Tmem128	1137	548	589
Osgep	759	381	379
Magoh	877	448	429
Tmem255b	7	5	2
Ephx4	0	0	0
Ewsr1	748	357	392
Pak1ip1	587	291	296
Fyco1	1396	686	712
Mrps18c	519	258	261
Kat2a	1860	923	946
Map7d1	3077	1567	1512
Mir155hg	135	74	61
Mcart1	254	119	135
Slc10a3	700	318	382
Atg4d	1803	904	899
Atad1	925	420	505
Mterf4	213	100	113
LOC306079	110	60	50
Slc25a15	182	78	104
Fn3krp	213	107	106
Arhgap5	64	34	30
Camp	2	0	2
Fbxo5	349	178	171
Ttyh1	1	1	0
Dhx37	839	421	418
Il12rb1	794	415	379
Smtnl1	0	0	0
Stk26	773	374	399
Myh2	1	1	0
Cyp4v3	744	384	361
Zg16b	0	0	0
Myrf	35	19	19
Rab11fip1	2656	1323	1333
Las1l	459	239	220
Smok2a	0	0	0
Vom2r7	0	0	0
Dact2	12	2	10
Srsf9	1377	669	709
Arpc5	15842	7856	7987
Npbwr1	1	0	1
Armcx3	437	202	235
Mzb1	79	29	50
Ercc3	994	482	512
Hbb-bs	0	0	0
Tnks	290	137	153
Prag1	531	258	273
Kif26b	3	2	3
Arhgap30	6467	3201	3269
RGD1559578	0	0	0
Mfhas1	1175	565	610
Dcaf10	325	148	177
Trim14	1829	925	904
Gpr87	5	3	2
Naa15	991	501	490
Necab3	12	6	6
Arhgap45	22679	11388	11299
Cd3e	19303	9719	9604
Vom2r79	0	0	0
Slirp	250	184	181
Mir3547	0	0	0
Apobec3	517	268	250
Hmcn1	5	3	2
Golga7b	12	8	4
Ybx2	31	16	15
Vom1r13	0	0	0
Olr1380	0	0	0
Olr386	0	0	0
Olr803	0	0	0
Olr804	0	0	0
Olr807	0	0	0
Trem3	54	31	23
Vom1r16	0	0	0
Mtfr1l	1964	980	984
Paf1	2306	1153	1153
Plekho1	980	486	500
Vom2r80	1	0	2
Vom2r16	0	0	0
Alkbh3	1739	888	851
Zic4	0	0	0
Tbc1d2b	920	443	477
Nostrin	32	14	18
Nmb	17	7	10
Cldn22	0	0	0
Mesp2	10	4	6
Arid1a	2888	1430	1458
Snx5	2990	1553	1441
Wsb2	458	243	215
Ep400	1728	855	873
Pantr1	0	0	0
Hoxa11-as	0	0	0
Rps9l1	0	0	0
Kif22	898	439	459
Pgam5	881	442	439
Fam118b	856	416	440
LOC100125364	312	224	191
Cmtm1	0	0	0
Pspc1	736	380	356
Sp110	2385	1234	1151
Memo1	1314	658	657
Gmcl1	980	480	501
Mir208b	0	0	0
Pop4	716	362	354
Catsperd	59	29	30
Tmem167b	264	132	132
Cmc1	224	111	113
Syce3	0	0	0
Mir194-2	0	0	0
Snrpf	929	422	508
Olr1l	0	0	0
Slc25a38	764	380	389
Mir543	0	0	0
Mir363	0	0	0
Mir487b	0	0	0
Mir20b	0	0	0
Mir375	0	0	0
Mir199a2	0	0	0
Mir188	0	0	0
Mir382	0	0	0
Mir874	0	0	0
Mir497	0	0	0
