N_unmapped	17888640	17888640	17888640
N_multimapping	3595779	3595779	3595779
N_noFeature	5499094	12892369	12888582
N_ambiguous	266685	115203	117710
Vom2r3	0	0	0
Rab39a	4	1	3
Fdxacb1	144	77	67
Mrpl52	887	448	440
Rrlt	15	8	7
Ensa	1490	759	731
Tpm1	356	179	177
Efhd2	6722	3323	3402
Aaas	467	250	218
Nsun4	44	25	19
Ubl4a	407	208	200
Otub1	1680	891	789
Slc25a41	0	0	0
Bach1	206	107	99
Ccr1l1	57	27	30
Xcr1	445	224	221
Csf3	8	4	4
Shh	0	0	0
Eloa	2275	1145	1136
Cox4i1	2477	1269	1208
Arg1	42	26	16
Thbs4	0	0	0
Rcn2	1246	598	648
Neu2	1	1	0
Inhba	36	17	19
Fdx1	414	210	204
Cd63	3984	1956	2031
Cyp2b12	0	0	0
Vdr	1042	535	507
Tnp2	3	3	0
Tnp1	0	0	0
Tbxa2r	51	28	23
Cd37	5952	2969	3041
Areg	192	95	97
Casp12	8	3	5
Anxa7	1075	527	549
Slco1a2	0	0	0
Acsl6	0	0	0
Lonp1	1020	536	484
Naa35	525	261	264
Atp2b3	0	0	0
Mir3580	0	0	0
Mir3579	0	0	0
Mir3578	0	0	0
Mir3581	0	0	0
Asb1	58	21	37
Fgfr2	22	10	12
Brsk1	4	4	3
Preb	860	414	481
Zfp7	2	1	1
Cldn15	2	0	2
Fgd3	2757	1396	1361
Pbx4	51	29	23
Nol8	33	13	20
B4galt5	262	125	137
Scp2d1	0	0	0
Polr3f	50	28	22
Smc2	591	298	294
Ephx3	3	2	1
Cbfa2t3	552	274	278
Plec	1291	670	622
Nipsnap3a	0	0	0
Strn4	1526	785	741
Hmg20a	300	153	147
Smim22	51	26	25
Samd3	10	6	4
Shcbp1l	0	0	0
Ube2s	6302	3167	3138
Prpf31	143	74	69
Lrrtm3	1	0	1
Mrpl51	143	60	83
Fam24a	0	0	0
Fam185a	706	381	375
Msmo1	912	471	441
Vom2r32	0	0	0
Tcta	356	178	178
Dgka	11547	5712	5837
LOC361985	684	342	343
Cdk5rap1	206	103	103
Nr1d1	803	498	479
Prl3a1	0	0	0
Rwdd1	881	449	432
Pzp	0	0	0
Zfp709	74	45	31
Tnfsf10	36	18	18
Slc25a25	833	399	434
Brs3	0	0	0
Timm13	1225	628	597
Gja8	0	0	0
Dhrs4	107	45	63
Homez	10	2	8
Olfm3	1	4	7
St18	9	5	4
Pnma2	2	2	0
Anapc2	1822	882	940
Cd300le	357	168	190
Rnpep	1442	741	701
Rps10	2741	1329	1412
Crhr1	27	14	13
Lilrb4	660	322	338
Kras	657	297	360
Olfm1	2879	1452	1427
Slc4a4	7	5	4
Psmb7	1893	946	949
Herpud1	6526	3277	3267
Cox4i2	10	3	7
Fut9	0	0	0
Nfib	20	12	8
Bnip3	224	113	111
Mlycd	540	255	285
Trpc6	13	9	4
Chi3l1	91	56	35
Bud31	789	659	655
Ddx52	353	161	193
Hdac2	1093	503	590
Kpna2	305	154	151
Abcg1	4096	2065	2032
Atp6v0e1	2218	1113	1105
Synrg	541	255	292
Prdx6	903	413	490
Ptch1	31	13	18
Idi1	1239	606	639
Slc22a7	0	0	0
Atrn	336	172	167
Cftr	0	0	0
Mir434	0	0	0
Mir92b	0	0	0
Ap4e1	57	24	33
Ntn5	6	3	3
Sh3bp1	2121	1097	1024
Aqp4	0	0	0
Rangap1	1825	973	852
Wdr4	343	174	169
Lrrc47	1441	743	705
Ptchd1	0	0	0
Camsap2	253	142	111
Celf5	12	9	6
Sec1	0	0	0
Med14	796	373	423
LOC100909648	0	0	0
LOC100361083	20	9	11
LOC102552805	30	13	17
Tspan17	222	121	101
Chaf1b	219	108	111
Slc17a1	0	0	0
B3galt4	166	82	84
Mlxipl	17	6	11
Fbxo32	210	118	92
Mpnd	1994	992	1004
Tnfrsf4	11738	5947	5795
Hpca	3	0	3
Csn2	7	4	3
Tmem242	309	154	155
Vom1r105	0	0	0
Tpm3	14427	7128	7306
C2	283	145	139
Tprn	337	170	168
Clec14a	0	0	0
Fxyd2	242	103	139
Rgs10	865	464	402
Rgs1	65873	32847	33026
Trim17	1	1	0
Chad	26	16	10
Arf6	11337	5628	5709
Arf4	6487	3203	3284
Arf2	359	175	184
RGD1308430	768	403	375
Hipk1	1231	604	627
Armh4	0	0	0
Mapk1ip1l	215	117	98
Bola3	443	214	229
Ctsg	0	0	0
LOC679149	90	37	53
Tmem128	620	297	323
Osgep	452	233	219
Magoh	672	309	363
Tmem255b	9	6	3
Ephx4	0	0	0
Ewsr1	584	292	292
Pak1ip1	336	159	177
Fyco1	684	324	360
Mrps18c	283	138	145
Kat2a	1084	536	550
Map7d1	2026	961	1065
Mir155hg	186	80	106
Mcart1	159	73	87
Slc10a3	346	185	161
Atg4d	895	439	456
Atad1	751	365	386
Mterf4	99	43	56
LOC306079	103	57	46
Slc25a15	141	56	85
Fn3krp	98	39	59
Arhgap5	71	34	37
Camp	1	0	1
Fbxo5	138	72	66
Ttyh1	2	2	1
Dhx37	504	262	242
Il12rb1	456	212	245
Smtnl1	0	0	0
Stk26	622	326	296
Myh2	2	0	2
Cyp4v3	519	267	254
Zg16b	0	0	0
Myrf	15	9	7
Rab11fip1	2821	1437	1384
Las1l	287	136	151
Smok2a	0	0	0
Vom2r7	0	0	0
Dact2	7	4	3
Srsf9	544	269	276
Arpc5	8326	4117	4210
Npbwr1	0	0	0
Armcx3	280	129	151
Mzb1	144	71	73
Ercc3	664	317	347
Hbb-bs	0	0	0
Tnks	349	180	169
Prag1	368	183	185
Kif26b	2	1	2
Arhgap30	3259	1622	1637
RGD1559578	0	0	0
Mfhas1	700	370	330
Dcaf10	169	102	67
Trim14	697	351	346
Gpr87	2	2	0
Naa15	665	312	354
Necab3	3	2	1
Arhgap45	11764	5793	5972
Cd3e	13039	6650	6391
Vom2r79	0	0	0
Slirp	169	136	151
Mir3547	0	0	0
Apobec3	267	141	126
Hmcn1	1	1	0
Golga7b	2	0	2
Ybx2	22	9	13
Vom1r13	0	0	0
Olr1380	0	0	0
Olr386	0	0	0
Olr803	0	0	0
Olr804	0	0	0
Olr807	0	0	0
Trem3	23	8	15
Vom1r16	0	0	0
Mtfr1l	1044	559	485
Paf1	1671	820	851
Plekho1	1036	535	506
Vom2r80	0	0	0
Vom2r16	0	0	0
Alkbh3	1069	567	502
Zic4	0	0	0
Tbc1d2b	626	299	327
Nostrin	35	22	13
Nmb	6	4	2
Cldn22	0	0	0
Mesp2	0	0	0
Arid1a	1461	716	745
Snx5	2048	1010	1039
Wsb2	260	136	124
Ep400	1261	647	615
Pantr1	0	0	0
Hoxa11-as	0	0	0
Rps9l1	0	0	0
Kif22	349	163	186
Pgam5	478	247	231
Fam118b	506	249	257
LOC100125364	221	128	148
Cmtm1	0	0	0
Pspc1	653	343	310
Sp110	1707	873	834
Memo1	1078	511	567
Gmcl1	741	337	404
Mir208b	0	0	0
Pop4	447	202	245
Catsperd	54	21	33
Tmem167b	316	169	147
Cmc1	132	69	63
Syce3	3	2	1
Mir194-2	0	0	0
Snrpf	625	309	316
Olr1l	0	0	0
Slc25a38	661	341	328
Mir543	0	0	0
Mir363	0	0	0
Mir487b	0	0	0
Mir20b	0	0	0
Mir375	0	0	0
Mir199a2	0	0	0
Mir188	0	0	0
Mir382	0	0	0
Mir874	0	0	0
Mir497	0	0	0
Mir503	0	0	0
Obi1	38	19	19
Vom2r17	0	0	0
Hectd2	81	39	42
Abcf3	1486	730	758
Slc1a3	2	2	0
Borcs8	225	107	118
Cyb5r2	0	0	0
Vom2r34	0	0	0
Vom2r33	0	0	0
Serpinb11	0	0	0
Mir877	0	0	0
Mir376a	0	0	0
Mir376b	0	0	0
Mir376c	0	0	0
Mir106a	0	0	0
Mir147	0	0	0
Pa2g4	446	227	219
Pnkp	732	354	379
Krt85	0	0	0
Tmod4	15	9	6
Vom2r78	0	0	0
Psmd12	1156	565	591
Prelid3b	1208	602	606
Nlrp4a	0	0	0
Vom2r28	0	0	0
Ythdf2	1369	630	739
MGC93861	12	8	4
Arl2bp	1328	662	667
Ubfd1	471	248	223
Tbc1d14	541	275	266
Selenok-ps2	11	4	7
Mir328b	0	0	0
Gprc5a	3851	1954	1897
Tincr	59	28	31
Mir30c1	0	0	0
Mir30e	0	0	0
Phactr1	14	6	8
Atp5mc3	3759	1846	1913
Olr4	0	0	0
Olr5	0	0	0
Olr6	0	0	0
Olr7	0	0	0
Olr8	0	0	0
Theg	0	0	0
Ocrl	133	65	68
Snx19	364	193	171
Ccnt2	727	369	359
Tfcp2l1	4	1	3
Vom2r71	0	0	0
Smpdl3b	129	70	59
Foxj2	1334	682	652
Zswim5	129	65	65
Lime1	2398	1211	1187
Stk11	297	200	169
Zfyve9	9	2	7
Arid3a	167	80	87
Zfp524	155	72	83
Ccdc60	0	0	0
Gnas	15455	7789	7667
Shfl	223	154	169
Mir410	0	0	0
Mir301b	0	0	0
Mir378	0	0	0
Mir381	0	0	0
Mir539	0	0	0
Mir224	0	0	0
Trim16	21	5	16
Ebi3	322	162	160
Actg1	16566	8313	8257
Antkmt	666	321	346
Espnl	39	25	14
Txnrd3	37	21	16
Nrg4	11	5	6
Nop2	766	398	368
Rpl3l	30	17	14
Tfap2e	6	4	2
Ttc14	570	299	271
Rasal2	74	25	49
Dkk1	0	0	0
Parp9	1165	626	539
C1qtnf3	0	0	0
Radx	25	17	8
Phykpl	0	10	13
Spink5	2	1	1
Bet1l	411	196	220
Ppt2	1333	674	661
LOC680627	16	9	7
Tmem33	503	252	251
Bcl2l2	108	48	60
Nat8f1	0	0	0
Vom2r29	0	0	0
Vom2r30	0	0	0
Nr2f6	242	121	121
Fbxl6	768	397	371
Pla2g4c	39	23	16
Magi1	23	9	14
Nkx6-3	2	1	1
Rapgef3	56	30	26
F2	5	4	3
Rab5a	464	238	226
Flot1	1076	510	569
Exoc7	96	37	59
Srd5a2	0	0	0
Galnt7	263	139	124
Pmpcb	1383	696	687
Faf1	2277	1168	1109
Mrps25	347	181	166
Ceacam9	0	0	0
Upp2	0	0	0
Ambn	0	0	1
Fbln5	6	2	4
Capn1	1958	1001	957
Slc3a2	5982	3035	2949
Grem1	0	0	0
Gjd2	0	0	0
Gja5	0	0	0
Clvs2	0	0	0
Sbsn	26	19	20
Pnma8b	0	0	0
Pnma8a	0	0	0
Cbx2	106	52	54
Ssr2	1587	787	801
Mau2	3025	1479	1546
Prcp	1105	549	556
Fndc3a	563	278	285
Ceacam11	0	0	0
Igfbp7	9	12	12
Psg19	0	0	0
Ghitm	4493	2195	2298
Tgfbrap1	421	224	198
Kctd6	144	68	77
Sart3	788	395	393
Perp	97	49	48
