N_unmapped	1373211	1373211	1373211
N_multimapping	3470301	3470301	3470301
N_noFeature	14454410	17782165	17824891
N_ambiguous	103663	44184	44908
Vom2r3	0	0	0
Rab39a	4	2	2
Fdxacb1	50	22	28
Mrpl52	645	328	317
Rrlt	13	3	10
Ensa	719	361	358
Tpm1	789	380	409
Efhd2	3082	1560	1522
Aaas	277	134	143
Nsun4	0	0	0
Ubl4a	404	194	210
Otub1	1063	554	509
Slc25a41	19	10	9
Bach1	99	55	44
Ccr1l1	51	25	26
Xcr1	30	12	18
Csf3	13	6	7
Shh	3	1	2
Eloa	906	439	467
Cox4i1	1764	872	892
Arg1	54	20	34
Thbs4	9	3	6
Rcn2	414	199	215
Neu2	13	7	6
Inhba	3	1	2
Fdx1	236	120	116
Cd63	2784	1326	1458
Cyp2b12	8	4	4
Vdr	399	202	197
Tnp2	0	0	0
Tnp1	4	4	0
Tbxa2r	34	16	18
Cd37	3177	1632	1579
Areg	435	213	222
Casp12	39	19	20
Anxa7	587	304	283
Slco1a2	11	7	4
Acsl6	21	10	11
Lonp1	375	189	186
Naa35	291	138	153
Atp2b3	65	33	32
Mir3580	0	0	0
Mir3579	0	0	0
Mir3578	0	0	0
Mir3581	0	0	0
Asb1	53	27	26
Fgfr2	89	53	36
Brsk1	21	15	6
Preb	495	242	265
Zfp7	0	0	0
Cldn15	1	1	0
Fgd3	223	112	111
Pbx4	47	28	19
Nol8	0	0	0
B4galt5	111	58	53
Scp2d1	0	0	0
Polr3f	85	47	38
Smc2	552	266	286
Ephx3	57	25	32
Cbfa2t3	229	110	119
Plec	684	347	337
Nipsnap3a	8	3	5
Strn4	403	192	211
Hmg20a	210	102	108
Smim22	95	47	48
Samd3	35	12	23
Shcbp1l	8	6	2
Ube2s	1740	910	830
Prpf31	158	79	79
Lrrtm3	25	14	11
Mrpl51	186	96	90
Fam24a	0	0	0
Fam185a	149	80	81
Msmo1	366	194	172
Vom2r32	1	1	0
Tcta	203	105	98
Dgka	2739	1418	1321
LOC361985	363	202	161
Cdk5rap1	129	59	70
Nr1d1	255	146	171
Prl3a1	0	0	0
Rwdd1	726	358	368
Pzp	36	17	19
Zfp709	76	44	32
Tnfsf10	39	24	15
Slc25a25	197	102	95
Brs3	0	0	0
Timm13	1131	582	549
Gja8	21	7	14
Dhrs4	150	81	69
Homez	17	11	6
Olfm3	14	11	3
St18	21	11	10
Pnma2	92	50	42
Anapc2	443	233	210
Cd300le	560	284	276
Rnpep	650	335	315
Rps10	1179	549	630
Crhr1	6	4	2
Lilrb4	1065	543	522
Kras	416	209	207
Olfm1	828	432	396
Slc4a4	11	7	4
Psmb7	1068	498	570
Herpud1	1364	711	653
Cox4i2	4	3	1
Fut9	0	0	0
Nfib	204	110	94
Bnip3	126	71	55
Mlycd	203	113	90
Trpc6	18	9	9
Chi3l1	683	321	362
Bud31	500	379	349
Ddx52	180	86	94
Hdac2	696	332	364
Kpna2	249	112	137
Abcg1	693	341	352
Atp6v0e1	1768	902	866
Synrg	169	90	79
Prdx6	601	314	287
Ptch1	65	33	32
Idi1	568	294	276
Slc22a7	5	3	2
Atrn	182	95	87
Cftr	27	15	12
Mir434	0	0	0
Mir92b	1	1	0
Ap4e1	50	30	20
Ntn5	9	6	3
Sh3bp1	725	354	371
Aqp4	28	16	12
Rangap1	752	364	388
Wdr4	202	102	100
Lrrc47	354	174	180
Ptchd1	2	0	2
Camsap2	126	59	67
Celf5	32	16	16
Sec1	4	1	3
Med14	213	107	106
LOC100909648	0	0	0
LOC100361083	0	0	0
LOC102552805	29	16	13
Tspan17	116	60	56
Chaf1b	114	63	51
Slc17a1	27	14	13
B3galt4	37	22	15
Mlxipl	14	9	5
Fbxo32	96	46	50
Mpnd	1080	526	554
Tnfrsf4	3916	2036	1880
Hpca	2	0	2
Csn2	641	308	333
Tmem242	208	120	88
Vom1r105	0	0	0
Tpm3	7325	3708	3617
C2	425	201	224
Tprn	91	52	39
Clec14a	0	0	0
Fxyd2	531	263	268
Rgs10	583	306	277
Rgs1	24476	12244	12232
Trim17	5	1	4
Chad	46	28	18
Arf6	5005	2475	2530
Arf4	2602	1296	1306
Arf2	180	89	91
RGD1308430	464	250	214
Hipk1	476	235	241
Armh4	10	5	5
Mapk1ip1l	161	74	87
Bola3	401	187	214
Ctsg	1	1	0
LOC679149	42	24	18
Tmem128	571	281	290
Osgep	320	160	160
Magoh	579	294	285
Tmem255b	4	0	4
Ephx4	6	4	2
Ewsr1	0	0	0
Pak1ip1	275	130	145
Fyco1	198	109	89
Mrps18c	337	162	175
Kat2a	422	206	216
Map7d1	588	289	299
Mir155hg	61	34	27
Mcart1	6	5	1
Slc10a3	166	85	81
Atg4d	441	234	207
Atad1	452	238	214
Mterf4	155	74	81
LOC306079	8	3	5
Slc25a15	65	29	36
