N_unmapped	24297134	24297134	24297134
N_multimapping	6734433	6734433	6734433
N_noFeature	6836973	21872197	21905895
N_ambiguous	451706	186133	190882
Vom2r3	0	0	0
Rab39a	6	2	4
Fdxacb1	346	185	161
Mrpl52	1993	994	1001
Rrlt	49	22	27
Ensa	4062	1947	2115
Tpm1	676	312	364
Efhd2	16603	8279	8328
Aaas	1007	495	512
Nsun4	100	45	55
Ubl4a	1251	612	639
Otub1	4140	2036	2107
Slc25a41	0	2	0
Bach1	244	128	116
Ccr1l1	277	131	146
Xcr1	132	67	65
Csf3	0	0	0
Shh	0	0	1
Eloa	4393	2188	2210
Cox4i1	6692	3336	3356
Arg1	121	67	55
Thbs4	13	5	8
Rcn2	1895	937	958
Neu2	7	6	1
Inhba	52	24	28
Fdx1	1593	770	823
Cd63	3835	1903	1937
Cyp2b12	0	0	0
Vdr	1455	748	707
Tnp2	2	1	1
Tnp1	0	0	0
Tbxa2r	418	233	186
Cd37	16473	8339	8347
Areg	25	14	11
Casp12	8	5	3
Anxa7	2716	1374	1342
Slco1a2	0	0	0
Acsl6	144	69	75
Lonp1	2050	1050	1002
Naa35	1401	668	733
Atp2b3	1	0	1
Mir3580	0	0	0
Mir3579	0	0	0
Mir3578	0	0	0
Mir3581	0	0	0
Asb1	140	74	66
Fgfr2	13	7	6
Brsk1	45	22	28
Preb	2141	1062	1141
Zfp7	3	1	2
Cldn15	0	0	0
Fgd3	3091	1561	1530
Pbx4	101	49	52
Nol8	133	64	69
B4galt5	661	340	321
Scp2d1	0	0	0
Polr3f	278	143	135
Smc2	858	403	456
Ephx3	5	4	1
Cbfa2t3	644	321	324
Plec	3315	1618	1698
Nipsnap3a	0	0	0
Strn4	2310	1212	1098
Hmg20a	1161	585	576
Smim22	55	23	32
Samd3	164	87	77
Shcbp1l	14	9	5
Ube2s	9529	4830	4703
Prpf31	354	189	165
Lrrtm3	3	0	3
Mrpl51	406	210	198
Fam24a	0	0	0
Fam185a	1066	591	573
Msmo1	1021	524	497
Vom2r32	0	0	0
Tcta	942	462	480
Dgka	16105	8026	8082
LOC361985	1191	590	601
Cdk5rap1	629	304	325
Nr1d1	1655	1053	932
Prl3a1	0	0	0
Rwdd1	2318	1202	1116
Pzp	0	0	0
Zfp709	260	127	133
Tnfsf10	373	197	176
Slc25a25	1416	697	719
Brs3	0	0	0
Timm13	3937	1945	2000
Gja8	0	1	0
Dhrs4	354	186	168
Homez	20	7	13
Olfm3	0	1	5
St18	11	6	5
Pnma2	37	17	20
Anapc2	3206	1573	1635
Cd300le	416	204	212
Rnpep	2253	1128	1125
Rps10	6497	3249	3248
Crhr1	88	39	49
Lilrb4	186	104	83
Kras	1270	618	652
Olfm1	11852	5890	5963
