N_unmapped	3965833	3965833	3965833
N_multimapping	3366160	3366160	3366160
N_noFeature	15650540	18100035	18124299
N_ambiguous	61611	23009	26005
Vom2r3	0	0	0
Rab39a	7	3	4
Fdxacb1	37	24	13
Mrpl52	668	343	325
Rrlt	17	10	7
Ensa	493	255	238
Tpm1	2681	1345	1336
Efhd2	632	318	314
Aaas	167	72	95
Nsun4	0	0	0
Ubl4a	344	192	152
Otub1	1040	498	542
Slc25a41	11	8	3
Bach1	29	14	15
Ccr1l1	3	1	2
Xcr1	7	3	4
Csf3	104	49	55
Shh	5	4	1
Eloa	500	249	251
Cox4i1	1348	663	685
Arg1	152	81	71
Thbs4	13	6	7
Rcn2	1138	550	588
Neu2	42	26	16
Inhba	47	25	22
Fdx1	356	163	193
Cd63	3429	1705	1724
Cyp2b12	2	1	1
Vdr	380	193	187
Tnp2	1	0	1
Tnp1	3	1	2
Tbxa2r	11	6	5
Cd37	62	31	33
Areg	1144	548	596
Casp12	212	102	110
Anxa7	625	317	308
Slco1a2	0	0	0
Acsl6	22	10	12
Lonp1	323	156	167
Naa35	264	131	133
Atp2b3	30	14	16
Mir3580	0	0	0
Mir3579	0	0	0
Mir3578	0	1	0
Mir3581	0	0	0
Asb1	57	25	32
Fgfr2	95	57	38
Brsk1	25	11	14
Preb	398	185	224
Zfp7	0	0	0
Cldn15	1	1	0
Fgd3	13	9	4
Pbx4	10	5	5
Nol8	0	0	0
B4galt5	39	23	16
Scp2d1	3	2	1
Polr3f	139	67	72
Smc2	216	128	88
Ephx3	46	24	22
Cbfa2t3	24	8	16
Plec	546	281	265
Nipsnap3a	3	0	3
Strn4	300	152	148
Hmg20a	118	61	57
Smim22	699	355	344
Samd3	17	8	9
Shcbp1l	22	8	14
Ube2s	664	314	350
Prpf31	72	29	43
Lrrtm3	30	12	18
Mrpl51	221	106	115
Fam24a	2	0	2
Fam185a	31	14	18
Msmo1	220	96	124
Vom2r32	9	4	5
Tcta	379	196	183
Dgka	265	128	137
LOC361985	503	266	237
Cdk5rap1	151	66	85
Nr1d1	369	270	234
Prl3a1	0	0	0
