N_unmapped	19390976	19390976	19390976
N_multimapping	6020204	6020204	6020204
N_noFeature	6212943	11705523	11705059
N_ambiguous	258181	108700	112255
Vom2r3	0	0	0
Rab39a	0	0	0
Fdxacb1	162	82	80
Mrpl52	1232	622	610
Rrlt	2	2	0
Ensa	1350	669	681
Tpm1	5602	2725	2877
Efhd2	1717	842	876
Aaas	343	170	173
Nsun4	39	18	21
Ubl4a	603	300	303
Otub1	2303	1177	1127
Slc25a41	0	0	0
Bach1	81	42	39
Ccr1l1	0	0	0
Xcr1	2	1	1
Csf3	238	117	122
Shh	0	0	0
Eloa	1213	607	608
Cox4i1	1621	814	807
Arg1	382	193	189
Thbs4	7	5	2
Rcn2	1879	951	928
Neu2	44	18	26
Inhba	138	76	62
Fdx1	443	212	231
Cd63	16030	7763	8268
Cyp2b12	1	1	0
Vdr	369	199	170
Tnp2	4	3	1
Tnp1	0	1	0
Tbxa2r	31	14	17
Cd37	32	25	14
Areg	7679	3792	3890
Casp12	374	164	210
Anxa7	1307	640	667
Slco1a2	0	0	0
Acsl6	0	0	0
Lonp1	1092	510	582
Naa35	597	305	292
Atp2b3	1	0	1
Mir3580	0	0	0
Mir3579	0	0	0
Mir3578	0	0	0
Mir3581	0	0	0
Asb1	34	16	18
Fgfr2	1977	1035	942
Brsk1	24	14	13
Preb	803	436	409
Zfp7	5	3	2
Cldn15	5	3	2
Fgd3	22	9	13
Pbx4	1	1	0
Nol8	83	38	45
B4galt5	284	137	147
Scp2d1	0	0	0
Polr3f	154	78	76
Smc2	300	151	149
Ephx3	12	8	4
Cbfa2t3	15	10	5
Plec	3017	1463	1556
Nipsnap3a	0	0	0
Strn4	1541	758	783
Hmg20a	290	155	135
Smim22	1498	699	800
Samd3	0	0	0
Shcbp1l	1	0	1
Ube2s	1662	843	821
Prpf31	147	80	68
Lrrtm3	3	0	3
Mrpl51	219	116	104
Fam24a	0	0	0
Fam185a	54	30	35
Msmo1	607	312	295
Vom2r32	0	0	0
Tcta	703	371	332
Dgka	1670	844	826
LOC361985	868	432	436
Cdk5rap1	287	129	158
Nr1d1	1000	672	614
Prl3a1	0	0	0
Rwdd1	528	258	270
Pzp	10	5	5
Zfp709	118	58	60
Tnfsf10	1731	887	844
Slc25a25	443	212	231
Brs3	0	0	0
Timm13	2036	986	1050
Gja8	0	0	0
Dhrs4	594	294	300
Homez	56	29	27
Olfm3	0	0	1
St18	0	0	0
Pnma2	0	0	0
Anapc2	1734	852	884
Cd300le	20	11	9
Rnpep	2075	1027	1048
Rps10	2240	1130	1110
Crhr1	0	0	0
Lilrb4	8	4	4
Kras	655	334	323
Olfm1	38	12	26
Slc4a4	163	75	90
Psmb7	1397	695	702
Herpud1	1456	716	744
Cox4i2	1	1	0
Fut9	0	0	0
Nfib	2142	1101	1041
Bnip3	627	308	319
Mlycd	720	349	371
Trpc6	533	298	235
Chi3l1	9044	4543	4501
Bud31	701	608	591
Ddx52	244	129	115
Hdac2	1711	831	881
Kpna2	109	56	54
Abcg1	871	431	440
Atp6v0e1	1862	921	941
Synrg	380	195	187
Prdx6	1220	595	625
Ptch1	168	92	76
Idi1	457	214	245
Slc22a7	0	0	0
Atrn	1163	597	566
Cftr	0	0	0
Mir434	0	0	0
Mir92b	2	1	1
Ap4e1	45	21	25
Ntn5	0	0	0
Sh3bp1	704	340	365
Aqp4	2	0	2
Rangap1	995	490	505
Wdr4	300	156	144
Lrrc47	794	402	392
Ptchd1	1	0	1
Camsap2	430	199	232
Celf5	142	61	81
Sec1	7	2	5
Med14	452	235	219
LOC100909648	0	0	1
LOC100361083	115	52	63
LOC102552805	29	16	13
Tspan17	248	105	143
Chaf1b	48	26	22
Slc17a1	2	0	2
B3galt4	52	27	30
Mlxipl	32	14	21
Fbxo32	568	266	302
Mpnd	1738	875	863
Tnfrsf4	49	25	24
Hpca	0	1	0
Csn2	10	4	6
Tmem242	579	319	260
Vom1r105	0	0	0
Tpm3	3638	1783	1857
