N_unmapped	4353310	4353310	4353310
N_multimapping	2606748	2606748	2606748
N_noFeature	9885193	12882386	12915786
N_ambiguous	149738	67678	69185
Vom2r3	0	0	0
Rab39a	2	2	0
Fdxacb1	61	30	31
Mrpl52	707	368	339
Rrlt	0	0	0
Ensa	756	376	380
Tpm1	4383	2116	2267
Efhd2	785	383	402
Aaas	165	86	79
Nsun4	0	0	0
Ubl4a	417	203	214
Otub1	1084	570	514
Slc25a41	2	0	2
Bach1	85	46	39
Ccr1l1	0	0	0
Xcr1	14	8	6
Csf3	128	51	77
Shh	4	3	1
Eloa	824	402	422
Cox4i1	991	484	507
Arg1	153	72	81
Thbs4	58	30	28
Rcn2	1638	803	835
Neu2	88	50	38
Inhba	116	63	53
Fdx1	339	174	165
Cd63	5941	2874	3067
Cyp2b12	5	1	4
Vdr	368	176	192
Tnp2	2	1	1
Tnp1	2	1	1
Tbxa2r	36	16	20
Cd37	134	68	66
Areg	769	382	387
Casp12	328	163	165
Anxa7	934	437	497
Slco1a2	10	6	4
Acsl6	12	7	5
Lonp1	522	236	286
Naa35	256	116	140
Atp2b3	42	27	15
Mir3580	0	0	0
Mir3579	1	1	0
Mir3578	0	0	0
Mir3581	0	0	0
Asb1	53	24	29
Fgfr2	153	81	72
Brsk1	31	15	17
Preb	494	282	222
Zfp7	0	0	0
Cldn15	3	2	1
Fgd3	11	6	5
Pbx4	21	10	11
Nol8	0	0	0
B4galt5	61	36	25
Scp2d1	0	0	0
Polr3f	106	53	53
Smc2	257	130	127
Ephx3	47	21	26
Cbfa2t3	55	25	30
Plec	952	437	515
Nipsnap3a	3	1	2
Strn4	523	262	261
Hmg20a	197	106	91
Smim22	373	185	188
Samd3	5	3	2
Shcbp1l	7	3	4
Ube2s	1109	611	498
Prpf31	96	53	43
Lrrtm3	30	17	13
Mrpl51	307	151	156
Fam24a	5	0	5
Fam185a	50	28	26
Msmo1	755	381	374
Vom2r32	2	1	1
Tcta	391	188	203
Dgka	427	202	225
LOC361985	697	339	358
Cdk5rap1	190	92	98
Nr1d1	673	387	398
Prl3a1	0	0	0
Rwdd1	624	315	309
Pzp	33	19	14
Zfp709	88	47	41
Tnfsf10	306	150	156
Slc25a25	223	99	124
Brs3	0	0	0
Timm13	684	366	318
Gja8	11	5	6
Dhrs4	434	218	216
Homez	37	21	16
Olfm3	6	0	6
St18	13	8	5
Pnma2	113	59	54
Anapc2	937	471	466
Cd300le	2	2	0
Rnpep	834	424	410
Rps10	736	336	400
Crhr1	5	2	3
Lilrb4	0	0	0
Kras	281	137	144
Olfm1	294	149	145
Slc4a4	108	57	51
Psmb7	844	401	443
Herpud1	665	324	341
Cox4i2	8	7	1
Fut9	1	0	1
Nfib	1289	660	629
Bnip3	200	98	102
Mlycd	336	173	163
Trpc6	46	24	22
Chi3l1	8675	4274	4401
Bud31	440	339	348
Ddx52	145	74	71
Hdac2	1105	585	520
Kpna2	90	53	37
Abcg1	480	253	227
Atp6v0e1	1096	541	555
Synrg	206	109	97
Prdx6	652	362	290
Ptch1	102	48	54
Idi1	250	119	131
Slc22a7	5	4	1
Atrn	628	306	322
Cftr	17	6	11
Mir434	0	0	0
Mir92b	0	0	0
Ap4e1	61	35	26
Ntn5	17	8	9
Sh3bp1	160	80	80
Aqp4	32	18	14
Rangap1	223	126	97
Wdr4	174	94	80
Lrrc47	389	199	190
Ptchd1	6	5	1
Camsap2	194	103	91
Celf5	69	30	39
Sec1	3	3	0
Med14	185	92	93
LOC100909648	0	0	0
LOC100361083	24	11	13
LOC102552805	33	24	9
Tspan17	65	37	28
Chaf1b	56	28	28
Slc17a1	4	4	0
B3galt4	22	9	13
Mlxipl	19	11	8
Fbxo32	360	185	175
Mpnd	679	359	320
Tnfrsf4	16	10	6
Hpca	2	0	2
Csn2	5	2	3
Tmem242	308	168	140
Vom1r105	0	0	0
Tpm3	2388	1213	1175
C2	3559	1772	1787
Tprn	193	98	95
Clec14a	631	328	303
Fxyd2	21	11	10
Rgs10	49	25	24
Rgs1	227	113	114
Trim17	1	1	0
Chad	12	7	5
Arf6	1283	637	646
Arf4	3452	1729	1723
Arf2	229	107	122
RGD1308430	559	266	300
Hipk1	219	111	108
Armh4	17	10	7
Mapk1ip1l	175	77	98
Bola3	268	141	127
Ctsg	0	0	0
LOC679149	6	5	1
Tmem128	621	316	305
Osgep	329	184	145
Magoh	575	294	281
Tmem255b	3	1	2
Ephx4	4	1	3
Ewsr1	1	1	0
Pak1ip1	264	120	144
Fyco1	126	64	62
