N_unmapped	5031387	5031387	5031387
N_multimapping	4004520	4004520	4004520
N_noFeature	10148824	16244951	16304561
N_ambiguous	125793	46641	52727
Vom2r3	0	0	0
Rab39a	1	0	1
Fdxacb1	96	48	48
Mrpl52	1010	496	514
Rrlt	9	5	4
Ensa	1042	532	510
Tpm1	12763	6446	6317
Efhd2	2105	1057	1048
Aaas	299	147	152
Nsun4	0	0	0
Ubl4a	819	396	423
Otub1	1927	983	944
Slc25a41	7	2	5
Bach1	121	70	51
Ccr1l1	0	0	0
Xcr1	10	6	4
Csf3	16	5	11
Shh	0	0	0
Eloa	1761	895	866
Cox4i1	2434	1205	1229
Arg1	523	267	256
Thbs4	0	0	0
Rcn2	3014	1550	1464
Neu2	121	65	56
Inhba	37	19	18
Fdx1	526	264	262
Cd63	7805	3823	3982
Cyp2b12	0	0	0
Vdr	1131	567	564
Tnp2	0	0	0
Tnp1	1	0	1
Tbxa2r	17	10	7
Cd37	74	43	31
Areg	919	452	467
Casp12	476	247	229
Anxa7	1895	957	938
Slco1a2	10	4	6
Acsl6	1	0	1
Lonp1	1289	630	659
Naa35	709	340	369
Atp2b3	9	2	7
Mir3580	0	0	0
Mir3579	0	0	0
Mir3578	0	1	0
Mir3581	0	0	0
Asb1	35	21	14
Fgfr2	1165	576	589
Brsk1	23	9	17
Preb	1098	560	557
Zfp7	0	0	0
Cldn15	2	2	0
Fgd3	20	10	10
Pbx4	1	0	1
Nol8	0	0	0
B4galt5	119	55	64
Scp2d1	0	0	0
Polr3f	260	123	137
Smc2	460	243	217
Ephx3	29	12	17
Cbfa2t3	22	15	7
Plec	1847	923	924
Nipsnap3a	1	1	0
Strn4	1649	777	872
Hmg20a	317	168	149
Smim22	845	422	423
Samd3	3	0	3
Shcbp1l	5	2	3
Ube2s	1866	999	867
Prpf31	191	87	104
Lrrtm3	13	5	8
Mrpl51	340	166	174
Fam24a	1	0	1
Fam185a	79	43	41
Msmo1	443	219	224
Vom2r32	3	2	1
Tcta	695	337	358
Dgka	1816	851	965
LOC361985	1315	666	649
Cdk5rap1	329	157	172
Nr1d1	1073	669	628
Prl3a1	0	0	0
Rwdd1	956	476	480
Pzp	15	8	7
Zfp709	177	100	77
Tnfsf10	1120	588	532
Slc25a25	384	189	195
Brs3	0	0	0
Timm13	1233	612	621
Gja8	1	0	1
Dhrs4	636	299	337
Homez	94	41	53
Olfm3	3	1	2
St18	4	2	2
Pnma2	7	2	5
Anapc2	2376	1211	1166
Cd300le	0	0	0
Rnpep	1636	774	862
Rps10	1901	893	1008
Crhr1	2	0	2
Lilrb4	0	0	0
Kras	544	288	256
Olfm1	5	2	3
Slc4a4	317	162	155
Psmb7	1598	790	808
Herpud1	2577	1296	1281
Cox4i2	0	0	0
Fut9	0	0	0
Nfib	3927	1991	1936
Bnip3	443	230	213
Mlycd	745	359	386
Trpc6	124	70	54
Chi3l1	15776	8013	7763
Bud31	718	550	532
Ddx52	333	188	145
Hdac2	1867	945	922
Kpna2	64	32	32
Abcg1	1901	941	960
Atp6v0e1	2020	987	1033
Synrg	707	374	333
Prdx6	1381	686	695
Ptch1	266	137	129
Idi1	470	239	231
Slc22a7	0	0	0
Atrn	1759	877	882
Cftr	20	9	11
Mir434	0	0	0
Mir92b	1	1	0
Ap4e1	100	58	42
Ntn5	3	2	1
Sh3bp1	511	255	256
Aqp4	2	1	1
Rangap1	755	381	374
Wdr4	351	182	169
Lrrc47	1180	564	616
Ptchd1	12	5	7
Camsap2	483	260	223
Celf5	21	11	10
Sec1	0	0	0
Med14	779	379	400
LOC100909648	0	0	0
LOC100361083	77	38	39
LOC102552805	27	14	13
Tspan17	85	48	37
Chaf1b	103	61	42
Slc17a1	6	2	4
B3galt4	58	22	36
Mlxipl	10	7	3
Fbxo32	858	421	437
