N_unmapped	4265440	4265440	4265440
N_multimapping	4770130	4770130	4770130
N_noFeature	8026084	13120474	13185684
N_ambiguous	130483	50335	56681
Vom2r3	0	0	0
Rab39a	0	0	0
Fdxacb1	86	41	45
Mrpl52	945	475	470
Rrlt	3	2	1
Ensa	837	425	412
Tpm1	8906	4566	4340
Efhd2	1801	887	914
Aaas	291	149	142
Nsun4	0	0	0
Ubl4a	630	316	314
Otub1	1535	759	776
Slc25a41	0	0	0
Bach1	107	57	50
Ccr1l1	0	0	0
Xcr1	0	0	0
Csf3	308	144	164
Shh	0	0	0
Eloa	1752	873	879
Cox4i1	1733	849	884
Arg1	104	45	59
Thbs4	14	4	10
Rcn2	1736	832	904
Neu2	53	22	31
Inhba	9	8	1
Fdx1	558	275	283
Cd63	3166	1602	1564
Cyp2b12	0	0	0
Vdr	1010	505	505
Tnp2	5	2	3
Tnp1	0	0	0
Tbxa2r	1	0	1
Cd37	24	13	13
Areg	531	254	277
Casp12	105	54	51
Anxa7	1131	515	616
Slco1a2	0	0	0
Acsl6	4	2	2
Lonp1	922	481	441
Naa35	477	236	241
Atp2b3	0	0	0
Mir3580	0	0	0
Mir3579	0	0	0
Mir3578	0	0	0
Mir3581	0	0	0
Asb1	13	8	5
Fgfr2	386	205	181
Brsk1	14	7	7
Preb	887	459	475
Zfp7	0	0	0
Cldn15	1	1	0
Fgd3	12	7	5
Pbx4	1	0	1
Nol8	0	0	0
B4galt5	78	36	42
Scp2d1	0	0	0
Polr3f	128	80	48
Smc2	315	150	165
Ephx3	0	0	0
Cbfa2t3	7	4	3
Plec	1404	687	717
Nipsnap3a	0	0	0
Strn4	1431	689	742
Hmg20a	200	90	110
Smim22	761	375	386
Samd3	0	0	0
Shcbp1l	0	0	0
Ube2s	1252	646	606
Prpf31	109	64	45
Lrrtm3	0	0	0
Mrpl51	348	173	175
Fam24a	0	0	0
Fam185a	31	13	22
Msmo1	485	240	245
Vom2r32	0	0	0
Tcta	531	278	253
Dgka	1132	544	588
LOC361985	649	321	328
Cdk5rap1	198	91	107
Nr1d1	1047	627	673
Prl3a1	0	0	0
Rwdd1	530	264	266
Pzp	0	0	0
Zfp709	99	49	50
Tnfsf10	101	49	52
Slc25a25	224	101	123
Brs3	0	0	0
Timm13	1571	755	816
Gja8	0	0	0
Dhrs4	599	298	301
Homez	41	23	18
Olfm3	0	0	0
St18	0	0	0
Pnma2	0	0	0
Anapc2	1126	564	562
Cd300le	32	12	20
Rnpep	1364	697	667
Rps10	1126	536	590
Crhr1	0	0	0
Lilrb4	24	9	15
Kras	457	221	236
Olfm1	27	15	12
Slc4a4	134	58	76
Psmb7	1309	644	665
Herpud1	1448	689	759
Cox4i2	30	18	12
Fut9	0	0	0
Nfib	2952	1514	1438
Bnip3	890	470	420
Mlycd	402	197	205
Trpc6	2	0	2
Chi3l1	17317	8744	8573
Bud31	626	507	454
Ddx52	169	88	81
Hdac2	1182	604	578
Kpna2	201	91	110
Abcg1	820	395	425
Atp6v0e1	1108	541	567
Synrg	246	131	115
Prdx6	846	454	392
Ptch1	177	87	90
Idi1	572	302	274
Slc22a7	0	0	0
Atrn	1441	737	704
Cftr	1	0	1
Mir434	0	0	0
Mir92b	0	0	0
Ap4e1	71	37	34
Ntn5	0	0	0
Sh3bp1	254	116	138
Aqp4	0	0	0
Rangap1	952	469	483
Wdr4	150	73	77
Lrrc47	491	238	253
Ptchd1	10	6	4
Camsap2	312	157	155
Celf5	5	3	2
Sec1	1	0	1
Med14	459	229	230
LOC100909648	0	0	0
LOC100361083	33	17	16
LOC102552805	35	18	17
Tspan17	39	22	17
Chaf1b	65	35	30
Slc17a1	0	0	0
B3galt4	47	29	18
Mlxipl	25	13	12
Fbxo32	1142	575	567
Mpnd	1147	590	557
Tnfrsf4	39	24	15
