N_unmapped	25532530	25532530	25532530
N_multimapping	8296717	8296717	8296717
N_noFeature	8506101	17752216	17751650
N_ambiguous	374147	155899	160031
Vom2r3	0	0	0
Rab39a	0	1	0
Fdxacb1	162	72	90
Mrpl52	2212	1106	1107
Rrlt	3	1	2
Ensa	1975	1052	923
Tpm1	9510	4735	4775
Efhd2	2827	1473	1355
Aaas	476	235	241
Nsun4	70	29	41
Ubl4a	1306	637	672
Otub1	3518	1759	1759
Slc25a41	0	0	0
Bach1	100	56	44
Ccr1l1	0	0	0
Xcr1	7	3	4
Csf3	665	317	350
Shh	0	0	0
Eloa	2450	1192	1270
Cox4i1	3594	1834	1760
Arg1	245	129	116
Thbs4	179	90	89
Rcn2	3221	1623	1598
Neu2	319	156	163
Inhba	104	47	57
Fdx1	882	406	476
Cd63	14411	7032	7386
Cyp2b12	0	0	0
Vdr	1422	690	732
Tnp2	0	0	0
Tnp1	0	0	0
Tbxa2r	29	14	16
Cd37	30	16	15
Areg	5108	2448	2662
Casp12	800	404	396
Anxa7	2882	1411	1471
Slco1a2	4	3	1
Acsl6	0	0	0
Lonp1	1966	978	993
Naa35	719	368	351
Atp2b3	2	2	0
Mir3580	0	0	0
Mir3579	0	0	0
Mir3578	0	0	0
Mir3581	0	0	0
Asb1	99	46	54
Fgfr2	412	212	203
Brsk1	40	25	23
Preb	1253	674	636
Zfp7	5	5	0
Cldn15	3	2	1
Fgd3	3	2	1
Pbx4	7	3	4
Nol8	128	57	71
B4galt5	59	29	30
Scp2d1	3	2	1
Polr3f	322	158	164
Smc2	647	319	328
Ephx3	11	2	9
Cbfa2t3	67	34	33
Plec	4032	2073	1962
Nipsnap3a	0	0	0
Strn4	2154	1049	1105
Hmg20a	593	266	330
Smim22	2005	920	1087
Samd3	4	4	0
Shcbp1l	0	0	0
Ube2s	3486	1772	1714
Prpf31	176	79	98
Lrrtm3	14	3	11
Mrpl51	431	224	207
Fam24a	0	0	0
Fam185a	117	69	55
Msmo1	774	389	385
Vom2r32	0	0	0
Tcta	1048	505	543
Dgka	1483	700	783
LOC361985	1530	790	740
Cdk5rap1	687	329	358
Nr1d1	1789	1213	1156
Prl3a1	0	0	0
Rwdd1	1175	615	560
Pzp	8	4	4
Zfp709	215	111	104
Tnfsf10	875	455	420
Slc25a25	293	149	144
Brs3	0	0	0
Timm13	3139	1537	1606
Gja8	0	0	0
Dhrs4	1157	563	594
Homez	42	26	16
Olfm3	0	0	1
St18	0	0	0
Pnma2	33	17	17
Anapc2	3117	1533	1589
Cd300le	6	0	6
Rnpep	2764	1412	1354
Rps10	5168	2579	2589
Crhr1	0	0	0
Lilrb4	3	2	1
Kras	605	305	300
Olfm1	85	53	32
Slc4a4	338	151	192
Psmb7	2526	1265	1262
Herpud1	2038	952	1086
Cox4i2	0	0	0
Fut9	0	0	0
Nfib	6883	3513	3370
Bnip3	810	397	413
Mlycd	1085	520	565
Trpc6	76	38	38
Chi3l1	36093	18357	17737
Bud31	1085	997	982
Ddx52	235	112	123
Hdac2	2076	981	1095
Kpna2	177	92	85
Abcg1	1773	891	882
Atp6v0e1	2734	1333	1401
Synrg	665	326	341
Prdx6	1808	976	832
Ptch1	320	169	151
Idi1	414	219	198
Slc22a7	2	2	0
Atrn	3378	1688	1699
Cftr	1	0	1
Mir434	0	0	0
Mir92b	2	1	1
Ap4e1	112	59	53
Ntn5	0	0	0
Sh3bp1	578	298	280
Aqp4	0	0	0
Rangap1	758	399	359
Wdr4	442	210	233
Lrrc47	1286	637	653
Ptchd1	0	0	0
Camsap2	376	203	174
Celf5	46	29	18
Sec1	1	1	0
Med14	666	323	343
LOC100909648	1	0	1
LOC100361083	171	74	97
LOC102552805	39	17	22
Tspan17	268	126	142
Chaf1b	149	91	58
Slc17a1	0	0	0
B3galt4	52	42	20
Mlxipl	21	7	14
Fbxo32	1652	796	856
Mpnd	2807	1387	1421
Tnfrsf4	2	1	1
Hpca	2	2	2
Csn2	830	421	413
Tmem242	986	476	510
Vom1r105	0	0	0
Tpm3	4829	2394	2436
C2	12112	6081	6034
Tprn	1342	671	671
Clec14a	209	98	111
Fxyd2	13	7	6
Rgs10	32	16	17
Rgs1	44	27	17
Trim17	13	5	8
Chad	414	206	208
Arf6	2940	1421	1519
Arf4	9286	4636	4651
Arf2	258	133	125
RGD1308430	1199	589	623
Hipk1	861	414	448
Armh4	21	11	10
Mapk1ip1l	280	133	147
Bola3	611	309	302
Ctsg	0	0	0
LOC679149	3	2	1
Tmem128	1535	705	830
Osgep	1008	500	508
Magoh	865	456	409
Tmem255b	0	0	0
Ephx4	0	0	0
Ewsr1	376	160	225
Pak1ip1	531	242	289
Fyco1	654	328	326
Mrps18c	890	424	466
Kat2a	2019	985	1037
Map7d1	2256	1096	1161
Mir155hg	4	1	3
Mcart1	206	90	116
Slc10a3	403	197	206
Atg4d	1270	662	610
Atad1	1343	686	657
Mterf4	455	218	237
LOC306079	102	55	47
Slc25a15	297	138	159
Fn3krp	368	177	191
Arhgap5	1394	692	702
Camp	0	0	0
Fbxo5	157	63	94
Ttyh1	3	2	1
Dhx37	624	331	293
Il12rb1	15	10	5
Smtnl1	0	0	0
Stk26	311	169	142
Myh2	0	0	0
Cyp4v3	674	331	343
Zg16b	0	0	0
Myrf	26	13	15
Rab11fip1	2879	1481	1399
Las1l	578	292	287
Smok2a	0	0	0
Vom2r7	0	0	0
Dact2	1233	615	618
Srsf9	2004	968	1037
Arpc5	4339	2150	2189
Npbwr1	1	1	0
Armcx3	678	362	316
Mzb1	3	2	1
Ercc3	802	406	396
Hbb-bs	29	12	17
Tnks	232	122	110
Prag1	5074	2596	2479
Kif26b	58	33	25
Arhgap30	14	7	7
RGD1559578	1	1	0
Mfhas1	254	117	137
Dcaf10	289	161	128
Trim14	149	68	81
Gpr87	28	11	17
Naa15	1034	529	506
Necab3	0	0	0
Arhgap45	17	7	10
Cd3e	3	1	2
Vom2r79	0	0	0
Slirp	484	303	304
Mir3547	0	0	0
Apobec3	2956	1502	1454
Hmcn1	192	105	87
Golga7b	0	0	0
Ybx2	18	8	10
Vom1r13	0	0	0
Olr1380	0	0	0
Olr386	0	0	0
Olr803	0	0	0
Olr804	0	0	0
Olr807	0	0	0
Trem3	0	0	0
Vom1r16	0	0	0
Mtfr1l	2304	1106	1198
Paf1	2043	1026	1017
Plekho1	40	25	16
Vom2r80	5	4	4
Vom2r16	16	9	7
Alkbh3	889	455	434
Zic4	0	0	0
Tbc1d2b	518	244	274
Nostrin	7	2	5
Nmb	1	0	1
Cldn22	0	0	0
Mesp2	5	3	2
Arid1a	2058	1014	1044
Snx5	1465	746	720
Wsb2	513	254	259
Ep400	1084	543	541
Pantr1	0	0	0
Hoxa11-as	0	0	0
Rps9l1	0	0	0
Kif22	206	96	110
Pgam5	951	463	488
Fam118b	171	86	85
LOC100125364	576	345	326
Cmtm1	0	0	0
Pspc1	661	311	350
Sp110	1425	736	689
Memo1	1135	549	587
Gmcl1	721	364	357
Mir208b	0	0	0
Pop4	577	306	271
Catsperd	53	27	26
Tmem167b	302	150	152
Cmc1	305	128	177
Syce3	0	0	0
Mir194-2	0	0	0
Snrpf	738	371	367
Olr1l	0	0	0
Slc25a38	499	267	238
Mir543	0	0	0
Mir363	0	0	0
Mir487b	0	0	0
Mir20b	0	0	0
Mir375	1	1	0
Mir199a2	0	0	0
Mir188	0	0	0
Mir382	0	0	0
Mir874	0	0	0
Mir497	0	0	0
Mir503	0	0	0
Obi1	170	70	100
Vom2r17	0	0	0
Hectd2	115	56	59
Abcf3	2091	1059	1033
Slc1a3	27	7	20
Borcs8	314	180	134
Cyb5r2	125	65	60
Vom2r34	0	0	0
Vom2r33	0	0	0
Serpinb11	0	0	0
Mir877	0	0	0
Mir376a	0	0	0
Mir376b	0	0	0
Mir376c	0	0	0
Mir106a	0	0	0
Mir147	0	0	0
Pa2g4	1051	493	559
Pnkp	1069	533	538
Krt85	0	0	1
Tmod4	51	26	27
Vom2r78	0	0	0
Psmd12	2176	1105	1071
Prelid3b	792	386	406
Nlrp4a	0	0	0
Vom2r28	0	0	0
Ythdf2	2084	1025	1060
MGC93861	3	1	2
Arl2bp	1512	721	791
Ubfd1	761	375	388
Tbc1d14	784	387	397
Selenok-ps2	6	3	3
Mir328b	0	0	0
Gprc5a	71	33	38
Tincr	52	29	23
Mir30c1	0	0	0
Mir30e	0	0	0
Phactr1	164	83	81
Atp5mc3	6666	3310	3356
Olr4	0	0	0
Olr5	0	0	0
Olr6	0	0	0
Olr7	0	0	0
Olr8	0	0	0
Theg	0	0	0
Ocrl	196	93	103
Snx19	506	235	271
