N_unmapped	3872727	3872727	3872727
N_multimapping	4419908	4419908	4419908
N_noFeature	6913798	14977448	15034742
N_ambiguous	161810	58464	64759
Vom2r3	0	0	0
Rab39a	8	4	4
Fdxacb1	212	103	109
Mrpl52	1815	884	931
Rrlt	6	3	3
Ensa	1885	970	915
Tpm1	21789	10843	10946
Efhd2	2982	1450	1532
Aaas	525	273	252
Nsun4	0	0	0
Ubl4a	1001	506	495
Otub1	3382	1731	1651
Slc25a41	1	0	1
Bach1	185	80	105
Ccr1l1	0	0	0
Xcr1	12	5	7
Csf3	43	27	16
Shh	0	0	0
Eloa	2065	1013	1052
Cox4i1	3287	1630	1657
Arg1	1903	956	947
Thbs4	124	63	61
Rcn2	5419	2697	2722
Neu2	71	32	39
Inhba	106	50	56
Fdx1	833	397	436
Cd63	14556	7077	7479
Cyp2b12	1	0	1
Vdr	446	212	234
Tnp2	0	0	0
Tnp1	0	0	0
Tbxa2r	33	16	17
Cd37	180	107	75
Areg	14822	7288	7534
Casp12	255	140	115
Anxa7	2739	1387	1352
Slco1a2	18	13	5
Acsl6	1	1	0
Lonp1	2074	1024	1050
Naa35	997	479	518
Atp2b3	7	3	4
Mir3580	0	0	0
Mir3579	0	0	0
Mir3578	0	0	0
Mir3581	0	0	0
Asb1	65	25	40
Fgfr2	7535	3836	3699
Brsk1	34	20	17
Preb	1100	559	564
Zfp7	0	0	0
Cldn15	5	4	1
Fgd3	8	3	5
Pbx4	3	2	1
Nol8	0	0	0
B4galt5	213	102	111
Scp2d1	2	2	0
Polr3f	333	185	148
Smc2	792	383	409
Ephx3	38	18	20
Cbfa2t3	68	36	32
Plec	3570	1767	1803
Nipsnap3a	1	0	1
Strn4	2248	1102	1146
Hmg20a	755	382	373
Smim22	1308	612	696
Samd3	3	2	1
Shcbp1l	0	0	0
Ube2s	3269	1710	1559
Prpf31	317	145	172
Lrrtm3	19	8	11
Mrpl51	735	383	352
Fam24a	0	0	0
Fam185a	112	61	62
Msmo1	2334	1166	1168
Vom2r32	0	0	0
Tcta	1043	522	521
Dgka	1348	676	672
LOC361985	1465	722	743
Cdk5rap1	455	218	237
Nr1d1	1022	582	657
Prl3a1	0	0	0
Rwdd1	1071	536	535
Pzp	11	6	5
Zfp709	211	112	99
Tnfsf10	2636	1353	1283
Slc25a25	736	361	375
Brs3	0	0	0
Timm13	2161	1045	1116
Gja8	0	0	0
Dhrs4	1072	530	542
Homez	144	76	68
Olfm3	0	0	0
St18	4	3	1
Pnma2	58	28	30
Anapc2	2345	1161	1184
Cd300le	8	5	3
Rnpep	3178	1611	1567
Rps10	2539	1165	1374
Crhr1	0	0	0
Lilrb4	4	2	2
Kras	796	383	413
Olfm1	151	76	75
Slc4a4	87	45	42
Psmb7	2833	1381	1452
Herpud1	3355	1652	1703
Cox4i2	4	3	1
Fut9	0	0	0
Nfib	1872	927	946
Bnip3	600	284	316
Mlycd	1172	558	614
Trpc6	333	163	170
Chi3l1	4374	2214	2160
Bud31	1167	913	872
Ddx52	397	186	211
Hdac2	4010	1985	2025
Kpna2	154	87	67
Abcg1	2129	1040	1089
Atp6v0e1	3115	1573	1542
Synrg	747	397	350
Prdx6	2661	1377	1284
Ptch1	151	78	73
Idi1	1209	617	597
Slc22a7	40	12	28
Atrn	1474	698	776
Cftr	7	1	6
Mir434	0	0	0
Mir92b	0	0	0
Ap4e1	71	40	31
Ntn5	1	0	1
Sh3bp1	1310	667	643
Aqp4	0	0	0
Rangap1	1391	697	694
Wdr4	461	220	241
Lrrc47	1584	762	822
Ptchd1	5	4	1
Camsap2	738	360	378
Celf5	59	31	28
Sec1	6	2	4
Med14	762	403	359
LOC100909648	0	0	0
LOC100361083	101	50	51
LOC102552805	33	19	14
Tspan17	463	230	233
Chaf1b	183	95	88
Slc17a1	0	0	0
B3galt4	41	21	20
Mlxipl	19	7	12
Fbxo32	543	275	268
Mpnd	2302	1117	1185
Tnfrsf4	1	1	0
Hpca	4	1	3
Csn2	3	1	2
Tmem242	1057	534	523
Vom1r105	0	0	0
Tpm3	6017	3049	2968
C2	5584	2788	2796
Tprn	787	393	394
Clec14a	361	187	174
Fxyd2	19	12	7
Rgs10	68	31	37
Rgs1	43	26	17
Trim17	4	2	2
Chad	9	5	4
