N_unmapped	12445219	12445219	12445219
N_multimapping	3713007	3713007	3713007
N_noFeature	3858511	9074915	9093428
N_ambiguous	171996	67511	69818
Vom2r3	0	0	0
Rab39a	0	0	0
Fdxacb1	149	76	73
Mrpl52	1058	551	508
Rrlt	26	13	13
Ensa	1158	534	625
Tpm1	4078	1971	2107
Efhd2	1754	903	852
Aaas	244	119	126
Nsun4	31	14	17
Ubl4a	732	364	368
Otub1	2422	1140	1284
Slc25a41	0	0	0
Bach1	86	50	36
Ccr1l1	0	0	0
Xcr1	0	0	0
Csf3	242	117	125
Shh	0	0	0
Eloa	1230	658	573
Cox4i1	1867	944	923
Arg1	276	141	135
Thbs4	11	6	5
Rcn2	1915	939	976
Neu2	173	76	97
Inhba	44	21	23
Fdx1	561	269	292
Cd63	9265	4511	4762
Cyp2b12	0	0	0
Vdr	672	339	333
Tnp2	0	0	0
Tnp1	0	0	0
Tbxa2r	17	8	9
Cd37	36	13	23
Areg	7408	3628	3781
Casp12	286	149	137
Anxa7	1654	846	808
Slco1a2	0	0	0
Acsl6	0	0	0
Lonp1	1035	509	528
Naa35	603	297	306
Atp2b3	2	2	0
Mir3580	0	0	0
Mir3579	0	0	0
Mir3578	0	0	0
Mir3581	0	0	0
Asb1	53	23	30
Fgfr2	2644	1326	1318
Brsk1	14	7	10
Preb	817	419	444
Zfp7	3	2	1
Cldn15	4	2	2
Fgd3	7	1	6
Pbx4	1	0	1
Nol8	70	39	31
B4galt5	68	33	35
Scp2d1	0	0	0
Polr3f	87	46	41
Smc2	405	192	214
Ephx3	18	11	7
Cbfa2t3	14	6	8
Plec	2623	1301	1324
Nipsnap3a	0	0	0
Strn4	1397	726	672
Hmg20a	308	151	157
Smim22	1606	771	835
Samd3	1	0	1
Shcbp1l	0	0	0
Ube2s	1990	1038	954
Prpf31	135	71	65
Lrrtm3	0	0	0
Mrpl51	286	143	143
Fam24a	0	0	0
Fam185a	62	31	36
Msmo1	757	369	388
Vom2r32	0	0	0
Tcta	822	400	422
Dgka	789	402	387
LOC361985	859	428	431
Cdk5rap1	445	226	219
Nr1d1	1057	703	651
Prl3a1	0	0	0
Rwdd1	607	295	312
Pzp	0	0	0
Zfp709	133	59	74
Tnfsf10	1037	518	519
Slc25a25	224	99	125
Brs3	0	0	0
Timm13	2003	990	1018
Gja8	0	0	0
Dhrs4	727	353	374
Homez	66	31	35
Olfm3	0	0	0
St18	0	0	0
Pnma2	22	9	13
Anapc2	1985	996	993
Cd300le	4	1	3
Rnpep	1921	961	960
Rps10	2511	1237	1274
Crhr1	0	0	0
Lilrb4	2	1	1
Kras	419	232	188
Olfm1	7	5	2
Slc4a4	76	31	45
Psmb7	1383	676	707
Herpud1	1329	660	670
Cox4i2	1	1	0
Fut9	0	0	0
Nfib	3046	1511	1535
Bnip3	562	268	294
Mlycd	767	373	395
Trpc6	63	30	33
Chi3l1	32568	16674	15896
Bud31	617	573	547
Ddx52	168	86	82
Hdac2	1542	770	772
Kpna2	135	62	73
Abcg1	1327	681	646
Atp6v0e1	1890	917	973
Synrg	413	224	189
Prdx6	1249	615	634
Ptch1	100	44	56
Idi1	374	195	181
Slc22a7	9	5	4
Atrn	929	478	451
Cftr	20	3	17
Mir434	0	0	0
Mir92b	0	0	0
Ap4e1	36	13	23
Ntn5	1	1	1
Sh3bp1	476	250	226
Aqp4	0	0	0
Rangap1	787	389	399
Wdr4	415	180	235
Lrrc47	859	414	447
Ptchd1	0	0	0
Camsap2	262	135	127
Celf5	52	29	24
Sec1	1	0	1
Med14	403	181	222
LOC100909648	0	0	0
LOC100361083	63	31	32
LOC102552805	20	9	12
Tspan17	253	121	132
Chaf1b	118	65	53
Slc17a1	0	0	0
B3galt4	75	47	31
Mlxipl	31	16	15
Fbxo32	582	297	285
Mpnd	1899	900	1002
Tnfrsf4	14	9	5
Hpca	1	1	0
Csn2	1565	756	809
Tmem242	654	315	339
Vom1r105	0	0	0
Tpm3	3335	1716	1624
C2	5898	2939	2964
Tprn	739	357	382
Clec14a	9	6	3
Fxyd2	8	5	3
Rgs10	10	5	5
Rgs1	136	74	62
Trim17	1	1	0
Chad	63	32	36
Arf6	2204	1065	1139
Arf4	5594	2822	2772
Arf2	200	93	107
RGD1308430	529	228	310
Hipk1	523	250	273
Armh4	31	18	13
Mapk1ip1l	114	53	61
Bola3	513	259	254
Ctsg	0	0	0
LOC679149	0	0	0
Tmem128	1013	509	504
Osgep	512	231	281
Magoh	534	267	267
Tmem255b	0	0	0
Ephx4	0	0	0
Ewsr1	262	126	140
Pak1ip1	375	184	191
Fyco1	484	268	216
Mrps18c	511	252	259
Kat2a	965	510	457
Map7d1	1228	665	563
Mir155hg	0	0	0
Mcart1	144	68	76
Slc10a3	297	170	128
Atg4d	933	466	467
Atad1	762	361	401
Mterf4	239	106	133
LOC306079	51	28	23
Slc25a15	272	145	127
Fn3krp	209	92	117
Arhgap5	761	400	361
Camp	3	1	2
Fbxo5	112	52	60
Ttyh1	0	0	0
Dhx37	702	346	356
Il12rb1	1	1	0
Smtnl1	0	0	0
Stk26	214	110	104
Myh2	0	0	0
Cyp4v3	476	234	242
Zg16b	6	3	3
Myrf	10	6	4
Rab11fip1	1805	890	915
Las1l	279	123	156
Smok2a	0	0	0
Vom2r7	0	0	0
Dact2	752	381	371
Srsf9	1355	652	703
Arpc5	2760	1386	1376
Npbwr1	0	0	0
Armcx3	453	230	223
Mzb1	3	0	3
Ercc3	547	270	277
Hbb-bs	0	0	0
Tnks	143	69	75
Prag1	5339	2686	2653
Kif26b	0	0	2
Arhgap30	17	4	13
RGD1559578	0	0	0
Mfhas1	151	74	77
Dcaf10	222	120	102
Trim14	161	89	72
Gpr87	102	52	50
Naa15	739	355	384
Necab3	4	2	2
Arhgap45	10	4	6
Cd3e	6	2	4
Vom2r79	0	0	0
Slirp	248	157	156
Mir3547	0	0	0
Apobec3	1174	556	618
Hmcn1	12	6	6
Golga7b	0	0	0
Ybx2	45	14	31
Vom1r13	0	0	0
Olr1380	0	0	0
Olr386	0	0	0
Olr803	0	0	0
Olr804	0	0	0
Olr807	0	0	0
Trem3	1	0	1
Vom1r16	0	0	0
Mtfr1l	1692	813	879
Paf1	1083	551	532
Plekho1	42	25	17
Vom2r80	0	0	0
Vom2r16	1	1	0
Alkbh3	548	280	268
Zic4	0	0	0
Tbc1d2b	407	201	206
Nostrin	16	11	5
Nmb	3	2	1
Cldn22	14	6	8
Mesp2	1	0	2
Arid1a	995	508	488
Snx5	793	422	373
Wsb2	323	161	162
Ep400	509	246	263
Pantr1	0	0	0
Hoxa11-as	0	0	0
Rps9l1	0	0	0
Kif22	151	72	79
Pgam5	601	296	305
Fam118b	233	108	125
LOC100125364	380	241	240
Cmtm1	0	0	0
Pspc1	298	162	136
Sp110	823	440	383
Memo1	814	409	407
Gmcl1	463	217	246
Mir208b	0	0	0
Pop4	340	171	169
Catsperd	27	18	9
Tmem167b	197	99	98
Cmc1	147	76	71
Syce3	0	0	0
Mir194-2	0	0	0
Snrpf	471	235	238
Olr1l	0	0	0
Slc25a38	298	150	151
Mir543	0	0	0
Mir363	0	0	0
Mir487b	0	0	0
Mir20b	0	0	0
Mir375	0	0	0
Mir199a2	0	0	0
Mir188	0	0	0
Mir382	0	0	0
Mir874	0	0	0
Mir497	0	0	0
Mir503	0	0	0
Obi1	117	67	50
Vom2r17	0	0	0
Hectd2	57	28	29
Abcf3	1256	631	625
Slc1a3	24	13	11
Borcs8	178	93	85
Cyb5r2	35	18	17
Vom2r34	0	0	0
Vom2r33	0	0	0
Serpinb11	0	0	0
Mir877	0	0	0
Mir376a	0	0	0
Mir376b	0	0	0
Mir376c	0	0	0
Mir106a	0	0	0
Mir147	0	0	0
Pa2g4	579	275	305
Pnkp	748	369	381
Krt85	0	0	0
Tmod4	23	15	8
