N_unmapped	5125415	5125415	5125415
N_multimapping	5311328	5311328	5311328
N_noFeature	9306499	13999163	14059657
N_ambiguous	133394	48255	54289
Vom2r3	0	0	0
Rab39a	2	1	1
Fdxacb1	136	72	64
Mrpl52	1204	616	588
Rrlt	3	2	1
Ensa	962	496	466
Tpm1	25810	12904	12906
Efhd2	1779	898	881
Aaas	329	170	159
Nsun4	0	0	0
Ubl4a	491	239	252
Otub1	1831	920	911
Slc25a41	0	0	0
Bach1	280	144	136
Ccr1l1	0	0	0
Xcr1	0	0	0
Csf3	19	8	11
Shh	0	0	0
Eloa	991	492	499
Cox4i1	2252	1111	1141
Arg1	277	142	135
Thbs4	36	17	19
Rcn2	2080	1083	997
Neu2	11	4	7
Inhba	313	156	157
Fdx1	419	193	226
Cd63	11829	5859	5970
Cyp2b12	0	0	0
Vdr	190	107	83
Tnp2	0	0	0
Tnp1	0	0	0
Tbxa2r	80	40	40
Cd37	58	36	29
Areg	1662	831	831
Casp12	92	46	46
Anxa7	1250	621	629
Slco1a2	7	2	5
Acsl6	0	0	0
Lonp1	1212	655	558
Naa35	499	254	245
Atp2b3	0	0	0
Mir3580	0	0	0
Mir3579	0	0	0
Mir3578	0	0	0
Mir3581	0	0	0
Asb1	9	7	2
Fgfr2	1941	934	1007
Brsk1	93	54	51
Preb	541	305	265
Zfp7	0	0	0
Cldn15	4	2	2
Fgd3	14	5	9
Pbx4	8	3	5
Nol8	0	0	0
B4galt5	288	158	130
Scp2d1	0	0	0
Polr3f	232	118	114
Smc2	614	298	316
Ephx3	44	26	18
Cbfa2t3	236	127	109
Plec	3239	1634	1605
Nipsnap3a	0	0	0
Strn4	1842	908	934
Hmg20a	436	228	208
Smim22	480	255	225
Samd3	0	0	0
Shcbp1l	0	0	0
Ube2s	1742	938	804
Prpf31	166	90	76
Lrrtm3	9	1	8
Mrpl51	268	130	138
Fam24a	0	0	0
Fam185a	95	54	42
Msmo1	662	334	328
Vom2r32	0	0	0
Tcta	711	346	365
Dgka	1123	543	580
LOC361985	748	352	396
Cdk5rap1	272	138	134
Nr1d1	805	580	501
Prl3a1	0	0	0
Rwdd1	1102	568	534
Pzp	4	3	1
Zfp709	62	33	29
Tnfsf10	238	131	107
Slc25a25	607	310	297
Brs3	0	0	0
Timm13	1485	727	758
Gja8	0	0	0
Dhrs4	471	235	236
Homez	24	14	10
Olfm3	0	0	0
St18	0	0	0
Pnma2	16	12	4
Anapc2	1404	694	710
Cd300le	39	25	14
Rnpep	1064	533	531
Rps10	1616	726	890
Crhr1	0	0	0
Lilrb4	36	15	21
Kras	734	376	358
Olfm1	108	57	51
Slc4a4	37	18	19
Psmb7	1515	759	756
Herpud1	1175	609	566
Cox4i2	1849	909	940
Fut9	0	0	0
Nfib	1377	731	646
Bnip3	1126	580	546
Mlycd	394	197	197
Trpc6	202	103	99
Chi3l1	2685	1315	1370
Bud31	712	574	528
Ddx52	153	71	82
Hdac2	1733	871	862
Kpna2	209	113	96
Abcg1	707	348	359
Atp6v0e1	2007	977	1030
Synrg	372	187	185
Prdx6	934	495	439
Ptch1	166	85	81
Idi1	683	341	347
Slc22a7	11	7	4
Atrn	551	274	277
Cftr	0	0	0
Mir434	0	0	0
Mir92b	0	0	0
Ap4e1	60	30	30
Ntn5	10	6	4
Sh3bp1	880	451	429
Aqp4	0	0	0
Rangap1	666	327	339
Wdr4	171	74	97
Lrrc47	619	298	321
Ptchd1	22	13	9
Camsap2	489	242	247
Celf5	93	43	50
Sec1	6	4	2
Med14	380	214	166
LOC100909648	0	0	0
LOC100361083	129	60	69
LOC102552805	46	27	19
Tspan17	206	106	100
Chaf1b	48	18	30
Slc17a1	0	0	0
B3galt4	62	34	28
Mlxipl	38	21	17
Fbxo32	323	181	142
Mpnd	1131	565	566
Tnfrsf4	47	23	24
Hpca	4	1	3
Csn2	103	48	55
Tmem242	532	270	262
Vom1r105	0	0	0
Tpm3	4321	2210	2111
C2	1535	779	756
Tprn	219	119	100
Clec14a	553	283	270
Fxyd2	120	73	47
Rgs10	168	80	88
Rgs1	339	160	179
Trim17	14	10	4
Chad	25	14	11
Arf6	1801	870	931
Arf4	5825	2989	2836
Arf2	482	243	239
RGD1308430	646	326	320
Hipk1	1012	520	492
Armh4	125	49	76
Mapk1ip1l	522	263	259
Bola3	654	320	334
Ctsg	0	0	0
LOC679149	21	10	11
Tmem128	907	448	459
Osgep	489	215	274
Magoh	997	515	482
Tmem255b	94	43	56
Ephx4	0	0	0
Ewsr1	5	5	1
Pak1ip1	504	232	272
Fyco1	290	142	148
Mrps18c	667	338	329
Kat2a	1565	807	758
Map7d1	1747	849	898
Mir155hg	99	49	50
