N_unmapped	16392143	16392143	16392143
N_multimapping	4432998	4432998	4432998
N_noFeature	5809342	14511754	14485259
N_ambiguous	200691	76743	78050
Vom2r3	0	0	0
Rab39a	10	4	6
Fdxacb1	178	83	95
Mrpl52	869	445	424
Rrlt	7	4	3
Ensa	1615	784	831
Tpm1	22647	11006	11641
Efhd2	3483	1725	1758
Aaas	429	225	205
Nsun4	41	19	22
Ubl4a	780	383	398
Otub1	2712	1399	1315
Slc25a41	4	3	1
Bach1	286	135	151
Ccr1l1	0	0	0
Xcr1	4	1	3
Csf3	252	132	120
Shh	2	2	0
Eloa	1826	936	897
Cox4i1	1757	856	901
Arg1	1106	566	540
Thbs4	128	63	65
Rcn2	5132	2544	2588
Neu2	19	7	12
Inhba	419	224	195
Fdx1	490	217	273
Cd63	20317	9844	10478
Cyp2b12	0	0	0
Vdr	259	149	110
Tnp2	3	2	1
Tnp1	0	0	0
Tbxa2r	140	58	82
Cd37	544	267	287
Areg	5643	2730	2913
Casp12	254	136	118
Anxa7	2360	1161	1199
Slco1a2	32	11	21
Acsl6	3	3	0
Lonp1	1708	853	857
Naa35	596	320	276
Atp2b3	1	1	0
Mir3580	0	0	0
Mir3579	0	0	0
Mir3578	0	0	0
Mir3581	0	0	0
Asb1	57	29	28
Fgfr2	3500	1754	1746
Brsk1	28	14	18
Preb	823	422	431
Zfp7	3	1	2
Cldn15	64	31	33
Fgd3	134	67	67
Pbx4	9	4	5
Nol8	61	28	33
B4galt5	1032	510	522
Scp2d1	0	0	0
Polr3f	155	72	83
Smc2	731	364	367
Ephx3	87	43	44
Cbfa2t3	214	105	109
Plec	6066	3017	3051
Nipsnap3a	0	0	0
Strn4	3643	1863	1780
Hmg20a	448	227	221
Smim22	348	179	169
Samd3	1	1	0
Shcbp1l	0	0	0
Ube2s	4141	2159	1984
Prpf31	207	93	115
Lrrtm3	15	7	8
Mrpl51	301	124	178
Fam24a	0	0	0
Fam185a	167	91	98
Msmo1	1883	907	976
Vom2r32	0	0	0
Tcta	890	449	441
Dgka	2074	1034	1040
LOC361985	868	410	458
Cdk5rap1	338	169	169
Nr1d1	2351	1438	1372
Prl3a1	0	0	0
Rwdd1	896	458	438
Pzp	4	0	4
Zfp709	112	54	58
Tnfsf10	1247	630	617
Slc25a25	2799	1390	1411
Brs3	0	0	0
Timm13	1218	601	618
Gja8	0	0	0
Dhrs4	537	252	287
Homez	67	38	29
Olfm3	3	2	5
St18	0	0	0
Pnma2	27	15	12
Anapc2	2493	1203	1292
Cd300le	56	36	20
Rnpep	1836	948	888
Rps10	1785	883	902
Crhr1	2	1	1
Lilrb4	33	22	11
Kras	954	451	506
Olfm1	241	123	118
Slc4a4	194	92	107
Psmb7	1678	835	843
Herpud1	3900	1887	2023
Cox4i2	461	246	215
Fut9	0	0	0
Nfib	1671	862	812
Bnip3	1424	698	726
Mlycd	755	369	386
Trpc6	818	408	411
Chi3l1	3010	1547	1464
Bud31	733	600	607
Ddx52	341	162	180
Hdac2	3852	1854	1998
Kpna2	529	263	266
Abcg1	2823	1417	1407
Atp6v0e1	2312	1146	1166
Synrg	721	359	364
Prdx6	1944	957	987
Ptch1	149	72	77
Idi1	775	375	406
Slc22a7	5	4	1
Atrn	1632	794	839
Cftr	0	0	0
Mir434	0	0	0
Mir92b	0	0	0
Ap4e1	107	50	57
Ntn5	0	0	0
Sh3bp1	881	426	455
Aqp4	0	0	0
Rangap1	1515	733	782
Wdr4	381	202	179
Lrrc47	1631	785	848
Ptchd1	2	2	0
Camsap2	740	375	367
Celf5	26	13	14
Sec1	0	0	0
Med14	819	422	397
LOC100909648	0	0	0
LOC100361083	296	133	164
LOC102552805	37	18	19
Tspan17	487	222	265
Chaf1b	221	114	107
Slc17a1	0	0	0
B3galt4	34	16	21
Mlxipl	30	17	14
Fbxo32	460	234	226
Mpnd	1849	915	937
Tnfrsf4	65	24	41
Hpca	5	2	3
Csn2	0	0	0
Tmem242	615	326	289
Vom1r105	0	0	0
Tpm3	9308	4774	4539
C2	7821	3990	3835
Tprn	432	197	235
Clec14a	1685	876	809
Fxyd2	139	74	65
Rgs10	105	48	57
Rgs1	570	284	286
Trim17	12	7	5
Chad	7	3	4
Arf6	4829	2415	2414
Arf4	12470	6247	6223
Arf2	1229	612	617
RGD1308430	812	438	394
Hipk1	1357	685	672
Armh4	369	188	181
Mapk1ip1l	367	177	190
Bola3	444	237	207
Ctsg	0	0	0
LOC679149	41	20	21
Tmem128	879	407	472
Osgep	507	254	253
Magoh	712	372	340
Tmem255b	58	28	36
Ephx4	0	0	0
Ewsr1	403	206	198
Pak1ip1	487	241	246
Fyco1	521	269	252
Mrps18c	343	153	190
Kat2a	1498	732	768
Map7d1	2953	1433	1520
Mir155hg	27	9	18
Mcart1	294	156	138
Slc10a3	723	337	386
Atg4d	940	476	464
Atad1	1773	861	912
Mterf4	218	113	105
LOC306079	38	20	18
Slc25a15	254	128	126
Fn3krp	289	128	161
Arhgap5	1084	518	566
Camp	88	40	48
Fbxo5	135	64	71
Ttyh1	1	0	1
Dhx37	740	388	352
Il12rb1	10	5	5
Smtnl1	0	0	0
Stk26	268	122	146
Myh2	0	0	0
Cyp4v3	638	307	331
Zg16b	9	4	6
Myrf	13	5	8
Rab11fip1	2006	1026	980
Las1l	391	214	177
Smok2a	0	0	0
Vom2r7	0	0	0
Dact2	2369	1191	1178
Srsf9	1808	855	954
Arpc5	5548	2741	2807
Npbwr1	0	0	0
Armcx3	1243	564	679
Mzb1	88	42	46
Ercc3	624	317	307
Hbb-bs	69	32	37
Tnks	491	241	250
Prag1	5885	3002	2883
Kif26b	73	40	34
Arhgap30	140	79	61
RGD1559578	0	0	0
Mfhas1	613	340	273
Dcaf10	344	177	167
Trim14	56	32	24
Gpr87	27	16	11
Naa15	1127	561	567
Necab3	17	3	14
Arhgap45	440	206	234
Cd3e	126	69	57
Vom2r79	0	0	0
Slirp	182	141	169
Mir3547	0	0	0
Apobec3	571	272	299
Hmcn1	385	215	170
Golga7b	0	0	0
Ybx2	52	30	22
Vom1r13	0	0	0
Olr1380	0	0	0
Olr386	0	0	0
Olr803	0	0	0
Olr804	0	0	0
Olr807	0	0	0
Trem3	3	2	1
Vom1r16	0	0	0
Mtfr1l	3191	1598	1593
Paf1	2439	1246	1193
Plekho1	210	110	100
Vom2r80	5	1	4
Vom2r16	2	1	1
Alkbh3	714	350	364
Zic4	1	0	1
Tbc1d2b	2550	1234	1316
Nostrin	227	124	103
Nmb	6	4	2
Cldn22	3	2	1
Mesp2	1	1	0
Arid1a	1510	745	766
Snx5	1255	652	605
Wsb2	897	440	457
Ep400	931	460	471
Pantr1	41	25	16
Hoxa11-as	0	0	0
Rps9l1	0	0	0
Kif22	379	196	183
Pgam5	710	353	357
Fam118b	267	135	133
LOC100125364	557	347	334
Cmtm1	0	0	0
Pspc1	636	317	319
Sp110	856	424	432
Memo1	833	406	428
Gmcl1	1189	570	619
Mir208b	0	0	0
Pop4	407	215	192
Catsperd	33	17	16
Tmem167b	234	103	131
Cmc1	132	61	71
Syce3	0	0	0
Mir194-2	0	0	0
Snrpf	486	262	224
Olr1l	0	0	0
Slc25a38	470	238	233
Mir543	0	0	0
Mir363	0	0	0
Mir487b	0	0	0
Mir20b	0	0	0
Mir375	0	0	0
Mir199a2	0	0	0
Mir188	0	0	0
Mir382	0	0	0
Mir874	0	0	0
Mir497	0	0	0
Mir503	0	0	0
Obi1	126	62	64
Vom2r17	0	0	0
Hectd2	416	180	237
Abcf3	1231	652	580
Slc1a3	299	145	154
Borcs8	185	93	92
Cyb5r2	41	21	20
Vom2r34	0	0	0
Vom2r33	0	0	0
Serpinb11	0	0	0
Mir877	1	0	1
Mir376a	0	0	0
Mir376b	0	0	0
Mir376c	0	0	0
Mir106a	0	0	0
Mir147	0	0	0
Pa2g4	570	265	306
Pnkp	571	260	311
Krt85	0	0	0
Tmod4	29	13	16
Vom2r78	0	0	0
Psmd12	2328	1142	1186
Prelid3b	1252	614	638
Nlrp4a	0	0	0
Vom2r28	0	0	0
Ythdf2	2333	1181	1153
MGC93861	3	2	1
Arl2bp	2270	1149	1124
Ubfd1	693	353	343
Tbc1d14	739	392	347
Selenok-ps2	3	1	2
Mir328b	0	0	0
Gprc5a	905	446	459
Tincr	56	25	31
Mir30c1	0	0	0
Mir30e	0	0	0
Phactr1	169	79	90
Atp5mc3	4856	2359	2498
Olr4	0	0	0
Olr5	0	0	0
Olr6	0	0	0
Olr7	0	0	0
Olr8	0	0	0
Theg	0	0	0
Ocrl	380	170	210
Snx19	755	349	406
Ccnt2	885	426	459
Tfcp2l1	35	19	16
Vom2r71	0	0	0
Smpdl3b	347	173	174
Foxj2	1639	842	798
Zswim5	136	70	67
Lime1	189	99	90
Stk11	131	75	98
Zfyve9	373	186	188
Arid3a	127	82	45
Zfp524	118	57	61
Ccdc60	0	0	0
Gnas	18181	9189	8993
Shfl	650	465	496
Mir410	0	0	0
Mir301b	0	0	0
Mir378	0	1	2
Mir381	0	0	0
Mir539	0	0	0
Mir224	2	0	2
Trim16	543	284	260
Ebi3	20	8	12
Actg1	15554	8012	7552
Antkmt	412	187	225
Espnl	1	1	0
Txnrd3	188	89	99
Nrg4	19	13	6
Nop2	1098	565	535
Rpl3l	65	30	35
Tfap2e	61	28	33
Ttc14	451	237	215
Rasal2	587	299	288
Dkk1	0	0	0
Parp9	2495	1198	1297
C1qtnf3	70	37	33
Radx	0	0	0
Phykpl	2	13	26
Spink5	22	10	12
Bet1l	714	344	375
Ppt2	855	418	439
LOC680627	67	33	34
Tmem33	710	365	345
Bcl2l2	847	408	440
Nat8f1	2	1	1
Vom2r29	0	0	0
Vom2r30	0	0	0
Nr2f6	3321	1714	1608
Fbxl6	765	403	363
Pla2g4c	0	0	0
Magi1	620	273	347
Nkx6-3	6	2	4
Rapgef3	348	169	179
F2	4	2	2
Rab5a	908	443	465
Flot1	2248	1058	1190
Exoc7	147	86	61
Srd5a2	24	12	12
Galnt7	412	196	216
Pmpcb	1707	841	866
Faf1	1735	864	871
Mrps25	446	205	241
Ceacam9	1	0	1
Upp2	0	0	0
Ambn	0	0	0
Fbln5	1385	706	679
Capn1	1316	679	638
Slc3a2	11217	5699	5520
Grem1	12	6	6
Gjd2	0	0	0
Gja5	80	39	41
Clvs2	0	0	0
Sbsn	148	80	76
Pnma8b	5	1	4
Pnma8a	0	0	0
Cbx2	140	64	76
Ssr2	4421	2205	2217
Mau2	1427	672	759
Prcp	391	204	187
Fndc3a	1097	522	575
Ceacam11	0	0	0
Igfbp7	9067	4830	5298
Psg19	0	0	0
Ghitm	3522	1763	1759
Tgfbrap1	513	247	266
Kctd6	179	98	81
Sart3	1021	500	521
Perp	9930	4809	5121
Zfp503	2610	1315	1295
Phtf2	590	290	300
Ttc30a1	30	12	18
Depdc7	176	81	95
Zhx3	515	249	266
Scamp1	1752	833	919
Nop16	1110	571	542
Tbr1	8	5	3
Panx1	397	200	197
Olr1082	0	0	0
Ugt1a8	0	0	0
Taar8a	0	0	0
Ric8b	217	111	106
Ppm1n	68	31	37
Fos	96166	48554	47857
Mcl1	5254	2514	2743
Sv2c	84	37	47
Cirbp	3653	1786	1868
Cib1	1092	552	540
Pak2	412	205	207
Enkur	9	2	7
Psme4	1414	713	701
C1qtnf6	2468	1259	1209
RGD1564324	0	0	0
Sncaip	53	27	26
Zfp608	621	299	322
Mex3c	1504	724	780
Shbg	4	3	1
Sst	0	0	0
Cmip	2049	1072	977
Klrk1	29	13	16
Mt1	1743	849	894
Rabggtb	511	239	272
Cyp2c22	0	0	0
Spon2	792	390	402
Nme7	232	123	149
LOC257642	38	31	20
Zfp597	103	51	52
Mtarc2	808	415	393
Zfp112	13	11	2
Zic3	0	0	0
Tescl	1	1	0
Stap1	22	10	12
Plxdc1	780	412	368
Taf5	271	169	152
Septin8	1590	793	797
Olr437	0	0	0
Cpa4	29	14	15
Umps	884	440	444
Aven	301	163	138
Hoxb13	0	0	0
Eefsec	273	153	121
Sez6l2	24	6	18
Phldb3	908	453	457
Ceacam20	0	0	0
Mapk9	1350	691	659
Kmt5a	1350	678	672
Itgb3	718	346	372
Macroh2a2	883	463	433
Uqcrb	1317	667	650
Uckl1	971	495	476
Nadk	1998	1029	969
LOC498675	2	0	2
Agr2	1	1	0
Fam222b	534	285	250
Ddx58	629	336	293
Prps1l1	0	0	0
Prr19	5	5	0
RGD1560108	864	454	430
