N_unmapped	14803823	14803823	14803823
N_multimapping	5958151	5958151	5958151
N_noFeature	5680190	13526790	13542516
N_ambiguous	326858	138065	143182
Vom2r3	0	0	0
Rab39a	5	2	3
Fdxacb1	170	92	78
Mrpl52	1375	694	683
Rrlt	14	8	6
Ensa	2058	1014	1044
Tpm1	515	240	275
Efhd2	5455	2740	2717
Aaas	551	284	269
Nsun4	22	10	13
Ubl4a	786	397	389
Otub1	2260	1154	1107
Slc25a41	0	1	0
Bach1	130	62	68
Ccr1l1	36	20	16
Xcr1	21	13	8
Csf3	0	0	0
Shh	0	0	0
Eloa	1400	734	669
Cox4i1	5197	2644	2553
Arg1	29	12	17
Thbs4	0	0	0
Rcn2	664	344	320
Neu2	0	0	0
Inhba	0	0	0
Fdx1	733	314	419
Cd63	2525	1241	1290
Cyp2b12	0	0	0
Vdr	554	271	283
Tnp2	7	4	3
Tnp1	0	0	0
Tbxa2r	173	91	85
Cd37	9334	4922	4661
Areg	565	268	297
Casp12	3	0	3
Anxa7	1078	543	535
Slco1a2	0	0	0
Acsl6	0	0	0
Lonp1	1187	591	599
Naa35	628	296	332
Atp2b3	3	1	2
Mir3580	0	0	0
Mir3579	0	0	0
Mir3578	0	0	0
Mir3581	0	0	0
Asb1	107	52	55
Fgfr2	74	39	35
Brsk1	16	13	7
Preb	1039	546	548
Zfp7	1	1	0
Cldn15	0	0	0
Fgd3	919	484	435
Pbx4	71	35	37
Nol8	77	41	36
B4galt5	269	144	125
Scp2d1	2	2	0
Polr3f	129	62	67
Smc2	752	377	375
Ephx3	0	0	0
Cbfa2t3	304	159	146
Plec	1849	901	951
Nipsnap3a	0	0	0
Strn4	1119	549	570
Hmg20a	408	210	200
Smim22	112	50	62
Samd3	83	45	38
Shcbp1l	0	0	0
Ube2s	8284	4209	4075
Prpf31	254	118	136
Lrrtm3	3	0	3
Mrpl51	217	94	124
Fam24a	0	0	0
Fam185a	557	283	320
Msmo1	636	338	298
Vom2r32	0	0	0
Tcta	538	279	260
Dgka	9552	4768	4789
LOC361985	615	325	291
Cdk5rap1	300	164	136
Nr1d1	362	246	240
Prl3a1	0	0	0
Rwdd1	1229	649	580
Pzp	0	0	0
Zfp709	73	38	35
Tnfsf10	70	41	29
Slc25a25	486	245	241
Brs3	0	0	0
Timm13	2755	1398	1361
Gja8	0	0	0
Dhrs4	221	111	111
Homez	17	7	10
Olfm3	3	2	11
St18	0	0	0
Pnma2	10	3	7
Anapc2	1377	652	725
Cd300le	58	32	26
Rnpep	1417	714	703
Rps10	7413	3704	3709
Crhr1	13	8	5
Lilrb4	51	25	26
Kras	835	412	423
Olfm1	3010	1526	1484
Slc4a4	7	6	3
Psmb7	2787	1385	1403
Herpud1	3835	1772	2064
Cox4i2	8	4	4
Fut9	0	0	0
Nfib	31	19	12
Bnip3	296	148	148
Mlycd	779	380	399
Trpc6	25	15	10
Chi3l1	44	22	22
Bud31	1472	1203	1200
Ddx52	323	166	157
Hdac2	1183	572	611
Kpna2	540	284	256
Abcg1	3192	1535	1657
Atp6v0e1	3923	1973	1950
Synrg	503	278	227
Prdx6	1051	537	514
Ptch1	61	28	33
Idi1	2016	976	1042
Slc22a7	0	0	0
Atrn	223	116	116
Cftr	1	0	1
Mir434	0	0	0
Mir92b	0	0	0
Ap4e1	45	25	20
Ntn5	3	0	3
Sh3bp1	1997	1029	971
Aqp4	0	0	0
Rangap1	2366	1122	1244
Wdr4	419	193	226
Lrrc47	1383	673	713
Ptchd1	0	0	0
Camsap2	217	108	109
Celf5	19	13	10
Sec1	2	0	2
Med14	463	227	236
LOC100909648	0	0	0
LOC100361083	28	16	12
LOC102552805	10	7	4
Tspan17	345	142	203
Chaf1b	257	130	127
Slc17a1	0	0	0
