N_unmapped	23136404	23136404	23136404
N_multimapping	6302657	6302657	6302657
N_noFeature	8030227	19719516	19699252
N_ambiguous	326738	127229	130909
Vom2r3	0	0	0
Rab39a	10	5	5
Fdxacb1	145	64	81
Mrpl52	2076	1063	1014
Rrlt	23	9	14
Ensa	3164	1544	1620
Tpm1	16004	7988	8016
Efhd2	5080	2581	2500
Aaas	628	301	331
Nsun4	30	14	16
Ubl4a	1412	746	666
Otub1	5194	2683	2511
Slc25a41	0	0	0
Bach1	534	278	256
Ccr1l1	0	0	0
Xcr1	27	10	17
Csf3	89	54	35
Shh	0	0	0
Eloa	2301	1166	1139
Cox4i1	3229	1574	1656
Arg1	685	340	345
Thbs4	152	79	73
Rcn2	5660	2848	2813
Neu2	28	14	14
Inhba	667	314	353
Fdx1	954	480	474
Cd63	34266	16823	17465
Cyp2b12	3	2	1
Vdr	685	348	337
Tnp2	0	0	0
Tnp1	0	0	0
Tbxa2r	37	20	17
Cd37	302	173	141
Areg	7241	3592	3650
Casp12	472	248	224
Anxa7	3586	1750	1836
Slco1a2	16	9	7
Acsl6	0	0	0
Lonp1	2490	1244	1250
Naa35	1212	632	580
Atp2b3	2	2	0
Mir3580	0	0	0
Mir3579	0	0	0
Mir3578	0	0	0
Mir3581	0	0	0
Asb1	100	63	37
Fgfr2	2576	1314	1262
Brsk1	61	31	34
Preb	1724	925	874
Zfp7	4	1	3
Cldn15	82	49	33
Fgd3	58	31	27
Pbx4	18	9	9
Nol8	98	43	55
B4galt5	818	400	420
Scp2d1	0	0	0
Polr3f	285	162	123
Smc2	685	361	324
Ephx3	42	23	19
Cbfa2t3	252	130	122
Plec	7474	3790	3685
Nipsnap3a	0	0	0
Strn4	3290	1623	1667
Hmg20a	648	325	325
Smim22	1161	542	619
Samd3	0	0	0
Shcbp1l	0	0	0
Ube2s	6248	3153	3097
Prpf31	378	185	193
Lrrtm3	12	5	7
Mrpl51	611	326	285
Fam24a	3	2	1
Fam185a	258	125	152
Msmo1	2349	1128	1221
Vom2r32	0	0	0
Tcta	1501	734	770
Dgka	1617	832	785
LOC361985	1529	752	777
Cdk5rap1	530	232	298
Nr1d1	3059	1900	1898
Prl3a1	0	0	0
Rwdd1	1559	774	785
Pzp	1	1	0
Zfp709	214	101	113
Tnfsf10	1539	722	817
Slc25a25	1331	687	644
Brs3	0	0	0
Timm13	2936	1458	1479
Gja8	0	0	0
Dhrs4	944	428	516
Homez	128	64	64
Olfm3	0	0	0
St18	1	0	1
Pnma2	351	164	187
Anapc2	3264	1587	1679
Cd300le	311	156	155
Rnpep	3723	1917	1807
Rps10	3093	1538	1555
Crhr1	0	0	0
Lilrb4	107	54	55
Kras	1253	607	646
Olfm1	1950	1001	949
Slc4a4	249	117	135
Psmb7	2912	1447	1465
Herpud1	4043	1941	2111
Cox4i2	342	169	173
Fut9	0	0	0
Nfib	1549	794	756
Bnip3	2404	1206	1198
Mlycd	1775	877	898
Trpc6	262	136	126
Chi3l1	9893	4961	4932
Bud31	1354	1160	1100
Ddx52	552	257	297
Hdac2	4395	2158	2237
Kpna2	935	463	472
Abcg1	3895	1988	1907
Atp6v0e1	4642	2394	2248
Synrg	754	398	357
Prdx6	3510	1720	1790
Ptch1	237	118	119
Idi1	475	222	255
Slc22a7	40	19	21
Atrn	1988	973	1015
Cftr	0	0	0
Mir434	0	0	0
Mir92b	1	1	0
Ap4e1	50	26	24
Ntn5	8	6	2
Sh3bp1	1272	664	608
Aqp4	0	0	0
Rangap1	1943	979	966
Wdr4	688	320	368
Lrrc47	2153	1021	1136
Ptchd1	0	0	0
Camsap2	943	476	468
Celf5	50	21	32
Sec1	13	5	8
Med14	892	426	466
LOC100909648	0	0	0
LOC100361083	326	167	159
LOC102552805	32	18	14
Tspan17	673	317	356
Chaf1b	216	103	113
Slc17a1	0	0	0
B3galt4	106	64	43
Mlxipl	11	4	7
Fbxo32	833	432	401
Mpnd	3174	1571	1605
Tnfrsf4	102	54	48
Hpca	8	3	5
Csn2	73	29	44
Tmem242	1131	551	580
Vom1r105	0	0	0
Tpm3	10752	5444	5313
C2	15407	7716	7702
Tprn	970	454	517
Clec14a	3084	1583	1501
Fxyd2	125	70	55
Rgs10	486	248	238
Rgs1	2210	1144	1066
Trim17	0	0	0
Chad	118	55	65
Arf6	5547	2794	2753
Arf4	13116	6644	6472
Arf2	1114	549	565
RGD1308430	1688	814	909
Hipk1	1248	626	624
Armh4	159	84	75
Mapk1ip1l	538	281	257
Bola3	870	415	455
Ctsg	0	0	0
LOC679149	47	14	33
Tmem128	1468	705	763
Osgep	722	373	349
Magoh	1065	519	546
Tmem255b	95	42	55
Ephx4	0	0	0
Ewsr1	375	176	199
Pak1ip1	781	429	352
Fyco1	743	365	380
Mrps18c	669	321	348
Kat2a	2012	999	1018
Map7d1	4289	2108	2182
Mir155hg	48	18	30
Mcart1	312	151	161
Slc10a3	1099	514	587
Atg4d	1858	922	936
Atad1	2561	1226	1335
Mterf4	393	187	206
LOC306079	58	32	26
Slc25a15	349	168	181
Fn3krp	567	296	271
Arhgap5	942	466	476
Camp	24	12	12
Fbxo5	165	84	81
Ttyh1	3	1	2
Dhx37	1024	510	515
Il12rb1	4	4	0
Smtnl1	0	0	0
Stk26	294	132	162
Myh2	0	0	0
Cyp4v3	543	270	274
Zg16b	35	16	19
Myrf	17	10	8
Rab11fip1	2095	1037	1058
Las1l	386	204	182
Smok2a	0	0	0
Vom2r7	0	0	0
