N_unmapped	1356782	1356782	1356782
N_multimapping	4684192	4684192	4684192
N_noFeature	12872582	17661296	17700986
N_ambiguous	86683	29679	35600
Vom2r3	0	0	0
Rab39a	8	5	3
Fdxacb1	39	20	19
Mrpl52	1010	521	489
Rrlt	9	4	5
Ensa	954	479	475
Tpm1	1363	697	666
Efhd2	495	253	242
Aaas	223	85	138
Nsun4	0	0	0
Ubl4a	1065	566	499
Otub1	1034	519	515
Slc25a41	9	7	2
Bach1	47	26	21
Ccr1l1	0	0	0
Xcr1	7	4	3
Csf3	13	3	10
Shh	5	5	0
Eloa	520	248	272
Cox4i1	2039	1035	1004
Arg1	33	15	18
Thbs4	186	93	93
Rcn2	1606	794	812
Neu2	7	3	4
Inhba	1	1	0
Fdx1	526	251	275
Cd63	17145	8423	8722
Cyp2b12	2	1	1
Vdr	3	1	2
Tnp2	0	0	0
Tnp1	0	0	0
Tbxa2r	3	2	1
Cd37	25	10	16
Areg	52	28	24
Casp12	163	91	72
Anxa7	492	235	257
Slco1a2	2	0	2
Acsl6	22	14	8
Lonp1	395	204	191
Naa35	304	152	152
Atp2b3	67	32	35
Mir3580	0	0	0
Mir3579	0	1	1
Mir3578	0	0	0
Mir3581	0	0	0
Asb1	13	6	7
Fgfr2	484	236	248
Brsk1	51	29	24
Preb	442	211	247
Zfp7	0	0	0
Cldn15	0	0	0
Fgd3	7	1	6
Pbx4	38	16	22
Nol8	0	0	0
B4galt5	202	105	97
Scp2d1	0	0	0
Polr3f	105	62	43
Smc2	478	236	242
Ephx3	47	23	24
Cbfa2t3	205	90	115
Plec	836	397	439
Nipsnap3a	2	1	1
Strn4	1097	535	562
Hmg20a	179	97	82
Smim22	14	6	8
Samd3	14	10	4
Shcbp1l	41	19	22
Ube2s	2468	1294	1174
Prpf31	49	30	19
Lrrtm3	14	9	5
Mrpl51	447	229	218
Fam24a	0	0	0
Fam185a	59	41	26
Msmo1	1087	571	516
Vom2r32	7	5	2
Tcta	707	362	345
Dgka	510	256	254
LOC361985	1051	552	499
Cdk5rap1	103	54	49
Nr1d1	1488	964	994
Prl3a1	0	0	0
Rwdd1	871	439	432
Pzp	39	12	27
Zfp709	159	82	77
Tnfsf10	14	6	8
Slc25a25	788	407	381
Brs3	0	0	0
Timm13	526	251	275
Gja8	24	12	12
Dhrs4	121	62	59
Homez	32	20	12
Olfm3	7	5	2
St18	13	4	9
Pnma2	23	11	12
Anapc2	1238	643	595
Cd300le	32	20	12
Rnpep	435	209	226
Rps10	1004	470	534
Crhr1	3	1	2
Lilrb4	8	4	4
Kras	438	228	210
Olfm1	137	71	66
Slc4a4	126	62	64
Psmb7	1114	578	536
Herpud1	1574	776	798
Cox4i2	202	101	101
Fut9	1	0	1
Nfib	298	147	151
Bnip3	328	149	179
Mlycd	368	178	190
Trpc6	11	5	6
Chi3l1	34	19	15
Bud31	998	760	742
Ddx52	191	73	118
Hdac2	1897	958	939
Kpna2	269	138	131
Abcg1	81	44	37
Atp6v0e1	1855	923	932
Synrg	161	86	75
Prdx6	570	311	259
Ptch1	54	29	25
Idi1	959	492	467
Slc22a7	0	0	0
Atrn	471	227	244
Cftr	23	10	13
Mir434	0	0	0
Mir92b	0	0	0
Ap4e1	71	35	36
Ntn5	16	6	10
Sh3bp1	178	93	85
Aqp4	23	13	10
Rangap1	367	189	178
Wdr4	74	36	38
Lrrc47	460	231	229
Ptchd1	2	0	2
Camsap2	281	127	154
Celf5	37	18	19
Sec1	0	0	0
Med14	154	85	69
LOC100909648	0	0	0
LOC100361083	36	26	10
LOC102552805	10	3	7
Tspan17	114	60	54
Chaf1b	114	58	56
Slc17a1	12	5	7
B3galt4	18	9	9
Mlxipl	5	3	2
Fbxo32	20	6	14
Mpnd	760	386	374
Tnfrsf4	10	4	6
Hpca	1	1	0
Csn2	198	105	93
Tmem242	269	125	144
Vom1r105	0	0	0
Tpm3	2755	1425	1330
C2	542	255	287
Tprn	37	14	23
Clec14a	614	329	285
Fxyd2	171	91	80
Rgs10	483	252	231
Rgs1	94	39	55
Trim17	10	5	5
