N_unmapped	3037697	3037697	3037697
N_multimapping	3070259	3070259	3070259
N_noFeature	4754073	11201182	11266279
N_ambiguous	121505	46048	48758
Vom2r3	0	0	0
Rab39a	0	0	0
Fdxacb1	265	131	134
Mrpl52	655	329	326
Rrlt	4	1	3
Ensa	1219	585	634
Tpm1	7239	3679	3560
Efhd2	3585	1767	1818
Aaas	305	139	166
Nsun4	0	0	0
Ubl4a	617	315	302
Otub1	2065	1004	1061
Slc25a41	0	0	0
Bach1	58	32	26
Ccr1l1	0	0	0
Xcr1	19	13	6
Csf3	3278	1621	1657
Shh	0	0	0
Eloa	1911	1016	895
Cox4i1	1848	906	942
Arg1	412	176	236
Thbs4	6	2	4
Rcn2	3223	1605	1618
Neu2	204	104	100
Inhba	49	28	21
Fdx1	905	469	436
Cd63	11581	5616	5965
Cyp2b12	0	0	0
Vdr	704	372	332
Tnp2	0	0	0
Tnp1	0	0	0
Tbxa2r	12	6	6
Cd37	39	17	23
Areg	1463	747	716
Casp12	479	249	230
Anxa7	1792	938	854
Slco1a2	20	10	10
Acsl6	0	0	0
Lonp1	816	411	405
Naa35	359	180	179
Atp2b3	0	0	0
Mir3580	0	0	0
Mir3579	0	0	0
Mir3578	0	0	0
Mir3581	0	0	0
Asb1	57	29	28
Fgfr2	440	209	231
Brsk1	17	11	9
Preb	749	397	370
Zfp7	0	0	0
Cldn15	0	0	0
Fgd3	8	7	1
Pbx4	10	4	6
Nol8	0	0	0
B4galt5	104	51	53
Scp2d1	0	0	0
Polr3f	139	69	70
Smc2	251	142	109
Ephx3	42	15	27
Cbfa2t3	53	30	23
Plec	1302	668	634
Nipsnap3a	0	0	0
Strn4	2038	1032	1006
Hmg20a	207	107	100
Smim22	766	399	367
Samd3	3	1	2
Shcbp1l	0	0	0
Ube2s	2940	1563	1377
Prpf31	84	43	41
Lrrtm3	0	0	0
Mrpl51	221	130	91
Fam24a	0	0	0
Fam185a	58	29	32
Msmo1	607	307	300
Vom2r32	0	0	0
Tcta	744	378	366
Dgka	1023	478	545
LOC361985	1089	545	544
Cdk5rap1	347	172	175
Nr1d1	1754	1008	1052
Prl3a1	0	0	0
Rwdd1	697	358	339
Pzp	4	3	1
Zfp709	32	16	16
Tnfsf10	571	296	275
Slc25a25	536	268	268
Brs3	0	0	0
Timm13	1297	618	679
Gja8	0	0	0
Dhrs4	712	337	375
Homez	50	26	24
Olfm3	0	0	0
St18	0	0	0
Pnma2	0	0	0
Anapc2	2032	1034	999
Cd300le	65	33	32
Rnpep	1702	832	870
Rps10	866	421	445
Crhr1	0	0	0
Lilrb4	112	54	58
Kras	910	448	462
Olfm1	28	13	15
Slc4a4	189	91	98
Psmb7	1182	591	591
Herpud1	2524	1269	1255
Cox4i2	7	4	3
Fut9	0	0	0
Nfib	1974	1010	964
Bnip3	376	203	173
Mlycd	655	318	337
Trpc6	124	63	61
Chi3l1	18525	9269	9256
Bud31	881	684	624
Ddx52	274	138	136
Hdac2	1694	801	893
Kpna2	105	50	55
Abcg1	1000	502	498
Atp6v0e1	1766	927	839
Synrg	130	76	54
Prdx6	841	436	405
Ptch1	75	33	42
Idi1	513	251	265
Slc22a7	0	0	0
Atrn	1503	779	724
Cftr	0	0	0
Mir434	0	0	0
Mir92b	0	0	0
Ap4e1	40	25	15
Ntn5	0	0	0
Sh3bp1	198	85	113
Aqp4	0	0	0
Rangap1	629	345	284
Wdr4	530	279	251
Lrrc47	680	336	344
Ptchd1	5	4	1
Camsap2	197	116	81
Celf5	0	0	0
Sec1	0	0	0
Med14	128	63	65
LOC100909648	0	0	0
LOC100361083	5	3	2
LOC102552805	37	18	19
Tspan17	95	49	46
Chaf1b	66	38	28
Slc17a1	4	3	1
B3galt4	20	10	10
Mlxipl	16	9	7
Fbxo32	791	412	379
Mpnd	1773	902	871
Tnfrsf4	67	33	34
Hpca	2	0	2
Csn2	176	89	87
Tmem242	611	312	299
Vom1r105	0	0	0
Tpm3	4535	2343	2192
C2	8031	4006	4025
Tprn	787	410	377
Clec14a	371	194	177
Fxyd2	24	11	13
Rgs10	90	38	52
Rgs1	493	251	242
Trim17	6	1	5
Chad	96	49	47
Arf6	4612	2241	2371
Arf4	7381	3699	3682
Arf2	683	359	324
RGD1308430	822	409	421
Hipk1	310	143	167
Armh4	71	36	35
Mapk1ip1l	94	50	44
Bola3	291	147	144
Ctsg	0	0	0
LOC679149	13	9	4
Tmem128	960	461	499
Osgep	336	165	171
Magoh	647	319	328
Tmem255b	12	6	6
Ephx4	0	0	0
Ewsr1	4	3	1
Pak1ip1	282	137	145
Fyco1	236	126	110
Mrps18c	588	294	294
Kat2a	1298	646	652
Map7d1	2087	1036	1051
Mir155hg	7	2	5
Mcart1	1	1	0
Slc10a3	311	146	165
Atg4d	1291	647	644
Atad1	690	356	334
Mterf4	176	89	87
LOC306079	8	8	0
Slc25a15	217	108	109
Fn3krp	185	97	88
Arhgap5	429	203	226
Camp	22	9	13
Fbxo5	83	40	43
Ttyh1	9	5	4
Dhx37	373	166	207
Il12rb1	1	0	1
Smtnl1	30	12	18
Stk26	114	55	59
Myh2	21	9	12
Cyp4v3	488	262	226
Zg16b	0	0	0
Myrf	1	1	0
Rab11fip1	2656	1322	1334
Las1l	216	112	104
Smok2a	0	0	0
Vom2r7	0	0	0
Dact2	1013	490	523
Srsf9	1564	753	811
Arpc5	3468	1709	1759
Npbwr1	0	0	0
Armcx3	553	270	283
Mzb1	0	0	0
Ercc3	318	165	153
Hbb-bs	0	0	0
Tnks	93	48	45
Prag1	1430	728	702
Kif26b	63	28	35
Arhgap30	32	13	19
RGD1559578	0	0	0
Mfhas1	85	38	47
Dcaf10	220	135	85
Trim14	90	48	42
Gpr87	78	38	40
Naa15	423	209	214
Necab3	0	0	0
Arhgap45	211	101	110
Cd3e	58	33	25
Vom2r79	0	0	0
Slirp	195	139	134
Mir3547	0	0	0
Apobec3	466	231	235
Hmcn1	269	159	110
Golga7b	0	0	0
Ybx2	0	0	0
Vom1r13	0	0	0
Olr1380	0	0	0
Olr386	0	0	0
Olr803	0	0	0
Olr804	0	0	0
Olr807	0	0	0
Trem3	9	5	4
Vom1r16	0	0	0
Mtfr1l	1479	702	777
Paf1	1688	885	803
Plekho1	58	27	31
Vom2r80	0	0	0
Vom2r16	0	0	0
Alkbh3	716	360	356
Zic4	0	0	0
Tbc1d2b	589	293	296
Nostrin	61	31	30
Nmb	1	1	0
Cldn22	12	7	5
Mesp2	0	0	0
Arid1a	675	339	336
Snx5	1059	536	524
Wsb2	428	232	196
Ep400	524	268	256
