N_unmapped	1704371	1704371	1704371
N_multimapping	4259708	4259708	4259708
N_noFeature	7905960	17442264	17516931
N_ambiguous	143199	48923	51964
Vom2r3	0	0	0
Rab39a	8	6	2
Fdxacb1	193	117	76
Mrpl52	1268	645	623
Rrlt	16	11	5
Ensa	1966	1009	957
Tpm1	12389	6216	6173
Efhd2	2845	1410	1435
Aaas	530	258	272
Nsun4	0	0	0
Ubl4a	1157	605	552
Otub1	3192	1632	1560
Slc25a41	1	1	0
Bach1	391	191	200
Ccr1l1	0	0	0
Xcr1	11	5	6
Csf3	111	58	53
Shh	1	1	0
Eloa	2125	1054	1071
Cox4i1	3161	1581	1580
Arg1	172	89	83
Thbs4	766	365	401
Rcn2	5810	2875	2935
Neu2	56	27	29
Inhba	860	416	444
Fdx1	616	312	304
Cd63	24878	12192	12686
Cyp2b12	0	0	0
Vdr	890	464	426
Tnp2	0	0	0
Tnp1	0	0	0
Tbxa2r	57	19	38
Cd37	33	18	17
Areg	9716	4832	4884
Casp12	394	196	198
Anxa7	2750	1461	1289
Slco1a2	21	11	10
Acsl6	4	2	2
Lonp1	2286	1139	1147
Naa35	1009	499	510
Atp2b3	40	16	24
Mir3580	0	0	0
Mir3579	0	0	0
Mir3578	0	0	0
Mir3581	0	0	0
Asb1	73	31	42
Fgfr2	883	464	419
Brsk1	80	42	44
Preb	1371	718	688
Zfp7	0	0	0
Cldn15	7	3	4
Fgd3	30	21	9
Pbx4	11	7	4
Nol8	0	0	0
B4galt5	643	317	326
Scp2d1	1	1	0
Polr3f	267	130	137
Smc2	522	253	269
Ephx3	18	11	7
Cbfa2t3	436	204	232
Plec	5483	2736	2747
Nipsnap3a	0	0	0
Strn4	2945	1461	1484
Hmg20a	894	434	460
Smim22	754	350	404
Samd3	2	1	1
Shcbp1l	3	1	2
Ube2s	2740	1471	1269
Prpf31	242	134	108
Lrrtm3	27	16	11
Mrpl51	537	265	272
Fam24a	0	0	0
Fam185a	150	78	81
Msmo1	2121	1060	1061
Vom2r32	3	2	1
Tcta	1191	579	612
Dgka	2353	1131	1222
LOC361985	1830	906	924
Cdk5rap1	567	263	304
Nr1d1	3661	2251	2083
Prl3a1	0	0	0
Rwdd1	1404	708	696
Pzp	22	10	12
Zfp709	274	131	143
Tnfsf10	972	491	481
Slc25a25	910	474	436
Brs3	0	0	0
Timm13	2000	989	1011
Gja8	0	0	0
Dhrs4	862	400	462
Homez	176	95	81
Olfm3	2	2	0
St18	3	0	3
Pnma2	121	59	62
Anapc2	3325	1650	1675
Cd300le	26	12	14
Rnpep	2326	1194	1132
Rps10	1872	873	999
Crhr1	1	1	0
Lilrb4	21	12	9
Kras	825	427	398
Olfm1	902	458	444
Slc4a4	212	102	110
Psmb7	2483	1218	1265
Herpud1	4094	1975	2119
Cox4i2	280	146	134
Fut9	1	1	0
Nfib	2462	1277	1185
Bnip3	974	486	488
Mlycd	1228	604	624
Trpc6	753	380	373
Chi3l1	9357	4685	4672
Bud31	1115	854	823
Ddx52	413	180	233
Hdac2	3679	1843	1836
Kpna2	246	137	109
Abcg1	3259	1601	1658
Atp6v0e1	3591	1779	1812
Synrg	956	477	479
Prdx6	2687	1417	1270
Ptch1	311	151	160
Idi1	326	160	167
Slc22a7	0	0	0
Atrn	2499	1303	1196
Cftr	15	12	3
Mir434	0	0	0
Mir92b	0	0	0
Ap4e1	123	72	51
Ntn5	9	5	4
Sh3bp1	1068	526	542
Aqp4	5	2	3
Rangap1	1482	731	751
Wdr4	529	286	243
Lrrc47	1961	1003	958
Ptchd1	9	4	5
Camsap2	1302	645	657
Celf5	38	22	16
Sec1	17	12	5
Med14	968	488	480
LOC100909648	0	0	0
LOC100361083	297	150	147
LOC102552805	35	19	16
Tspan17	379	192	187
Chaf1b	148	72	76
Slc17a1	0	0	0
B3galt4	86	44	42
Mlxipl	20	11	9
Fbxo32	654	326	328
Mpnd	2110	1025	1085
Tnfrsf4	65	24	41
Hpca	1	1	0
Csn2	4	3	1
Tmem242	719	368	351
Vom1r105	0	0	0
Tpm3	7186	3742	3444
C2	11126	5532	5594
Tprn	817	406	411
Clec14a	2753	1362	1391
Fxyd2	40	22	18
Rgs10	113	56	57
Rgs1	532	267	265
Trim17	3	1	2
Chad	1343	662	682
Arf6	3547	1729	1818
Arf4	9696	4888	4808
Arf2	675	334	341
RGD1308430	1266	646	633
Hipk1	1608	818	790
Armh4	340	175	165
Mapk1ip1l	259	134	125
Bola3	715	367	348
Ctsg	0	0	0
LOC679149	42	24	18
Tmem128	1440	683	757
Osgep	668	337	331
Magoh	1104	550	554
Tmem255b	35	17	19
Ephx4	3	2	1
Ewsr1	8	3	5
Pak1ip1	491	238	253
Fyco1	812	413	399
Mrps18c	678	350	328
Kat2a	1629	819	810
Map7d1	3646	1805	1841
Mir155hg	36	17	19
Mcart1	20	7	13
Slc10a3	878	459	419
Atg4d	1197	609	588
Atad1	1662	826	836
Mterf4	409	204	205
LOC306079	8	7	1
Slc25a15	360	181	179
Fn3krp	560	274	286
Arhgap5	858	437	421
Camp	0	0	0
Fbxo5	116	57	59
Ttyh1	7	1	6
Dhx37	1057	557	500
Il12rb1	10	5	5
Smtnl1	1	1	0
Stk26	326	164	162
Myh2	16	4	12
Cyp4v3	870	423	447
Zg16b	26	11	15
Myrf	23	11	12
Rab11fip1	1864	924	940
Las1l	615	304	311
Smok2a	0	0	0
Vom2r7	0	0	0
Dact2	1479	753	726
Srsf9	1910	935	975
Arpc5	4707	2331	2376
Npbwr1	0	0	0
Armcx3	1462	707	755
Mzb1	0	0	0
Ercc3	1163	597	566
Hbb-bs	0	0	0
Tnks	380	206	174
Prag1	8622	4341	4281
Kif26b	169	90	79
Arhgap30	64	34	30
RGD1559578	15	3	12
Mfhas1	535	261	274
Dcaf10	492	267	225
Trim14	112	51	61
Gpr87	182	94	88
Naa15	962	480	482
Necab3	3	2	1
Arhgap45	149	66	83
Cd3e	39	19	20
Vom2r79	0	0	0
Slirp	501	333	332
Mir3547	0	0	0
Apobec3	976	506	470
Hmcn1	1300	649	651
Golga7b	0	0	0
Ybx2	42	20	22
Vom1r13	0	0	0
Olr1380	0	0	0
Olr386	0	0	0
Olr803	2	2	0
Olr804	0	0	0
Olr807	0	0	0
Trem3	0	0	0
Vom1r16	0	0	0
Mtfr1l	2769	1392	1377
Paf1	3072	1546	1526
Plekho1	270	144	126
Vom2r80	3	3	1
Vom2r16	0	0	0
Alkbh3	694	349	345
Zic4	8	4	4
Tbc1d2b	2646	1335	1311
Nostrin	51	30	21
Nmb	8	4	4
Cldn22	4	1	3
Mesp2	4	1	3
Arid1a	1721	830	891
Snx5	1672	829	843
Wsb2	1225	612	613
Ep400	952	480	472
Pantr1	43	19	24
Hoxa11-as	0	0	0
Rps9l1	0	0	0
Kif22	192	94	98
Pgam5	836	435	401
Fam118b	390	184	206
LOC100125364	754	471	422
Cmtm1	0	0	0
Pspc1	544	298	246
Sp110	971	492	479
Memo1	974	476	498
Gmcl1	1102	564	538
Mir208b	0	0	0
Pop4	616	283	333
Catsperd	73	28	45
Tmem167b	106	45	61
Cmc1	286	130	156
Syce3	0	0	0
Mir194-2	0	0	0
Snrpf	613	320	293
Olr1l	0	0	0
Slc25a38	445	208	237
Mir543	0	0	0
Mir363	0	0	0
Mir487b	0	0	0
Mir20b	0	0	0
Mir375	0	0	0
Mir199a2	0	0	0
Mir188	0	0	0
Mir382	0	0	0
Mir874	0	0	0
Mir497	0	0	0
Mir503	0	0	0
Obi1	316	139	177
Vom2r17	0	0	0
Hectd2	258	132	126
Abcf3	1794	890	904
Slc1a3	148	70	78
Borcs8	266	145	121
Cyb5r2	156	83	73
Vom2r34	0	0	0
Vom2r33	2	0	2
Serpinb11	1	1	0
Mir877	0	0	0
Mir376a	0	0	0
Mir376b	1	0	1
Mir376c	2	1	1
Mir106a	0	0	0
Mir147	0	0	0
Pa2g4	763	365	398
Pnkp	808	410	398
Krt85	0	0	0
Tmod4	20	10	11
Vom2r78	0	0	0
Psmd12	2366	1179	1187
Prelid3b	1230	654	576
Nlrp4a	4	0	4
Vom2r28	4	3	1
Ythdf2	2169	1095	1074
MGC93861	11	7	4
Arl2bp	2296	1133	1163
Ubfd1	861	442	419
Tbc1d14	1113	557	556
Selenok-ps2	0	0	0
Mir328b	0	0	0
Gprc5a	117	55	62
Tincr	31	17	14
Mir30c1	0	0	0
Mir30e	0	0	0
Phactr1	223	125	98
Atp5mc3	6007	2961	3046
Olr4	0	0	0
Olr5	0	0	0
Olr6	0	0	0
Olr7	0	0	0
Olr8	0	0	0
Theg	4	4	0
Ocrl	405	208	197
Snx19	893	418	475
Ccnt2	998	508	490
Tfcp2l1	34	21	13
Vom2r71	0	0	0
Smpdl3b	437	242	195
Foxj2	1678	863	815
Zswim5	362	200	162
Lime1	243	116	127
Stk11	275	192	164
Zfyve9	504	268	236
Arid3a	156	82	74
Zfp524	280	133	147
Ccdc60	0	0	0
Gnas	26129	13051	13078
Shfl	937	672	621
Mir410	0	0	0
Mir301b	0	0	0
Mir378	0	0	0
Mir381	0	0	0
Mir539	0	0	0
Mir224	0	0	0
Trim16	352	171	181
Ebi3	30	11	19
Actg1	5654	2915	2739
Antkmt	620	295	325
Espnl	8	3	5
Txnrd3	274	129	145
Nrg4	116	59	57
Nop2	1004	514	490
Rpl3l	6	2	4
Tfap2e	7	2	5
Ttc14	492	259	233
Rasal2	359	152	207
Dkk1	0	0	0
Parp9	2842	1459	1383
C1qtnf3	73	32	41
Radx	33	12	21
Phykpl	0	0	0
Spink5	0	0	0
Bet1l	929	463	466
Ppt2	1261	617	644
LOC680627	142	61	81
Tmem33	660	325	335
Bcl2l2	812	408	404
Nat8f1	0	0	0
Vom2r29	1	0	1
Vom2r30	4	2	2
Nr2f6	3668	1774	1894
Fbxl6	835	418	417
Pla2g4c	0	0	0
Magi1	539	272	267
Nkx6-3	0	0	0
Rapgef3	188	99	89
F2	7	6	1
Rab5a	689	331	358
Flot1	4065	2042	2023
Exoc7	0	0	0
Srd5a2	9	4	5
Galnt7	456	227	229
Pmpcb	1615	785	830
Faf1	1873	918	955
Mrps25	711	362	349
Ceacam9	1	0	1
Upp2	0	0	0
Ambn	0	0	0
Fbln5	1995	1008	987
Capn1	2245	1104	1141
Slc3a2	10684	5368	5316
Grem1	247	140	107
Gjd2	1	1	0
Gja5	32	14	18
Clvs2	7	3	4
Sbsn	89	57	43
Pnma8b	76	31	45
Pnma8a	0	0	0
Cbx2	324	182	142
Ssr2	5081	2527	2554
Mau2	1837	937	900
Prcp	656	298	358
Fndc3a	944	469	475
Ceacam11	0	0	0
Igfbp7	7641	4090	4259
Psg19	1	0	1
Ghitm	3902	1970	1932
Tgfbrap1	563	285	278
Kctd6	210	97	114
Sart3	1014	525	489
Perp	4381	2210	2171
Zfp503	4401	2279	2122
Phtf2	409	185	224
Ttc30a1	42	22	20
Depdc7	238	130	108
Zhx3	402	184	218
Scamp1	1684	806	878
Nop16	1735	896	840
Tbr1	2	0	2
Panx1	165	82	83
Olr1082	0	0	0
Ugt1a8	0	0	0
Taar8a	0	0	0
Ric8b	359	174	185
Ppm1n	103	44	59
Fos	173494	87689	85805
Mcl1	4116	2047	2069
Sv2c	1	1	0
Cirbp	4052	1987	2065
Cib1	1380	691	689
Pak2	187	115	72
Enkur	5	2	3
Psme4	1853	895	958
C1qtnf6	1636	841	795
RGD1564324	0	0	0
Sncaip	28	17	11
Zfp608	1255	633	622
Mex3c	1510	735	775
Shbg	29	11	18
Sst	0	0	0
Cmip	2264	1108	1156
Klrk1	3	1	2
Mt1	1404	787	617
Rabggtb	554	274	280
Cyp2c22	5	4	1
Spon2	940	458	482
Nme7	575	356	327
LOC257642	134	47	87
Zfp597	106	55	51
Mtarc2	1542	771	771
Zfp112	64	33	31
Zic3	0	0	0
Tescl	1	0	1
Stap1	4	0	4
Plxdc1	1779	887	892
Taf5	224	138	121
Septin8	2025	1036	989
Olr437	0	0	0
Cpa4	42	23	19
Umps	971	463	508
Aven	495	249	246
Hoxb13	0	0	0
Eefsec	276	144	132
Sez6l2	75	40	35
Phldb3	970	482	488
Ceacam20	1	0	1
Mapk9	1861	958	903
Kmt5a	989	514	475
Itgb3	409	206	203
Macroh2a2	517	282	244
Uqcrb	1714	822	892
Uckl1	1156	568	588
Nadk	2661	1334	1327
LOC498675	0	0	0
Agr2	1	0	1
Fam222b	603	323	280
Ddx58	710	358	352
Prps1l1	0	0	0
Prr19	1	1	0
RGD1560108	1293	650	662
Prss53	42	16	26
Ccdc196	2	2	0
Tmem269	0	0	0
RGD1560146	1	0	1
Lrrc69	5	3	2
RGD1560289	3	0	3
Fndc11	0	0	0
Impad1	9	4	5
Ccdc187	0	0	0
Agtrap	2530	1291	1239
Tmem53	677	333	344
Maml1	243	121	122
Cyfip2	392	202	190
Ccsap	61	23	38
Serpinb13	0	0	0
Cd209	0	0	0
Rnf20	972	501	471
Zc3h6	219	110	109
Mrps11	725	377	348
Triap1	3	2	1
Svs5	0	0	0
Mmp10	13004	6730	6274
Adcyap1r1	3154	1576	1578
Trak2	1632	832	800
Pla1a	4565	2258	2307
Slc2a1	2629	1338	1291
Cep19	919	479	440
Tecr	4180	2156	2024
Nme1	1544	734	810
Gfral	3	3	0
Cidec	19	13	6
Adgrl2	1684	855	829
Alad	1603	820	783
G6pc	12	7	5
P2rx1	15	8	7
Ccnd2	3392	1729	1663
A4galt	1	0	1
Chrm5	24	9	15
Gstm3l	0	0	0
Eef2k	2126	1068	1058
Pla2g10	0	0	0
Cpa1	0	0	0
Chm	422	217	205
Ptn	14922	7438	7484
Gria2	12	5	7
Lox	1712	900	815
Hpn	782	390	392
Slc4a2	1783	899	884
Pkn1	1857	916	941
Fcgbpl1	339	172	167
Dcun1d5	1445	696	749
Pipox	43	24	19
Tefm	319	155	164
Prdx4	1987	946	1041
Zp1	0	0	0
Dgat1	1316	646	672
Slc34a2	271	130	141
Slco1c1	11	6	5
Dffb	234	130	104
Sh3kbp1	1641	842	799
Kpnb1	800	384	416
Nhlrc2	656	324	332
Zfp266	1446	734	712
LOC688765	123	61	62
Alms1	257	131	126
Vom2r64	0	0	0
Slc35g2	9	3	6
Selenot	4449	2206	2243
Dnajc22	287	125	162
Usp3	917	448	469
Zmym1	413	207	206
Rnf152	9	4	5
Mrps9	563	279	284
Cyp4f40	0	0	0
Atg4c	533	287	246
Pck2	1522	748	774
Krit1	932	474	458
Ube2e2	1150	573	577
Pdk2	2332	1200	1132
Rida	1024	494	530
Mmp24	350	193	157
Git1	2614	1341	1273
Capn6	272	137	135
Sfmbt1	748	370	378
Deaf1	1302	674	659
Spag4	0	0	0
Cd69	78	31	47
Grp	280	142	138
Ctsq	0	0	0
Plekha5	2855	1421	1434
Nradd	688	337	351
Plbd2	3737	1843	1894
Atp5f1d	4545	2259	2286
Plpp2	2361	1133	1228
Mcfd2	2034	973	1061
Kcnc2	8	3	5
Prlhr	0	0	0
Sptssb	2	0	2
Ino80d	253	119	134
Pard3b	515	264	251
Spock1	148	71	77
Ovol3	0	0	0
Aarsd1	551	278	273
