N_unmapped	21857527	21857527	21857527
N_multimapping	8179621	8179621	8179621
N_noFeature	7290953	15102187	15116547
N_ambiguous	327949	138867	145899
Vom2r3	0	0	0
Rab39a	0	0	0
Fdxacb1	143	61	82
Mrpl52	1298	670	628
Rrlt	5	3	2
Ensa	1401	630	771
Tpm1	13083	6492	6591
Efhd2	2617	1249	1369
Aaas	463	234	229
Nsun4	49	18	31
Ubl4a	677	349	328
Otub1	2034	1070	965
Slc25a41	0	0	0
Bach1	146	85	61
Ccr1l1	0	0	0
Xcr1	0	0	0
Csf3	1504	740	765
Shh	0	0	0
Eloa	3031	1556	1480
Cox4i1	1318	646	672
Arg1	193	81	112
Thbs4	1	1	0
Rcn2	2192	1071	1121
Neu2	88	46	42
Inhba	87	41	46
Fdx1	565	263	302
Cd63	5994	2925	3069
Cyp2b12	0	0	0
Vdr	1461	744	717
Tnp2	1	1	0
Tnp1	0	0	0
Tbxa2r	25	12	13
Cd37	41	23	21
Areg	708	359	349
Casp12	724	366	358
Anxa7	1450	733	717
Slco1a2	21	9	12
Acsl6	1	1	0
Lonp1	1675	832	846
Naa35	544	271	273
Atp2b3	0	0	0
Mir3580	0	0	0
Mir3579	0	0	0
Mir3578	0	0	0
Mir3581	0	0	0
Asb1	74	44	30
Fgfr2	542	274	268
Brsk1	18	13	11
Preb	1019	522	538
Zfp7	7	4	3
Cldn15	4	4	0
Fgd3	21	10	11
Pbx4	2	2	0
Nol8	114	53	61
B4galt5	36	21	15
Scp2d1	0	0	0
Polr3f	179	83	96
Smc2	432	227	205
Ephx3	40	22	18
Cbfa2t3	8	5	3
Plec	2276	1154	1123
Nipsnap3a	0	0	0
Strn4	2044	1052	992
Hmg20a	452	229	223
Smim22	1078	513	565
Samd3	4	0	4
Shcbp1l	2	0	2
Ube2s	3314	1698	1618
Prpf31	140	71	70
Lrrtm3	0	0	0
Mrpl51	242	126	116
Fam24a	0	0	0
Fam185a	60	36	32
Msmo1	545	282	263
Vom2r32	0	0	0
Tcta	462	235	227
Dgka	1154	558	596
LOC361985	1004	523	484
Cdk5rap1	540	257	283
Nr1d1	2196	1420	1316
Prl3a1	0	0	0
Rwdd1	782	407	375
Pzp	2	0	2
Zfp709	102	55	47
Tnfsf10	621	314	307
Slc25a25	402	199	203
Brs3	0	0	0
Timm13	1814	899	915
Gja8	1	0	1
Dhrs4	606	296	311
Homez	84	39	45
Olfm3	4	1	3
St18	1	1	0
Pnma2	7	2	5
Anapc2	2945	1458	1492
Cd300le	0	0	0
Rnpep	1809	906	903
Rps10	2782	1399	1383
Crhr1	0	0	0
Lilrb4	0	0	0
Kras	642	319	324
Olfm1	11	6	5
Slc4a4	253	134	122
Psmb7	1354	686	669
Herpud1	2211	1074	1143
Cox4i2	40	20	20
Fut9	0	0	0
Nfib	6032	3090	2943
Bnip3	591	306	285
Mlycd	800	409	391
Trpc6	79	51	28
Chi3l1	32503	16461	16044
Bud31	642	585	561
Ddx52	226	115	111
Hdac2	1717	870	847
Kpna2	153	75	78
Abcg1	1457	748	709
Atp6v0e1	1246	611	635
Synrg	808	418	393
Prdx6	1708	863	845
Ptch1	286	133	153
Idi1	599	305	297
Slc22a7	0	0	0
Atrn	2368	1210	1158
Cftr	3	0	3
Mir434	0	0	0
Mir92b	0	0	1
Ap4e1	63	29	34
Ntn5	1	0	2
Sh3bp1	449	234	215
Aqp4	0	0	0
Rangap1	804	412	392
Wdr4	482	260	222
Lrrc47	1086	512	578
Ptchd1	0	0	0
Camsap2	299	139	160
Celf5	21	11	10
Sec1	0	0	0
Med14	483	246	237
LOC100909648	0	0	0
LOC100361083	134	62	72
LOC102552805	40	17	23
Tspan17	71	33	39
Chaf1b	102	52	50
Slc17a1	0	0	0
B3galt4	52	27	29
Mlxipl	1	4	5
Fbxo32	3057	1561	1496
Mpnd	1710	842	869
Tnfrsf4	2	2	0
Hpca	0	0	0
Csn2	3809	1879	1930
Tmem242	648	326	322
Vom1r105	0	0	0
Tpm3	4440	2247	2196
C2	11586	5800	5791
Tprn	1027	497	530
Clec14a	60	25	35
Fxyd2	10	4	6
Rgs10	11	9	2
Rgs1	24	9	15
Trim17	5	1	4
Chad	142	85	58
Arf6	3401	1640	1761
Arf4	7128	3498	3630
Arf2	374	157	217
RGD1308430	669	367	317
Hipk1	611	300	311
Armh4	93	47	46
Mapk1ip1l	274	147	127
Bola3	721	354	367
Ctsg	0	0	0
LOC679149	0	0	0
Tmem128	596	278	318
Osgep	692	376	316
Magoh	698	363	335
Tmem255b	13	9	6
Ephx4	0	1	0
Ewsr1	387	197	196
Pak1ip1	459	223	236
Fyco1	603	304	299
Mrps18c	532	245	288
Kat2a	2058	1029	1032
Map7d1	1803	841	962
Mir155hg	0	0	0
Mcart1	129	69	60
Slc10a3	270	136	134
Atg4d	950	481	469
Atad1	897	443	454
Mterf4	370	183	187
LOC306079	73	44	29
Slc25a15	328	158	170
Fn3krp	265	121	144
Arhgap5	1078	571	507
Camp	7	0	7
Fbxo5	165	76	89
Ttyh1	12	3	9
Dhx37	1094	546	548
Il12rb1	0	0	0
Smtnl1	1	1	0
Stk26	275	159	116
Myh2	0	0	0
Cyp4v3	392	202	190
Zg16b	1	0	1
Myrf	11	3	8
Rab11fip1	4758	2328	2430
Las1l	433	239	194
Smok2a	0	0	0
Vom2r7	0	0	0
Dact2	1130	587	543
Srsf9	1154	579	575
Arpc5	3225	1627	1598
Npbwr1	0	0	0
Armcx3	433	220	213
Mzb1	3	2	1
Ercc3	866	458	408
Hbb-bs	25	14	11
Tnks	321	148	175
Prag1	2433	1227	1206
Kif26b	7	4	4
Arhgap30	13	5	8
RGD1559578	0	0	0
Mfhas1	471	246	225
Dcaf10	469	233	236
Trim14	188	85	103
Gpr87	9	4	5
Naa15	987	506	482
Necab3	11	8	4
Arhgap45	1	1	0
Cd3e	1	0	1
Vom2r79	0	0	0
Slirp	145	126	153
