N_unmapped	4769849	4769849	4769849
N_multimapping	5095457	5095457	5095457
N_noFeature	10185341	18100914	18177020
N_ambiguous	223553	89048	94757
Vom2r3	0	0	0
Rab39a	0	0	0
Fdxacb1	250	134	116
Mrpl52	1744	888	856
Rrlt	1	0	1
Ensa	1661	816	845
Tpm1	11648	5856	5792
Efhd2	3038	1499	1539
Aaas	596	285	311
Nsun4	0	0	0
Ubl4a	933	459	474
Otub1	2590	1318	1272
Slc25a41	2	1	1
Bach1	122	64	58
Ccr1l1	0	0	0
Xcr1	10	5	5
Csf3	402	186	216
Shh	0	0	0
Eloa	2717	1411	1306
Cox4i1	2483	1248	1235
Arg1	191	99	92
Thbs4	1	1	0
Rcn2	2570	1249	1321
Neu2	144	68	76
Inhba	26	14	12
Fdx1	782	393	389
Cd63	9176	4516	4660
Cyp2b12	0	0	0
Vdr	1832	894	938
Tnp2	0	0	0
Tnp1	0	0	0
Tbxa2r	14	6	8
Cd37	32	22	12
Areg	4552	2245	2307
Casp12	298	167	131
Anxa7	1697	861	836
Slco1a2	0	0	0
Acsl6	0	0	0
Lonp1	2031	1001	1030
Naa35	744	385	359
Atp2b3	7	2	5
Mir3580	0	0	0
Mir3579	0	0	0
Mir3578	0	0	0
Mir3581	0	0	0
Asb1	121	61	60
Fgfr2	1048	535	513
Brsk1	55	28	28
Preb	1286	722	610
Zfp7	0	0	0
Cldn15	5	0	5
Fgd3	34	19	15
Pbx4	0	0	0
Nol8	0	0	0
B4galt5	61	28	33
Scp2d1	0	0	0
Polr3f	229	119	110
Smc2	855	418	437
Ephx3	24	19	5
Cbfa2t3	4	1	3
Plec	2496	1236	1260
Nipsnap3a	0	0	0
Strn4	2418	1221	1197
Hmg20a	520	284	236
Smim22	1743	827	916
Samd3	2	0	2
Shcbp1l	0	0	0
Ube2s	2743	1476	1267
Prpf31	346	170	176
Lrrtm3	17	10	7
Mrpl51	483	255	228
Fam24a	1	1	0
Fam185a	93	44	52
Msmo1	678	341	337
Vom2r32	0	0	0
Tcta	1020	514	506
Dgka	1393	703	690
LOC361985	1062	520	542
Cdk5rap1	570	267	303
Nr1d1	2387	1515	1405
Prl3a1	0	0	0
Rwdd1	1100	567	533
Pzp	6	2	4
Zfp709	108	63	45
Tnfsf10	682	353	329
Slc25a25	160	74	86
Brs3	0	0	0
Timm13	2944	1401	1543
Gja8	0	0	0
Dhrs4	1335	648	687
Homez	110	60	50
Olfm3	0	0	0
St18	4	2	2
Pnma2	11	4	7
Anapc2	2587	1309	1278
Cd300le	35	17	18
Rnpep	2716	1366	1350
Rps10	2298	1049	1249
Crhr1	0	0	0
Lilrb4	65	33	32
Kras	664	341	323
Olfm1	14	12	2
Slc4a4	261	130	131
Psmb7	1846	934	912
Herpud1	1335	657	678
Cox4i2	4	4	0
Fut9	0	0	0
Nfib	5838	2946	2894
Bnip3	426	219	207
Mlycd	892	435	457
Trpc6	103	57	46
Chi3l1	25038	12568	12470
Bud31	1044	829	775
Ddx52	236	129	107
Hdac2	2237	1130	1107
Kpna2	204	96	108
Abcg1	955	486	469
Atp6v0e1	2032	975	1057
Synrg	522	275	247
Prdx6	2061	1060	1001
Ptch1	314	151	163
Idi1	794	402	395
Slc22a7	6	2	4
Atrn	2368	1158	1210
Cftr	5	3	2
Mir434	0	0	0
Mir92b	0	0	0
Ap4e1	115	67	48
Ntn5	0	0	0
Sh3bp1	469	226	243
Aqp4	0	0	0
Rangap1	1368	670	698
Wdr4	385	193	192
Lrrc47	1004	491	513
Ptchd1	5	0	5
Camsap2	362	196	166
Celf5	69	38	31
Sec1	0	0	0
Med14	627	314	313
LOC100909648	0	0	0
LOC100361083	70	30	40
LOC102552805	47	22	25
Tspan17	203	100	103
Chaf1b	353	164	189
Slc17a1	0	0	0
B3galt4	49	28	21
Mlxipl	59	38	21
Fbxo32	1632	826	806
Mpnd	2588	1254	1334
Tnfrsf4	28	14	14
Hpca	0	0	0
Csn2	7313	3699	3614
Tmem242	751	370	381
Vom1r105	0	0	0
Tpm3	5490	2821	2669
C2	7511	3749	3762
Tprn	1022	505	517
Clec14a	28	18	10
Fxyd2	15	8	7
Rgs10	12	9	3
Rgs1	148	88	60
Trim17	18	8	10
Chad	72	33	39
Arf6	3940	1933	2007
Arf4	7572	3986	3586
Arf2	248	117	131
RGD1308430	995	502	496
Hipk1	695	330	365
Armh4	132	62	70
Mapk1ip1l	311	158	153
Bola3	716	364	352
Ctsg	0	0	0
LOC679149	3	2	1
Tmem128	1378	664	714
Osgep	1067	545	522
Magoh	1005	512	493
Tmem255b	7	4	3
Ephx4	0	0	0
Ewsr1	7	4	3
Pak1ip1	695	337	358
Fyco1	521	254	267
Mrps18c	825	402	423
Kat2a	2854	1442	1412
Map7d1	2121	1047	1074
Mir155hg	2	2	0
Mcart1	22	11	11
Slc10a3	428	213	215
Atg4d	1253	649	604
Atad1	987	500	487
Mterf4	295	139	156
LOC306079	8	4	4
Slc25a15	401	192	209
Fn3krp	208	101	107
Arhgap5	973	496	477
Camp	1	1	0
Fbxo5	238	107	131
Ttyh1	4	3	1
Dhx37	836	446	390
Il12rb1	0	0	0
Smtnl1	0	0	0
Stk26	294	142	152
Myh2	10	6	4
Cyp4v3	372	189	183
Zg16b	0	0	0
Myrf	2	1	1
Rab11fip1	2419	1245	1174
Las1l	435	216	219
Smok2a	0	0	0
Vom2r7	0	0	0
Dact2	859	441	418
Srsf9	1587	737	850
Arpc5	3470	1707	1763
Npbwr1	0	0	0
Armcx3	765	368	397
Mzb1	0	0	0
Ercc3	713	377	336
Hbb-bs	1	0	1
Tnks	349	175	174
Prag1	5711	2858	2853
Kif26b	13	7	6
Arhgap30	8	4	4
RGD1559578	0	0	0
Mfhas1	447	228	219
Dcaf10	336	165	171
