N_unmapped	2899584	2899584	2899584
N_multimapping	3188575	3188575	3188575
N_noFeature	13144858	15361897	15357015
N_ambiguous	71767	29500	31767
Vom2r3	0	0	0
Rab39a	6	4	2
Fdxacb1	10	4	6
Mrpl52	476	231	245
Rrlt	2	1	1
Ensa	494	243	251
Tpm1	2774	1405	1369
Efhd2	1695	843	852
Aaas	113	49	64
Nsun4	0	0	0
Ubl4a	272	140	132
Otub1	872	462	410
Slc25a41	11	7	4
Bach1	89	42	47
Ccr1l1	0	0	0
Xcr1	6	2	4
Csf3	860	426	434
Shh	7	5	2
Eloa	352	169	183
Cox4i1	802	393	409
Arg1	65	31	34
Thbs4	4	1	3
Rcn2	386	207	179
Neu2	17	8	9
Inhba	31	15	16
Fdx1	274	139	135
Cd63	2952	1459	1493
Cyp2b12	1	1	0
Vdr	311	143	168
Tnp2	0	0	0
Tnp1	0	0	0
Tbxa2r	32	17	15
Cd37	86	38	48
Areg	1576	751	825
Casp12	204	105	99
Anxa7	835	439	396
Slco1a2	1	0	1
Acsl6	11	7	4
Lonp1	392	176	216
Naa35	137	64	73
Atp2b3	22	8	14
Mir3580	1	1	0
Mir3579	0	0	0
Mir3578	0	0	0
Mir3581	0	0	0
Asb1	12	4	8
Fgfr2	324	149	175
Brsk1	27	12	16
Preb	281	167	122
Zfp7	0	0	0
Cldn15	0	0	0
Fgd3	19	11	8
Pbx4	7	3	4
Nol8	0	0	0
B4galt5	57	21	36
Scp2d1	0	0	0
Polr3f	97	48	49
Smc2	64	34	30
Ephx3	17	7	10
Cbfa2t3	40	21	19
Plec	1013	495	518
Nipsnap3a	6	2	4
Strn4	478	256	222
Hmg20a	114	63	51
Smim22	755	368	387
Samd3	6	1	5
Shcbp1l	10	3	7
Ube2s	765	386	379
Prpf31	52	24	28
Lrrtm3	5	3	2
Mrpl51	127	53	74
Fam24a	0	0	0
Fam185a	7	3	4
Msmo1	152	68	84
Vom2r32	1	0	1
Tcta	221	101	120
Dgka	444	220	224
LOC361985	227	104	123
Cdk5rap1	189	111	78
Nr1d1	468	298	288
Prl3a1	2	1	1
Rwdd1	218	107	111
Pzp	12	6	6
Zfp709	70	34	36
Tnfsf10	501	253	248
Slc25a25	186	91	95
Brs3	0	0	0
Timm13	1180	572	608
Gja8	30	13	17
Dhrs4	295	146	149
Homez	45	23	22
Olfm3	5	3	2
St18	19	11	8
Pnma2	65	39	26
Anapc2	630	326	304
Cd300le	39	13	26
Rnpep	704	329	375
Rps10	1321	568	753
Crhr1	0	0	0
Lilrb4	41	19	22
Kras	300	138	162
Olfm1	7	3	4
Slc4a4	210	97	113
Psmb7	750	377	373
Herpud1	352	171	181
Cox4i2	11	7	4
Fut9	0	0	0
Nfib	726	362	364
Bnip3	113	52	61
Mlycd	260	144	116
Trpc6	29	16	13
Chi3l1	8402	4212	4190
Bud31	266	261	248
Ddx52	81	41	40
Hdac2	517	243	274
Kpna2	64	40	24
Abcg1	338	159	179
Atp6v0e1	660	341	319
Synrg	129	59	70
Prdx6	476	241	235
Ptch1	86	49	37
Idi1	96	49	47
Slc22a7	0	0	0
Atrn	534	276	258
Cftr	19	10	9
Mir434	0	0	0
Mir92b	0	0	0
Ap4e1	41	14	27
Ntn5	30	19	11
Sh3bp1	63	31	32
Aqp4	10	4	6
Rangap1	383	192	191
Wdr4	153	76	77
Lrrc47	408	214	194
Ptchd1	10	2	8
Camsap2	162	78	84
Celf5	31	17	14
Sec1	9	5	4
Med14	225	126	99
LOC100909648	0	0	0
LOC100361083	46	21	25
LOC102552805	14	5	9
Tspan17	91	50	41
Chaf1b	33	24	9
Slc17a1	3	2	1
B3galt4	6	1	5
Mlxipl	21	13	8
Fbxo32	379	205	174
Mpnd	547	266	281
Tnfrsf4	64	32	32
Hpca	0	0	0
Csn2	1	1	0
Tmem242	199	111	88
Vom1r105	9	8	1
Tpm3	1482	761	721
C2	3118	1613	1505
Tprn	354	162	192
Clec14a	41	24	17
Fxyd2	94	51	43
Rgs10	83	43	40
Rgs1	269	143	126
Trim17	17	5	12
Chad	0	0	0
Arf6	1340	653	687
Arf4	1917	971	946
Arf2	119	47	72
RGD1308430	282	137	145
Hipk1	188	98	90
Armh4	20	10	10
Mapk1ip1l	199	89	110
Bola3	151	66	85
Ctsg	0	0	0
LOC679149	17	8	9
Tmem128	321	160	161
Osgep	167	96	71
Magoh	262	130	132
Tmem255b	12	6	6
Ephx4	4	2	2
Ewsr1	0	0	0
Pak1ip1	83	43	40
Fyco1	119	59	60
Mrps18c	214	101	113
Kat2a	391	169	222
Map7d1	591	309	282
Mir155hg	9	6	3
Mcart1	4	2	2
Slc10a3	60	33	27
Atg4d	336	167	169
Atad1	279	121	158
Mterf4	68	31	37
LOC306079	3	0	3
Slc25a15	87	45	42
Fn3krp	53	30	23
Arhgap5	205	107	98
Camp	28	17	11
Fbxo5	41	19	22
Ttyh1	4	4	0
Dhx37	183	86	97
Il12rb1	9	6	3
Smtnl1	0	0	0
Stk26	46	29	17
Myh2	31	17	14
Cyp4v3	34	14	20
Zg16b	19	10	9
Myrf	8	2	6
Rab11fip1	702	369	333
Las1l	191	102	89
Smok2a	2	1	1
Vom2r7	9	5	4
Dact2	689	346	343
Srsf9	392	211	181
Arpc5	863	413	450
Npbwr1	9	5	4
Armcx3	102	56	46
Mzb1	1	0	1
Ercc3	237	133	104
Hbb-bs	0	0	0
Tnks	174	85	89
Prag1	2286	1216	1070
Kif26b	35	25	10
Arhgap30	49	30	19
RGD1559578	2	2	0
Mfhas1	92	45	47
Dcaf10	95	52	43
Trim14	45	26	19
Gpr87	11	5	6
Naa15	228	118	110
Necab3	3	2	1
Arhgap45	82	34	48
Cd3e	57	28	29
Vom2r79	1	1	0
Slirp	184	97	118
Mir3547	0	0	0
Apobec3	263	135	128
Hmcn1	119	67	52
Golga7b	3	3	0
Ybx2	2	2	0
Vom1r13	0	0	0
Olr1380	0	0	0
Olr386	0	0	0
Olr803	7	2	5
Olr804	0	0	0
Olr807	1	0	1
Trem3	6	4	2
Vom1r16	0	0	0
Mtfr1l	605	293	312
Paf1	649	344	305
Plekho1	87	46	41
Vom2r80	2	0	2
Vom2r16	0	0	0
Alkbh3	213	106	107
Zic4	4	1	3
Tbc1d2b	183	108	75
Nostrin	21	13	8
Nmb	6	2	4
Cldn22	6	2	4
Mesp2	22	11	11
Arid1a	434	231	203
Snx5	343	174	169
Wsb2	105	45	60
Ep400	563	265	298
Pantr1	0	0	0
Hoxa11-as	0	0	0
Rps9l1	0	0	0
Kif22	90	51	39
Pgam5	162	71	91
Fam118b	37	18	19
LOC100125364	109	73	70
Cmtm1	0	0	0
Pspc1	138	65	73
Sp110	299	153	146
Memo1	178	88	90
Gmcl1	114	47	67
Mir208b	0	0	0
Pop4	92	47	45
Catsperd	31	13	18
Tmem167b	30	19	11
Cmc1	74	46	28
Syce3	0	0	0
Mir194-2	0	0	0
Snrpf	184	79	105
Olr1l	0	0	0
Slc25a38	99	50	49
Mir543	0	0	0
Mir363	0	0	0
Mir487b	0	0	0
Mir20b	0	0	0
Mir375	0	0	0
Mir199a2	2	1	1
Mir188	0	0	0
Mir382	0	0	0
Mir874	0	0	0
Mir497	0	0	0
Mir503	0	0	0
Obi1	16	8	8
Vom2r17	0	0	0
Hectd2	74	38	36
Abcf3	506	240	266
Slc1a3	12	4	8
