N_unmapped	11199276	11199276	11199276
N_multimapping	4302269	4302269	4302269
N_noFeature	7879659	14847153	14846844
N_ambiguous	202256	74596	76813
Vom2r3	0	0	0
Rab39a	0	0	0
Fdxacb1	228	124	104
Mrpl52	2043	1036	1007
Rrlt	18	9	9
Ensa	1700	842	858
Tpm1	4836	2419	2417
Efhd2	2832	1411	1426
Aaas	747	367	383
Nsun4	47	21	26
Ubl4a	1179	576	604
Otub1	4084	2139	1946
Slc25a41	0	0	0
Bach1	67	32	35
Ccr1l1	1	1	0
Xcr1	4	0	4
Csf3	31	18	13
Shh	1	2	0
Eloa	1552	785	769
Cox4i1	3146	1555	1592
Arg1	998	518	480
Thbs4	1	0	1
Rcn2	3532	1799	1733
Neu2	28	16	12
Inhba	23	17	6
Fdx1	882	420	462
Cd63	16377	8073	8319
Cyp2b12	0	0	0
Vdr	435	218	218
Tnp2	0	0	0
Tnp1	0	0	0
Tbxa2r	62	28	34
Cd37	0	4	3
Areg	57846	28636	29228
Casp12	195	99	96
Anxa7	2276	1165	1111
Slco1a2	0	0	0
Acsl6	1	0	1
Lonp1	1613	847	771
Naa35	733	384	349
Atp2b3	1	1	0
Mir3580	0	0	0
Mir3579	0	0	0
Mir3578	0	0	0
Mir3581	0	0	0
Asb1	34	12	22
Fgfr2	2053	1004	1050
Brsk1	20	14	11
Preb	1151	581	643
Zfp7	3	1	2
Cldn15	3	2	1
Fgd3	4	3	1
Pbx4	2	1	2
Nol8	79	38	41
B4galt5	178	93	86
Scp2d1	0	0	0
Polr3f	209	110	99
Smc2	992	500	493
Ephx3	22	13	9
Cbfa2t3	5	3	2
Plec	2750	1435	1317
Nipsnap3a	1	1	0
Strn4	2048	1020	1028
Hmg20a	417	205	212
Smim22	1983	958	1026
Samd3	0	0	0
Shcbp1l	0	0	0
Ube2s	3476	1809	1667
Prpf31	316	154	162
Lrrtm3	2	1	1
Mrpl51	583	279	304
Fam24a	2	0	2
Fam185a	52	32	31
Msmo1	1230	612	618
Vom2r32	0	0	0
Tcta	1266	634	633
Dgka	1920	909	1011
LOC361985	1214	602	614
Cdk5rap1	543	270	273
Nr1d1	271	155	197
Prl3a1	0	0	0
Rwdd1	920	475	445
Pzp	9	8	1
Zfp709	75	36	39
Tnfsf10	1804	931	873
Slc25a25	403	185	218
Brs3	0	0	0
Timm13	3575	1732	1848
Gja8	5	3	3
Dhrs4	1120	544	576
Homez	152	76	76
Olfm3	0	0	0
St18	0	0	0
Pnma2	24	16	8
Anapc2	2022	986	1039
Cd300le	3	1	2
Rnpep	2565	1292	1274
Rps10	5507	2732	2776
Crhr1	0	0	0
Lilrb4	1	1	0
Kras	701	339	363
Olfm1	16	7	9
Slc4a4	41	21	20
Psmb7	3114	1558	1556
Herpud1	1060	512	548
Cox4i2	1	1	0
Fut9	0	0	0
Nfib	1179	599	580
Bnip3	429	221	208
Mlycd	1172	569	603
Trpc6	72	31	41
Chi3l1	5185	2631	2555
Bud31	1204	1101	1053
Ddx52	407	202	206
Hdac2	2918	1406	1512
Kpna2	540	259	281
Abcg1	1183	582	602
Atp6v0e1	2772	1354	1418
Synrg	802	412	391
Prdx6	2409	1234	1175
Ptch1	235	124	111
Idi1	1195	641	565
Slc22a7	63	32	31
Atrn	997	500	502
Cftr	0	0	0
Mir434	0	0	0
Mir92b	0	0	0
Ap4e1	78	42	36
Ntn5	0	0	0
Sh3bp1	1081	553	528
Aqp4	0	0	0
Rangap1	2190	1059	1132
Wdr4	613	330	283
Lrrc47	1221	618	607
Ptchd1	0	0	0
Camsap2	604	300	304
Celf5	185	96	90
Sec1	5	3	2
Med14	600	316	284
LOC100909648	0	0	0
LOC100361083	94	56	38
LOC102552805	31	17	14
Tspan17	746	384	362
Chaf1b	687	324	363
Slc17a1	0	0	0
B3galt4	92	49	48
Mlxipl	36	20	16
Fbxo32	219	109	110
Mpnd	2405	1198	1207
Tnfrsf4	18	8	10
Hpca	13	13	5
Csn2	15	7	8
Tmem242	963	465	498
Vom1r105	0	0	0
Tpm3	7176	3705	3473
C2	3072	1533	1541
Tprn	758	392	367
Clec14a	31	12	19
Fxyd2	12	4	8
Rgs10	13	4	9
Rgs1	11	5	6
Trim17	3	2	1
Chad	50	30	20
Arf6	3122	1524	1598
Arf4	10111	4974	5137
Arf2	375	198	177
RGD1308430	1304	669	646
Hipk1	516	271	245
Armh4	3	3	0
Mapk1ip1l	336	169	167
Bola3	1105	567	538
Ctsg	0	0	0
LOC679149	1	0	1
Tmem128	1318	655	663
Osgep	829	418	411
Magoh	1634	809	825
Tmem255b	0	0	0
Ephx4	0	0	0
Ewsr1	652	316	348
Pak1ip1	1097	543	554
Fyco1	411	207	204
Mrps18c	1170	561	609
Kat2a	1874	945	933
Map7d1	1831	951	889
Mir155hg	3	1	2
Mcart1	159	88	71
Slc10a3	598	301	297
Atg4d	1415	672	743
Atad1	1737	850	887
Mterf4	430	218	212
LOC306079	106	56	50
Slc25a15	275	142	133
Fn3krp	251	124	127
Arhgap5	929	472	457
Camp	0	0	0
Fbxo5	285	138	147
Ttyh1	9	4	5
Dhx37	828	418	410
Il12rb1	4	2	2
Smtnl1	0	0	0
Stk26	382	198	184
Myh2	0	0	0
Cyp4v3	311	143	168
Zg16b	8	6	2
