N_unmapped	13171326	13171326	13171326
N_multimapping	4591197	4591197	4591197
N_noFeature	7987584	14005652	13988663
N_ambiguous	227878	88521	92642
Vom2r3	0	0	0
Rab39a	0	0	0
Fdxacb1	204	113	91
Mrpl52	1830	914	917
Rrlt	6	2	4
Ensa	1486	759	727
Tpm1	3529	1736	1793
Efhd2	2153	1043	1111
Aaas	324	166	160
Nsun4	37	14	23
Ubl4a	639	301	338
Otub1	3094	1594	1501
Slc25a41	1	1	0
Bach1	85	45	40
Ccr1l1	0	0	0
Xcr1	3	2	2
Csf3	92	53	39
Shh	0	0	0
Eloa	1745	921	828
Cox4i1	2037	1000	1037
Arg1	878	427	451
Thbs4	0	0	0
Rcn2	1799	849	951
Neu2	9	4	5
Inhba	151	64	87
Fdx1	680	336	344
Cd63	24981	11970	13013
Cyp2b12	0	0	0
Vdr	294	147	147
Tnp2	1	0	1
Tnp1	0	0	0
Tbxa2r	77	48	29
Cd37	26	12	19
Areg	19204	9649	9559
Casp12	371	201	170
Anxa7	1578	793	785
Slco1a2	2	1	1
Acsl6	0	0	0
Lonp1	1359	646	718
Naa35	607	299	308
Atp2b3	10	1	9
Mir3580	0	0	0
Mir3579	0	0	0
Mir3578	0	0	0
Mir3581	0	0	0
Asb1	61	33	28
Fgfr2	2692	1423	1270
Brsk1	30	21	10
Preb	741	378	398
Zfp7	6	2	4
Cldn15	8	5	3
Fgd3	8	6	2
Pbx4	5	3	2
Nol8	74	36	38
B4galt5	387	207	180
Scp2d1	0	0	0
Polr3f	144	63	81
Smc2	248	128	120
Ephx3	19	9	10
Cbfa2t3	7	3	4
Plec	3558	1741	1819
Nipsnap3a	0	0	0
Strn4	1878	992	887
Hmg20a	402	191	211
Smim22	2841	1299	1544
Samd3	0	0	0
Shcbp1l	0	0	0
Ube2s	1721	882	840
Prpf31	197	95	102
Lrrtm3	2	0	2
Mrpl51	317	168	149
Fam24a	0	0	0
Fam185a	50	26	32
Msmo1	738	374	364
Vom2r32	0	0	0
Tcta	1313	641	672
Dgka	2804	1394	1411
LOC361985	1271	647	626
Cdk5rap1	458	240	218
Nr1d1	599	398	391
Prl3a1	0	0	0
Rwdd1	637	313	324
Pzp	10	5	5
Zfp709	83	47	37
Tnfsf10	4344	2179	2165
Slc25a25	235	112	123
Brs3	0	0	0
Timm13	3359	1642	1718
Gja8	0	0	0
Dhrs4	839	403	438
Homez	112	69	43
Olfm3	2	1	2
St18	0	0	0
Pnma2	6	4	2
Anapc2	2120	1034	1087
Cd300le	8	5	3
Rnpep	3223	1571	1652
Rps10	3193	1547	1647
Crhr1	0	0	0
Lilrb4	2	1	1
Kras	798	410	391
Olfm1	20	7	13
Slc4a4	58	27	31
Psmb7	1644	840	804
Herpud1	1127	532	595
Cox4i2	0	0	0
Fut9	0	0	0
Nfib	594	293	301
Bnip3	545	247	298
Mlycd	1076	519	557
Trpc6	1193	622	571
Chi3l1	1628	807	821
Bud31	944	837	775
Ddx52	312	146	166
Hdac2	2057	972	1085
Kpna2	181	92	89
Abcg1	719	363	357
Atp6v0e1	2626	1284	1342
Synrg	592	307	286
