N_unmapped	1244987	1244987	1244987
N_multimapping	3558063	3558063	3558063
N_noFeature	11961775	16934745	16984475
N_ambiguous	117447	47928	48912
Vom2r3	0	0	0
Rab39a	0	0	0
Fdxacb1	86	43	43
Mrpl52	858	423	435
Rrlt	8	4	4
Ensa	1378	695	683
Tpm1	2810	1428	1382
Efhd2	3838	1978	1860
Aaas	476	244	232
Nsun4	0	0	0
Ubl4a	508	266	242
Otub1	2099	1054	1045
Slc25a41	0	0	0
Bach1	182	84	98
Ccr1l1	0	0	0
Xcr1	0	0	0
Csf3	479	222	257
Shh	0	0	0
Eloa	1090	533	557
Cox4i1	1270	629	641
Arg1	231	112	119
Thbs4	0	0	0
Rcn2	1816	905	911
Neu2	0	0	0
Inhba	182	99	83
Fdx1	453	208	245
Cd63	10213	5084	5129
Cyp2b12	0	0	0
Vdr	579	312	267
Tnp2	0	0	0
Tnp1	0	0	0
Tbxa2r	1	1	0
Cd37	309	153	157
Areg	9243	4643	4600
Casp12	182	88	94
Anxa7	1569	790	779
Slco1a2	0	0	0
Acsl6	6	3	3
Lonp1	1069	534	535
Naa35	509	260	249
Atp2b3	17	6	11
Mir3580	0	0	0
Mir3579	0	0	0
Mir3578	0	0	0
Mir3581	0	0	0
Asb1	32	19	13
Fgfr2	4681	2376	2305
Brsk1	13	7	7
Preb	756	388	373
Zfp7	0	0	0
Cldn15	3	1	2
Fgd3	52	28	24
Pbx4	6	2	4
Nol8	0	0	0
B4galt5	105	56	49
Scp2d1	0	0	0
Polr3f	130	69	61
Smc2	377	190	187
Ephx3	34	20	14
Cbfa2t3	41	21	20
Plec	2141	1065	1076
Nipsnap3a	0	0	0
Strn4	1317	632	685
Hmg20a	553	255	298
Smim22	691	334	357
Samd3	8	5	3
Shcbp1l	0	0	0
Ube2s	2072	1069	1003
Prpf31	193	91	102
Lrrtm3	0	0	0
Mrpl51	250	132	118
Fam24a	0	0	0
Fam185a	0	0	0
Msmo1	812	377	435
Vom2r32	0	0	0
Tcta	830	419	411
Dgka	768	383	385
LOC361985	754	372	382
Cdk5rap1	331	163	168
Nr1d1	892	514	537
Prl3a1	0	0	0
Rwdd1	745	368	377
Pzp	0	0	0
Zfp709	38	22	16
Tnfsf10	2346	1183	1163
Slc25a25	348	180	168
Brs3	0	0	0
Timm13	1444	718	726
Gja8	0	0	0
Dhrs4	331	168	163
Homez	28	9	19
Olfm3	0	0	0
St18	0	0	0
Pnma2	0	0	0
Anapc2	1703	863	840
Cd300le	158	77	81
Rnpep	2104	1058	1046
Rps10	1351	637	714
Crhr1	0	0	0
Lilrb4	0	0	0
Kras	756	388	368
Olfm1	175	82	93
Slc4a4	35	16	19
Psmb7	1693	786	907
Herpud1	3808	1859	1949
Cox4i2	0	0	0
Fut9	0	0	0
Nfib	507	270	237
Bnip3	365	171	194
Mlycd	692	340	352
Trpc6	393	230	163
Chi3l1	1780	924	856
Bud31	641	476	470
Ddx52	357	185	172
Hdac2	1377	680	697
Kpna2	322	179	143
Abcg1	1057	493	564
Atp6v0e1	1961	974	987
Synrg	603	298	305
Prdx6	2045	1064	981
Ptch1	167	87	80
Idi1	590	304	289
Slc22a7	0	0	0
Atrn	650	314	336
Cftr	1	0	1
Mir434	0	0	0
Mir92b	0	0	0
Ap4e1	72	37	35
Ntn5	0	0	0
Sh3bp1	1020	495	525
Aqp4	3	0	3
Rangap1	1456	711	745
Wdr4	230	122	108
Lrrc47	837	431	406
Ptchd1	0	0	0
Camsap2	517	243	274
Celf5	98	51	47
Sec1	0	0	0
Med14	784	424	360
LOC100909648	0	0	0
LOC100361083	27	12	15
LOC102552805	20	11	9
Tspan17	203	96	107
Chaf1b	119	66	53
Slc17a1	0	0	0
B3galt4	20	11	9
Mlxipl	4	2	2
Fbxo32	364	187	177
Mpnd	1196	603	593
Tnfrsf4	92	53	39
Hpca	0	0	0
Csn2	31	17	14
Tmem242	556	270	286
Vom1r105	0	0	0
Tpm3	6538	3348	3190
C2	3301	1642	1659
Tprn	580	295	285
Clec14a	0	0	0
Fxyd2	135	79	56
Rgs10	243	128	115
Rgs1	9844	4936	4908
Trim17	0	0	0
Chad	0	0	0
Arf6	2649	1277	1372
Arf4	8237	4126	4111
Arf2	432	223	209
RGD1308430	466	252	216
Hipk1	688	367	321
Armh4	0	0	0
Mapk1ip1l	259	124	135
Bola3	357	169	188
Ctsg	0	0	0
LOC679149	0	0	0
Tmem128	836	385	451
Osgep	332	166	166
Magoh	757	381	376
Tmem255b	0	0	0
Ephx4	0	0	0
Ewsr1	5	2	5
Pak1ip1	422	203	219
Fyco1	701	348	353
Mrps18c	584	302	282
Kat2a	434	203	231
Map7d1	1527	752	775
Mir155hg	36	25	11
Mcart1	4	3	1
Slc10a3	197	100	97
Atg4d	509	261	248
Atad1	1615	822	793
Mterf4	181	90	91
LOC306079	6	5	1
Slc25a15	135	73	62
Fn3krp	132	74	58
Arhgap5	1043	501	542
Camp	0	0	0
Fbxo5	33	16	17
Ttyh1	0	0	0
Dhx37	245	111	134
Il12rb1	0	0	0
Smtnl1	0	0	0
Stk26	279	151	128
Myh2	11	2	9
Cyp4v3	157	94	63
Zg16b	0	0	0
Myrf	0	0	0
Rab11fip1	2068	1099	969
Las1l	154	73	81
Smok2a	1	0	1
Vom2r7	0	0	0
Dact2	173	85	88
Srsf9	1213	588	625
Arpc5	3266	1638	1628
Npbwr1	0	0	0
Armcx3	363	190	173
Mzb1	0	0	0
Ercc3	542	260	282
Hbb-bs	0	0	0
Tnks	233	104	129
Prag1	7287	3781	3506
Kif26b	0	0	0
Arhgap30	323	164	159
RGD1559578	0	0	0
Mfhas1	143	69	74
Dcaf10	184	90	94
Trim14	310	158	152
Gpr87	156	76	80
Naa15	690	340	350
Necab3	0	0	0
Arhgap45	238	127	111
Cd3e	369	166	203
Vom2r79	0	0	0
Slirp	333	200	197
Mir3547	0	0	0
Apobec3	606	290	316
Hmcn1	10	4	6
Golga7b	0	0	0
Ybx2	32	14	18
Vom1r13	0	0	0
Olr1380	0	0	0
Olr386	0	0	0
Olr803	0	0	0
Olr804	0	0	0
Olr807	0	0	0
Trem3	0	0	0
Vom1r16	0	0	0
Mtfr1l	1948	955	993
Paf1	1289	625	664
Plekho1	298	149	149
Vom2r80	0	0	0
Vom2r16	0	0	0
Alkbh3	567	305	262
Zic4	0	0	0
Tbc1d2b	450	238	212
Nostrin	31	9	22
Nmb	0	0	0
Cldn22	0	0	0
Mesp2	0	0	0
Arid1a	809	402	407
Snx5	1246	591	655
Wsb2	330	175	155
Ep400	427	225	202
Pantr1	1	1	0
Hoxa11-as	0	0	0
Rps9l1	0	0	0
Kif22	352	171	181
Pgam5	424	217	207
