N_unmapped	12524614	12524614	12524614
N_multimapping	5128592	5128592	5128592
N_noFeature	10927258	18058883	18059480
N_ambiguous	209751	79184	82018
Vom2r3	0	0	0
Rab39a	0	0	0
Fdxacb1	289	145	144
Mrpl52	1631	810	822
Rrlt	7	3	4
Ensa	1537	738	799
Tpm1	4864	2454	2410
Efhd2	2379	1180	1200
Aaas	455	231	227
Nsun4	52	29	23
Ubl4a	813	405	408
Otub1	2156	1084	1074
Slc25a41	1	1	0
Bach1	79	41	38
Ccr1l1	0	0	0
Xcr1	10	5	5
Csf3	490	244	246
Shh	0	0	0
Eloa	3137	1595	1553
Cox4i1	2465	1229	1237
Arg1	4016	2046	1970
Thbs4	0	0	0
Rcn2	2705	1366	1341
Neu2	57	29	28
Inhba	1	1	0
Fdx1	827	406	422
Cd63	5512	2630	2884
Cyp2b12	0	0	0
Vdr	731	372	359
Tnp2	1	0	1
Tnp1	0	0	0
Tbxa2r	100	55	46
Cd37	25	15	15
Areg	3824	1891	1933
Casp12	158	82	76
Anxa7	1770	850	920
Slco1a2	12	6	6
Acsl6	0	0	0
Lonp1	1673	825	849
Naa35	755	359	396
Atp2b3	6	3	3
Mir3580	0	0	0
Mir3579	0	1	0
Mir3578	0	0	0
Mir3581	0	0	0
Asb1	43	22	21
Fgfr2	2184	1116	1068
Brsk1	20	13	8
Preb	836	407	470
Zfp7	3	3	0
Cldn15	9	3	6
Fgd3	3	3	0
Pbx4	0	0	0
Nol8	116	58	58
B4galt5	22	10	12
Scp2d1	0	0	0
Polr3f	281	140	141
Smc2	533	251	282
Ephx3	28	15	13
Cbfa2t3	3	0	3
Plec	1597	799	801
Nipsnap3a	0	0	0
Strn4	2345	1188	1157
Hmg20a	540	255	285
Smim22	1291	577	714
Samd3	5	3	2
Shcbp1l	0	1	0
Ube2s	2230	1049	1182
Prpf31	167	80	87
Lrrtm3	0	0	0
Mrpl51	498	249	249
Fam24a	0	0	0
Fam185a	93	47	55
Msmo1	1316	657	659
Vom2r32	0	0	0
Tcta	996	474	522
Dgka	2058	1026	1033
LOC361985	1469	744	726
Cdk5rap1	729	377	352
Nr1d1	1212	780	782
Prl3a1	0	0	0
Rwdd1	733	376	357
Pzp	3	3	0
Zfp709	115	47	68
Tnfsf10	2544	1309	1235
Slc25a25	280	142	138
Brs3	0	0	0
Timm13	1969	997	974
Gja8	1	0	1
Dhrs4	1089	552	538
Homez	93	53	40
Olfm3	2	2	1
St18	0	0	0
Pnma2	0	0	0
Anapc2	2431	1192	1247
Cd300le	5	2	3
Rnpep	2419	1224	1195
Rps10	4523	2262	2261
Crhr1	0	0	0
Lilrb4	0	0	0
Kras	430	199	231
Olfm1	18	9	9
Slc4a4	141	77	68
Psmb7	1886	901	985
Herpud1	1789	907	888
Cox4i2	7	2	5
Fut9	0	0	0
Nfib	2128	1043	1085
Bnip3	366	156	210
Mlycd	1032	489	543
Trpc6	42	21	21
Chi3l1	7367	3759	3609
Bud31	928	811	825
Ddx52	395	192	204
Hdac2	2500	1224	1276
Kpna2	172	85	87
Abcg1	794	412	382
Atp6v0e1	1353	679	674
Synrg	793	422	372
Prdx6	1442	711	731
Ptch1	188	101	87
Idi1	865	448	425
Slc22a7	13	7	6
Atrn	1620	838	782
Cftr	0	0	0
Mir434	0	0	0
Mir92b	2	2	0
Ap4e1	85	39	46
Ntn5	1	1	1
Sh3bp1	1019	550	469
Aqp4	0	0	0
Rangap1	1025	471	554
Wdr4	378	178	200
Lrrc47	1092	559	534
Ptchd1	0	0	0
Camsap2	566	295	271
Celf5	45	28	20
Sec1	4	3	1
Med14	481	238	244
LOC100909648	0	0	0
LOC100361083	122	58	64
LOC102552805	56	32	24
Tspan17	186	96	90
Chaf1b	143	70	73
Slc17a1	0	0	0
B3galt4	43	23	22
Mlxipl	164	81	84
Fbxo32	866	454	412
Mpnd	2224	1125	1101
Tnfrsf4	6	2	4
Hpca	1	3	0
Csn2	3112	1533	1579
Tmem242	799	417	382
Vom1r105	0	0	0
Tpm3	3567	1768	1804
C2	6465	3280	3187
Tprn	990	508	482
Clec14a	15	7	8
Fxyd2	5	2	3
Rgs10	17	7	10
Rgs1	81	48	33
Trim17	6	4	2
Chad	24	13	11
Arf6	3402	1730	1672
Arf4	8070	3956	4115
Arf2	341	163	178
RGD1308430	800	379	434
Hipk1	810	432	378
Armh4	6	4	2
Mapk1ip1l	548	301	247
Bola3	896	431	465
Ctsg	0	0	0
LOC679149	4	2	2
Tmem128	1126	585	541
Osgep	1136	565	572
Magoh	809	412	397
Tmem255b	0	0	0
Ephx4	0	0	0
Ewsr1	422	219	204
Pak1ip1	479	249	230
Fyco1	422	205	217
Mrps18c	779	384	395
Kat2a	2304	1172	1132
Map7d1	1341	672	669
Mir155hg	0	0	0
Mcart1	159	76	83
Slc10a3	390	195	195
Atg4d	1371	664	707
Atad1	1329	631	698
Mterf4	285	133	152
LOC306079	112	57	55
Slc25a15	366	188	178
Fn3krp	307	157	150
Arhgap5	871	417	454
Camp	3	0	3
Fbxo5	118	55	63
Ttyh1	10	1	9
Dhx37	1059	534	525
Il12rb1	2	2	0
Smtnl1	0	0	0
Stk26	281	128	153
Myh2	2	1	1
Cyp4v3	407	216	191
Zg16b	3	2	1
Myrf	14	13	3
Rab11fip1	5965	3021	2944
Las1l	501	235	266
Smok2a	0	0	0
Vom2r7	0	0	0
Dact2	434	228	206
Srsf9	1520	740	784
Arpc5	2898	1461	1437
Npbwr1	0	0	0
Armcx3	364	168	196
Mzb1	7	3	4
Ercc3	683	351	332
Hbb-bs	15	10	5
Tnks	259	132	127
Prag1	13987	7110	6878
Kif26b	7	2	5
Arhgap30	18	11	7
RGD1559578	0	0	0
Mfhas1	172	91	81
Dcaf10	447	233	214
Trim14	184	93	91
Gpr87	8	5	3
Naa15	1066	530	536
Necab3	5	5	0
Arhgap45	9	1	9
Cd3e	8	4	4
Vom2r79	0	0	0
Slirp	386	256	217
Mir3547	0	0	0
Apobec3	1256	651	606
Hmcn1	10	2	8
Golga7b	0	0	0
Ybx2	125	71	54
Vom1r13	0	0	0
Olr1380	0	0	0
Olr386	0	0	0
Olr803	0	0	0
Olr804	0	0	0
Olr807	0	0	0
Trem3	0	0	0
Vom1r16	0	0	0
Mtfr1l	6842	3406	3436
Paf1	2380	1172	1209
Plekho1	17	10	8
Vom2r80	3	3	1
Vom2r16	1	0	1
Alkbh3	916	488	428
Zic4	0	0	0
Tbc1d2b	883	424	460
Nostrin	10	4	6
Nmb	5	5	0
Cldn22	1	0	1
