N_unmapped	1207965	1207965	1207965
N_multimapping	3625704	3625704	3625704
N_noFeature	11529734	17443905	17495392
N_ambiguous	93886	31706	33065
Vom2r3	1	1	0
Rab39a	5	4	1
Fdxacb1	129	73	56
Mrpl52	1393	688	705
Rrlt	42	25	17
Ensa	1400	724	676
Tpm1	6546	3251	3295
Efhd2	2065	1057	1008
Aaas	229	125	104
Nsun4	0	0	0
Ubl4a	606	286	320
Otub1	2815	1446	1369
Slc25a41	0	0	0
Bach1	125	62	63
Ccr1l1	0	0	0
Xcr1	3	2	1
Csf3	69	36	33
Shh	0	0	0
Eloa	1469	762	707
Cox4i1	1654	839	815
Arg1	783	393	390
Thbs4	3	3	0
Rcn2	2849	1461	1388
Neu2	57	33	24
Inhba	18	10	8
Fdx1	677	333	344
Cd63	18371	8919	9452
Cyp2b12	0	0	0
Vdr	708	350	358
Tnp2	0	0	0
Tnp1	0	0	0
Tbxa2r	30	18	12
Cd37	25	13	14
Areg	18930	9295	9635
Casp12	230	118	112
Anxa7	2064	1084	980
Slco1a2	1	0	1
Acsl6	2	2	0
Lonp1	984	491	493
Naa35	622	291	331
Atp2b3	3	0	3
Mir3580	0	0	0
Mir3579	0	0	0
Mir3578	0	0	0
Mir3581	0	0	0
Asb1	31	14	17
Fgfr2	1287	660	627
Brsk1	22	11	11
Preb	944	506	461
Zfp7	0	0	0
Cldn15	6	3	3
Fgd3	2	2	0
Pbx4	2	1	1
Nol8	0	0	0
B4galt5	248	134	114
Scp2d1	0	0	0
Polr3f	201	94	107
Smc2	310	175	135
Ephx3	24	16	8
Cbfa2t3	2	2	0
Plec	1635	766	869
Nipsnap3a	2	1	1
Strn4	1262	660	602
Hmg20a	370	188	182
Smim22	1754	864	890
Samd3	5	4	1
Shcbp1l	1	1	0
Ube2s	1728	904	824
Prpf31	265	127	138
Lrrtm3	0	0	0
Mrpl51	455	240	215
Fam24a	2	2	0
Fam185a	70	32	45
Msmo1	679	357	322
Vom2r32	0	0	0
Tcta	1007	494	513
Dgka	1089	555	534
LOC361985	1429	731	698
Cdk5rap1	293	141	152
Nr1d1	751	473	430
Prl3a1	1	1	0
Rwdd1	865	457	408
Pzp	13	7	6
Zfp709	178	87	91
Tnfsf10	4771	2489	2282
Slc25a25	188	91	97
Brs3	0	0	0
Timm13	2125	1106	1019
Gja8	8	4	4
Dhrs4	890	444	446
Homez	111	52	59
Olfm3	2	2	0
St18	11	8	3
Pnma2	9	2	7
Anapc2	2074	1062	1012
Cd300le	1	0	1
Rnpep	2259	1149	1110
Rps10	1554	732	822
Crhr1	0	0	0
Lilrb4	7	5	2
Kras	915	469	446
Olfm1	12	3	9
Slc4a4	270	135	135
Psmb7	1710	825	885
Herpud1	1748	864	884
Cox4i2	0	0	0
Fut9	0	0	0
Nfib	1789	910	879
Bnip3	390	203	187
Mlycd	1022	469	553
Trpc6	433	200	233
Chi3l1	5432	2711	2721
Bud31	1114	849	795
Ddx52	317	151	166
Hdac2	2811	1381	1430
Kpna2	139	70	69
Abcg1	1357	672	685
Atp6v0e1	2541	1309	1232
Synrg	609	299	310
Prdx6	3040	1590	1450
Ptch1	256	121	135
Idi1	321	175	147
Slc22a7	4	3	1
Atrn	1407	690	717
Cftr	28	17	11
Mir434	0	0	0
Mir92b	0	0	0
Ap4e1	58	23	35
Ntn5	0	0	0
Sh3bp1	346	175	171
