N_unmapped	4266881	4266881	4266881
N_multimapping	4881304	4881304	4881304
N_noFeature	16232734	18912612	18936606
N_ambiguous	95181	34380	41381
Vom2r3	0	0	0
Rab39a	4	3	1
Fdxacb1	102	63	39
Mrpl52	970	499	471
Rrlt	1	0	1
Ensa	870	443	427
Tpm1	4186	2076	2110
Efhd2	850	444	406
Aaas	145	73	72
Nsun4	0	0	0
Ubl4a	314	183	131
Otub1	1026	517	509
Slc25a41	0	0	0
Bach1	55	25	30
Ccr1l1	0	0	0
Xcr1	6	4	2
Csf3	27	11	16
Shh	0	0	0
Eloa	1053	560	493
Cox4i1	1415	719	696
Arg1	371	177	194
Thbs4	5	2	3
Rcn2	645	332	313
Neu2	2	1	1
Inhba	20	8	12
Fdx1	367	168	199
Cd63	6158	3082	3076
Cyp2b12	3	1	2
Vdr	91	46	45
Tnp2	0	0	0
Tnp1	3	0	3
Tbxa2r	40	16	24
Cd37	28	18	12
Areg	4289	2091	2198
Casp12	53	33	20
Anxa7	716	362	354
Slco1a2	9	3	6
Acsl6	15	8	7
Lonp1	520	249	271
Naa35	414	216	198
Atp2b3	33	13	20
Mir3580	1	0	1
Mir3579	1	1	4
Mir3578	0	0	0
Mir3581	0	0	0
Asb1	31	15	16
Fgfr2	2405	1211	1194
Brsk1	14	10	6
Preb	332	172	184
Zfp7	0	0	0
Cldn15	5	1	4
Fgd3	19	7	12
Pbx4	18	5	13
Nol8	0	0	0
B4galt5	43	18	25
Scp2d1	0	0	0
Polr3f	118	62	56
Smc2	478	237	241
Ephx3	18	10	8
Cbfa2t3	37	24	13
Plec	2367	1185	1182
Nipsnap3a	10	7	3
Strn4	879	445	434
Hmg20a	206	106	100
Smim22	1283	644	639
Samd3	9	5	4
Shcbp1l	7	4	3
Ube2s	850	478	372
Prpf31	89	57	32
Lrrtm3	3	1	2
Mrpl51	219	108	111
Fam24a	0	0	0
Fam185a	13	5	9
Msmo1	667	336	331
Vom2r32	0	0	0
Tcta	462	223	239
Dgka	1075	544	531
LOC361985	673	349	324
Cdk5rap1	188	91	97
Nr1d1	445	297	288
Prl3a1	2	0	2
Rwdd1	472	232	240
Pzp	28	17	11
Zfp709	84	44	40
Tnfsf10	412	234	178
Slc25a25	144	72	72
Brs3	0	0	0
Timm13	1802	901	901
Gja8	12	6	6
Dhrs4	421	200	221
Homez	64	30	34
Olfm3	9	2	7
St18	19	14	5
Pnma2	62	34	28
Anapc2	779	380	400
Cd300le	22	11	11
Rnpep	1074	537	537
Rps10	1711	821	890
