N_unmapped	1045740	1045740	1045740
N_multimapping	3313347	3313347	3313347
N_noFeature	8837699	15952821	16001485
N_ambiguous	94653	29304	29958
Vom2r3	0	0	0
Rab39a	1	0	1
Fdxacb1	169	90	79
Mrpl52	1213	594	619
Rrlt	21	6	15
Ensa	1645	819	826
Tpm1	4275	2121	2154
Efhd2	2631	1321	1310
Aaas	460	226	234
Nsun4	0	0	0
Ubl4a	871	442	429
Otub1	3454	1737	1717
Slc25a41	3	2	1
Bach1	148	78	70
Ccr1l1	2	0	2
Xcr1	1	1	0
Csf3	58	26	32
Shh	2	1	1
Eloa	1476	760	716
Cox4i1	2104	1041	1063
Arg1	344	185	159
Thbs4	6	4	2
Rcn2	4163	2062	2101
Neu2	8	6	2
Inhba	257	127	130
Fdx1	711	346	365
Cd63	21665	10604	11061
Cyp2b12	2	2	0
Vdr	1064	550	514
Tnp2	0	0	0
Tnp1	5	1	4
Tbxa2r	54	23	31
Cd37	18	10	11
Areg	26745	13334	13411
Casp12	145	75	70
Anxa7	2059	1024	1035
Slco1a2	19	9	10
Acsl6	5	5	0
Lonp1	1593	795	799
Naa35	632	341	291
Atp2b3	42	20	22
Mir3580	4	2	2
Mir3579	0	0	0
Mir3578	0	0	0
Mir3581	0	0	0
Asb1	50	29	21
Fgfr2	1155	595	560
Brsk1	35	16	21
Preb	1214	649	621
Zfp7	2	0	2
Cldn15	4	1	3
Fgd3	13	8	5
Pbx4	21	12	9
Nol8	0	0	0
B4galt5	150	68	82
Scp2d1	3	0	3
Polr3f	217	101	116
Smc2	263	143	120
Ephx3	63	32	31
Cbfa2t3	25	13	12
Plec	3277	1635	1642
Nipsnap3a	1	1	0
Strn4	2130	1050	1080
Hmg20a	735	380	355
Smim22	1603	777	826
Samd3	2	0	2
Shcbp1l	3	2	1
Ube2s	2002	1016	986
Prpf31	305	162	143
Lrrtm3	15	6	9
Mrpl51	470	225	245
Fam24a	2	2	0
Fam185a	88	58	36
Msmo1	876	460	416
Vom2r32	4	3	1
Tcta	1358	661	697
Dgka	2510	1275	1235
LOC361985	1492	754	738
Cdk5rap1	527	273	254
Nr1d1	864	535	530
Prl3a1	4	2	2
Rwdd1	791	420	371
Pzp	19	5	14
Zfp709	151	75	76
Tnfsf10	2304	1228	1076
Slc25a25	293	154	139
Brs3	0	0	0
Timm13	2804	1406	1398
Gja8	0	0	0
Dhrs4	932	453	479
Homez	205	105	100
Olfm3	1	1	0
St18	8	5	3
Pnma2	5	2	3
Anapc2	3052	1547	1505
Cd300le	22	13	9
Rnpep	2993	1447	1546
Rps10	1729	793	936
