N_unmapped	12547195	12547195	12547195
N_multimapping	3982516	3982516	3982516
N_noFeature	18945035	19200147	19197623
N_ambiguous	8765	3497	3786
Vom2r3	1	0	1
Rab39a	0	0	0
Fdxacb1	22	10	12
Mrpl52	32	16	16
Rrlt	2	2	0
Ensa	30	16	14
Tpm1	169	88	81
Efhd2	37	17	20
Aaas	42	18	24
Nsun4	5	2	3
Ubl4a	19	7	12
Otub1	73	39	34
Slc25a41	11	5	6
Bach1	0	0	0
Ccr1l1	0	0	0
Xcr1	17	7	10
Csf3	6	2	4
Shh	7	5	2
Eloa	48	34	14
Cox4i1	25	11	14
Arg1	21	7	14
Thbs4	5	2	3
Rcn2	30	15	15
Neu2	2	2	0
Inhba	5	5	0
Fdx1	18	9	9
Cd63	107	49	58
Cyp2b12	19	9	10
Vdr	9	8	1
Tnp2	6	1	5
Tnp1	1	0	1
Tbxa2r	3	0	3
Cd37	6	2	4
Areg	179	91	88
Casp12	38	19	19
Anxa7	71	37	34
Slco1a2	30	13	17
Acsl6	47	22	25
Lonp1	11	6	5
Naa35	74	38	36
Atp2b3	129	59	70
Mir3580	6	3	3
Mir3579	0	2	0
Mir3578	0	0	0
Mir3581	0	0	0
Asb1	19	4	15
Fgfr2	68	40	28
Brsk1	21	9	13
Preb	19	14	6
Zfp7	0	0	0
Cldn15	4	1	3
Fgd3	10	6	4
Pbx4	23	11	12
Nol8	11	4	7
B4galt5	14	10	4
Scp2d1	3	0	3
Polr3f	19	8	11
Smc2	70	38	32
Ephx3	91	43	48
Cbfa2t3	15	5	11
Plec	193	99	95
Nipsnap3a	4	2	2
Strn4	59	30	29
Hmg20a	40	20	20
Smim22	30	19	11
Samd3	13	5	8
Shcbp1l	27	18	9
Ube2s	67	35	32
Prpf31	28	16	12
Lrrtm3	14	10	4
Mrpl51	88	46	42
Fam24a	19	12	7
Fam185a	19	13	7
Msmo1	24	8	16
Vom2r32	6	4	2
Tcta	14	5	9
Dgka	40	17	23
LOC361985	53	34	19
Cdk5rap1	34	18	16
Nr1d1	49	26	25
Prl3a1	0	0	0
Rwdd1	22	11	11
Pzp	71	33	38
Zfp709	30	16	14
Tnfsf10	10	7	3
Slc25a25	10	3	7
Brs3	1	0	1
Timm13	70	29	42
Gja8	18	8	10
Dhrs4	17	13	4
Homez	6	2	4
Olfm3	32	22	10
St18	18	13	5
Pnma2	29	12	17
Anapc2	64	31	33
Cd300le	12	9	3
Rnpep	49	17	32
Rps10	84	46	38
Crhr1	18	8	10
Lilrb4	1	0	1
Kras	41	18	23
Olfm1	17	8	9
Slc4a4	109	53	56
Psmb7	59	33	26
Herpud1	39	18	21
Cox4i2	6	2	4
Fut9	10	10	0
Nfib	146	75	71
Bnip3	16	9	7
Mlycd	13	6	7
Trpc6	24	21	3
Chi3l1	21	10	11
Bud31	40	24	32
Ddx52	28	11	17
Hdac2	64	31	33
Kpna2	104	51	53
Abcg1	15	9	6
Atp6v0e1	16	8	8
Synrg	74	33	41
Prdx6	40	22	18
Ptch1	54	25	29
Idi1	71	39	32
Slc22a7	20	4	16
Atrn	110	58	52
Cftr	32	18	14
Mir434	0	0	0
Mir92b	1	1	0
Ap4e1	44	21	23
Ntn5	22	17	5
Sh3bp1	25	15	10
Aqp4	55	22	33
Rangap1	10	5	5
Wdr4	11	3	8
Lrrc47	17	10	7
Ptchd1	7	3	4
Camsap2	52	29	23
Celf5	79	51	28
Sec1	9	5	4
Med14	68	36	32
LOC100909648	0	0	0
LOC100361083	13	9	4
LOC102552805	7	5	2
Tspan17	21	10	11
Chaf1b	52	28	24
Slc17a1	30	21	9
B3galt4	7	5	3
Mlxipl	35	18	17
Fbxo32	15	6	9
Mpnd	12	7	5
Tnfrsf4	40	19	21
Hpca	1	1	0
Csn2	0	0	0
Tmem242	29	18	11
Vom1r105	1	1	0
Tpm3	103	55	48
C2	83	47	36
Tprn	9	2	7
Clec14a	8	3	5
Fxyd2	25	15	10
Rgs10	13	8	5
Rgs1	0	0	0
Trim17	14	7	7
Chad	11	5	6
Arf6	32	15	17
Arf4	95	53	42
Arf2	16	7	9
RGD1308430	28	13	15
Hipk1	51	31	20
Armh4	43	21	22
Mapk1ip1l	4	2	2
Bola3	16	11	5
Ctsg	0	0	0
LOC679149	1	0	1
Tmem128	14	4	10
Osgep	27	15	12
Magoh	11	7	4
Tmem255b	0	0	0
Ephx4	6	4	2
Ewsr1	4	3	1
Pak1ip1	29	9	20
Fyco1	81	40	41
Mrps18c	28	13	16
Kat2a	18	9	9
Map7d1	35	23	12
Mir155hg	6	2	4
Mcart1	4	0	4
Slc10a3	12	7	5
Atg4d	21	10	11
Atad1	69	41	28
Mterf4	44	13	31
LOC306079	3	0	3
Slc25a15	45	21	24
Fn3krp	36	18	18
Arhgap5	29	10	19
Camp	12	5	7
Fbxo5	20	12	8
Ttyh1	9	5	4
Dhx37	40	18	22
Il12rb1	32	20	12
Smtnl1	9	4	5
Stk26	11	4	7
Myh2	24	11	13
Cyp4v3	39	21	18
Zg16b	31	18	13
Myrf	14	12	2
Rab11fip1	114	45	69
Las1l	22	12	10
Smok2a	13	5	8
Vom2r7	6	3	3
Dact2	21	11	10
Srsf9	22	11	11
Arpc5	7	4	3
Npbwr1	10	7	3
Armcx3	8	4	4
Mzb1	13	7	6
Ercc3	15	10	5
Hbb-bs	0	0	0
Tnks	78	41	37
Prag1	154	81	73
Kif26b	50	24	26
Arhgap30	77	38	39
RGD1559578	5	2	3
Mfhas1	6	5	1
Dcaf10	34	14	20
Trim14	53	29	24
Gpr87	1	0	1
Naa15	82	52	30
Necab3	4	0	4
Arhgap45	23	9	14
Cd3e	10	3	7
Vom2r79	4	2	2
Slirp	23	14	23
Mir3547	0	0	0
Apobec3	36	18	18
Hmcn1	161	74	87
Golga7b	15	7	8
Ybx2	8	4	4
Vom1r13	0	0	0
Olr1380	0	0	0
Olr386	1	0	1
Olr803	75	37	38
Olr804	4	3	1
Olr807	0	0	0
Trem3	10	4	6
Vom1r16	0	0	0
Mtfr1l	74	26	48
Paf1	59	27	32
Plekho1	21	10	11
Vom2r80	7	5	2
Vom2r16	8	3	5
Alkbh3	19	10	9
Zic4	66	30	36
Tbc1d2b	21	13	8
Nostrin	39	22	17
Nmb	5	5	0
