N_unmapped	1165951	1165951	1165951
N_multimapping	3988505	3988505	3988505
N_noFeature	19768917	21530638	21547327
N_ambiguous	41485	13623	14501
Vom2r3	0	0	0
Rab39a	1	1	0
Fdxacb1	75	34	41
Mrpl52	730	346	384
Rrlt	0	0	0
Ensa	429	214	215
Tpm1	2322	1167	1155
Efhd2	425	207	218
Aaas	229	102	127
Nsun4	0	0	0
Ubl4a	309	153	156
Otub1	1136	594	542
Slc25a41	0	0	0
Bach1	42	24	18
Ccr1l1	0	0	0
Xcr1	3	2	1
Csf3	13	9	4
Shh	1	1	0
Eloa	921	479	442
Cox4i1	435	200	235
Arg1	196	114	82
Thbs4	0	0	0
Rcn2	818	398	420
Neu2	5	4	1
Inhba	0	0	0
Fdx1	432	226	206
Cd63	2022	1001	1021
Cyp2b12	0	0	0
Vdr	39	23	16
Tnp2	0	0	0
Tnp1	0	0	0
Tbxa2r	26	12	14
Cd37	15	7	8
Areg	2072	1002	1070
Casp12	21	11	10
Anxa7	666	341	325
Slco1a2	7	2	5
Acsl6	12	5	7
Lonp1	406	217	189
Naa35	275	146	129
Atp2b3	37	17	20
Mir3580	4	4	0
Mir3579	0	0	0
Mir3578	0	0	0
Mir3581	0	0	0
Asb1	3	2	1
Fgfr2	700	342	358
Brsk1	5	2	3
Preb	168	86	97
Zfp7	0	0	0
Cldn15	0	0	0
Fgd3	11	4	7
Pbx4	23	11	12
Nol8	0	0	0
B4galt5	4	1	3
Scp2d1	5	2	3
Polr3f	88	39	49
Smc2	403	200	203
Ephx3	11	5	6
Cbfa2t3	12	8	4
Plec	862	446	416
Nipsnap3a	7	2	5
Strn4	444	215	229
Hmg20a	79	33	46
Smim22	621	288	333
Samd3	1	0	1
Shcbp1l	1	1	0
Ube2s	810	418	392
Prpf31	86	46	40
Lrrtm3	16	5	11
Mrpl51	175	92	83
Fam24a	4	2	2
Fam185a	29	14	16
Msmo1	497	256	241
Vom2r32	2	0	2
Tcta	390	181	209
Dgka	467	234	233
LOC361985	399	191	208
Cdk5rap1	157	87	70
Nr1d1	143	100	97
Prl3a1	0	0	0
Rwdd1	338	176	162
Pzp	35	13	22
Zfp709	28	15	13
Tnfsf10	126	61	65
Slc25a25	25	10	15
Brs3	0	0	0
Timm13	1394	665	729
Gja8	10	5	5
Dhrs4	286	134	152
Homez	27	12	15
Olfm3	0	0	0
St18	11	9	2
Pnma2	27	12	15
Anapc2	437	220	217
Cd300le	17	8	9
Rnpep	639	305	334
Rps10	855	423	432
Crhr1	4	2	2
Lilrb4	12	8	4
Kras	381	193	188
Olfm1	7	4	3
Slc4a4	14	6	8
Psmb7	744	380	364
Herpud1	376	188	188
Cox4i2	2	1	1
Fut9	0	0	0
Nfib	113	62	51
Bnip3	597	323	274
Mlycd	288	145	143
Trpc6	0	0	0
Chi3l1	201	100	101
Bud31	530	400	425
Ddx52	141	60	81
Hdac2	805	396	409
Kpna2	247	129	118
Abcg1	127	65	62
Atp6v0e1	613	312	301
Synrg	137	71	66
Prdx6	349	168	181
Ptch1	65	31	34
Idi1	573	306	277
Slc22a7	15	8	7
Atrn	104	54	50
Cftr	21	13	8
Mir434	0	0	0
Mir92b	0	0	0
Ap4e1	43	19	24
Ntn5	12	4	8
Sh3bp1	162	72	90
Aqp4	22	15	7
Rangap1	312	156	156
Wdr4	269	123	146
Lrrc47	273	145	128
Ptchd1	10	5	5
Camsap2	154	77	77
Celf5	52	27	25
Sec1	0	0	0
Med14	77	39	38
LOC100909648	0	0	0
LOC100361083	20	9	11
LOC102552805	8	4	4
Tspan17	96	39	57
Chaf1b	115	54	61
Slc17a1	12	5	7
B3galt4	25	12	13
Mlxipl	32	19	13
Fbxo32	93	47	46
Mpnd	981	507	474
Tnfrsf4	18	12	6
Hpca	0	0	0
Csn2	0	0	0
Tmem242	289	146	143
Vom1r105	0	0	0
Tpm3	1403	677	726
C2	382	177	205
Tprn	110	56	54
Clec14a	7	3	4
Fxyd2	8	6	2
Rgs10	6	2	4
Rgs1	18	11	7
Trim17	13	4	9
Chad	1	1	0
Arf6	740	371	369
Arf4	1765	879	886
Arf2	94	52	42
RGD1308430	324	150	175
Hipk1	161	66	95
Armh4	19	8	11
Mapk1ip1l	60	34	26
Bola3	440	213	227
Ctsg	0	0	0
LOC679149	0	0	0
Tmem128	284	132	152
Osgep	337	190	147
Magoh	463	232	231
Tmem255b	0	0	0
Ephx4	6	3	3
Ewsr1	1	1	0
Pak1ip1	280	141	139
Fyco1	89	40	49
Mrps18c	393	188	205
Kat2a	437	221	216
Map7d1	194	91	103
Mir155hg	9	5	4
Mcart1	2	1	1
Slc10a3	136	75	61
Atg4d	389	214	175
Atad1	334	175	159
Mterf4	136	81	55
LOC306079	15	11	4
Slc25a15	71	38	33
Fn3krp	71	41	30
Arhgap5	379	199	180
Camp	0	0	0
Fbxo5	116	59	57
Ttyh1	4	1	3
Dhx37	150	71	79
Il12rb1	4	0	4
Smtnl1	10	5	5
Stk26	107	66	41
Myh2	30	12	18
Cyp4v3	62	22	40
Zg16b	2	1	1
Myrf	9	4	5
Rab11fip1	267	147	120
Las1l	133	77	56
Smok2a	1	0	1
Vom2r7	1	1	0
Dact2	28	15	13
Srsf9	613	294	319
Arpc5	1332	653	679
Npbwr1	15	9	6
Armcx3	149	64	85
Mzb1	3	2	1
Ercc3	222	116	106
Hbb-bs	0	0	0
Tnks	99	59	40
Prag1	1438	695	743
Kif26b	29	13	16
Arhgap30	29	15	14
RGD1559578	0	0	0
Mfhas1	5	3	2
Dcaf10	85	39	46
Trim14	110	51	59
Gpr87	5	5	0
Naa15	400	200	200
Necab3	2	2	0
Arhgap45	18	8	10
Cd3e	3	1	2
Vom2r79	0	0	0
Slirp	314	171	163
Mir3547	0	0	0
Apobec3	279	165	114
Hmcn1	94	56	38
Golga7b	0	0	0
Ybx2	73	29	44
Vom1r13	0	0	0
Olr1380	0	0	0
Olr386	0	0	0
Olr803	26	18	8
Olr804	0	0	0
Olr807	0	0	0
Trem3	0	0	0
Vom1r16	0	0	0
Mtfr1l	575	283	292
Paf1	640	313	327
Plekho1	29	8	21
Vom2r80	0	1	0
Vom2r16	9	6	3
Alkbh3	284	131	153
Zic4	73	28	45
Tbc1d2b	126	76	50
Nostrin	48	17	31
Nmb	3	1	2
Cldn22	0	0	0
Mesp2	9	5	4
Arid1a	461	232	229
Snx5	359	177	182
Wsb2	99	53	46
Ep400	413	223	190
Pantr1	0	0	0
Hoxa11-as	0	0	0
Rps9l1	0	0	0
Kif22	271	147	124
Pgam5	317	161	156
Fam118b	204	88	116
LOC100125364	198	125	133
Cmtm1	0	0	0
Pspc1	161	86	75
Sp110	548	271	277
Memo1	346	173	173
Gmcl1	222	87	135
Mir208b	2	1	1
Pop4	399	204	195
Catsperd	78	47	31
Tmem167b	27	16	11
Cmc1	182	99	83
Syce3	0	0	0
Mir194-2	0	0	0
Snrpf	375	191	184
Olr1l	0	0	0
Slc25a38	113	57	56
Mir543	0	0	0
Mir363	0	0	0
Mir487b	0	0	0
Mir20b	0	0	0
Mir375	0	0	0
Mir199a2	5	1	4
Mir188	0	0	0
Mir382	0	0	0
Mir874	0	0	0
Mir497	1	1	0
Mir503	0	0	0
Obi1	67	29	38
Vom2r17	0	0	0
Hectd2	20	12	8
Abcf3	420	201	219
Slc1a3	36	16	20
Borcs8	80	51	29
Cyb5r2	11	5	6
Vom2r34	0	0	0
Vom2r33	13	9	4
Serpinb11	2	2	0
Mir877	0	0	0
Mir376a	0	0	0
Mir376b	0	0	0
Mir376c	0	0	0
Mir106a	0	0	0
Mir147	0	0	0
Pa2g4	368	171	197
Pnkp	368	194	174
Krt85	1	1	0
Tmod4	10	7	3
Vom2r78	0	0	0
