N_unmapped	2475330	2475330	2475330
N_multimapping	3103685	3103685	3103685
N_noFeature	16225941	17754316	17776793
N_ambiguous	36155	14034	15464
Vom2r3	0	0	0
Rab39a	0	0	0
Fdxacb1	2	0	2
Mrpl52	167	74	93
Rrlt	0	0	0
Ensa	1	1	0
Tpm1	3952	2029	1923
Efhd2	1294	665	629
Aaas	233	111	122
Nsun4	0	0	0
Ubl4a	0	0	0
Otub1	198	109	89
Slc25a41	0	0	0
Bach1	0	0	0
Ccr1l1	0	0	0
Xcr1	0	0	0
Csf3	801	415	386
Shh	0	0	0
Eloa	385	188	197
Cox4i1	425	200	225
Arg1	0	0	0
Thbs4	0	0	0
Rcn2	790	393	397
Neu2	0	0	0
Inhba	0	0	0
Fdx1	885	420	465
Cd63	1110	549	561
Cyp2b12	0	0	0
Vdr	1	1	0
Tnp2	0	0	0
Tnp1	0	0	0
Tbxa2r	3	0	3
Cd37	2	2	0
Areg	98	37	61
Casp12	271	135	136
Anxa7	0	0	0
Slco1a2	0	0	0
Acsl6	0	0	0
Lonp1	144	88	59
Naa35	428	207	221
Atp2b3	2	2	0
Mir3580	0	0	0
Mir3579	0	0	0
Mir3578	0	0	0
Mir3581	0	0	0
Asb1	2	0	2
Fgfr2	0	0	0
Brsk1	0	0	0
Preb	0	1	5
Zfp7	0	0	0
Cldn15	0	0	0
Fgd3	1	0	1
Pbx4	0	0	0
Nol8	0	0	0
B4galt5	0	0	0
Scp2d1	0	0	0
Polr3f	0	0	0
Smc2	44	19	25
Ephx3	0	0	0
Cbfa2t3	0	0	0
Plec	10	8	2
Nipsnap3a	19	8	11
Strn4	0	0	0
Hmg20a	33	15	18
Smim22	371	190	181
Samd3	0	0	0
Shcbp1l	0	0	0
Ube2s	378	186	192
Prpf31	7	6	1
Lrrtm3	0	0	0
Mrpl51	0	0	0
Fam24a	0	0	0
Fam185a	1	1	0
Msmo1	7	4	3
Vom2r32	0	0	0
Tcta	0	0	0
Dgka	361	174	187
LOC361985	338	192	146
Cdk5rap1	272	130	142
Nr1d1	0	0	0
Prl3a1	0	0	0
Rwdd1	579	290	289
Pzp	24	7	17
Zfp709	449	231	218
Tnfsf10	1	0	1
Slc25a25	0	0	0
Brs3	0	0	0
Timm13	693	364	329
Gja8	0	0	0
Dhrs4	0	0	0
Homez	0	0	0
Olfm3	0	0	0
St18	62	30	32
Pnma2	1	1	0
Anapc2	1050	581	469
Cd300le	0	0	0
Rnpep	861	440	421
Rps10	279	137	142
Crhr1	0	0	0
Lilrb4	0	0	0
Kras	154	82	72
Olfm1	0	0	0
Slc4a4	23	7	16
Psmb7	360	180	180
Herpud1	31	11	20
Cox4i2	0	0	0
Fut9	0	0	0
Nfib	356	167	189
Bnip3	290	157	133
Mlycd	393	210	183
Trpc6	0	0	0
Chi3l1	5742	2885	2857
Bud31	222	160	147
Ddx52	36	21	15
Hdac2	182	92	90
Kpna2	0	0	0
Abcg1	2	1	1
Atp6v0e1	511	251	260
Synrg	55	29	26
Prdx6	167	92	75
Ptch1	0	0	0
Idi1	39	23	16
Slc22a7	0	0	0
Atrn	1	0	1
Cftr	0	0	0
Mir434	0	0	0
Mir92b	0	0	0
Ap4e1	0	0	0
Ntn5	0	0	0
Sh3bp1	2	0	2
Aqp4	0	0	0
Rangap1	0	0	0
Wdr4	402	196	206
Lrrc47	1	0	1
Ptchd1	88	43	45
Camsap2	1	0	1
Celf5	1	0	1
Sec1	0	0	0
Med14	0	0	0
LOC100909648	0	0	0
LOC100361083	0	0	0
LOC102552805	2	1	1
Tspan17	150	89	61
Chaf1b	43	23	20
Slc17a1	0	0	0
B3galt4	0	0	0
Mlxipl	0	0	0
Fbxo32	38	15	23
Mpnd	2	1	1
Tnfrsf4	4	3	1
Hpca	0	0	0
Csn2	1317	649	668
Tmem242	468	231	237
Vom1r105	0	0	0
Tpm3	712	413	299
C2	2027	1030	997
Tprn	0	0	0
Clec14a	0	0	0
Fxyd2	18	8	10
Rgs10	0	0	0
Rgs1	1318	641	677
Trim17	0	0	0
Chad	0	0	0
Arf6	954	468	486
Arf4	642	324	318
Arf2	4	1	3
RGD1308430	818	398	420
Hipk1	20	14	6
Armh4	1	0	1
Mapk1ip1l	0	0	0
Bola3	0	0	0
Ctsg	0	0	0
LOC679149	0	0	0
Tmem128	250	111	139
Osgep	0	0	0
Magoh	372	176	196
Tmem255b	0	0	0
Ephx4	0	0	0
Ewsr1	0	0	0
Pak1ip1	0	0	0
Fyco1	54	31	23
Mrps18c	386	194	192
Kat2a	245	129	116
Map7d1	350	169	181
Mir155hg	6	4	2
Mcart1	0	0	0
Slc10a3	0	0	0
Atg4d	59	33	26
Atad1	506	258	248
Mterf4	256	135	121
LOC306079	5	4	1
Slc25a15	0	0	0
Fn3krp	0	0	0
Arhgap5	0	0	0
Camp	0	0	0
Fbxo5	1	1	0
Ttyh1	0	0	0
Dhx37	0	0	0
Il12rb1	0	0	0
Smtnl1	0	0	0
Stk26	9	7	2
Myh2	0	0	0
Cyp4v3	0	0	0
Zg16b	0	0	0
Myrf	0	0	0
Rab11fip1	20	4	16
Las1l	124	59	65
Smok2a	0	0	0
Vom2r7	0	0	0
Dact2	640	301	339
Srsf9	10	5	5
Arpc5	1993	985	1008
Npbwr1	0	0	0
Armcx3	0	0	0
Mzb1	0	0	0
Ercc3	0	0	0
Hbb-bs	0	0	0
Tnks	6	3	3
Prag1	20	11	9
Kif26b	2	1	1
Arhgap30	2	1	1
