N_unmapped	1172380	1172380	1172380
N_multimapping	5019742	5019742	5019742
N_noFeature	8867623	15842614	15886187
N_ambiguous	150850	57052	64806
Vom2r3	0	0	0
Rab39a	0	0	0
Fdxacb1	248	131	117
Mrpl52	1281	627	654
Rrlt	0	0	0
Ensa	1918	935	983
Tpm1	5936	3002	2934
Efhd2	3522	1799	1723
Aaas	60	30	30
Nsun4	0	0	0
Ubl4a	351	180	171
Otub1	2335	1163	1172
Slc25a41	0	0	0
Bach1	206	95	111
Ccr1l1	0	0	0
Xcr1	0	0	0
Csf3	15961	7796	8165
Shh	0	0	0
Eloa	2351	1178	1173
Cox4i1	1367	676	691
Arg1	144	77	67
Thbs4	0	0	0
Rcn2	2772	1392	1380
Neu2	306	147	159
Inhba	151	77	74
Fdx1	281	129	152
Cd63	17476	8711	8765
Cyp2b12	0	0	0
Vdr	345	168	177
Tnp2	0	0	0
Tnp1	0	0	0
Tbxa2r	0	0	0
Cd37	0	0	0
Areg	11114	5503	5611
Casp12	602	303	299
Anxa7	2328	1184	1144
Slco1a2	0	0	0
Acsl6	0	0	0
Lonp1	727	358	369
Naa35	267	137	130
Atp2b3	0	0	0
Mir3580	0	0	0
Mir3579	0	0	0
Mir3578	0	0	0
Mir3581	0	0	0
Asb1	76	35	41
Fgfr2	905	480	425
Brsk1	1	0	1
Preb	44	31	23
Zfp7	0	0	0
Cldn15	0	0	0
Fgd3	0	0	0
Pbx4	0	0	0
Nol8	0	0	0
B4galt5	119	65	54
Scp2d1	0	0	0
Polr3f	147	75	72
Smc2	220	102	118
Ephx3	0	0	0
Cbfa2t3	47	23	24
Plec	2292	1153	1139
Nipsnap3a	0	0	0
Strn4	1228	605	623
Hmg20a	524	285	239
Smim22	1395	711	684
Samd3	0	0	0
Shcbp1l	0	0	0
Ube2s	1909	1033	876
Prpf31	8	8	0
Lrrtm3	0	0	0
Mrpl51	269	150	119
Fam24a	0	0	0
Fam185a	46	33	19
Msmo1	639	303	336
Vom2r32	0	0	0
Tcta	602	292	310
Dgka	2353	1195	1158
LOC361985	1436	715	721
Cdk5rap1	511	252	259
Nr1d1	1979	1200	1188
Prl3a1	0	0	0
Rwdd1	763	386	377
Pzp	0	0	0
Zfp709	711	354	357
Tnfsf10	3796	1941	1855
Slc25a25	886	425	461
Brs3	0	0	0
Timm13	1302	646	656
Gja8	0	0	0
Dhrs4	253	119	134
Homez	7	2	5
Olfm3	0	0	0
St18	0	0	0
Pnma2	0	0	0
Anapc2	2656	1316	1344
Cd300le	16	8	8
Rnpep	3639	1799	1840
Rps10	1372	686	686
Crhr1	0	0	0
Lilrb4	0	0	0
Kras	1631	839	792
Olfm1	0	0	0
Slc4a4	19	12	7
Psmb7	2073	1020	1053
Herpud1	1829	915	914
Cox4i2	0	0	0
Fut9	0	0	0
Nfib	2576	1249	1327
Bnip3	148	74	74
Mlycd	1030	527	503
Trpc6	489	237	252
Chi3l1	19750	9790	9960
Bud31	1194	850	889
Ddx52	496	237	259
Hdac2	1839	888	951
Kpna2	65	23	42
Abcg1	445	226	219
Atp6v0e1	2509	1256	1253
Synrg	681	339	342
Prdx6	2296	1194	1102
Ptch1	82	35	47
Idi1	331	168	163
Slc22a7	0	0	0
Atrn	1088	548	540
Cftr	0	0	0
Mir434	0	0	0
Mir92b	0	0	0
Ap4e1	32	13	19
Ntn5	0	0	0
Sh3bp1	258	135	123
Aqp4	0	0	0
Rangap1	1262	635	627
Wdr4	244	116	128
Lrrc47	713	324	389
Ptchd1	0	0	0
Camsap2	95	52	43
Celf5	6	5	1
Sec1	0	0	0
Med14	131	67	64
LOC100909648	0	0	0
LOC100361083	153	80	73
LOC102552805	2	2	0
Tspan17	618	316	302
Chaf1b	293	141	152
Slc17a1	0	0	0
B3galt4	0	0	0
Mlxipl	67	33	34
Fbxo32	781	393	388
Mpnd	1578	804	774
Tnfrsf4	0	0	0
Hpca	0	0	0
Csn2	98	52	46
Tmem242	483	265	218
Vom1r105	0	0	0
Tpm3	5328	2746	2582
C2	6116	3132	2984
Tprn	653	322	331
Clec14a	0	0	0
Fxyd2	0	0	0
Rgs10	0	0	0
Rgs1	1526	788	738
Trim17	0	0	0
Chad	0	0	0
Arf6	5206	2499	2707
Arf4	11030	5478	5552
Arf2	170	83	87
RGD1308430	587	297	290
Hipk1	724	355	369
Armh4	3	1	2
Mapk1ip1l	80	36	44
Bola3	636	320	316
Ctsg	0	0	0
LOC679149	0	0	0
Tmem128	882	444	438
Osgep	788	411	377
Magoh	916	458	458
Tmem255b	0	0	0
Ephx4	0	0	0
Ewsr1	4	1	3
Pak1ip1	517	247	270
Fyco1	0	0	0
Mrps18c	768	406	362
Kat2a	982	495	487
Map7d1	1158	564	594
Mir155hg	61	26	35
Mcart1	8	5	3
Slc10a3	479	234	245
Atg4d	1250	625	625
Atad1	718	357	361
Mterf4	431	217	214
LOC306079	27	22	5
Slc25a15	0	0	0
Fn3krp	355	183	172
Arhgap5	894	464	430
Camp	0	0	0
Fbxo5	415	194	221
Ttyh1	0	0	0
Dhx37	350	167	183
Il12rb1	0	0	0
Smtnl1	0	0	0
Stk26	1	1	0
Myh2	1	1	0
Cyp4v3	225	123	102
Zg16b	3	1	2
Myrf	0	0	0
Rab11fip1	3791	1874	1917
Las1l	326	176	150
Smok2a	0	0	0
Vom2r7	0	0	0
Dact2	2389	1182	1207
Srsf9	2710	1344	1366
Arpc5	4485	2222	2263
Npbwr1	0	0	0
