N_unmapped	830397	830397	830397
N_multimapping	5031131	5031131	5031131
N_noFeature	6376579	15190298	15273446
N_ambiguous	244320	110500	105085
Vom2r3	0	0	0
Rab39a	1	0	1
Fdxacb1	260	136	124
Mrpl52	780	391	389
Rrlt	9	7	2
Ensa	2243	1116	1127
Tpm1	141	66	75
Efhd2	6045	3086	2959
Aaas	285	156	129
Nsun4	0	0	0
Ubl4a	171	83	88
Otub1	1715	870	845
Slc25a41	2	0	2
Bach1	620	317	303
Ccr1l1	246	134	112
Xcr1	111	54	57
Csf3	2	1	1
Shh	0	0	0
Eloa	3887	1940	1947
Cox4i1	1703	852	851
Arg1	306	148	158
Thbs4	0	0	0
Rcn2	1124	598	526
Neu2	0	0	0
Inhba	195	108	87
Fdx1	511	246	265
Cd63	15786	7851	7935
Cyp2b12	0	0	0
Vdr	1211	624	587
Tnp2	0	0	0
Tnp1	0	0	0
Tbxa2r	2	0	2
Cd37	3762	1863	1935
Areg	696	336	360
Casp12	0	0	0
Anxa7	1137	559	578
Slco1a2	0	0	0
Acsl6	0	0	0
Lonp1	473	256	217
Naa35	395	192	203
Atp2b3	6	3	3
Mir3580	1	0	1
Mir3579	0	0	0
Mir3578	0	0	0
Mir3581	0	0	0
Asb1	28	17	11
Fgfr2	37	24	13
Brsk1	12	9	6
Preb	769	415	371
Zfp7	0	0	0
Cldn15	2	1	1
Fgd3	2788	1437	1351
Pbx4	78	39	39
Nol8	0	0	0
B4galt5	305	159	146
Scp2d1	0	0	0
Polr3f	31	15	16
Smc2	418	215	203
Ephx3	0	0	0
Cbfa2t3	259	143	116
Plec	1089	558	531
Nipsnap3a	0	0	0
Strn4	796	371	425
Hmg20a	251	126	125
Smim22	20	4	16
Samd3	0	0	0
Shcbp1l	2	0	2
Ube2s	8570	4634	3936
Prpf31	112	53	59
Lrrtm3	0	0	0
Mrpl51	90	49	41
Fam24a	0	0	0
Fam185a	673	359	361
Msmo1	2101	1058	1043
Vom2r32	0	0	0
Tcta	162	85	77
Dgka	16811	8453	8358
LOC361985	1339	660	679
Cdk5rap1	166	76	90
Nr1d1	1343	813	762
Prl3a1	0	0	0
Rwdd1	988	499	489
Pzp	0	0	0
Zfp709	57	31	26
Tnfsf10	46	22	24
Slc25a25	1827	930	897
Brs3	0	0	0
Timm13	1003	489	514
Gja8	0	0	0
Dhrs4	69	27	42
Homez	9	5	4
Olfm3	8	4	4
St18	4	2	2
Pnma2	0	0	0
Anapc2	1109	584	525
Cd300le	324	182	142
Rnpep	1033	508	525
Rps10	1623	785	838
Crhr1	91	52	39
Lilrb4	1836	959	877
Kras	1195	564	631
Olfm1	1015	479	536
Slc4a4	41	25	16
Psmb7	1497	684	813
Herpud1	9957	4969	4988
Cox4i2	0	0	0
Fut9	0	0	0
Nfib	0	0	0
Bnip3	51	24	27
Mlycd	331	157	174
Trpc6	0	0	0
Chi3l1	78	39	39
Bud31	1218	894	880
Ddx52	463	211	252
Hdac2	1602	782	820
Kpna2	348	184	164
Abcg1	3595	1758	1837
Atp6v0e1	2063	1019	1044
Synrg	437	251	186
Prdx6	1310	626	684
Ptch1	49	24	25
Idi1	3883	1967	1922
Slc22a7	0	0	0
Atrn	272	149	123
Cftr	0	0	0
Mir434	0	0	0
Mir92b	0	0	0
Ap4e1	42	16	26
Ntn5	1	0	1
Sh3bp1	854	425	429
Aqp4	0	0	0
Rangap1	1510	759	751
Wdr4	207	103	104
Lrrc47	874	437	437
Ptchd1	0	0	0
Camsap2	373	198	175
Celf5	1	1	0
Sec1	0	0	0
Med14	526	279	247
LOC100909648	0	0	0
LOC100361083	5	3	2
LOC102552805	58	25	33
Tspan17	249	121	128
Chaf1b	87	39	48
Slc17a1	0	0	0
B3galt4	157	73	84
Mlxipl	28	12	16
Fbxo32	285	149	136
Mpnd	1380	706	674
Tnfrsf4	6544	3261	3283
Hpca	0	0	0
Csn2	4	1	3
