N_unmapped	628022	628022	628022
N_multimapping	5206118	5206118	5206118
N_noFeature	3567680	11599711	11628973
N_ambiguous	237181	104444	101209
Vom2r3	0	0	0
Rab39a	0	0	0
Fdxacb1	148	60	88
Mrpl52	1753	875	878
Rrlt	13	8	5
Ensa	1697	817	880
Tpm1	1432	747	685
Efhd2	8530	4358	4172
Aaas	325	155	170
Nsun4	0	0	0
Ubl4a	569	288	281
Otub1	2959	1476	1484
Slc25a41	0	0	0
Bach1	90	48	42
Ccr1l1	0	0	0
Xcr1	4	2	2
Csf3	2169	1061	1108
Shh	0	0	0
Eloa	1601	811	790
Cox4i1	8686	4286	4400
Arg1	241	116	125
Thbs4	0	0	0
Rcn2	741	392	349
Neu2	0	0	0
Inhba	21	11	10
Fdx1	665	332	333
Cd63	10503	5211	5292
Cyp2b12	0	0	0
Vdr	216	123	93
Tnp2	0	0	0
Tnp1	0	0	0
Tbxa2r	250	125	125
Cd37	5717	2882	2878
Areg	613	308	305
Casp12	0	0	0
Anxa7	1273	655	618
Slco1a2	0	0	0
Acsl6	0	0	0
Lonp1	485	241	244
Naa35	103	60	43
Atp2b3	0	0	0
Mir3580	0	0	0
Mir3579	0	0	0
Mir3578	0	0	0
Mir3581	0	0	0
Asb1	148	66	82
Fgfr2	358	191	167
Brsk1	44	14	33
Preb	749	414	374
Zfp7	0	0	0
Cldn15	0	0	0
Fgd3	1814	912	902
Pbx4	81	42	39
Nol8	0	0	0
B4galt5	124	64	60
Scp2d1	0	0	0
Polr3f	47	24	23
Smc2	171	76	95
Ephx3	44	28	16
Cbfa2t3	364	178	186
Plec	912	473	439
Nipsnap3a	0	0	0
Strn4	1568	812	756
Hmg20a	104	64	40
Smim22	266	120	146
Samd3	60	29	31
Shcbp1l	0	0	0
Ube2s	8973	4610	4363
Prpf31	49	20	29
Lrrtm3	1	1	0
Mrpl51	105	57	48
Fam24a	0	0	0
Fam185a	381	201	199
Msmo1	862	419	443
Vom2r32	0	0	0
Tcta	523	284	239
Dgka	4778	2345	2433
LOC361985	1068	577	491
Cdk5rap1	145	72	73
Nr1d1	1715	974	1074
Prl3a1	0	0	0
Rwdd1	908	447	461
Pzp	0	0	0
Zfp709	32	14	18
Tnfsf10	26	17	9
Slc25a25	1101	544	557
Brs3	0	0	0
Timm13	3417	1678	1739
Gja8	0	0	0
Dhrs4	213	107	106
Homez	59	26	33
Olfm3	0	0	0
St18	0	0	0
Pnma2	0	0	0
Anapc2	1330	676	654
Cd300le	1739	910	829
Rnpep	1492	749	743
Rps10	4289	1980	2309
Crhr1	0	0	0
Lilrb4	393	187	206
Kras	560	288	272
Olfm1	830	419	411
Slc4a4	87	49	38
Psmb7	3222	1556	1666
Herpud1	10709	5286	5423
Cox4i2	98	60	38
Fut9	0	0	0
Nfib	126	66	60
Bnip3	20	7	13
Mlycd	471	227	244
Trpc6	54	28	26
Chi3l1	3469	1771	1698
Bud31	1567	1189	1142
Ddx52	184	84	100
Hdac2	1105	556	549
Kpna2	345	183	162
Abcg1	4520	2174	2346
Atp6v0e1	2997	1508	1489
Synrg	328	164	164
Prdx6	1584	809	775
Ptch1	66	35	31
Idi1	850	440	412
Slc22a7	4	2	2
Atrn	138	71	67
Cftr	0	0	0
Mir434	0	0	0
Mir92b	0	0	0
Ap4e1	22	15	7
Ntn5	0	0	0
Sh3bp1	1179	575	604
Aqp4	2	2	0
Rangap1	1315	661	654
Wdr4	1346	665	681
Lrrc47	2617	1272	1345
Ptchd1	4	2	2
Camsap2	131	74	57
Celf5	0	0	0
Sec1	0	0	0
Med14	192	85	107
LOC100909648	0	0	0
LOC100361083	4	1	3
LOC102552805	0	0	0
Tspan17	238	121	117
Chaf1b	280	147	133
Slc17a1	4	3	1
B3galt4	165	80	85
Mlxipl	0	0	0
Fbxo32	162	77	85
Mpnd	3582	1749	1833
Tnfrsf4	1264	622	642
Hpca	0	0	0
Csn2	137	62	75
Tmem242	523	261	262
Vom1r105	0	0	0
Tpm3	10960	5480	5480
C2	3267	1610	1657
Tprn	508	257	251
Clec14a	42	27	15
Fxyd2	808	442	366
Rgs10	2469	1196	1273
Rgs1	8212	4104	4108
Trim17	0	0	0
Chad	276	133	143
Arf6	19307	9408	9899
Arf4	7819	3789	4030
Arf2	383	172	211
RGD1308430	3131	1549	1591
Hipk1	1034	517	517
Armh4	0	0	0
Mapk1ip1l	147	83	64
Bola3	837	406	431
Ctsg	0	0	0
LOC679149	47	27	20
Tmem128	481	243	238
Osgep	697	357	340
Magoh	1170	593	577
Tmem255b	20	13	7
Ephx4	0	0	0
Ewsr1	2	1	1
Pak1ip1	626	298	328
Fyco1	57	33	24
Mrps18c	530	268	263
Kat2a	774	388	386
Map7d1	2530	1214	1316
Mir155hg	160	82	78
Mcart1	11	9	2
Slc10a3	515	263	252
Atg4d	1562	767	795
Atad1	270	139	131
Mterf4	177	92	85
LOC306079	63	50	13
Slc25a15	36	19	17
Fn3krp	65	27	38
Arhgap5	5	4	1
Camp	18	11	7
Fbxo5	155	80	75
