N_unmapped	772796	772796	772796
N_multimapping	6061264	6061264	6061264
N_noFeature	8024518	15876711	16039699
N_ambiguous	222000	95534	91867
Vom2r3	0	0	0
Rab39a	2	1	1
Fdxacb1	77	34	43
Mrpl52	1971	980	991
Rrlt	20	11	9
Ensa	2645	1368	1277
Tpm1	1152	543	609
Efhd2	6341	3214	3127
Aaas	307	156	151
Nsun4	0	0	0
Ubl4a	1411	719	692
Otub1	2492	1221	1271
Slc25a41	18	10	8
Bach1	112	56	56
Ccr1l1	168	84	84
Xcr1	296	139	157
Csf3	83	43	40
Shh	0	0	0
Eloa	1371	710	661
Cox4i1	11458	5870	5588
Arg1	36	19	17
Thbs4	104	60	44
Rcn2	437	229	208
Neu2	0	0	0
Inhba	26	13	13
Fdx1	1330	637	693
Cd63	3597	1844	1753
Cyp2b12	0	0	0
Vdr	115	64	51
Tnp2	3	2	1
Tnp1	0	0	0
Tbxa2r	196	91	105
Cd37	7471	3749	3815
Areg	499	248	251
Casp12	40	21	19
Anxa7	892	456	436
Slco1a2	0	0	0
Acsl6	0	0	0
Lonp1	218	111	129
Naa35	417	206	211
Atp2b3	1	0	1
Mir3580	0	0	0
Mir3579	0	0	0
Mir3578	0	0	0
Mir3581	0	0	0
Asb1	48	21	27
Fgfr2	99	36	63
Brsk1	0	0	0
Preb	349	204	170
Zfp7	0	0	0
Cldn15	0	0	0
Fgd3	132	72	60
Pbx4	67	37	30
Nol8	0	0	0
B4galt5	110	60	50
Scp2d1	0	0	0
Polr3f	304	162	142
Smc2	1690	830	860
Ephx3	1	0	1
Cbfa2t3	31	11	20
Plec	467	245	222
Nipsnap3a	0	0	0
Strn4	205	99	106
Hmg20a	89	45	44
Smim22	283	128	155
Samd3	33	20	13
Shcbp1l	0	0	0
Ube2s	3646	1998	1648
Prpf31	91	46	45
Lrrtm3	1	0	1
Mrpl51	518	262	256
Fam24a	0	0	0
Fam185a	438	256	227
Msmo1	1324	651	673
Vom2r32	2	0	2
Tcta	401	205	196
Dgka	1727	895	832
LOC361985	1305	650	655
Cdk5rap1	166	94	72
Nr1d1	222	140	128
Prl3a1	0	0	0
Rwdd1	1723	811	912
Pzp	2	1	1
Zfp709	39	21	18
Tnfsf10	22	14	8
Slc25a25	408	193	215
Brs3	0	0	0
Timm13	6328	3104	3224
Gja8	0	0	0
Dhrs4	179	91	88
Homez	12	5	7
Olfm3	0	0	0
St18	35	19	16
Pnma2	0	0	0
Anapc2	578	301	277
Cd300le	442	221	221
Rnpep	1078	523	555
Rps10	5756	2801	2955
Crhr1	0	0	0
Lilrb4	430	246	184
Kras	552	298	254
Olfm1	1077	526	551
Slc4a4	0	0	0
Psmb7	4592	2320	2272
Herpud1	1174	597	577
Cox4i2	64	36	28
Fut9	0	0	0
Nfib	79	43	36
Bnip3	253	130	123
Mlycd	181	85	96
Trpc6	0	0	0
Chi3l1	158	81	77
Bud31	1162	818	828
Ddx52	898	433	465
Hdac2	540	301	239
Kpna2	263	142	121
Abcg1	1023	537	486
Atp6v0e1	12482	6219	6263
Synrg	114	60	54
Prdx6	675	324	351
Ptch1	10	3	7
Idi1	3298	1625	1676
Slc22a7	0	0	0
Atrn	20	9	11
Cftr	0	0	0
Mir434	0	0	0
Mir92b	0	0	0
Ap4e1	27	10	17
Ntn5	0	0	0
Sh3bp1	526	258	268
Aqp4	0	0	0
Rangap1	708	355	353
Wdr4	381	190	191
Lrrc47	302	147	155
Ptchd1	0	0	0
Camsap2	89	42	47
Celf5	0	0	0
Sec1	0	6	0
Med14	238	120	118
LOC100909648	0	0	0
LOC100361083	9	2	7
LOC102552805	6	1	5
Tspan17	105	53	52
Chaf1b	280	145	135
Slc17a1	0	0	0
B3galt4	126	62	64
Mlxipl	1	1	0
Fbxo32	25	9	16
Mpnd	1692	854	838
Tnfrsf4	7133	3560	3574
Hpca	0	0	0
Csn2	0	0	0
Tmem242	458	228	230
Vom1r105	0	0	0
Tpm3	6830	3470	3360
C2	81	39	42
Tprn	288	130	158
Clec14a	11	4	7
Fxyd2	508	285	223
Rgs10	4541	2272	2269
Rgs1	108109	54294	53815
Trim17	3	1	2
Chad	16	6	10
Arf6	6817	3386	3431
Arf4	4757	2419	2338
Arf2	228	110	118
RGD1308430	1836	992	844
Hipk1	804	397	407
Armh4	2	0	2
Mapk1ip1l	13	5	8
Bola3	1274	600	674
Ctsg	0	0	0
LOC679149	50	27	23
Tmem128	2351	1141	1210
Osgep	820	396	424
Magoh	4186	2068	2118
Tmem255b	0	0	0
Ephx4	0	0	0
Ewsr1	3	2	1
Pak1ip1	373	184	189
Fyco1	294	150	144
Mrps18c	4167	2087	2082
Kat2a	318	145	173
Map7d1	581	272	309
Mir155hg	255	122	133
Mcart1	8	7	1
Slc10a3	234	119	115
Atg4d	325	155	170
Atad1	1195	614	581
Mterf4	180	88	92
LOC306079	65	56	9
Slc25a15	48	25	23
Fn3krp	62	33	29
Arhgap5	160	78	82
Camp	27	17	10
Fbxo5	320	153	167
Ttyh1	0	0	0
Dhx37	216	99	117
Il12rb1	147	84	63
Smtnl1	25	15	10
Stk26	617	302	315
Myh2	0	0	0
Cyp4v3	357	193	164
Zg16b	6	4	2
Myrf	0	0	0
