N_unmapped	763389	763389	763389
N_multimapping	5725450	5725450	5725450
N_noFeature	6131816	13516930	13617805
N_ambiguous	252414	92367	97695
Vom2r3	0	0	0
Rab39a	0	0	0
Fdxacb1	141	74	67
Mrpl52	2274	1162	1112
Rrlt	0	0	0
Ensa	1729	859	870
Tpm1	9640	4871	4769
Efhd2	3648	1807	1841
Aaas	319	165	156
Nsun4	0	0	0
Ubl4a	1428	743	685
Otub1	3528	1719	1809
Slc25a41	0	0	0
Bach1	31	14	17
Ccr1l1	0	0	0
Xcr1	27	13	14
Csf3	91	48	43
Shh	0	0	0
Eloa	528	265	263
Cox4i1	10162	5086	5076
Arg1	155	75	80
Thbs4	375	189	186
Rcn2	2554	1294	1260
Neu2	12	7	5
Inhba	114	56	58
Fdx1	1104	535	569
Cd63	30883	15425	15458
Cyp2b12	0	0	0
Vdr	12	4	8
Tnp2	0	0	0
Tnp1	0	0	0
Tbxa2r	23	11	12
Cd37	455	232	236
Areg	2985	1468	1517
Casp12	390	188	202
Anxa7	2241	1132	1109
Slco1a2	32	16	16
Acsl6	0	0	0
Lonp1	227	130	97
Naa35	341	183	158
Atp2b3	0	0	0
Mir3580	0	0	0
Mir3579	0	0	0
Mir3578	0	0	0
Mir3581	0	0	0
Asb1	132	67	65
Fgfr2	285	128	157
Brsk1	2	2	1
Preb	1008	556	496
Zfp7	0	0	0
Cldn15	18	7	11
Fgd3	40	17	23
Pbx4	8	5	3
Nol8	0	0	0
B4galt5	350	198	152
Scp2d1	0	0	0
Polr3f	43	17	26
Smc2	705	346	359
Ephx3	25	14	11
Cbfa2t3	119	62	57
Plec	1745	902	843
Nipsnap3a	0	0	0
Strn4	875	432	443
Hmg20a	203	103	100
Smim22	1054	516	538
Samd3	6	1	5
Shcbp1l	0	0	0
Ube2s	5218	2794	2424
Prpf31	30	17	13
Lrrtm3	39	18	21
Mrpl51	291	158	133
Fam24a	0	0	0
Fam185a	22	11	13
Msmo1	684	348	336
Vom2r32	0	0	0
Tcta	1052	517	535
Dgka	211	94	117
LOC361985	933	492	441
Cdk5rap1	121	64	57
Nr1d1	411	319	341
Prl3a1	0	0	0
Rwdd1	1241	612	629
Pzp	0	0	0
Zfp709	17	5	12
Tnfsf10	27	17	10
Slc25a25	662	325	337
Brs3	0	0	0
Timm13	5374	2634	2740
Gja8	0	0	0
Dhrs4	473	224	249
Homez	0	0	0
