N_unmapped	688316	688316	688316
N_multimapping	3371851	3371851	3371851
N_noFeature	3963078	11724897	11777142
N_ambiguous	165588	73311	67772
Vom2r3	0	0	0
Rab39a	26	18	8
Fdxacb1	241	129	112
Mrpl52	639	321	318
Rrlt	6	2	4
Ensa	1865	947	918
Tpm1	3327	1629	1698
Efhd2	6025	2955	3070
Aaas	169	87	82
Nsun4	0	0	0
Ubl4a	234	115	119
Otub1	1496	736	760
Slc25a41	0	0	0
Bach1	349	174	175
Ccr1l1	11	7	4
Xcr1	66	35	31
Csf3	4560	2168	2392
Shh	0	0	0
Eloa	3006	1494	1512
Cox4i1	3363	1652	1712
Arg1	433	220	213
Thbs4	14	6	8
Rcn2	1768	892	876
Neu2	6	3	3
Inhba	66	42	24
Fdx1	446	218	228
Cd63	12595	6152	6443
Cyp2b12	0	0	0
Vdr	207	97	110
Tnp2	1	1	0
Tnp1	0	0	0
Tbxa2r	64	25	39
Cd37	3068	1598	1495
Areg	649	329	320
Casp12	63	38	25
Anxa7	1245	616	629
Slco1a2	40	24	16
Acsl6	0	0	0
Lonp1	605	302	303
Naa35	330	159	171
Atp2b3	0	0	0
Mir3580	0	0	0
Mir3579	0	0	0
Mir3578	0	0	0
Mir3581	0	0	0
Asb1	51	27	24
Fgfr2	547	292	255
Brsk1	2	1	1
Preb	671	368	331
Zfp7	0	0	0
Cldn15	6	1	5
Fgd3	2095	1090	1005
Pbx4	9	2	7
Nol8	0	0	0
B4galt5	454	222	232
Scp2d1	0	0	0
Polr3f	58	32	26
Smc2	536	267	269
Ephx3	22	9	13
Cbfa2t3	264	134	130
Plec	1184	614	570
Nipsnap3a	6	2	4
Strn4	978	489	489
Hmg20a	193	98	95
Smim22	97	55	42
Samd3	23	11	12
Shcbp1l	0	0	0
Ube2s	6133	3286	2847
Prpf31	99	56	43
Lrrtm3	0	0	0
Mrpl51	139	74	65
Fam24a	0	0	0
Fam185a	385	220	185
Msmo1	1047	518	529
Vom2r32	0	0	0
Tcta	406	195	211
Dgka	2116	1062	1054
LOC361985	1965	1013	952
