N_unmapped	9480933	9480933	9480933
N_multimapping	17421770	17421770	17421770
N_noFeature	62088264	64416382	64443692
N_ambiguous	40577	14179	14071
Vom2r3	0	0	0
Rab39a	1	0	1
Fdxacb1	44	26	18
Mrpl52	1150	606	544
Rrlt	0	0	0
Ensa	345	166	179
Tpm1	2474	1267	1207
Efhd2	608	298	310
Aaas	277	146	131
Nsun4	0	0	0
Ubl4a	767	381	386
Otub1	1423	718	705
Slc25a41	0	0	0
Bach1	9	6	3
Ccr1l1	0	0	0
Xcr1	4	2	2
Csf3	5	3	2
Shh	15	7	8
Eloa	1268	640	628
Cox4i1	1546	773	773
Arg1	614	296	318
Thbs4	0	0	0
Rcn2	274	140	134
Neu2	0	0	0
Inhba	3	2	1
Fdx1	739	344	395
Cd63	3181	1570	1611
Cyp2b12	15	5	10
Vdr	256	134	122
Tnp2	0	0	0
Tnp1	1	1	0
Tbxa2r	2	0	2
Cd37	2	4	2
Areg	1544	748	796
Casp12	181	89	92
Anxa7	5	4	1
Slco1a2	67	37	30
Acsl6	126	74	52
Lonp1	326	166	160
Naa35	143	73	70
Atp2b3	189	104	85
Mir3580	19	15	4
Mir3579	1	2	0
Mir3578	0	0	0
Mir3581	0	0	0
Asb1	75	34	41
Fgfr2	5	3	2
Brsk1	2	1	1
Preb	332	171	195
Zfp7	0	0	0
Cldn15	0	0	0
Fgd3	37	17	20
Pbx4	0	0	0
Nol8	0	0	0
B4galt5	7	6	1
Scp2d1	0	0	0
Polr3f	84	38	46
Smc2	430	221	209
Ephx3	190	100	90
Cbfa2t3	17	11	6
Plec	188	110	78
Nipsnap3a	1	1	0
Strn4	695	347	348
Hmg20a	8	3	5
Smim22	2029	1009	1020
Samd3	18	14	4
Shcbp1l	2	2	0
Ube2s	1625	848	777
Prpf31	259	156	103
Lrrtm3	9	3	6
Mrpl51	494	255	239
Fam24a	2	0	2
Fam185a	22	10	12
Msmo1	42	20	22
Vom2r32	6	1	5
Tcta	467	219	248
Dgka	78	27	51
LOC361985	462	225	237
Cdk5rap1	38	16	22
Nr1d1	38	23	15
Prl3a1	0	0	0
Rwdd1	144	76	68
Pzp	69	30	39
Zfp709	12	6	6
Tnfsf10	66	41	25
Slc25a25	711	340	371
Brs3	1	1	0
Timm13	2099	1044	1055
Gja8	67	38	29
Dhrs4	62	27	35
Homez	20	13	7
Olfm3	3	0	3
St18	76	36	40
Pnma2	158	73	85
Anapc2	506	265	242
Cd300le	1	1	0
Rnpep	172	96	76
Rps10	1481	720	761
Crhr1	0	0	0
Lilrb4	0	0	0
Kras	294	178	116
Olfm1	31	15	16
Slc4a4	201	199	2
Psmb7	744	364	380
Herpud1	179	84	95
Cox4i2	0	0	0
Fut9	2	1	1
Nfib	549	273	276
Bnip3	476	243	233
Mlycd	126	78	48
Trpc6	14	7	7
Chi3l1	307	148	159
Bud31	604	432	463
Ddx52	293	159	134
Hdac2	663	366	297
Kpna2	289	142	147
Abcg1	98	50	48
Atp6v0e1	291	143	148
Synrg	79	21	58
Prdx6	954	512	442
Ptch1	28	16	12
Idi1	439	203	236
Slc22a7	1	1	0
Atrn	278	142	136
Cftr	80	37	43
Mir434	0	0	0
Mir92b	0	0	0
Ap4e1	120	51	69
Ntn5	0	0	1
Sh3bp1	111	57	54
Aqp4	149	84	65
Rangap1	171	75	96
Wdr4	13	10	3
Lrrc47	565	295	270
Ptchd1	1	0	1
Camsap2	258	144	114
Celf5	237	128	109
Sec1	3	3	0
Med14	263	111	152
LOC100909648	0	0	0
LOC100361083	138	74	64
LOC102552805	6	3	3
Tspan17	606	309	297
Chaf1b	124	63	61
Slc17a1	87	49	38
B3galt4	44	22	22
Mlxipl	14	9	5
Fbxo32	25	14	11
Mpnd	765	373	392
Tnfrsf4	34	22	12
Hpca	0	0	0
Csn2	55	18	37
Tmem242	312	179	133
Vom1r105	1	1	0
Tpm3	887	435	452
C2	641	317	324
Tprn	484	216	268
Clec14a	1	1	0
Fxyd2	142	78	64
Rgs10	161	83	78
Rgs1	231	101	130
Trim17	1	0	1
Chad	0	0	0
Arf6	582	267	315
Arf4	1148	592	556
Arf2	3	1	2
RGD1308430	498	257	241
Hipk1	638	301	337
Armh4	51	24	27
Mapk1ip1l	23	14	9
Bola3	1376	609	767
Ctsg	2	2	0
LOC679149	18	5	13
Tmem128	21	10	11
Osgep	311	148	163
Magoh	650	309	341
Tmem255b	0	0	0
Ephx4	45	21	24
Ewsr1	0	0	0
Pak1ip1	225	130	95
Fyco1	150	77	73
Mrps18c	750	375	375
Kat2a	230	122	108
Map7d1	272	140	132
Mir155hg	2	1	1
Mcart1	0	0	0
Slc10a3	1	0	1
Atg4d	240	122	118
Atad1	85	39	46
Mterf4	4	1	3
LOC306079	21	19	2
Slc25a15	0	0	0
Fn3krp	380	184	196
Arhgap5	9	4	5
Camp	0	0	0
Fbxo5	4	3	1
Ttyh1	1	0	1
Dhx37	88	58	30
Il12rb1	2	1	1
Smtnl1	0	0	0
Stk26	66	34	32
Myh2	185	87	98
Cyp4v3	201	100	101
Zg16b	48	25	23
Myrf	2	0	2
Rab11fip1	359	170	189
Las1l	192	101	91
Smok2a	0	0	0
Vom2r7	2	1	1
Dact2	157	84	73
Srsf9	837	418	419
Arpc5	2477	1257	1220
Npbwr1	0	0	0
Armcx3	9	3	6
Mzb1	1	0	1
Ercc3	401	189	212
Hbb-bs	0	0	0
Tnks	158	88	70
Prag1	2513	1251	1262
Kif26b	19	7	12
Arhgap30	40	31	9
RGD1559578	1	1	0
Mfhas1	0	0	0
Dcaf10	82	48	34
Trim14	12	10	2
Gpr87	3	0	3
Naa15	210	94	116
Necab3	0	0	0
Arhgap45	4	3	1
Cd3e	3	0	3
Vom2r79	0	0	0
Slirp	511	328	339
Mir3547	0	0	0
Apobec3	491	259	232
Hmcn1	659	294	365
Golga7b	0	0	0
Ybx2	2	1	1
Vom1r13	0	0	0
Olr1380	0	0	0
Olr386	0	0	0
Olr803	99	52	47
Olr804	2	1	1
Olr807	0	0	0
Trem3	1	0	1
Vom1r16	0	0	0
Mtfr1l	1070	494	576
Paf1	335	169	166
Plekho1	232	115	117
Vom2r80	4	3	1
Vom2r16	2	0	2
Alkbh3	368	176	192
Zic4	34	18	16
Tbc1d2b	3	0	3
Nostrin	26	17	9
Nmb	1	1	0
Cldn22	3	0	3
Mesp2	165	86	79
Arid1a	270	134	136
Snx5	478	220	258
Wsb2	508	247	261
Ep400	298	155	143
