N_unmapped	15099335	15099335	15099335
N_multimapping	5896407	5896407	5896407
N_noFeature	29889942	30942034	30936695
N_ambiguous	29829	11957	12276
Vom2r3	0	0	0
Rab39a	0	0	0
Fdxacb1	20	9	11
Mrpl52	144	75	69
Rrlt	14	9	5
Ensa	130	71	59
Tpm1	1580	795	785
Efhd2	456	225	231
Aaas	114	68	46
Nsun4	7	2	5
Ubl4a	70	30	40
Otub1	360	177	183
Slc25a41	38	17	21
Bach1	76	27	49
Ccr1l1	0	0	0
Xcr1	8	3	5
Csf3	458	238	220
Shh	4	3	1
Eloa	212	118	94
Cox4i1	335	153	183
Arg1	116	57	59
Thbs4	23	14	9
Rcn2	291	137	154
Neu2	3	2	1
Inhba	10	7	3
Fdx1	85	38	47
Cd63	1759	881	878
Cyp2b12	29	10	19
Vdr	137	67	70
Tnp2	3	0	3
Tnp1	16	10	6
Tbxa2r	0	0	0
Cd37	2	0	2
Areg	254	123	131
Casp12	140	69	71
Anxa7	163	88	75
Slco1a2	32	12	20
Acsl6	43	25	18
Lonp1	131	69	63
Naa35	162	75	87
Atp2b3	187	101	86
Mir3580	10	2	8
Mir3579	2	3	10
Mir3578	1	1	3
Mir3581	0	0	0
Asb1	75	33	42
Fgfr2	214	103	111
Brsk1	65	43	29
Preb	130	74	62
Zfp7	3	2	1
Cldn15	1	1	0
Fgd3	29	14	15
Pbx4	29	14	15
Nol8	14	9	5
B4galt5	63	30	33
Scp2d1	0	0	0
Polr3f	75	45	30
Smc2	155	82	73
Ephx3	128	53	75
Cbfa2t3	18	9	9
Plec	530	264	266
Nipsnap3a	14	6	8
Strn4	167	90	77
Hmg20a	42	21	21
Smim22	73	38	35
Samd3	47	23	24
Shcbp1l	21	12	9
Ube2s	539	275	264
Prpf31	74	31	43
Lrrtm3	19	7	12
Mrpl51	80	27	57
Fam24a	4	4	0
Fam185a	28	15	17
Msmo1	217	104	113
Vom2r32	21	11	10
Tcta	44	28	16
Dgka	159	76	83
LOC361985	364	173	191
Cdk5rap1	41	20	21
Nr1d1	116	69	63
Prl3a1	4	2	2
Rwdd1	166	93	73
Pzp	118	55	63
Zfp709	95	51	44
Tnfsf10	39	15	24
Slc25a25	149	72	77
Brs3	2	2	0
Timm13	211	102	109
Gja8	41	18	23
Dhrs4	112	56	56
Homez	21	7	14
Olfm3	43	26	17
St18	57	26	31
Pnma2	140	71	69
Anapc2	237	119	130
Cd300le	36	13	23
Rnpep	152	74	78
Rps10	528	270	258
Crhr1	11	3	8
Lilrb4	0	0	0
Kras	199	100	99
Olfm1	54	27	27
Slc4a4	143	69	78
Psmb7	227	111	116
Herpud1	335	160	175
Cox4i2	32	9	23
Fut9	2	1	1
Nfib	501	259	242
Bnip3	124	66	58
Mlycd	100	52	48
Trpc6	15	15	0
Chi3l1	927	481	446
Bud31	136	96	99
Ddx52	65	38	27
Hdac2	189	91	98
Kpna2	156	76	80
Abcg1	86	41	45
Atp6v0e1	142	59	83
Synrg	55	32	23
Prdx6	197	89	108
Ptch1	76	36	40
Idi1	231	121	110
Slc22a7	20	9	11
Atrn	333	176	157
Cftr	74	30	44
Mir434	0	0	0
Mir92b	0	0	0
Ap4e1	60	29	31
Ntn5	28	14	14
Sh3bp1	39	18	21
Aqp4	66	32	34
Rangap1	262	130	132
Wdr4	45	16	29
Lrrc47	94	42	52
Ptchd1	9	3	6
Camsap2	136	72	64
Celf5	36	18	18
Sec1	1	2	0
Med14	114	51	63
LOC100909648	0	0	0
LOC100361083	23	12	11
LOC102552805	14	7	7
Tspan17	83	37	46
Chaf1b	120	56	64
Slc17a1	49	23	26
B3galt4	38	18	20
Mlxipl	32	16	16
Fbxo32	246	132	114
Mpnd	209	102	107
Tnfrsf4	36	23	13
Hpca	6	5	2
Csn2	15	7	8
Tmem242	76	43	33
Vom1r105	4	2	2
Tpm3	773	371	402
C2	684	343	341
Tprn	26	15	11
Clec14a	32	14	18
Fxyd2	34	17	17
Rgs10	37	17	20
Rgs1	51	29	22
Trim17	14	6	8
Chad	1	0	1
Arf6	701	362	339
Arf4	1134	598	536
Arf2	114	56	58
RGD1308430	86	45	47
Hipk1	121	61	61
Armh4	37	14	23
Mapk1ip1l	116	57	59
Bola3	74	35	39
Ctsg	0	0	0
LOC679149	33	15	18
Tmem128	69	43	26
Osgep	109	55	54
Magoh	132	72	60
Tmem255b	9	3	6
