"","Var1","Var2","value","L1"
"1","knn1-10","CD8",0.273771904625108,"CD8"
"2","knn1-15","CD8",0.379775926457914,"CD8"
"3","knn1-20","CD8",0.423441539787417,"CD8"
"4","knn1-25","CD8",0.470554438379776,"CD8"
"5","knn1-30","CD8",0.516230968112611,"CD8"
"6","knn3-10","CD8",0.025280091927607,"CD8"
"7","knn3-15","CD8",0.0784257397299627,"CD8"
"8","knn3-20","CD8",0.118356794024706,"CD8"
"9","knn3-25","CD8",0.16087331226659,"CD8"
"10","knn3-30","CD8",0.209422579718472,"CD8"
"11","knn5-10","CD8",0.00287273771904625,"CD8"
"12","knn5-15","CD8",0.029876472278081,"CD8"
"13","knn5-20","CD8",0.0586038494685435,"CD8"
"14","knn5-25","CD8",0.0824475725366274,"CD8"
"15","knn5-30","CD8",0.107727664464234,"CD8"
"16","knn1-10","EpCAM",0.293881068658431,"CD8"
"17","knn1-15","EpCAM",0.480609020396438,"CD8"
"18","knn1-20","EpCAM",0.58632576845734,"CD8"
"19","knn1-25","EpCAM",0.675093363975869,"CD8"
"20","knn1-30","EpCAM",0.73972996265441,"CD8"
"21","knn3-10","EpCAM",0.0738293593794886,"CD8"
"22","knn3-15","EpCAM",0.316862970410801,"CD8"
"23","knn3-20","EpCAM",0.480896294168342,"CD8"
"24","knn3-25","EpCAM",0.593507612754955,"CD8"
"25","knn3-30","EpCAM",0.675380637747774,"CD8"
"26","knn5-10","EpCAM",0.0126400459638035,"CD8"
"27","knn5-15","EpCAM",0.178971559896581,"CD8"
"28","knn5-20","EpCAM",0.372306808388394,"CD8"
"29","knn5-25","EpCAM",0.515943694340707,"CD8"
"30","knn5-30","EpCAM",0.615627693191612,"CD8"
"31","knn1-10","EpCAM: SMA",0.239873599540362,"CD8"
"32","knn1-15","EpCAM: SMA",0.45590347601264,"CD8"
"33","knn1-20","EpCAM: SMA",0.592358517667337,"CD8"
"34","knn1-25","EpCAM: SMA",0.682275208273485,"CD8"
"35","knn1-30","EpCAM: SMA",0.738868141338696,"CD8"
"36","knn3-10","EpCAM: SMA",0.0304510198218903,"CD8"
"37","knn3-15","EpCAM: SMA",0.237575409365125,"CD8"
"38","knn3-20","EpCAM: SMA",0.430623384085033,"CD8"
"39","knn3-25","EpCAM: SMA",0.562482045389256,"CD8"
"40","knn3-30","EpCAM: SMA",0.666762424590635,"CD8"
"41","knn5-10","EpCAM: SMA",0.002298190175237,"CD8"
"42","knn5-15","EpCAM: SMA",0.0876185004309107,"CD8"
"43","knn5-20","EpCAM: SMA",0.277506463659868,"CD8"
"44","knn5-25","EpCAM: SMA",0.44469979890836,"CD8"
"45","knn5-30","EpCAM: SMA",0.57081298477449,"CD8"
