"","Var1","Var2","value","L1"
"1","knn1-10","CD8",0.495135651088513,"CD8"
"2","knn1-15","CD8",0.737178310510665,"CD8"
"3","knn1-20","CD8",0.809941627813062,"CD8"
"4","knn1-25","CD8",0.854620213664231,"CD8"
"5","knn1-30","CD8",0.885017805352619,"CD8"
"6","knn3-10","CD8",0.0936891956386064,"CD8"
"7","knn3-15","CD8",0.35915415397041,"CD8"
"8","knn3-20","CD8",0.534711259591028,"CD8"
"9","knn3-25","CD8",0.646903337126914,"CD8"
"10","knn3-30","CD8",0.726238114468226,"CD8"
"11","knn5-10","CD8",0.0194573956459488,"CD8"
"12","knn5-15","CD8",0.153126032526892,"CD8"
"13","knn5-20","CD8",0.33455706890855,"CD8"
"14","knn5-25","CD8",0.469767612614266,"CD8"
"15","knn5-30","CD8",0.574653988766107,"CD8"
"16","knn1-10","EpCAM",0.411872682550754,"CD8"
"17","knn1-15","EpCAM",0.66470868974632,"CD8"
"18","knn1-20","EpCAM",0.778405962039722,"CD8"
"19","knn1-25","EpCAM",0.837952935129777,"CD8"
"20","knn1-30","EpCAM",0.87187488527479,"CD8"
"21","knn3-10","EpCAM",0.103417893461581,"CD8"
"22","knn3-15","EpCAM",0.480854656925731,"CD8"
"23","knn3-20","EpCAM",0.682000073424134,"CD8"
"24","knn3-25","EpCAM",0.780902382613165,"CD8"
"25","knn3-30","EpCAM",0.835529938690848,"CD8"
"26","knn5-10","EpCAM",0.0127757994052645,"CD8"
"27","knn5-15","EpCAM",0.297734865450274,"CD8"
"28","knn5-20","EpCAM",0.574397004295312,"CD8"
"29","knn5-25","EpCAM",0.720400895774441,"CD8"
"30","knn5-30","EpCAM",0.797606373214876,"CD8"
"31","knn1-10","SMA",0.303829068614854,"CD8"
"32","knn1-15","SMA",0.581445721208561,"CD8"
"33","knn1-20","SMA",0.733580527919527,"CD8"
"34","knn1-25","SMA",0.817981570542237,"CD8"
"35","knn1-30","SMA",0.86409192701641,"CD8"
"36","knn3-10","SMA",0.0377767172069459,"CD8"
"37","knn3-15","SMA",0.320716619552847,"CD8"
"38","knn3-20","SMA",0.568559785601527,"CD8"
"39","knn3-25","SMA",0.71672968904879,"CD8"
"40","knn3-30","SMA",0.803480303975917,"CD8"
"41","knn5-10","SMA",0.0035610705238812,"CD8"
"42","knn5-15","SMA",0.12885935607034,"CD8"
"43","knn5-20","SMA",0.401593303718932,"CD8"
"44","knn5-25","SMA",0.602445023679283,"CD8"
"45","knn5-30","SMA",0.730827122875289,"CD8"
"46","knn1-10","Unclass",0.120929549542935,"CD8"
"47","knn1-15","Unclass",0.254818458827417,"CD8"
"48","knn1-20","Unclass",0.36062263666067,"CD8"
"49","knn1-25","Unclass",0.448694886009031,"CD8"
"50","knn1-30","Unclass",0.5263776203238,"CD8"
"51","knn3-10","Unclass",0.0192371232424098,"CD8"
"52","knn3-15","Unclass",0.111274275854473,"CD8"
"53","knn3-20","Unclass",0.20569771283821,"CD8"
"54","knn3-25","Unclass",0.286757957340578,"CD8"
"55","knn3-30","Unclass",0.359668122912001,"CD8"
"56","knn5-10","Unclass",0.00231286023715995,"CD8"
"57","knn5-15","Unclass",0.0500018356033628,"CD8"
"58","knn5-20","Unclass",0.129079628473879,"CD8"
"59","knn5-25","Unclass",0.203678549139102,"CD8"
"60","knn5-30","Unclass",0.273101068321157,"CD8"
"61","knn1-10","CD8",0.0430673400362536,"EpCAM"
"62","knn1-15","CD8",0.101802525443707,"EpCAM"
"63","knn1-20","CD8",0.167914616243964,"EpCAM"
"64","knn1-25","CD8",0.23750126949248,"EpCAM"
"65","knn1-30","CD8",0.307401833608775,"EpCAM"
"66","knn3-10","CD8",0.0021296698088529,"EpCAM"
"67","knn3-15","CD8",0.0222353531343385,"EpCAM"
"68","knn3-20","CD8",0.0563716212265298,"EpCAM"
"69","knn3-25","CD8",0.100546881972591,"EpCAM"
"70","knn3-30","CD8",0.151200401313502,"EpCAM"
"71","knn5-10","CD8",8.0016495708346e-05,"EpCAM"
"72","knn5-15","CD8",0.00402544524563525,"EpCAM"
"73","knn5-20","CD8",0.0189239012350238,"EpCAM"
"74","knn5-25","CD8",0.0439505990465727,"EpCAM"
"75","knn5-30","CD8",0.0770435751370283,"EpCAM"
"76","knn1-10","EpCAM",0.845048056060788,"EpCAM"
"77","knn1-15","EpCAM",0.979882006444405,"EpCAM"
"78","knn1-20","EpCAM",0.993481733157297,"EpCAM"
"79","knn1-25","EpCAM",0.997424084349697,"EpCAM"
"80","knn1-30","EpCAM",0.998762821874048,"EpCAM"
"81","knn3-10","EpCAM",0.501084839028354,"EpCAM"
"82","knn3-15","EpCAM",0.927111127524751,"EpCAM"
"83","knn3-20","EpCAM",0.982224027722638,"EpCAM"
"84","knn3-25","EpCAM",0.99389104830842,"EpCAM"
"85","knn3-30","EpCAM",0.99731944739377,"EpCAM"
