"","Var1","Var2","value","L1"
"1","knn1-10","CD8",0.406136705278981,"CD8"
"2","knn1-15","CD8",0.654346096029711,"CD8"
"3","knn1-20","CD8",0.730966486868865,"CD8"
"4","knn1-25","CD8",0.774339022017862,"CD8"
"5","knn1-30","CD8",0.80320983287647,"CD8"
"6","knn3-10","CD8",0.0726854717481652,"CD8"
"7","knn3-15","CD8",0.300866566451499,"CD8"
"8","knn3-20","CD8",0.452559908037846,"CD8"
"9","knn3-25","CD8",0.549297020072509,"CD8"
"10","knn3-30","CD8",0.615704306304713,"CD8"
"11","knn5-10","CD8",0.0110973560880714,"CD8"
"12","knn5-15","CD8",0.125784773189495,"CD8"
"13","knn5-20","CD8",0.266690246706163,"CD8"
"14","knn5-25","CD8",0.383986205676895,"CD8"
"15","knn5-30","CD8",0.469537536475374,"CD8"
"16","knn1-10","EpCAM",0.360155628260677,"CD8"
"17","knn1-15","EpCAM",0.603103722698735,"CD8"
"18","knn1-20","EpCAM",0.703024140065435,"CD8"
"19","knn1-25","EpCAM",0.766203908391547,"CD8"
"20","knn1-30","EpCAM",0.81174285966929,"CD8"
"21","knn3-10","EpCAM",0.0974003006455036,"CD8"
"22","knn3-15","EpCAM",0.440887788487046,"CD8"
"23","knn3-20","EpCAM",0.615129542841984,"CD8"
"24","knn3-25","EpCAM",0.707975948359713,"CD8"
"25","knn3-30","EpCAM",0.769343001149527,"CD8"
"26","knn5-10","EpCAM",0.0141922362719958,"CD8"
"27","knn5-15","EpCAM",0.271995755592891,"CD8"
"28","knn5-20","EpCAM",0.515253338049341,"CD8"
"29","knn5-25","EpCAM",0.648642673976479,"CD8"
"30","knn5-30","EpCAM",0.727517906092493,"CD8"
"31","knn1-10","SMA",0.178884074630825,"CD8"
"32","knn1-15","SMA",0.383986205676895,"CD8"
"33","knn1-20","SMA",0.545096825537183,"CD8"
"34","knn1-25","SMA",0.670616323282342,"CD8"
"35","knn1-30","SMA",0.766424971261827,"CD8"
"36","knn3-10","SMA",0.030152975506234,"CD8"
"37","knn3-15","SMA",0.173843841188434,"CD8"
"38","knn3-20","SMA",0.337209302325581,"CD8"
"39","knn3-25","SMA",0.487797329560527,"CD8"
"40","knn3-30","SMA",0.617295958970731,"CD8"
"41","knn5-10","SMA",0.00468653284994252,"CD8"
"42","knn5-15","SMA",0.0763109028207622,"CD8"
