"","Var1","Var2","value","L1"
"1","knn1-10","CD8",0.573131506374219,"CD8"
"2","knn1-15","CD8",0.746619901883457,"CD8"
"3","knn1-20","CD8",0.817690065839892,"CD8"
"4","knn1-25","CD8",0.868985886656933,"CD8"
"5","knn1-30","CD8",0.904574110434252,"CD8"
"6","knn3-10","CD8",0.171827015053114,"CD8"
"7","knn3-15","CD8",0.43176872689031,"CD8"
"8","knn3-20","CD8",0.590388606398273,"CD8"
"9","knn3-25","CD8",0.70171228470579,"CD8"
"10","knn3-30","CD8",0.783041612825633,"CD8"
"11","knn5-10","CD8",0.046954974911477,"CD8"
"12","knn5-15","CD8",0.254912819480105,"CD8"
"13","knn5-20","CD8",0.410456068513764,"CD8"
"14","knn5-25","CD8",0.539708111676092,"CD8"
"15","knn5-30","CD8",0.645169410461662,"CD8"
"16","knn1-10","EpCAM",0.0857932392443796,"CD8"
"17","knn1-15","EpCAM",0.178164873830181,"CD8"
"18","knn1-20","EpCAM",0.276639424502285,"CD8"
"19","knn1-25","EpCAM",0.365235194415077,"CD8"
"20","knn1-30","EpCAM",0.438772256624545,"CD8"
"21","knn3-10","EpCAM",0.0138560248815497,"CD8"
"22","knn3-15","EpCAM",0.0816202095465047,"CD8"
"23","knn3-20","EpCAM",0.167228850962426,"CD8"
"24","knn3-25","EpCAM",0.258369833358506,"CD8"
"25","knn3-30","EpCAM",0.342848512309319,"CD8"
"26","knn5-10","EpCAM",0.0015550968579212,"CD8"
"27","knn5-15","EpCAM",0.0359238561926978,"CD8"
"28","knn5-20","EpCAM",0.102451794794341,"CD8"
"29","knn5-25","EpCAM",0.185666258313895,"CD8"
"30","knn5-30","EpCAM",0.271146240637254,"CD8"
"31","knn1-10","EpCAM: SMA",0.25358147756577,"CD8"
"32","knn1-15","EpCAM: SMA",0.424787572650433,"CD8"
"33","knn1-20","EpCAM: SMA",0.510105332639693,"CD8"
"34","knn1-25","EpCAM: SMA",0.560069811542399,"CD8"
"35","knn1-30","EpCAM: SMA",0.593812057035135,"CD8"
"36","knn3-10","EpCAM: SMA",0.0709023477487456,"CD8"
"37","knn3-15","EpCAM: SMA",0.311947954600122,"CD8"
"38","knn3-20","EpCAM: SMA",0.441177622268092,"CD8"
"39","knn3-25","EpCAM: SMA",0.512465947294523,"CD8"
"40","knn3-30","EpCAM: SMA",0.556981993320915,"CD8"
"41","knn5-10","EpCAM: SMA",0.0110367125923688,"CD8"
"42","knn5-15","EpCAM: SMA",0.202626883037697,"CD8"
"43","knn5-20","EpCAM: SMA",0.372714203404431,"CD8"
"44","knn5-25","EpCAM: SMA",0.468425380523251,"CD8"
"45","knn5-30","EpCAM: SMA",0.525801741932236,"CD8"
"46","knn1-10","SMA",0.408526182125336,"CD8"
"47","knn1-15","SMA",0.683823076966107,"CD8"
"48","knn1-20","SMA",0.813735197212013,"CD8"
"49","knn1-25","SMA",0.881622447095941,"CD8"
"50","knn1-30","SMA",0.91988454244911,"CD8"
"51","knn3-10","SMA",0.113365442167738,"CD8"
"52","knn3-15","SMA",0.472341092036002,"CD8"
"53","knn3-20","SMA",0.684348901083533,"CD8"
"54","knn3-25","SMA",0.80309005577092,"CD8"
"55","knn3-30","SMA",0.870999681149205,"CD8"
"56","knn5-10","SMA",0.0191142660558157,"CD8"
"57","knn5-15","SMA",0.291580660860226,"CD8"
"58","knn5-20","SMA",0.54997286971309,"CD8"
"59","knn5-25","SMA",0.713286009162765,"CD8"
"60","knn5-30","SMA",0.814462400778667,"CD8"
"61","knn1-10","Unclass",0.277623946254063,"CD8"
"62","knn1-15","Unclass",0.484278418276304,"CD8"
"63","knn1-20","Unclass",0.609502872454088,"CD8"
"64","knn1-25","Unclass",0.691531434772637,"CD8"
"65","knn1-30","Unclass",0.751307567951579,"CD8"
"66","knn3-10","Unclass",0.0668915403849704,"CD8"
"67","knn3-15","Unclass",0.287748857451319,"CD8"
"68","knn3-20","Unclass",0.447403603573366,"CD8"
"69","knn3-25","Unclass",0.559555175172151,"CD8"
"70","knn3-30","Unclass",0.64095162977507,"CD8"
"71","knn5-10","Unclass",0.0110423064659585,"CD8"
"72","knn5-15","Unclass",0.164678044605548,"CD8"
"73","knn5-20","Unclass",0.329658158384937,"CD8"
"74","knn5-25","Unclass",0.456185985109109,"CD8"
"75","knn5-30","Unclass",0.552618771920992,"CD8"
"76","knn1-10","CD8",0.0409014986843611,"EpCAM"
"77","knn1-15","CD8",0.100883194142547,"EpCAM"
"78","knn1-20","CD8",0.186829882164512,"EpCAM"
"79","knn1-25","CD8",0.289037867520879,"EpCAM"
"80","knn1-30","CD8",0.396226976318499,"EpCAM"
"81","knn3-10","CD8",0.0016496968310262,"EpCAM"
"82","knn3-15","CD8",0.0175700720741334,"EpCAM"
"83","knn3-20","CD8",0.0504221484955955,"EpCAM"
"84","knn3-25","CD8",0.105239675094383,"EpCAM"
"85","knn3-30","CD8",0.180473630019449,"EpCAM"
"86","knn5-10","CD8",5.03374899897037e-05,"EpCAM"
"87","knn5-15","CD8",0.00258322846356252,"EpCAM"
"88","knn5-20","CD8",0.0134263814208901,"EpCAM"
"89","knn5-25","CD8",0.0380299736872211,"EpCAM"
"90","knn5-30","CD8",0.0806978606566754,"EpCAM"
"91","knn1-10","EpCAM",0.774627616977463,"EpCAM"
"92","knn1-15","EpCAM",0.922061549021851,"EpCAM"
"93","knn1-20","EpCAM",0.958448690081226,"EpCAM"
"94","knn1-25","EpCAM",0.975568012813179,"EpCAM"
"95","knn1-30","EpCAM",0.98514128818213,"EpCAM"
"96","knn3-10","EpCAM",0.368934904473172,"EpCAM"
"97","knn3-15","EpCAM",0.772483697517446,"EpCAM"
"98","knn3-20","EpCAM",0.89281089120238,"EpCAM"
"99","knn3-25","EpCAM",0.942203409220913,"EpCAM"
"100","knn3-30","EpCAM",0.966603363459558,"EpCAM"
"101","knn5-10","EpCAM",0.101205811692026,"EpCAM"
"102","knn5-15","EpCAM",0.55916943141517,"EpCAM"
"103","knn5-20","EpCAM",0.787694771765244,"EpCAM"
"104","knn5-25","EpCAM",0.886820729893605,"EpCAM"
"105","knn5-30","EpCAM",0.935442169088205,"EpCAM"
"106","knn1-10","EpCAM: SMA",0.514963962933303,"EpCAM"
"107","knn1-15","EpCAM: SMA",0.77590435876902,"EpCAM"
"108","knn1-20","EpCAM: SMA",0.88822789154559,"EpCAM"
"109","knn1-25","EpCAM: SMA",0.938608854822103,"EpCAM"
"110","knn1-30","EpCAM: SMA",0.962002059260954,"EpCAM"
