"","Var1","Var2","value","L1"
"1","knn1-10","CD8",0.343390016456391,"CD8"
"2","knn1-15","CD8",0.532089961601755,"CD8"
"3","knn1-20","CD8",0.628634119583105,"CD8"
"4","knn1-25","CD8",0.716950082281953,"CD8"
"5","knn1-30","CD8",0.780581459133297,"CD8"
"6","knn3-10","CD8",0.0285244103126714,"CD8"
"7","knn3-15","CD8",0.169500822819528,"CD8"
"8","knn3-20","CD8",0.300603400987383,"CD8"
"9","knn3-25","CD8",0.442128359846407,"CD8"
"10","knn3-30","CD8",0.547449259462425,"CD8"
"11","knn5-10","CD8",0.00219418540866703,"CD8"
"12","knn5-15","CD8",0.0575973669775096,"CD8"
"13","knn5-20","CD8",0.141524958859024,"CD8"
"14","knn5-25","CD8",0.238069116840373,"CD8"
"15","knn5-30","CD8",0.352166758091059,"CD8"
"16","knn1-10","EpCAM",0.370817334064728,"CD8"
"17","knn1-15","EpCAM",0.570488206253428,"CD8"
"18","knn1-20","EpCAM",0.669226549643445,"CD8"
"19","knn1-25","EpCAM",0.742183214481624,"CD8"
"20","knn1-30","EpCAM",0.788809654415798,"CD8"
"21","knn3-10","EpCAM",0.116840373011519,"CD8"
"22","knn3-15","EpCAM",0.411958310477235,"CD8"
"23","knn3-20","EpCAM",0.567745474492595,"CD8"
"24","knn3-25","EpCAM",0.66154690071311,"CD8"
"25","knn3-30","EpCAM",0.729018102029621,"CD8"
"26","knn5-10","EpCAM",0.0148107515085025,"CD8"
"27","knn5-15","EpCAM",0.267690619857378,"CD8"
"28","knn5-20","EpCAM",0.467361492046078,"CD8"
"29","knn5-25","EpCAM",0.585847504114098,"CD8"
"30","knn5-30","EpCAM",0.665386725178278,"CD8"
"31","knn1-10","EpCAM: SMA",0.0630828304991772,"CD8"
"32","knn1-15","EpCAM: SMA",0.130554031815688,"CD8"
"33","knn1-20","EpCAM: SMA",0.1996708721887,"CD8"
"34","knn1-25","EpCAM: SMA",0.269336258913878,"CD8"
"35","knn1-30","EpCAM: SMA",0.326385079539221,"CD8"
"36","knn3-10","EpCAM: SMA",0.00329127811300055,"CD8"
"37","knn3-15","EpCAM: SMA",0.0142622051563357,"CD8"
"38","knn3-20","EpCAM: SMA",0.0565002742731761,"CD8"
"39","knn3-25","EpCAM: SMA",0.108612177729018,"CD8"
"40","knn3-30","EpCAM: SMA",0.150850246845858,"CD8"
"41","knn5-10","EpCAM: SMA",0.000548546352166758,"CD8"
"42","knn5-15","EpCAM: SMA",0.00383982446516731,"CD8"
"43","knn5-20","EpCAM: SMA",0.0148107515085025,"CD8"
"44","knn5-25","EpCAM: SMA",0.0411409764125069,"CD8"
"45","knn5-30","EpCAM: SMA",0.0762479429511794,"CD8"
"46","knn1-10","SMA",0.191442676906199,"CD8"
"47","knn1-15","SMA",0.386725178277564,"CD8"
"48","knn1-20","SMA",0.53976961053209,"CD8"
"49","knn1-25","SMA",0.65990126165661,"CD8"
"50","knn1-30","SMA",0.747120131651125,"CD8"
"51","knn3-10","SMA",0.0186505759736698,"CD8"
"52","knn3-15","SMA",0.157981349424026,"CD8"
"53","knn3-20","SMA",0.320351069665387,"CD8"
"54","knn3-25","SMA",0.454196379594076,"CD8"
"55","knn3-30","SMA",0.574328030718596,"CD8"
"56","knn5-10","SMA",0.00164563905650027,"CD8"
"57","knn5-15","SMA",0.0592430060340099,"CD8"
"58","knn5-20","SMA",0.179923203510697,"CD8"
"59","knn5-25","SMA",0.313219967087219,"CD8"
"60","knn5-30","SMA",0.432803071859572,"CD8"
"61","knn1-10","Unclass",0.516182117388919,"CD8"
"62","knn1-15","Unclass",0.746571585298958,"CD8"
"63","knn1-20","Unclass",0.855183763027976,"CD8"
"64","knn1-25","Unclass",0.91716950082282,"CD8"
"65","knn1-30","Unclass",0.948985189248492,"CD8"
"66","knn3-10","Unclass",0.205704882062534,"CD8"
"67","knn3-15","Unclass",0.579813494240263,"CD8"
"68","knn3-20","Unclass",0.737246297312123,"CD8"
"69","knn3-25","Unclass",0.835436094349973,"CD8"
"70","knn3-30","Unclass",0.90181020296215,"CD8"
"71","knn5-10","Unclass",0.0526604498080088,"CD8"
"72","knn5-15","Unclass",0.411958310477235,"CD8"
"73","knn5-20","Unclass",0.628085573230938,"CD8"
"74","knn5-25","Unclass",0.766319253976961,"CD8"
"75","knn5-30","Unclass",0.84256719692814,"CD8"
"76","knn1-10","CD8",0.0597874224977857,"EpCAM"
"77","knn1-15","CD8",0.142097937492092,"EpCAM"
"78","knn1-20","CD8",0.239655826901177,"EpCAM"
"79","knn1-25","CD8",0.339491332405416,"EpCAM"
"80","knn1-30","CD8",0.4392635707959,"EpCAM"
"81","knn3-10","CD8",0.0010755409338226,"EpCAM"
"82","knn3-15","CD8",0.0149310388460078,"EpCAM"
"83","knn3-20","CD8",0.0506769581171707,"EpCAM"
"84","knn3-25","CD8",0.111033784638745,"EpCAM"
"85","knn3-30","CD8",0.184613437934961,"EpCAM"
"86","knn5-10","CD8",0,"EpCAM"
"87","knn5-15","CD8",0.00158167784385676,"EpCAM"
"88","knn5-20","CD8",0.00967986840440339,"EpCAM"
"89","knn5-25","CD8",0.0325825635834493,"EpCAM"
"90","knn5-30","CD8",0.0744021257750221,"EpCAM"
"91","knn1-10","EpCAM",0.804504618499304,"EpCAM"
"92","knn1-15","EpCAM",0.96400101227382,"EpCAM"
"93","knn1-20","EpCAM",0.984942426926484,"EpCAM"
"94","knn1-25","EpCAM",0.992850816145767,"EpCAM"
"95","knn1-30","EpCAM",0.996203973174744,"EpCAM"
"96","knn3-10","EpCAM",0.441098317094774,"EpCAM"
"97","knn3-15","EpCAM",0.876565861065418,"EpCAM"
"98","knn3-20","EpCAM",0.957611033784639,"EpCAM"
"99","knn3-25","EpCAM",0.981399468556244,"EpCAM"
"100","knn3-30","EpCAM",0.990952802733139,"EpCAM"
"101","knn5-10","EpCAM",0.127736302669872,"EpCAM"
"102","knn5-15","EpCAM",0.714981652537011,"EpCAM"
"103","knn5-20","EpCAM",0.906870808553714,"EpCAM"
"104","knn5-25","EpCAM",0.960584588131089,"EpCAM"
"105","knn5-30","EpCAM",0.980513728963685,"EpCAM"
"106","knn1-10","EpCAM: SMA",0.079273693534101,"EpCAM"
"107","knn1-15","EpCAM: SMA",0.170631405795268,"EpCAM"
"108","knn1-20","EpCAM: SMA",0.258256358344932,"EpCAM"
"109","knn1-25","EpCAM: SMA",0.343920030368215,"EpCAM"
"110","knn1-30","EpCAM: SMA",0.418891560167025,"EpCAM"
"111","knn3-10","EpCAM: SMA",0.00297355434645072,"EpCAM"
"112","knn3-15","EpCAM: SMA",0.0303049474882956,"EpCAM"
"113","knn3-20","EpCAM: SMA",0.0811717069467291,"EpCAM"
"114","knn3-25","EpCAM: SMA",0.147285840819942,"EpCAM"
"115","knn3-30","EpCAM: SMA",0.213273440465646,"EpCAM"
"116","knn5-10","EpCAM: SMA",0.000126534227508541,"EpCAM"
"117","knn5-15","EpCAM: SMA",0.00632671137542705,"EpCAM"
"118","knn5-20","EpCAM: SMA",0.0281538656206504,"EpCAM"
"119","knn5-25","EpCAM: SMA",0.0682652157408579,"EpCAM"
"120","knn5-30","EpCAM: SMA",0.115082879919018,"EpCAM"
"121","knn1-10","SMA",0.116664557762875,"EpCAM"
"122","knn1-15","SMA",0.284132607870429,"EpCAM"
"123","knn1-20","SMA",0.44489434392003,"EpCAM"
"124","knn1-25","SMA",0.585410603568265,"EpCAM"
"125","knn1-30","SMA",0.692268758699228,"EpCAM"
"126","knn3-10","SMA",0.00613691003416424,"EpCAM"
"127","knn3-15","SMA",0.0812982411742376,"EpCAM"
"128","knn3-20","SMA",0.208844742502847,"EpCAM"
"129","knn3-25","SMA",0.354928508161458,"EpCAM"
"130","knn3-30","SMA",0.490003796026825,"EpCAM"
"131","knn5-10","SMA",0.000442869796279894,"EpCAM"
"132","knn5-15","SMA",0.0220169555864861,"EpCAM"
"133","knn5-20","SMA",0.0978109578641022,"EpCAM"
"134","knn5-25","SMA",0.211755029735543,"EpCAM"
"135","knn5-30","SMA",0.343603694799443,"EpCAM"
"136","knn1-10","Unclass",0.31703150702265,"EpCAM"
"137","knn1-15","Unclass",0.617550297355435,"EpCAM"
"138","knn1-20","Unclass",0.799886119195242,"EpCAM"
"139","knn1-25","Unclass",0.900607364292041,"EpCAM"
"140","knn1-30","Unclass",0.950082247247881,"EpCAM"
"141","knn3-10","Unclass",0.0563077312413008,"EpCAM"
"142","knn3-15","Unclass",0.35600404909528,"EpCAM"
"143","knn3-20","Unclass",0.6170441604454,"EpCAM"
"144","knn3-25","Unclass",0.790585853473365,"EpCAM"
"145","knn3-30","Unclass",0.890041756295078,"EpCAM"
"146","knn5-10","Unclass",0.00657977983044414,"EpCAM"
"147","knn5-15","Unclass",0.170884474250285,"EpCAM"
"148","knn5-20","Unclass",0.450904719726686,"EpCAM"
"149","knn5-25","Unclass",0.668353789700114,"EpCAM"
"150","knn5-30","Unclass",0.807984309755789,"EpCAM"
"151","knn1-10","CD8",0.0934656741108354,"EpCAM: SMA"
"152","knn1-15","CD8",0.188585607940447,"EpCAM: SMA"
"153","knn1-20","CD8",0.30272952853598,"EpCAM: SMA"
"154","knn1-25","CD8",0.415219189412738,"EpCAM: SMA"
"155","knn1-30","CD8",0.504549214226634,"EpCAM: SMA"
"156","knn3-10","CD8",0.00248138957816377,"EpCAM: SMA"
"157","knn3-15","CD8",0.0248138957816377,"EpCAM: SMA"
"158","knn3-20","CD8",0.0777502067824648,"EpCAM: SMA"
"159","knn3-25","CD8",0.153019023986766,"EpCAM: SMA"
"160","knn3-30","CD8",0.262200165425972,"EpCAM: SMA"
"161","knn5-10","CD8",0,"EpCAM: SMA"
"162","knn5-15","CD8",0.00413564929693962,"EpCAM: SMA"
"163","knn5-20","CD8",0.0165425971877585,"EpCAM: SMA"
"164","knn5-25","CD8",0.0504549214226634,"EpCAM: SMA"
"165","knn5-30","CD8",0.109181141439206,"EpCAM: SMA"
"166","knn1-10","EpCAM",0.709677419354839,"EpCAM: SMA"
"167","knn1-15","EpCAM",0.931348221670802,"EpCAM: SMA"
"168","knn1-20","EpCAM",0.974358974358974,"EpCAM: SMA"
"169","knn1-25","EpCAM",0.985938792390405,"EpCAM: SMA"
"170","knn1-30","EpCAM",0.992555831265509,"EpCAM: SMA"
