"","Var1","Var2","value","L1"
"1","knn1-10","CD8",0.77759205668097,"CD8"
"2","knn1-15","CD8",0.886089212653428,"CD8"
"3","knn1-20","CD8",0.908966171040814,"CD8"
"4","knn1-25","CD8",0.920916076239896,"CD8"
"5","knn1-30","CD8",0.929048997106077,"CD8"
"6","knn3-10","CD8",0.520656621095699,"CD8"
"7","knn3-15","CD8",0.789417223829957,"CD8"
"8","knn3-20","CD8",0.84093403851911,"CD8"
"9","knn3-25","CD8",0.864509529987027,"CD8"
"10","knn3-30","CD8",0.879004091408043,"CD8"
"11","knn5-10","CD8",0.2596048298573,"CD8"
"12","knn5-15","CD8",0.708063067558128,"CD8"
"13","knn5-20","CD8",0.800169643748129,"CD8"
"14","knn5-25","CD8",0.834672188404351,"CD8"
"15","knn5-30","CD8",0.853607424408742,"CD8"
"16","knn1-10","EpCAM",0.0337541163556531,"CD8"
"17","knn1-15","EpCAM",0.061396068256661,"CD8"
"18","knn1-20","EpCAM",0.0821774274024548,"CD8"
"19","knn1-25","EpCAM",0.101686458437282,"CD8"
"20","knn1-30","EpCAM",0.120272427901407,"CD8"
"21","knn3-10","EpCAM",0.00775870671589662,"CD8"
"22","knn3-15","EpCAM",0.0386687955293883,"CD8"
"23","knn3-20","EpCAM",0.0615707015267937,"CD8"
"24","knn3-25","EpCAM",0.0802315138209759,"CD8"
"25","knn3-30","EpCAM",0.0971958886338689,"CD8"
"26","knn5-10","EpCAM",0.000997904400758407,"CD8"
"27","knn5-15","EpCAM",0.0221035824767987,"CD8"
"28","knn5-20","EpCAM",0.048273625386688,"CD8"
"29","knn5-25","EpCAM",0.0672088613910787,"CD8"
"30","knn5-30","EpCAM",0.0849965073345973,"CD8"
"31","knn1-10","EpCAM: SMA",0.0226025346771779,"CD8"
"32","knn1-15","EpCAM: SMA",0.0489721584672188,"CD8"
"33","knn1-20","EpCAM: SMA",0.0694790939028041,"CD8"
"34","knn1-25","EpCAM: SMA",0.0867178924259056,"CD8"
"35","knn1-30","EpCAM: SMA",0.10196088214749,"CD8"
"36","knn3-10","EpCAM: SMA",0.00251970861191498,"CD8"
"37","knn3-15","EpCAM: SMA",0.0222283205268935,"CD8"
"38","knn3-20","EpCAM: SMA",0.0453048597944317,"CD8"
"39","knn3-25","EpCAM: SMA",0.0654874762997705,"CD8"
"40","knn3-30","EpCAM: SMA",0.0811545753916775,"CD8"
"41","knn5-10","EpCAM: SMA",9.97904400758407e-05,"CD8"
"42","knn5-15","EpCAM: SMA",0.00868176828659814,"CD8"
"43","knn5-20","EpCAM: SMA",0.0276918471210458,"CD8"
"44","knn5-25","EpCAM: SMA",0.048248677776669,"CD8"
"45","knn5-30","EpCAM: SMA",0.0657120047899411,"CD8"
"46","knn1-10","SMA",0.0674084422712304,"CD8"
"47","knn1-15","SMA",0.146642051691448,"CD8"
"48","knn1-20","SMA",0.219514020556831,"CD8"
"49","knn1-25","SMA",0.286922462828061,"CD8"
"50","knn1-30","SMA",0.353981638559026,"CD8"
"51","knn3-10","SMA",0.00768386388583974,"CD8"
"52","knn3-15","SMA",0.05326314739048,"CD8"
"53","knn3-20","SMA",0.104181219439178,"CD8"
"54","knn3-25","SMA",0.156970362239297,"CD8"
"55","knn3-30","SMA",0.207888434287995,"CD8"
"56","knn5-10","SMA",0.000598742640455044,"CD8"
"57","knn5-15","SMA",0.0199830356251871,"CD8"
"58","knn5-20","SMA",0.0603981638559026,"CD8"
"59","knn5-25","SMA",0.10293383893823,"CD8"
"60","knn5-30","SMA",0.144696138109969,"CD8"
"61","knn1-10","Unclass",0.379777467318631,"CD8"
"62","knn1-15","Unclass",0.604755014469614,"CD8"
"63","knn1-20","Unclass",0.719239596846622,"CD8"
"64","knn1-25","Unclass",0.789891228420317,"CD8"
"65","knn1-30","Unclass",0.837067158966171,"CD8"
"66","knn3-10","Unclass",0.123590460033929,"CD8"
"67","knn3-15","Unclass",0.428649835345774,"CD8"
"68","knn3-20","Unclass",0.594127332601537,"CD8"
"69","knn3-25","Unclass",0.6943418820477,"CD8"
"70","knn3-30","Unclass",0.758382396966371,"CD8"
"71","knn5-10","Unclass",0.0271180520906097,"CD8"
"72","knn5-15","Unclass",0.291138608921265,"CD8"
"73","knn5-20","Unclass",0.490120746432492,"CD8"
"74","knn5-25","Unclass",0.612962778165852,"CD8"
"75","knn5-30","Unclass",0.697560123740146,"CD8"
"76","knn1-10","CD8",0.00706786606211963,"EpCAM"
"77","knn1-15","CD8",0.0185041501992257,"EpCAM"
"78","knn1-20","CD8",0.0357596036499123,"EpCAM"
"79","knn1-25","CD8",0.0580219673641588,"EpCAM"
"80","knn1-30","CD8",0.0861115825715879,"EpCAM"
"81","knn3-10","CD8",0.000141438143038415,"EpCAM"
"82","knn3-15","CD8",0.00134568290376549,"EpCAM"
"83","knn3-20","CD8",0.00350362485755158,"EpCAM"
"84","knn3-25","CD8",0.00708403042132402,"EpCAM"
"85","knn3-30","CD8",0.0127819670408716,"EpCAM"
"86","knn5-10","CD8",8.08217960219512e-06,"EpCAM"
"87","knn5-15","CD8",0.000238424298264756,"EpCAM"
"88","knn5-20","CD8",0.000727396164197561,"EpCAM"
"89","knn5-25","CD8",0.00158410720203024,"EpCAM"
"90","knn5-30","CD8",0.00313588568565171,"EpCAM"
"91","knn1-10","EpCAM",0.814538224668429,"EpCAM"
"92","knn1-15","EpCAM",0.973082300834889,"EpCAM"
"93","knn1-20","EpCAM",0.990850972690315,"EpCAM"
"94","knn1-25","EpCAM",0.99613267706035,"EpCAM"
"95","knn1-30","EpCAM",0.998027948177064,"EpCAM"
"96","knn3-10","EpCAM",0.386497910756573,"EpCAM"
"97","knn3-15","EpCAM",0.890385439145229,"EpCAM"
"98","knn3-20","EpCAM",0.972229630886858,"EpCAM"
"99","knn3-25","EpCAM",0.98972754972561,"EpCAM"
"100","knn3-30","EpCAM",0.99480719960559,"EpCAM"
"101","knn5-10","EpCAM",0.084539598638961,"EpCAM"
"102","knn5-15","EpCAM",0.692586216650906,"EpCAM"
"103","knn5-20","EpCAM",0.926044015550114,"EpCAM"
"104","knn5-25","EpCAM",0.975721132475006,"EpCAM"
"105","knn5-30","EpCAM",0.989412344721124,"EpCAM"
"106","knn1-10","EpCAM: SMA",0.38309935423385,"EpCAM"
"107","knn1-15","EpCAM: SMA",0.656224490620631,"EpCAM"
"108","knn1-20","EpCAM: SMA",0.797707085646857,"EpCAM"
"109","knn1-25","EpCAM: SMA",0.868963622109611,"EpCAM"
"110","knn1-30","EpCAM: SMA",0.905547608078947,"EpCAM"
"111","knn3-10","EpCAM: SMA",0.0538758092282327,"EpCAM"
"112","knn3-15","EpCAM: SMA",0.357486927074493,"EpCAM"
"113","knn3-20","EpCAM: SMA",0.619046464450533,"EpCAM"
"114","knn3-25","EpCAM: SMA",0.76406501305272,"EpCAM"
"115","knn3-30","EpCAM: SMA",0.837948257886187,"EpCAM"
"116","knn5-10","EpCAM: SMA",0.00404513089089866,"EpCAM"
"117","knn5-15","EpCAM: SMA",0.143305126526522,"EpCAM"
"118","knn5-20","EpCAM: SMA",0.419683340203186,"EpCAM"
"119","knn5-25","EpCAM: SMA",0.635736165329066,"EpCAM"
"120","knn5-30","EpCAM: SMA",0.76097357935488,"EpCAM"
"121","knn1-10","SMA",0.21178139320612,"EpCAM"
"122","knn1-15","SMA",0.496916648481763,"EpCAM"
"123","knn1-20","SMA",0.718586588431168,"EpCAM"
"124","knn1-25","SMA",0.847610503600611,"EpCAM"
"125","knn1-30","SMA",0.91546444245084,"EpCAM"
"126","knn3-10","SMA",0.0122364199177234,"EpCAM"
"127","knn3-15","SMA",0.200963395808582,"EpCAM"
"128","knn3-20","SMA",0.480614892224135,"EpCAM"
"129","knn3-25","SMA",0.696473745039562,"EpCAM"
"130","knn3-30","SMA",0.825449167131392,"EpCAM"
"131","knn5-10","SMA",0.000379862441303171,"EpCAM"
"132","knn5-15","SMA",0.0561549838760517,"EpCAM"
"133","knn5-20","SMA",0.277388486126939,"EpCAM"
"134","knn5-25","SMA",0.530324337867436,"EpCAM"
"135","knn5-30","SMA",0.715596181978356,"EpCAM"
"136","knn1-10","Unclass",0.0943392414066225,"EpCAM"
"137","knn1-15","Unclass",0.246700450177404,"EpCAM"
"138","knn1-20","Unclass",0.429171819056163,"EpCAM"
"139","knn1-25","Unclass",0.58759062143879,"EpCAM"
"140","knn1-30","Unclass",0.712941185979035,"EpCAM"
"141","knn3-10","Unclass",0.010478545854246,"EpCAM"
"142","knn3-15","Unclass",0.0841920649160666,"EpCAM"
"143","knn3-20","Unclass",0.214246457984789,"EpCAM"
"144","knn3-25","Unclass",0.36811499325138,"EpCAM"
"145","knn3-30","Unclass",0.517291823258896,"EpCAM"
"146","knn5-10","Unclass",0.00127294328734573,"EpCAM"
"147","knn5-15","Unclass",0.0328338546339177,"EpCAM"
"148","knn5-20","Unclass",0.116157085242748,"EpCAM"
"149","knn5-25","Unclass",0.238117175439873,"EpCAM"
"150","knn5-30","Unclass",0.373744231344309,"EpCAM"
"151","knn1-10","CD8",0.00762615137437933,"EpCAM: SMA"
"152","knn1-15","CD8",0.0219188240169244,"EpCAM: SMA"
"153","knn1-20","CD8",0.041765719395433,"EpCAM: SMA"
"154","knn1-25","CD8",0.0663598758296802,"EpCAM: SMA"
"155","knn1-30","CD8",0.0950833496906647,"EpCAM: SMA"
"156","knn3-10","CD8",4.36195502824366e-05,"EpCAM: SMA"
"157","knn3-15","CD8",0.00111229853220213,"EpCAM: SMA"
"158","knn3-20","CD8",0.00351864372278322,"EpCAM: SMA"
"159","knn3-25","CD8",0.00744440324820251,"EpCAM: SMA"
"160","knn3-30","CD8",0.0139509861653326,"EpCAM: SMA"
"161","knn5-10","CD8",0,"EpCAM: SMA"
"162","knn5-15","CD8",7.26992504707276e-05,"EpCAM: SMA"
"163","knn5-20","CD8",0.00042165565273022,"EpCAM: SMA"
"164","knn5-25","CD8",0.00143217523427333,"EpCAM: SMA"
"165","knn5-30","CD8",0.00343867454726542,"EpCAM: SMA"
"166","knn1-10","EpCAM",0.616024368788758,"EpCAM: SMA"
"167","knn1-15","EpCAM",0.869388526604291,"EpCAM: SMA"
"168","knn1-20","EpCAM",0.942284065051289,"EpCAM: SMA"
"169","knn1-25","EpCAM",0.970295086257661,"EpCAM: SMA"
"170","knn1-30","EpCAM",0.98365720849418,"EpCAM: SMA"
"171","knn3-10","EpCAM",0.158891481828822,"EpCAM: SMA"
"172","knn3-15","EpCAM",0.690802817822948,"EpCAM: SMA"
"173","knn3-20","EpCAM",0.876055047872456,"EpCAM: SMA"
"174","knn3-25","EpCAM",0.940481123639615,"EpCAM: SMA"
"175","knn3-30","EpCAM",0.967212638037702,"EpCAM: SMA"
"176","knn5-10","EpCAM",0.0144744207687219,"EpCAM: SMA"
"177","knn5-15","EpCAM",0.429310883804788,"EpCAM: SMA"
"178","knn5-20","EpCAM",0.771062790342632,"EpCAM: SMA"
"179","knn5-25","EpCAM",0.89658531620539,"EpCAM: SMA"
"180","knn5-30","EpCAM",0.94503936664413,"EpCAM: SMA"
"181","knn1-10","EpCAM: SMA",0.558999076719519,"EpCAM: SMA"
"182","knn1-15","EpCAM: SMA",0.844103727290572,"EpCAM: SMA"
"183","knn1-20","EpCAM: SMA",0.933632854245273,"EpCAM: SMA"
"184","knn1-25","EpCAM: SMA",0.970127877981578,"EpCAM: SMA"
"185","knn1-30","EpCAM: SMA",0.984667728075724,"EpCAM: SMA"
"186","knn3-10","EpCAM: SMA",0.138237624770089,"EpCAM: SMA"
"187","knn3-15","EpCAM: SMA",0.581979309793316,"EpCAM: SMA"
"188","knn3-20","EpCAM: SMA",0.818128285097381,"EpCAM: SMA"
"189","knn3-25","EpCAM: SMA",0.91831512217109,"EpCAM: SMA"
"190","knn3-30","EpCAM: SMA",0.960182620517183,"EpCAM: SMA"
"191","knn5-10","EpCAM: SMA",0.0179058253909402,"EpCAM: SMA"
"192","knn5-15","EpCAM: SMA",0.3096988070053,"EpCAM: SMA"
"193","knn5-20","EpCAM: SMA",0.642872201987598,"EpCAM: SMA"
"194","knn5-25","EpCAM: SMA",0.83022544037571,"EpCAM: SMA"
"195","knn5-30","EpCAM: SMA",0.917166474013653,"EpCAM: SMA"
"196","knn1-10","SMA",0.374706476776224,"EpCAM: SMA"
"197","knn1-15","SMA",0.676161188778144,"EpCAM: SMA"
"198","knn1-20","SMA",0.825012904116959,"EpCAM: SMA"
"199","knn1-25","SMA",0.905192907461124,"EpCAM: SMA"
"200","knn1-30","SMA",0.948594359992148,"EpCAM: SMA"
"201","knn3-10","SMA",0.0434232623061656,"EpCAM: SMA"
"202","knn3-15","SMA",0.350388577493766,"EpCAM: SMA"
"203","knn3-20","SMA",0.620204575690825,"EpCAM: SMA"
"204","knn3-25","SMA",0.787129324696662,"EpCAM: SMA"
"205","knn3-30","SMA",0.881442062332337,"EpCAM: SMA"
"206","knn5-10","SMA",0.00223186698945134,"EpCAM: SMA"
"207","knn5-15","SMA",0.131760121553147,"EpCAM: SMA"
"208","knn5-20","SMA",0.406214331930238,"EpCAM: SMA"
"209","knn5-25","SMA",0.635369639339018,"EpCAM: SMA"
"210","knn5-30","SMA",0.785726229162577,"EpCAM: SMA"
"211","knn1-10","Unclass",0.116217021802505,"EpCAM: SMA"
"212","knn1-15","Unclass",0.292556323744302,"EpCAM: SMA"
"213","knn1-20","Unclass",0.446736894142621,"EpCAM: SMA"
"214","knn1-25","Unclass",0.57662864495867,"EpCAM: SMA"
"215","knn1-30","Unclass",0.684768780033878,"EpCAM: SMA"
"216","knn3-10","Unclass",0.00420201667720806,"EpCAM: SMA"
"217","knn3-15","Unclass",0.0916592149934934,"EpCAM: SMA"
"218","knn3-20","Unclass",0.222176179363591,"EpCAM: SMA"
"219","knn3-25","Unclass",0.352969400885477,"EpCAM: SMA"
"220","knn3-30","Unclass",0.480432996735804,"EpCAM: SMA"
"221","knn5-10","Unclass",9.45090256119459e-05,"EpCAM: SMA"
"222","knn5-15","Unclass",0.0228130247977143,"EpCAM: SMA"
"223","knn5-20","Unclass",0.114995674394597,"EpCAM: SMA"
"224","knn5-25","Unclass",0.222932251568486,"EpCAM: SMA"
"225","knn5-30","Unclass",0.33704099510734,"EpCAM: SMA"
"226","knn1-10","CD8",0.0168993342869386,"SMA"
"227","knn1-15","CD8",0.0407756794437705,"SMA"
"228","knn1-20","CD8",0.0665471642313519,"SMA"
"229","knn1-25","CD8",0.0952579260895544,"SMA"
"230","knn1-30","CD8",0.127095064790841,"SMA"
"231","knn3-10","CD8",0.00158129485113497,"SMA"
"232","knn3-15","CD8",0.00736931684441145,"SMA"
"233","knn3-20","CD8",0.0145696403459535,"SMA"
"234","knn3-25","CD8",0.0231038041608575,"SMA"
"235","knn3-30","CD8",0.0334546464116074,"SMA"
"236","knn5-10","CD8",0.000283667396959327,"SMA"
"237","knn5-15","CD8",0.00357300210638131,"SMA"
"238","knn5-20","CD8",0.00759262947606028,"SMA"
"239","knn5-25","CD8",0.0122882302172168,"SMA"
"240","knn5-30","CD8",0.0177865493370029,"SMA"
"241","knn1-10","EpCAM",0.279991791751918,"SMA"
"242","knn1-15","EpCAM",0.555432834199424,"SMA"
"243","knn1-20","EpCAM",0.734620096929753,"SMA"
"244","knn1-25","EpCAM",0.828839921055967,"SMA"
"245","knn1-30","EpCAM",0.879308575808603,"SMA"
"246","knn3-10","EpCAM",0.043515785788867,"SMA"
"247","knn3-15","EpCAM",0.360372268192435,"SMA"
"248","knn3-20","EpCAM",0.61113424710448,"SMA"
"249","knn3-25","EpCAM",0.757977391104915,"SMA"
"250","knn3-30","EpCAM",0.83627562814222,"SMA"
"251","knn5-10","EpCAM",0.00269182253284808,"SMA"
"252","knn5-15","EpCAM",0.177292123099579,"SMA"
"253","knn5-20","EpCAM",0.476458623790641,"SMA"
"254","knn5-25","EpCAM",0.677777978960329,"SMA"
"255","knn5-30","EpCAM",0.789386010972496,"SMA"
"256","knn1-10","EpCAM: SMA",0.302310983963739,"SMA"
"257","knn1-15","EpCAM: SMA",0.549687060541865,"SMA"
"258","knn1-20","EpCAM: SMA",0.688774617199901,"SMA"
"259","knn1-25","EpCAM: SMA",0.77336182078256,"SMA"
"260","knn1-30","EpCAM: SMA",0.826685255934382,"SMA"
"261","knn3-10","EpCAM: SMA",0.0425742514500232,"SMA"
"262","knn3-15","EpCAM: SMA",0.281923144241854,"SMA"
"263","knn3-20","EpCAM: SMA",0.498983022204518,"SMA"
"264","knn3-25","EpCAM: SMA",0.644075878010948,"SMA"
"265","knn3-30","EpCAM: SMA",0.735893582477805,"SMA"
"266","knn5-10","EpCAM: SMA",0.00316862517880099,"SMA"
"267","knn5-15","EpCAM: SMA",0.114432635028699,"SMA"
"268","knn5-20","EpCAM: SMA",0.325143191680699,"SMA"
"269","knn5-25","EpCAM: SMA",0.5096899575706,"SMA"
"270","knn5-30","EpCAM: SMA",0.638239572205423,"SMA"
"271","knn1-10","SMA",0.610669515411589,"SMA"
"272","knn1-15","SMA",0.870913227953913,"SMA"
"273","knn1-20","SMA",0.93927103514458,"SMA"
"274","knn1-25","SMA",0.968567238226294,"SMA"
"275","knn1-30","SMA",0.982388479482397,"SMA"
"276","knn3-10","SMA",0.182392100768316,"SMA"
"277","knn3-15","SMA",0.640768436871933,"SMA"
"278","knn3-20","SMA",0.834175282309415,"SMA"
"279","knn3-25","SMA",0.917446752008305,"SMA"
"280","knn3-30","SMA",0.956441965875416,"SMA"
"281","knn5-10","SMA",0.0261818971916928,"SMA"
"282","knn5-15","SMA",0.378714081370295,"SMA"
"283","knn5-20","SMA",0.679842111933948,"SMA"
"284","knn5-25","SMA",0.834887468540079,"SMA"
"285","knn5-30","SMA",0.911906184552801,"SMA"
"286","knn1-10","Unclass",0.276799024666993,"SMA"
"287","knn1-15","Unclass",0.501505851394497,"SMA"
"288","knn1-20","Unclass",0.630683155588549,"SMA"
"289","knn1-25","Unclass",0.721052345687954,"SMA"
"290","knn1-30","Unclass",0.79032754531134,"SMA"
"291","knn3-10","Unclass",0.0434916438827428,"SMA"
"292","knn3-15","Unclass",0.252832147362195,"SMA"
"293","knn3-20","Unclass",0.409700217880703,"SMA"
"294","knn3-25","Unclass",0.52861117649544,"SMA"
"295","knn3-30","Unclass",0.629119967167008,"SMA"
"296","knn5-10","Unclass",0.00585441223511802,"SMA"
"297","knn5-15","Unclass",0.124403242257992,"SMA"
"298","knn5-20","Unclass",0.27678695371393,"SMA"
"299","knn5-25","Unclass",0.394611526553079,"SMA"
"300","knn5-30","Unclass",0.497214627580921,"SMA"
"301","knn1-10","CD8",0.0803556565251026,"Unclass"
"302","knn1-15","CD8",0.151379246188345,"Unclass"
"303","knn1-20","CD8",0.208801323919664,"Unclass"
"304","knn1-25","CD8",0.261630810509102,"Unclass"
"305","knn1-30","CD8",0.310288775080542,"Unclass"
"306","knn3-10","CD8",0.0197706642120622,"Unclass"
"307","knn3-15","CD8",0.0742942196022366,"Unclass"
