"","Var1","Var2","value","L1"
"1","knn1-10","CD8",0.404494382022472,"CD8"
"2","knn1-15","CD8",0.537921348314607,"CD8"
"3","knn1-20","CD8",0.584550561797753,"CD8"
"4","knn1-25","CD8",0.624438202247191,"CD8"
"5","knn1-30","CD8",0.680898876404494,"CD8"
"6","knn3-10","CD8",0.0252808988764045,"CD8"
"7","knn3-15","CD8",0.107865168539326,"CD8"
"8","knn3-20","CD8",0.175842696629213,"CD8"
"9","knn3-25","CD8",0.260112359550562,"CD8"
"10","knn3-30","CD8",0.347752808988764,"CD8"
"11","knn5-10","CD8",0.00112359550561798,"CD8"
"12","knn5-15","CD8",0.025561797752809,"CD8"
"13","knn5-20","CD8",0.0525280898876404,"CD8"
"14","knn5-25","CD8",0.0966292134831461,"CD8"
"15","knn5-30","CD8",0.147752808988764,"CD8"
"16","knn1-10","EpCAM",0.68876404494382,"CD8"
"17","knn1-15","EpCAM",0.908988764044944,"CD8"
"18","knn1-20","EpCAM",0.951404494382022,"CD8"
"19","knn1-25","EpCAM",0.973033707865169,"CD8"
"20","knn1-30","EpCAM",0.981741573033708,"CD8"
"21","knn3-10","EpCAM",0.33623595505618,"CD8"
"22","knn3-15","EpCAM",0.83623595505618,"CD8"
"23","knn3-20","EpCAM",0.926966292134832,"CD8"
"24","knn3-25","EpCAM",0.957584269662921,"CD8"
"25","knn3-30","EpCAM",0.973033707865169,"CD8"
"26","knn5-10","EpCAM",0.0893258426966292,"CD8"
"27","knn5-15","EpCAM",0.712359550561798,"CD8"
"28","knn5-20","EpCAM",0.896910112359551,"CD8"
"29","knn5-25","EpCAM",0.942415730337079,"CD8"
"30","knn5-30","EpCAM",0.962078651685393,"CD8"
"31","knn1-10","EpCAM: SMA",0.0283707865168539,"CD8"
"32","knn1-15","EpCAM: SMA",0.0561797752808989,"CD8"
"33","knn1-20","EpCAM: SMA",0.0817415730337079,"CD8"
"34","knn1-25","EpCAM: SMA",0.102808988764045,"CD8"
"35","knn1-30","EpCAM: SMA",0.120786516853933,"CD8"
"36","knn3-10","EpCAM: SMA",0.00365168539325843,"CD8"
"37","knn3-15","EpCAM: SMA",0.0230337078651685,"CD8"
"38","knn3-20","EpCAM: SMA",0.0410112359550562,"CD8"
"39","knn3-25","EpCAM: SMA",0.0592696629213483,"CD8"
"40","knn3-30","EpCAM: SMA",0.073314606741573,"CD8"
"41","knn5-10","EpCAM: SMA",0.000842696629213483,"CD8"
"42","knn5-15","EpCAM: SMA",0.00758426966292135,"CD8"
"43","knn5-20","EpCAM: SMA",0.0252808988764045,"CD8"
"44","knn5-25","EpCAM: SMA",0.0415730337078652,"CD8"
"45","knn5-30","EpCAM: SMA",0.0550561797752809,"CD8"
"46","knn1-10","SMA",0.00533707865168539,"CD8"
"47","knn1-15","SMA",0.0109550561797753,"CD8"
"48","knn1-20","SMA",0.0193820224719101,"CD8"
"49","knn1-25","SMA",0.0275280898876404,"CD8"
"50","knn1-30","SMA",0.0410112359550562,"CD8"
"51","knn3-10","SMA",0.000280898876404494,"CD8"
"52","knn3-15","SMA",0.000280898876404494,"CD8"
"53","knn3-20","SMA",0.00224719101123596,"CD8"
"54","knn3-25","SMA",0.0050561797752809,"CD8"
"55","knn3-30","SMA",0.00702247191011236,"CD8"
"56","knn5-10","SMA",0,"CD8"
"57","knn5-15","SMA",0.000280898876404494,"CD8"
"58","knn5-20","SMA",0.000280898876404494,"CD8"
"59","knn5-25","SMA",0.00112359550561798,"CD8"
"60","knn5-30","SMA",0.00224719101123596,"CD8"
"61","knn1-10","Unclass",0.354494382022472,"CD8"
"62","knn1-15","Unclass",0.594943820224719,"CD8"
"63","knn1-20","Unclass",0.736797752808989,"CD8"
"64","knn1-25","Unclass",0.815449438202247,"CD8"
"65","knn1-30","Unclass",0.860674157303371,"CD8"
"66","knn3-10","Unclass",0.110674157303371,"CD8"
"67","knn3-15","Unclass",0.389606741573034,"CD8"
"68","knn3-20","Unclass",0.574157303370787,"CD8"
"69","knn3-25","Unclass",0.69747191011236,"CD8"
"70","knn3-30","Unclass",0.78623595505618,"CD8"
"71","knn5-10","Unclass",0.0275280898876404,"CD8"
"72","knn5-15","Unclass",0.250842696629213,"CD8"
"73","knn5-20","Unclass",0.444101123595506,"CD8"
"74","knn5-25","Unclass",0.590449438202247,"CD8"
"75","knn5-30","Unclass",0.703370786516854,"CD8"
"76","knn1-10","CD8",0.0340776855713448,"EpCAM"
"77","knn1-15","CD8",0.0881925745980243,"EpCAM"
"78","knn1-20","CD8",0.156169573009658,"EpCAM"
"79","knn1-25","CD8",0.236123026220791,"EpCAM"
"80","knn1-30","CD8",0.319949715877721,"EpCAM"
"81","knn3-10","CD8",0.000628551528484426,"EpCAM"
"82","knn3-15","CD8",0.00785689410605533,"EpCAM"
"83","knn3-20","CD8",0.0240548368738905,"EpCAM"
"84","knn3-25","CD8",0.0530701344590635,"EpCAM"
"85","knn3-30","CD8",0.0978756657125141,"EpCAM"
"86","knn5-10","CD8",8.49393957411387e-06,"EpCAM"
"87","knn5-15","CD8",0.000586081830613857,"EpCAM"
"88","knn5-20","CD8",0.00360143037942428,"EpCAM"
"89","knn5-25","CD8",0.0105324850719012,"EpCAM"
"90","knn5-30","CD8",0.0240633308134646,"EpCAM"
"91","knn1-10","EpCAM",0.906422267711988,"EpCAM"
"92","knn1-15","EpCAM",0.995387790811256,"EpCAM"
"93","knn1-20","EpCAM",0.998742896943031,"EpCAM"
"94","knn1-25","EpCAM",0.99956680908172,"EpCAM"
"95","knn1-30","EpCAM",0.999779157571073,"EpCAM"
"96","knn3-10","EpCAM",0.654602441158234,"EpCAM"
"97","knn3-15","EpCAM",0.981865439009267,"EpCAM"
"98","knn3-20","EpCAM",0.99659393023078,"EpCAM"
"99","knn3-25","EpCAM",0.998878799976217,"EpCAM"
"100","knn3-30","EpCAM",0.999413918169386,"EpCAM"
"101","knn5-10","EpCAM",0.27658815435187,"EpCAM"
"102","knn5-15","EpCAM",0.93510630165377,"EpCAM"
"103","knn5-20","EpCAM",0.991862805887999,"EpCAM"
"104","knn5-25","EpCAM",0.997553745402655,"EpCAM"
"105","knn5-30","EpCAM",0.99894675149281,"EpCAM"
"106","knn1-10","EpCAM: SMA",0.020810151956579,"EpCAM"
"107","knn1-15","EpCAM: SMA",0.0435229463777595,"EpCAM"
"108","knn1-20","EpCAM: SMA",0.0645539407632654,"EpCAM"
"109","knn1-25","EpCAM: SMA",0.0833000654033347,"EpCAM"
"110","knn1-30","EpCAM: SMA",0.0992007202860759,"EpCAM"
"111","knn3-10","EpCAM: SMA",0.00191963034374973,"EpCAM"
"112","knn3-15","EpCAM: SMA",0.0134798821041187,"EpCAM"
"113","knn3-20","EpCAM: SMA",0.0292361400140999,"EpCAM"
"114","knn3-25","EpCAM: SMA",0.0454425767215092,"EpCAM"
"115","knn3-30","EpCAM: SMA",0.0604513679489684,"EpCAM"
"116","knn5-10","EpCAM: SMA",0.000169878791482277,"EpCAM"
"117","knn5-15","EpCAM: SMA",0.00436588494109453,"EpCAM"
"118","knn5-20","EpCAM: SMA",0.0150172851670333,"EpCAM"
"119","knn5-25","EpCAM: SMA",0.0273844611869431,"EpCAM"
"120","knn5-30","EpCAM: SMA",0.0404991038893749,"EpCAM"
"121","knn1-10","SMA",0.00135903033185822,"EpCAM"
"122","knn1-15","SMA",0.00362691219814662,"EpCAM"
"123","knn1-20","SMA",0.00754261834181312,"EpCAM"
"124","knn1-25","SMA",0.0124860911739474,"EpCAM"
"125","knn1-30","SMA",0.0186102216068835,"EpCAM"
"126","knn3-10","SMA",8.49393957411387e-06,"EpCAM"
"127","knn3-15","SMA",0.000101927274889366,"EpCAM"
"128","knn3-20","SMA",0.000441684857853921,"EpCAM"
"129","knn3-25","SMA",0.000976803051023095,"EpCAM"
"130","knn3-30","SMA",0.00176673943141568,"EpCAM"
"131","knn5-10","SMA",0,"EpCAM"
"132","knn5-15","SMA",8.49393957411387e-06,"EpCAM"
"133","knn5-20","SMA",6.7951516592911e-05,"EpCAM"
"134","knn5-25","SMA",0.000229336368501074,"EpCAM"
"135","knn5-30","SMA",0.000518130314020946,"EpCAM"
"136","knn1-10","Unclass",0.210377895371652,"EpCAM"
"137","knn1-15","Unclass",0.442287927563683,"EpCAM"
"138","knn1-20","Unclass",0.617976573714655,"EpCAM"
"139","knn1-25","Unclass",0.735685588332725,"EpCAM"
"140","knn1-30","Unclass",0.812148032378898,"EpCAM"
"141","knn3-10","Unclass",0.0281404218090393,"EpCAM"
"142","knn3-15","Unclass",0.208645131698533,"EpCAM"
"143","knn3-20","Unclass",0.415260211838853,"EpCAM"
"144","knn3-25","Unclass",0.583346782070992,"EpCAM"
"145","knn3-30","Unclass",0.704716684645505,"EpCAM"
"146","knn5-10","Unclass",0.00291342127392106,"EpCAM"
"147","knn5-15","Unclass",0.086230474556404,"EpCAM"
"148","knn5-20","Unclass",0.264297423788127,"EpCAM"
"149","knn5-25","Unclass",0.446407488257129,"EpCAM"
"150","knn5-30","Unclass",0.596223594465349,"EpCAM"
"151","knn1-10","CD8",0.0714285714285714,"EpCAM: SMA"
