"","Var1","Var2","value","L1"
"1","knn1-10","CD8",0.560682660783773,"CD8"
"2","knn1-15","CD8",0.748138615681588,"CD8"
"3","knn1-20","CD8",0.836525007404684,"CD8"
"4","knn1-25","CD8",0.891666922000592,"CD8"
"5","knn1-30","CD8",0.928577994300947,"CD8"
"6","knn3-10","CD8",0.21803474584061,"CD8"
"7","knn3-15","CD8",0.505367119118383,"CD8"
"8","knn3-20","CD8",0.663766073270623,"CD8"
"9","knn3-25","CD8",0.765909856910868,"CD8"
"10","knn3-30","CD8",0.837229729039638,"CD8"
"11","knn5-10","CD8",0.0756196954376934,"CD8"
"12","knn5-15","CD8",0.34211682037769,"CD8"
"13","knn5-20","CD8",0.518950883966051,"CD8"
"14","knn5-25","CD8",0.644054294205963,"CD8"
"15","knn5-30","CD8",0.734779544688544,"CD8"
"16","knn1-10","EpCAM",0.211661611054938,"CD8"
"17","knn1-15","EpCAM",0.352953192184739,"CD8"
"18","knn1-20","EpCAM",0.45663919273626,"CD8"
"19","knn1-25","EpCAM",0.533933878726599,"CD8"
"20","knn1-30","EpCAM",0.589555821102838,"CD8"
"21","knn3-10","EpCAM",0.0714015789849966,"CD8"
"22","knn3-15","EpCAM",0.254006189294359,"CD8"
"23","knn3-20","EpCAM",0.376658393847474,"CD8"
"24","knn3-25","EpCAM",0.472347335845819,"CD8"
"25","knn3-30","EpCAM",0.542441605131191,"CD8"
"26","knn5-10","EpCAM",0.013716538489036,"CD8"
"27","knn5-15","EpCAM",0.166150892136736,"CD8"
"28","knn5-20","EpCAM",0.308504662397483,"CD8"
"29","knn5-25","EpCAM",0.41891105187364,"CD8"
"30","knn5-30","EpCAM",0.501087722523516,"CD8"
"31","knn1-10","EpCAM: SMA",0.0538039648251984,"CD8"
"32","knn1-15","EpCAM: SMA",0.12785080328053,"CD8"
"33","knn1-20","EpCAM: SMA",0.194778931887122,"CD8"
"34","knn1-25","EpCAM: SMA",0.254874324641767,"CD8"
"35","knn1-30","EpCAM: SMA",0.308106341473379,"CD8"
"36","knn3-10","EpCAM: SMA",0.0035848883169409,"CD8"
"37","knn3-15","EpCAM: SMA",0.0380039015023848,"CD8"
"38","knn3-20","EpCAM: SMA",0.0896324212805507,"CD8"
"39","knn3-25","EpCAM: SMA",0.143099345323814,"CD8"
"40","knn3-30","EpCAM: SMA",0.193992503395941,"CD8"
"41","knn5-10","EpCAM: SMA",0.000285973996793006,"CD8"
"42","knn5-15","EpCAM: SMA",0.0102746371704916,"CD8"
"43","knn5-20","EpCAM: SMA",0.0419666840293736,"CD8"
"44","knn5-25","EpCAM: SMA",0.0850159839037493,"CD8"
"45","knn5-30","EpCAM: SMA",0.131609318666953,"CD8"
"46","knn1-10","SMA",0.245886570456843,"CD8"
"47","knn1-15","SMA",0.456210231741071,"CD8"
"48","knn1-20","SMA",0.592742388495675,"CD8"
"49","knn1-25","SMA",0.690402508400486,"CD8"
"50","knn1-30","SMA",0.762202408309587,"CD8"
"51","knn3-10","SMA",0.0493305144467935,"CD8"
"52","knn3-15","SMA",0.248899510780198,"CD8"
"53","knn3-20","SMA",0.41228258316226,"CD8"
"54","knn3-25","SMA",0.53745748690137,"CD8"
"55","knn3-30","SMA",0.632411067193676,"CD8"
"56","knn5-10","SMA",0.00680209578086221,"CD8"
"57","knn5-15","SMA",0.128933419125532,"CD8"
"58","knn5-20","SMA",0.287945174699472,"CD8"
"59","knn5-25","SMA",0.420187721502181,"CD8"
"60","knn5-30","SMA",0.528061198435314,"CD8"
"61","knn1-10","Unclass",0.486298781546507,"CD8"
"62","knn1-15","Unclass",0.723320158102767,"CD8"
"63","knn1-20","Unclass",0.832807345446375,"CD8"
"64","knn1-25","Unclass",0.891993749425499,"CD8"
"65","knn1-30","Unclass",0.926320842397688,"CD8"
"66","knn3-10","Unclass",0.180878552971576,"CD8"
"67","knn3-15","Unclass",0.543044193195862,"CD8"
"68","knn3-20","Unclass",0.71879564093922,"CD8"
"69","knn3-25","Unclass",0.81695621533842,"CD8"
"70","knn3-30","Unclass",0.875141710328768,"CD8"
"71","knn5-10","Unclass",0.0425488453799879,"CD8"
"72","knn5-15","Unclass",0.381499525078898,"CD8"
"73","knn5-20","Unclass",0.610156162228963,"CD8"
"74","knn5-25","Unclass",0.740131343771384,"CD8"
"75","knn5-30","Unclass",0.822175240779892,"CD8"
"76","knn1-10","CD8",0.0850646736047636,"EpCAM"
"77","knn1-15","CD8",0.201197953251608,"EpCAM"
"78","knn1-20","CD8",0.331641425199928,"EpCAM"
"79","knn1-25","CD8",0.463269330809677,"EpCAM"
"80","knn1-30","CD8",0.582359286048077,"EpCAM"
"81","knn3-10","CD8",0.00359738660443736,"EpCAM"
"82","knn3-15","CD8",0.0383574285739477,"EpCAM"
"83","knn3-20","CD8",0.109491046210547,"EpCAM"
