"","Var1","Var2","value","L1"
"1","knn1-10","CD8",0.562417871222076,"CD8"
"2","knn1-15","CD8",0.722207621550591,"CD8"
"3","knn1-20","CD8",0.793166885676741,"CD8"
"4","knn1-25","CD8",0.844064826982041,"CD8"
"5","knn1-30","CD8",0.880946123521682,"CD8"
"6","knn3-10","CD8",0.195532194480946,"CD8"
"7","knn3-15","CD8",0.420674551029347,"CD8"
"8","knn3-20","CD8",0.55383267630311,"CD8"
"9","knn3-25","CD8",0.651686377573368,"CD8"
"10","knn3-30","CD8",0.728602715724923,"CD8"
"11","knn5-10","CD8",0.0776171703898379,"CD8"
"12","knn5-15","CD8",0.273499780989926,"CD8"
"13","knn5-20","CD8",0.404029785370127,"CD8"
"14","knn5-25","CD8",0.505300043802015,"CD8"
"15","knn5-30","CD8",0.58808585194919,"CD8"
"16","knn1-10","EpCAM",0.306000876040298,"CD8"
"17","knn1-15","EpCAM",0.506701708278581,"CD8"
"18","knn1-20","EpCAM",0.607796758650898,"CD8"
"19","knn1-25","EpCAM",0.663425317564608,"CD8"
"20","knn1-30","EpCAM",0.69592641261498,"CD8"
"21","knn3-10","EpCAM",0.107577748576435,"CD8"
"22","knn3-15","EpCAM",0.393517301795883,"CD8"
"23","knn3-20","EpCAM",0.539027595269382,"CD8"
"24","knn3-25","EpCAM",0.617345597897503,"CD8"
"25","knn3-30","EpCAM",0.660534384581691,"CD8"
"26","knn5-10","EpCAM",0.0226894437144109,"CD8"
"27","knn5-15","EpCAM",0.277441962330267,"CD8"
"28","knn5-20","EpCAM",0.472010512483574,"CD8"
"29","knn5-25","EpCAM",0.57993867717915,"CD8"
"30","knn5-30","EpCAM",0.63539202803329,"CD8"
"31","knn1-10","EpCAM: SMA",0.134997809899255,"CD8"
"32","knn1-15","EpCAM: SMA",0.284187472623741,"CD8"
"33","knn1-20","EpCAM: SMA",0.38808585194919,"CD8"
"34","knn1-25","EpCAM: SMA",0.4580814717477,"CD8"
"35","knn1-30","EpCAM: SMA",0.504686815593517,"CD8"
"36","knn3-10","EpCAM: SMA",0.0148926850635129,"CD8"
"37","knn3-15","EpCAM: SMA",0.118615856329391,"CD8"
"38","knn3-20","EpCAM: SMA",0.237494524748138,"CD8"
"39","knn3-25","EpCAM: SMA",0.33604905825668,"CD8"
"40","knn3-30","EpCAM: SMA",0.401401664476566,"CD8"
"41","knn5-10","EpCAM: SMA",0.000963644327639071,"CD8"
"42","knn5-15","EpCAM: SMA",0.0439772229522558,"CD8"
"43","knn5-20","EpCAM: SMA",0.138414367060885,"CD8"
"44","knn5-25","EpCAM: SMA",0.240911081909768,"CD8"
"45","knn5-30","EpCAM: SMA",0.325010950503723,"CD8"
"46","knn1-10","SMA",0.1562855891371,"CD8"
"47","knn1-15","SMA",0.31712658782304,"CD8"
"48","knn1-20","SMA",0.439772229522558,"CD8"
"49","knn1-25","SMA",0.534822601839685,"CD8"
"50","knn1-30","SMA",0.610162067455103,"CD8"
"51","knn3-10","SMA",0.0202365308804205,"CD8"
"52","knn3-15","SMA",0.123959702146299,"CD8"
"53","knn3-20","SMA",0.242750766535261,"CD8"
"54","knn3-25","SMA",0.344984669294788,"CD8"
"55","knn3-30","SMA",0.433815155497153,"CD8"
"56","knn5-10","SMA",0.00210249671484888,"CD8"
"57","knn5-15","SMA",0.0509855453350854,"CD8"
"58","knn5-20","SMA",0.133070521243977,"CD8"
"59","knn5-25","SMA",0.23311432325887,"CD8"
"60","knn5-30","SMA",0.320543144984669,"CD8"
"61","knn1-10","Unclass",0.454051686377573,"CD8"
