"","Var1","Var2","value","L1"
"1","knn1-10","CD8",0.323566240921613,"CD8"
"2","knn1-15","CD8",0.458051590282995,"CD8"
"3","knn1-20","CD8",0.491610318056599,"CD8"
"4","knn1-25","CD8",0.522414224893564,"CD8"
"5","knn1-30","CD8",0.547958928124217,"CD8"
"6","knn3-10","CD8",0.046831955922865,"CD8"
"7","knn3-15","CD8",0.134485349361382,"CD8"
"8","knn3-20","CD8",0.172551965940396,"CD8"
"9","knn3-25","CD8",0.200601051840721,"CD8"
"10","knn3-30","CD8",0.235662409216128,"CD8"
"11","knn5-10","CD8",0.00826446280991736,"CD8"
"12","knn5-15","CD8",0.0581016779363887,"CD8"
"13","knn5-20","CD8",0.0979213623841723,"CD8"
"14","knn5-25","CD8",0.124467818682695,"CD8"
"15","knn5-30","CD8",0.1427498121713,"CD8"
"16","knn1-10","EpCAM",0.143250688705234,"CD8"
"17","knn1-15","EpCAM",0.339343851740546,"CD8"
"18","knn1-20","EpCAM",0.496368645128976,"CD8"
"19","knn1-25","EpCAM",0.60931630353118,"CD8"
"20","knn1-30","EpCAM",0.70022539444027,"CD8"
"21","knn3-10","EpCAM",0.0187828700225394,"CD8"
"22","knn3-15","EpCAM",0.129977460555973,"CD8"
"23","knn3-20","EpCAM",0.2854996243426,"CD8"
"24","knn3-25","EpCAM",0.425244177310293,"CD8"
"25","knn3-30","EpCAM",0.537690959178562,"CD8"
"26","knn5-10","EpCAM",0.00175306786877035,"CD8"
"27","knn5-15","EpCAM",0.0548459804658152,"CD8"
"28","knn5-20","EpCAM",0.16328575006261,"CD8"
"29","knn5-25","EpCAM",0.300025043826697,"CD8"
"30","knn5-30","EpCAM",0.420986726771851,"CD8"
"31","knn1-10","SMA",0.36839469070874,"CD8"
"32","knn1-15","SMA",0.643375907838718,"CD8"
"33","knn1-20","SMA",0.766341096919609,"CD8"
"34","knn1-25","SMA",0.831204608064112,"CD8"
"35","knn1-30","SMA",0.878036563986977,"CD8"
"36","knn3-10","SMA",0.066366140746306,"CD8"
"37","knn3-15","SMA",0.36839469070874,"CD8"
"38","knn3-20","SMA",0.576508890558477,"CD8"
"39","knn3-25","SMA",0.695216629100927,"CD8"
"40","knn3-30","SMA",0.7778612572001,"CD8"
"41","knn5-10","SMA",0.00576008014024543,"CD8"
"42","knn5-15","SMA",0.177310293012772,"CD8"
"43","knn5-20","SMA",0.407212622088655,"CD8"
"44","knn5-25","SMA",0.562233909341347,"CD8"
"45","knn5-30","SMA",0.665164037064863,"CD8"
"46","knn1-10","Unclass",0.258452291510143,"CD8"
"47","knn1-15","Unclass",0.602304032056098,"CD8"
"48","knn1-20","Unclass",0.794139744552968,"CD8"
"49","knn1-25","Unclass",0.893563736538943,"CD8"
"50","knn1-30","Unclass",0.938642624593038,"CD8"
"51","knn3-10","Unclass",0.0288004007012271,"CD8"
"52","knn3-15","Unclass",0.300525920360631,"CD8"
"53","knn3-20","Unclass",0.594540445780115,"CD8"
"54","knn3-25","Unclass",0.787377911344853,"CD8"
"55","knn3-30","Unclass",0.881793137991485,"CD8"
"56","knn5-10","Unclass",0.00225394440270473,"CD8"
"57","knn5-15","Unclass",0.100425745053844,"CD8"
"58","knn5-20","Unclass",0.390934134735788,"CD8"
"59","knn5-25","Unclass",0.644628099173554,"CD8"
"60","knn5-30","Unclass",0.805659904833459,"CD8"
"61","knn1-10","CD8",0.0082058933233868,"EpCAM"
"62","knn1-15","CD8",0.0238476254647399,"EpCAM"
"63","knn1-20","CD8",0.0449038033473307,"EpCAM"
"64","knn1-25","CD8",0.0707968860920937,"EpCAM"
"65","knn1-30","CD8",0.100564305567253,"EpCAM"
"66","knn3-10","CD8",4.81284065887789e-05,"EpCAM"
"67","knn3-15","CD8",0.000986632335069967,"EpCAM"
"68","knn3-20","CD8",0.00338102056286171,"EpCAM"
"69","knn3-25","CD8",0.0072794214965528,"EpCAM"
"70","knn3-30","CD8",0.0138128526909795,"EpCAM"
"71","knn5-10","CD8",0,"EpCAM"
"72","knn5-15","CD8",2.40642032943894e-05,"EpCAM"
"73","knn5-20","CD8",0.000300802541179868,"EpCAM"
"74","knn5-25","CD8",0.000962568131775577,"EpCAM"
"75","knn5-30","CD8",0.00234625982120297,"EpCAM"
"76","knn1-10","EpCAM",0.461142327730385,"EpCAM"
"77","knn1-15","EpCAM",0.729554451276004,"EpCAM"
"78","knn1-20","EpCAM",0.839359410908303,"EpCAM"
"79","knn1-25","EpCAM",0.901204413374884,"EpCAM"
"80","knn1-30","EpCAM",0.935459806764448,"EpCAM"
"81","knn3-10","EpCAM",0.135313015124352,"EpCAM"
"82","knn3-15","EpCAM",0.484628990145709,"EpCAM"
"83","knn3-20","EpCAM",0.685974179109865,"EpCAM"
"84","knn3-25","EpCAM",0.801879414277292,"EpCAM"
"85","knn3-30","EpCAM",0.869042605671933,"EpCAM"
"86","knn5-10","EpCAM",0.0220789065226023,"EpCAM"
"87","knn5-15","EpCAM",0.277773098627137,"EpCAM"
"88","knn5-20","EpCAM",0.530639746844581,"EpCAM"
"89","knn5-25","EpCAM",0.695202801073263,"EpCAM"
"90","knn5-30","EpCAM",0.794696249593917,"EpCAM"
"91","knn1-10","SMA",0.343889497178472,"EpCAM"
"92","knn1-15","SMA",0.606610436644969,"EpCAM"
"93","knn1-20","SMA",0.738626655917989,"EpCAM"
"94","knn1-25","SMA",0.820637460745268,"EpCAM"
"95","knn1-30","SMA",0.875347426935063,"EpCAM"
"96","knn3-10","SMA",0.0610268195545716,"EpCAM"
"97","knn3-15","SMA",0.353539242699522,"EpCAM"
"98","knn3-20","SMA",0.567457977884997,"EpCAM"
"99","knn3-25","SMA",0.696730877982457,"EpCAM"
"100","knn3-30","SMA",0.781160135240823,"EpCAM"
"101","knn5-10","SMA",0.00470455174405313,"EpCAM"
"102","knn5-15","SMA",0.157115183309069,"EpCAM"
"103","knn5-20","SMA",0.397600798931549,"EpCAM"
"104","knn5-25","SMA",0.575675903310031,"EpCAM"
"105","knn5-30","SMA",0.693193440098182,"EpCAM"
"106","knn1-10","Unclass",0.173214135313015,"EpCAM"
"107","knn1-15","Unclass",0.476627642550324,"EpCAM"
"108","knn1-20","Unclass",0.708402016580236,"EpCAM"
"109","knn1-25","Unclass",0.870462393666302,"EpCAM"
"110","knn1-30","Unclass",0.953387638218768,"EpCAM"
"111","knn3-10","Unclass",0.0151123196688766,"EpCAM"
"112","knn3-15","Unclass",0.200984225914741,"EpCAM"
"113","knn3-20","Unclass",0.463933775312534,"EpCAM"
"114","knn3-25","Unclass",0.713587852390177,"EpCAM"
"115","knn3-30","Unclass",0.882687008939852,"EpCAM"
"116","knn5-10","Unclass",0.000721926098831683,"EpCAM"
"117","knn5-15","Unclass",0.0637821708317792,"EpCAM"
"118","knn5-20","Unclass",0.266872014534779,"EpCAM"
"119","knn5-25","Unclass",0.527752042449255,"EpCAM"
