"","Var1","Var2","value","L1"
"1","knn1-10","CD8",0.337631546108731,"CD8"
"2","knn1-15","CD8",0.481552348072044,"CD8"
"3","knn1-20","CD8",0.577347032153405,"CD8"
"4","knn1-25","CD8",0.655921134728173,"CD8"
"5","knn1-30","CD8",0.720311135144129,"CD8"
"6","knn3-10","CD8",0.0790732498648143,"CD8"
"7","knn3-15","CD8",0.221662992388004,"CD8"
"8","knn3-20","CD8",0.319620648059565,"CD8"
"9","knn3-25","CD8",0.413668316625764,"CD8"
"10","knn3-30","CD8",0.501019092383844,"CD8"
"11","knn5-10","CD8",0.0205066344993969,"CD8"
"12","knn5-15","CD8",0.131608502142174,"CD8"
"13","knn5-20","CD8",0.211929620232103,"CD8"
"14","knn5-25","CD8",0.28172704962356,"CD8"
"15","knn5-30","CD8",0.356391165092966,"CD8"
"16","knn1-10","EpCAM",0.143629632710786,"CD8"
"17","knn1-15","EpCAM",0.250779917640697,"CD8"
"18","knn1-20","EpCAM",0.326608710120211,"CD8"
"19","knn1-25","EpCAM",0.385591281560667,"CD8"
"20","knn1-30","EpCAM",0.432511126825007,"CD8"
"21","knn3-10","EpCAM",0.0369784950709205,"CD8"
"22","knn3-15","EpCAM",0.157896926084605,"CD8"
"23","knn3-20","EpCAM",0.244332598477601,"CD8"
"24","knn3-25","EpCAM",0.308223451603511,"CD8"
"25","knn3-30","EpCAM",0.360342747805832,"CD8"
"26","knn5-10","EpCAM",0.00644731916309638,"CD8"
"27","knn5-15","EpCAM",0.0942972422112225,"CD8"
"28","knn5-20","EpCAM",0.185973961149703,"CD8"
"29","knn5-25","EpCAM",0.259015847926459,"CD8"
"30","knn5-30","EpCAM",0.314587579551599,"CD8"
"31","knn1-10","Unclass",0.770184268541242,"CD8"
"32","knn1-15","Unclass",0.94172455388711,"CD8"
"33","knn1-20","Unclass",0.971798178112391,"CD8"
"34","knn1-25","Unclass",0.983985691111019,"CD8"
"35","knn1-30","Unclass",0.989933862984069,"CD8"
"36","knn3-10","Unclass",0.473565991431305,"CD8"
"37","knn3-15","Unclass",0.881910070296577,"CD8"
"38","knn3-20","Unclass",0.949128572022794,"CD8"
"39","knn3-25","Unclass",0.972588494654964,"CD8"
"40","knn3-30","Unclass",0.983153778960942,"CD8"
"41","knn5-10","Unclass",0.179942598061645,"CD8"
"42","knn5-15","Unclass",0.794226529678466,"CD8"
"43","knn5-20","Unclass",0.918514204899963,"CD8"
"44","knn5-25","Unclass",0.958861944178695,"CD8"
"45","knn5-30","Unclass",0.976248908115303,"CD8"
"46","knn1-10","CD8",0.0424220350557705,"EpCAM"
"47","knn1-15","CD8",0.10829956749374,"EpCAM"
"48","knn1-20","CD8",0.191094923742317,"EpCAM"
"49","knn1-25","CD8",0.281074436603688,"EpCAM"
"50","knn1-30","CD8",0.372911450034145,"EpCAM"
"51","knn3-10","CD8",0.000837696335078534,"EpCAM"
"52","knn3-15","CD8",0.0094058729797405,"EpCAM"
"53","knn3-20","CD8",0.0314682449351241,"EpCAM"
"54","knn3-25","CD8",0.0704029137263829,"EpCAM"
"55","knn3-30","CD8",0.126164352378784,"EpCAM"
"56","knn5-10","CD8",8.19485545185522e-05,"EpCAM"
"57","knn5-15","CD8",0.00153881174595948,"EpCAM"
"58","knn5-20","CD8",0.00671978147052128,"EpCAM"
"59","knn5-25","CD8",0.019640336899613,"EpCAM"
"60","knn5-30","CD8",0.0442977464147507,"EpCAM"
"61","knn1-10","EpCAM",0.73342135215115,"EpCAM"
"62","knn1-15","EpCAM",0.920154791714091,"EpCAM"
"63","knn1-20","EpCAM",0.955228773048031,"EpCAM"
"64","knn1-25","EpCAM",0.972884133849306,"EpCAM"
"65","knn1-30","EpCAM",0.981953107216025,"EpCAM"
"66","knn3-10","EpCAM",0.328030958342818,"EpCAM"
"67","knn3-15","EpCAM",0.772747552925108,"EpCAM"
"68","knn3-20","EpCAM",0.894404734805372,"EpCAM"
"69","knn3-25","EpCAM",0.940459822444799,"EpCAM"
"70","knn3-30","EpCAM",0.961866605964034,"EpCAM"
"71","knn5-10","EpCAM",0.0805281129068973,"EpCAM"
"72","knn5-15","EpCAM",0.564844070111541,"EpCAM"
"73","knn5-20","EpCAM",0.799799681311177,"EpCAM"
"74","knn5-25","EpCAM",0.891099476439791,"EpCAM"
"75","knn5-30","EpCAM",0.933548827680401,"EpCAM"
